Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-18,930,0,260,667,3,49,0,24,0
2020-06-19,934,44,241,690,3,37,0,22,0
2020-06-20,944,77,230,711,3,28,0,21,0
2020-06-21,962,103,227,732,3,22,0,20,0
2020-06-22,984,123,228,752,4,18,3,21,0
2020-06-23,1009,140,232,773,4,16,6,21,0
2020-06-24,1038,155,240,794,4,14,9,22,0
2020-06-25,1069,168,249,816,4,13,10,23,0
2020-06-26,1103,181,260,839,4,12,12,24,0
2020-06-27,1139,193,272,863,4,12,13,25,0
2020-06-28,1178,205,286,888,4,12,14,26,0
2020-06-29,1218,217,300,914,4,12,15,27,0
2020-06-30,1262,229,316,942,4,12,16,29,0
2020-07-01,1308,241,332,971,5,12,17,30,0
2020-07-02,1357,253,350,1002,5,13,18,32,0
2020-07-03,1407,266,368,1034,5,13,19,33,0
2020-07-04,1460,280,387,1068,5,14,20,35,0
2020-07-05,1516,293,407,1104,5,14,21,37,0
2020-07-06,1574,308,428,1141,5,14,21,39,0
2020-07-07,1637,322,450,1181,6,15,22,41,0
2020-07-08,1700,337,472,1222,6,15,23,43,0
2020-07-09,1768,353,496,1266,6,16,24,45,0
2020-07-10,1837,369,520,1311,6,16,25,47,0
2020-07-11,1911,385,546,1359,6,17,26,49,0
2020-07-12,1988,402,572,1409,7,17,27,52,0
2020-07-13,2068,420,599,1462,7,17,28,54,0
2020-07-14,2151,437,627,1517,7,18,29,57,0
2020-07-15,2238,455,656,1575,7,18,30,59,0
2020-07-16,2329,473,686,1635,8,18,30,62,0
2020-07-17,2424,492,717,1699,8,19,31,65,0
2020-07-18,2520,510,748,1764,8,19,32,68,0
2020-07-19,2623,529,781,1833,9,19,33,71,0
2020-07-20,2728,548,814,1905,9,19,33,74,0
2020-07-21,2837,567,848,1980,9,19,34,77,0
2020-07-22,2950,586,882,2058,10,19,35,80,0
2020-07-23,3066,605,917,2139,10,19,35,83,0
2020-07-24,3186,623,952,2223,11,19,36,86,0
2020-07-25,3309,642,988,2310,11,18,36,89,0
2020-07-26,3436,660,1024,2401,11,18,36,93,0
2020-07-27,3567,678,1060,2495,12,17,36,96,0
2020-07-28,3701,695,1097,2592,12,17,37,99,0
2020-07-29,3838,711,1133,2692,13,16,36,103,0
2020-07-30,3979,727,1170,2796,13,16,36,106,1
2020-07-31,4123,743,1206,2903,14,15,36,109,1
2020-08-01,4269,757,1242,3013,14,14,36,112,1
2020-08-02,4419,770,1277,3127,15,13,35,116,1
2020-08-03,4571,783,1312,3244,15,12,34,119,1
2020-08-04,4726,794,1346,3364,16,11,33,122,1
2020-08-05,4882,805,1379,3487,16,10,32,125,1
2020-08-06,5040,814,1411,3612,17,8,31,128,1
2020-08-07,5201,822,1442,3741,18,7,30,130,1
2020-08-08,5362,828,1471,3873,18,6,29,133,1
2020-08-09,5525,834,1499,4007,19,4,27,136,1
2020-08-10,5689,838,1526,4143,20,3,25,138,1
2020-08-11,5853,840,1551,4282,20,2,24,140,1
2020-08-12,6018,841,1574,4423,21,0,22,142,1
2020-08-13,6183,841,1595,4566,22,0,20,144,1
2020-08-14,6347,839,1614,4711,22,0,18,146,1
2020-08-15,6512,836,1631,4858,23,0,16,148,1
2020-08-16,6676,831,1646,5006,24,0,13,149,1
2020-08-17,6838,826,1658,5156,24,0,11,150,1
2020-08-18,7000,818,1669,5306,25,0,9,151,1
2020-08-19,7160,810,1677,5457,26,0,6,152,1
2020-08-20,7318,800,1682,5609,27,0,4,152,1
2020-08-21,7473,790,1685,5761,27,0,2,152,1
2020-08-22,7628,778,1686,5914,28,0,0,153,1
2020-08-23,7779,765,1684,6066,29,0,0,152,1
2020-08-24,7928,752,1680,6219,29,0,0,152,1
2020-08-25,8075,737,1674,6371,30,0,0,151,1
2020-08-26,8219,722,1666,6522,31,0,0,151,1
2020-08-27,8359,706,1655,6672,32,0,0,150,1
2020-08-28,8496,690,1642,6822,32,0,0,149,1
2020-08-29,8631,673,1628,6970,33,0,0,147,1
2020-08-30,8761,656,1611,7116,34,0,0,146,1
2020-08-31,8888,638,1592,7262,34,0,0,144,1
2020-09-01,9012,620,1572,7405,35,0,0,142,1
2020-09-02,9132,602,1550,7546,36,0,0,140,1
2020-09-03,9249,584,1527,7686,36,0,0,138,1
2020-09-04,9362,566,1502,7823,37,0,0,136,1
2020-09-05,9472,548,1476,7958,38,0,0,134,1
2020-09-06,9578,530,1449,8091,38,0,0,131,1
2020-09-07,9680,512,1420,8221,39,0,0,129,1
2020-09-08,9779,494,1391,8349,39,0,0,126,1
2020-09-09,9874,476,1361,8473,40,0,0,123,1
2020-09-10,9968,459,1331,8596,41,0,0,120,1
2020-09-11,10056,442,1300,8715,41,0,0,118,1
2020-09-12,10141,425,1268,8831,42,0,0,115,1
2020-09-13,10223,409,1236,8945,42,0,0,112,1
2020-09-14,10303,393,1204,9056,43,0,0,109,1
2020-09-15,10378,377,1171,9164,43,0,0,106,1
2020-09-16,10452,362,1139,9269,44,0,0,103,0
2020-09-17,10520,348,1106,9370,44,0,0,100,0
2020-09-18,10588,333,1074,9469,45,0,0,97,0
2020-09-19,10653,319,1042,9566,45,0,0,94,0
2020-09-20,10715,306,1010,9659,46,0,0,91,0
2020-09-21,10773,293,978,9749,46,0,0,88,0
2020-09-22,10830,280,947,9836,47,0,0,86,0
2020-09-23,10884,268,916,9921,47,0,0,83,0
2020-09-24,10935,257,885,10003,47,0,0,80,0
2020-09-25,10985,245,855,10082,48,0,0,77,0
2020-09-26,11032,235,826,10158,48,0,0,75,0
2020-09-27,11077,224,797,10232,48,0,0,72,0
2020-09-28,11121,214,769,10303,49,0,0,70,0
2020-09-29,11162,205,741,10372,49,0,0,67,0
2020-09-30,11201,195,714,10438,49,0,0,65,0
2020-10-01,11240,187,688,10502,50,0,0,62,0
2020-10-02,11275,178,662,10563,50,0,0,60,0
2020-10-03,11309,170,637,10622,50,0,0,58,0
2020-10-04,11343,162,613,10679,51,0,0,55,0
2020-10-05,11374,155,589,10734,51,0,0,53,0
2020-10-06,11403,148,566,10786,51,0,0,51,0
2020-10-07,11432,141,544,10837,51,0,0,49,0
2020-10-08,11458,134,522,10885,51,0,0,47,0
2020-10-09,11485,128,501,10932,52,0,0,45,0
2020-10-10,11509,122,481,10976,52,0,0,44,0
2020-10-11,11533,117,462,11019,52,0,0,42,0
2020-10-12,11555,111,443,11060,52,0,0,40,0
2020-10-13,11578,106,425,11100,53,0,0,38,0
2020-10-14,11598,101,407,11138,53,0,0,37,0
2020-10-15,11617,96,390,11174,53,0,0,35,0
2020-10-16,11636,92,374,11209,53,0,0,34,0
2020-10-17,11653,87,358,11242,53,0,0,32,0
2020-10-18,11670,83,343,11274,53,0,0,31,0
2020-10-19,11685,79,328,11304,53,0,0,30,0
2020-10-20,11701,76,314,11333,54,0,0,28,0
