Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-12,12553,1585,2658,9831,64,0,69,240,2
2020-07-13,12862,1572,2724,10073,65,0,61,246,2
2020-07-14,13170,1567,2782,10321,67,0,54,251,2
2020-07-15,13478,1568,2834,10575,69,4,50,256,2
2020-07-16,13785,1573,2883,10832,70,8,46,260,2
2020-07-17,14094,1582,2928,11094,72,10,44,264,2
2020-07-18,14405,1593,2971,11360,74,12,42,268,2
2020-07-19,14719,1605,3013,11630,76,13,41,272,2
2020-07-20,15033,1619,3053,11903,77,14,40,276,2
2020-07-21,15353,1634,3093,12181,79,15,39,279,2
2020-07-22,15674,1649,3132,12461,81,16,39,283,2
2020-07-23,15998,1665,3170,12745,83,16,38,286,2
2020-07-24,16327,1681,3209,13033,85,16,38,290,2
2020-07-25,16657,1697,3246,13324,87,16,38,293,2
2020-07-26,16992,1713,3284,13619,89,16,37,297,2
2020-07-27,17327,1729,3321,13916,90,16,37,300,2
2020-07-28,17668,1745,3358,14218,92,16,37,303,2
2020-07-29,18011,1761,3395,14522,94,16,37,307,2
2020-07-30,18357,1777,3431,14830,96,16,36,310,2
2020-07-31,18707,1792,3468,15141,98,16,36,313,2
2020-08-01,19060,1808,3504,15456,100,15,36,316,2
2020-08-02,19415,1823,3539,15773,103,15,36,320,2
2020-08-03,19774,1838,3575,16094,105,15,35,323,2
2020-08-04,20135,1853,3610,16418,107,15,35,326,2
2020-08-05,20500,1868,3645,16746,109,15,35,329,2
2020-08-06,20867,1882,3680,17076,111,14,35,332,2
2020-08-07,21238,1897,3715,17410,113,14,34,336,2
2020-08-08,21610,1911,3749,17746,115,14,34,339,2
2020-08-09,21986,1924,3782,18086,118,14,33,342,2
2020-08-10,22365,1938,3816,18429,120,13,33,345,2
2020-08-11,22746,1951,3849,18775,122,13,33,348,2
2020-08-12,23128,1964,3881,19123,124,13,32,351,2
2020-08-13,23515,1976,3913,19475,127,12,32,353,2
2020-08-14,23903,1988,3945,19829,129,12,31,356,2
2020-08-15,24294,2000,3976,20187,131,12,31,359,2
2020-08-16,24687,2012,4006,20547,134,11,30,362,2
2020-08-17,25082,2023,4036,20910,136,11,30,365,2
2020-08-18,25479,2034,4066,21275,138,11,29,367,2
2020-08-19,25879,2044,4095,21643,141,10,29,370,2
2020-08-20,26280,2054,4123,22014,143,10,28,372,2
2020-08-21,26685,2064,4151,22388,146,9,27,375,2
2020-08-22,27089,2073,4178,22763,148,9,27,377,2
2020-08-23,27496,2082,4204,23142,150,9,26,380,2
2020-08-24,27905,2090,4230,23522,153,8,25,382,2
2020-08-25,28315,2098,4255,23905,155,8,25,384,2
2020-08-26,28727,2106,4279,24290,158,7,24,387,3
2020-08-27,29141,2113,4303,24678,160,7,23,389,3
