Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-18,2084,422,582,1498,4,0,30,53,0
2020-06-19,2165,401,609,1552,4,0,23,55,0
2020-06-20,2243,386,631,1608,4,0,18,57,0
2020-06-21,2318,376,648,1666,4,0,15,59,0
2020-06-22,2390,369,661,1725,4,0,12,60,0
2020-06-23,2463,364,673,1786,4,0,10,61,0
2020-06-24,2533,360,682,1847,4,0,9,62,0
2020-06-25,2604,358,690,1909,5,0,7,63,0
2020-06-26,2675,357,698,1972,5,0,7,63,0
2020-06-27,2744,356,704,2035,5,0,6,64,0
2020-06-28,2814,356,710,2099,5,0,5,64,0
2020-06-29,2884,356,715,2164,5,0,5,65,0
2020-06-30,2953,356,719,2229,5,0,4,65,0
2020-07-01,3024,356,724,2294,6,0,4,66,0
2020-07-02,3094,357,728,2360,6,0,4,66,0
2020-07-03,3163,357,731,2426,6,0,4,66,0
2020-07-04,3234,358,735,2493,6,0,3,67,0
2020-07-05,3303,358,738,2559,6,0,3,67,0
2020-07-06,3373,358,741,2626,6,0,3,67,0
2020-07-07,3445,358,744,2694,7,0,3,67,0
2020-07-08,3514,359,746,2761,7,0,2,68,0
2020-07-09,3585,359,749,2829,7,0,2,68,0
2020-07-10,3655,359,751,2897,7,0,2,68,0
2020-07-11,3725,358,753,2965,7,0,2,68,0
2020-07-12,3796,358,755,3034,7,0,2,68,0
2020-07-13,3866,358,756,3102,8,0,1,69,0
2020-07-14,3937,358,758,3171,8,0,1,69,0
2020-07-15,4006,357,759,3239,8,0,1,69,0
2020-07-16,4076,356,760,3308,8,0,1,69,0
2020-07-17,4145,356,760,3377,8,0,1,69,0
2020-07-18,4215,355,761,3446,8,0,0,69,0
2020-07-19,4285,354,761,3515,9,0,0,69,0
2020-07-20,4355,353,762,3584,9,0,0,69,0
2020-07-21,4423,352,761,3653,9,0,0,69,0
2020-07-22,4492,351,761,3722,9,0,0,69,0
2020-07-23,4561,350,761,3791,9,0,0,69,0
2020-07-24,4629,348,760,3860,9,0,0,69,0
2020-07-25,4698,347,759,3929,10,0,0,69,0
2020-07-26,4766,346,758,3998,10,0,0,69,0
2020-07-27,4834,344,757,4067,10,0,0,69,0
2020-07-28,4901,342,756,4135,10,0,0,69,0
2020-07-29,4968,341,754,4204,10,0,0,68,0
2020-07-30,5034,339,752,4272,10,0,0,68,0
2020-07-31,5101,337,750,4340,11,0,0,68,0
2020-08-01,5167,335,748,4408,11,0,0,68,0
2020-08-02,5232,333,745,4476,11,0,0,68,0
2020-08-03,5298,331,743,4544,11,0,0,67,0
2020-08-04,5362,329,740,4611,11,0,0,67,0
2020-08-05,5426,326,737,4678,11,0,0,67,0
2020-08-06,5490,324,734,4745,11,0,0,67,0
2020-08-07,5554,322,731,4811,12,0,0,66,0
2020-08-08,5616,319,727,4877,12,0,0,66,0
2020-08-09,5679,317,724,4943,12,0,0,66,0
2020-08-10,5741,314,720,5009,12,0,0,65,0
2020-08-11,5802,312,716,5074,12,0,0,65,0
2020-08-12,5863,309,712,5139,12,0,0,65,0
2020-08-13,5924,306,708,5203,13,0,0,64,0
2020-08-14,5984,304,704,5267,13,0,0,64,0
2020-08-15,6043,301,699,5331,13,0,0,63,0
2020-08-16,6101,298,694,5394,13,0,0,63,0
2020-08-17,6160,295,690,5457,13,0,0,63,0
2020-08-18,6217,292,685,5519,13,0,0,62,0
2020-08-19,6275,289,680,5581,14,0,0,62,0
2020-08-20,6332,286,675,5643,14,0,0,61,0
2020-08-21,6387,283,669,5704,14,0,0,61,0
2020-08-22,6442,280,664,5764,14,0,0,60,0
2020-08-23,6497,277,659,5824,14,0,0,60,0
2020-08-24,6551,274,653,5884,14,0,0,59,0
2020-08-25,6605,271,648,5943,14,0,0,59,0
2020-08-26,6658,268,642,6001,15,0,0,58,0
2020-08-27,6710,265,636,6059,15,0,0,58,0
2020-08-28,6762,262,630,6117,15,0,0,57,0
2020-08-29,6813,259,624,6174,15,0,0,57,0
2020-08-30,6863,256,618,6230,15,0,0,56,0
2020-08-31,6913,252,612,6286,15,0,0,56,0
2020-09-01,6962,249,606,6341,15,0,0,55,0
2020-09-02,7011,246,600,6396,15,0,0,54,0
2020-09-03,7059,243,593,6450,16,0,0,54,0
2020-09-04,7107,240,587,6504,16,0,0,53,0
2020-09-05,7154,237,581,6557,16,0,0,53,0
2020-09-06,7199,233,574,6609,16,0,0,52,0
2020-09-07,7245,230,568,6661,16,0,0,51,0
2020-09-08,7289,227,561,6712,16,0,0,51,0
2020-09-09,7334,224,555,6763,16,0,0,50,0
2020-09-10,7377,221,548,6813,16,0,0,50,0
2020-09-11,7422,218,542,6863,17,0,0,49,0
2020-09-12,7464,215,535,6912,17,0,0,49,0
2020-09-13,7506,212,529,6960,17,0,0,48,0
2020-09-14,7547,208,522,7008,17,0,0,47,0
2020-09-15,7588,205,516,7055,17,0,0,47,0
2020-09-16,7627,202,509,7101,17,0,0,46,0
2020-09-17,7666,199,502,7147,17,0,0,46,0
2020-09-18,7705,196,496,7192,17,0,0,45,0
2020-09-19,7744,193,489,7237,18,0,0,44,0
2020-09-20,7782,190,483,7281,18,0,0,44,0
2020-09-21,7819,187,476,7325,18,0,0,43,0
2020-09-22,7856,184,470,7368,18,0,0,43,0
2020-09-23,7891,182,463,7410,18,0,0,42,0
2020-09-24,7927,179,457,7452,18,0,0,41,0
2020-09-25,7961,176,450,7493,18,0,0,41,0
2020-09-26,7996,173,444,7534,18,0,0,40,0
2020-09-27,8029,170,437,7574,18,0,0,40,0
2020-09-28,8062,167,431,7613,18,0,0,39,0
2020-09-29,8095,165,424,7652,19,0,0,38,0
2020-09-30,8127,162,418,7690,19,0,0,38,0
2020-10-01,8159,159,412,7728,19,0,0,37,0
2020-10-02,8190,156,406,7765,19,0,0,37,0
2020-10-03,8220,154,399,7802,19,0,0,36,0
2020-10-04,8250,151,393,7838,19,0,0,36,0
2020-10-05,8279,149,387,7873,19,0,0,35,0
2020-10-06,8308,146,381,7908,19,0,0,35,0
2020-10-07,8337,144,375,7943,19,0,0,34,0
2020-10-08,8364,141,369,7976,19,0,0,33,0
2020-10-09,8392,139,363,8010,19,0,0,33,0
2020-10-10,8418,136,357,8042,19,0,0,32,0
2020-10-11,8447,134,352,8075,20,0,0,32,0
2020-10-12,8472,131,346,8106,20,0,0,31,0
2020-10-13,8498,129,340,8138,20,0,0,31,0
2020-10-14,8523,127,335,8168,20,0,0,30,0
2020-10-15,8547,124,329,8198,20,0,0,30,0
2020-10-16,8572,122,324,8228,20,0,0,29,0
2020-10-17,8595,120,318,8257,20,0,0,29,0
2020-10-18,8619,118,313,8286,20,0,0,28,0
2020-10-19,8641,116,307,8314,20,0,0,28,0
2020-10-20,8664,113,302,8342,20,0,0,27,0
2020-10-21,8686,111,297,8369,20,0,0,27,0
2020-10-22,8708,109,292,8396,20,0,0,26,0
2020-10-23,8729,107,287,8422,20,0,0,26,0
2020-10-24,8750,105,282,8448,20,0,0,26,0
2020-10-25,8770,103,277,8473,20,0,0,25,0
2020-10-26,8791,101,272,8498,21,0,0,25,0
2020-10-27,8811,99,267,8523,21,0,0,24,0
2020-10-28,8830,98,262,8547,21,0,0,24,0
2020-10-29,8849,96,258,8570,21,0,0,23,0
2020-10-30,8867,94,253,8593,21,0,0,23,0
2020-10-31,8885,92,248,8616,21,0,0,23,0
2020-11-01,8904,90,244,8639,21,0,0,22,0
2020-11-02,8921,89,239,8661,21,0,0,22,0
2020-11-03,8938,87,235,8682,21,0,0,21,0
2020-11-04,8955,85,231,8703,21,0,0,21,0
2020-11-05,8971,83,226,8724,21,0,0,21,0
2020-11-06,8988,82,222,8745,21,0,0,20,0
2020-11-07,9004,80,218,8765,21,0,0,20,0
2020-11-08,9019,79,214,8784,21,0,0,19,0
2020-11-09,9034,77,210,8803,21,0,0,19,0
2020-11-10,9049,76,206,8822,21,0,0,19,0
2020-11-11,9064,74,202,8841,21,0,0,18,0
2020-11-12,9078,73,198,8859,21,0,0,18,0
2020-11-13,9093,71,195,8877,21,0,0,18,0
2020-11-14,9108,70,191,8895,22,0,0,17,0
2020-11-15,9121,68,187,8912,22,0,0,17,0
2020-11-16,9135,67,184,8929,22,0,0,17,0
2020-11-17,9147,66,180,8945,22,0,0,16,0
2020-11-18,9160,64,177,8961,22,0,0,16,0
2020-11-19,9172,63,173,8977,22,0,0,16,0
2020-11-20,9185,62,170,8993,22,0,0,15,0
2020-11-21,9197,61,167,9008,22,0,0,15,0
2020-11-22,9208,59,163,9023,22,0,0,15,0
2020-11-23,9220,58,160,9038,22,0,0,15,0
2020-11-24,9231,57,157,9052,22,0,0,14,0
2020-11-25,9242,56,154,9066,22,0,0,14,0
2020-11-26,9253,55,151,9080,22,0,0,14,0
2020-11-27,9264,54,148,9094,22,0,0,13,0
2020-11-28,9274,53,145,9107,22,0,0,13,0
2020-11-29,9284,51,142,9120,22,0,0,13,0
2020-11-30,9294,50,139,9133,22,0,0,13,0
2020-12-01,9305,49,137,9146,22,0,0,12,0
2020-12-02,9314,48,134,9158,22,0,0,12,0
2020-12-03,9323,47,131,9170,22,0,0,12,0
2020-12-04,9333,46,129,9182,22,0,0,12,0
2020-12-05,9341,45,126,9193,22,0,0,11,0
2020-12-06,9350,44,123,9205,22,0,0,11,0
2020-12-07,9359,44,121,9216,22,0,0,11,0
2020-12-08,9368,43,119,9227,22,0,0,11,0
2020-12-09,9375,42,116,9237,22,0,0,11,0
2020-12-10,9384,41,114,9248,22,0,0,10,0
2020-12-11,9391,40,111,9258,22,0,0,10,0
2020-12-12,9399,39,109,9268,22,0,0,10,0
2020-12-13,9407,38,107,9278,22,0,0,10,0
2020-12-14,9415,38,105,9288,22,0,0,10,0
2020-12-15,9422,37,103,9297,22,0,0,9,0
2020-12-16,9430,36,101,9306,23,0,0,9,0
2020-12-17,9437,35,99,9315,23,0,0,9,0
2020-12-18,9444,35,97,9324,23,0,0,9,0
2020-12-19,9451,34,95,9333,23,0,0,9,0
2020-12-20,9457,33,93,9341,23,0,0,8,0
2020-12-21,9464,32,91,9350,23,0,0,8,0
2020-12-22,9470,32,89,9358,23,0,0,8,0
2020-12-23,9476,31,87,9366,23,0,0,8,0
2020-12-24,9482,30,85,9374,23,0,0,8,0
2020-12-25,9487,30,83,9381,23,0,0,8,0
2020-12-26,9494,29,82,9389,23,0,0,7,0
2020-12-27,9499,29,80,9396,23,0,0,7,0
2020-12-28,9504,28,78,9403,23,0,0,7,0
2020-12-29,9510,27,77,9410,23,0,0,7,0
2020-12-30,9515,27,75,9417,23,0,0,7,0
2020-12-31,9521,26,74,9424,23,0,0,7,0
2021-01-01,9526,26,72,9431,23,0,0,7,0
2021-01-02,9531,25,71,9437,23,0,0,6,0
2021-01-03,9535,25,69,9443,23,0,0,6,0
2021-01-04,9541,24,68,9450,23,0,0,6,0
2021-01-05,9545,24,66,9456,23,0,0,6,0
2021-01-06,9550,23,65,9462,23,0,0,6,0
2021-01-07,9554,23,63,9468,23,0,0,6,0
2021-01-08,9558,22,62,9473,23,0,0,6,0
2021-01-09,9563,22,61,9479,23,0,0,6,0
2021-01-10,9567,21,60,9484,23,0,0,5,0
2021-01-11,9571,21,58,9490,23,0,0,5,0
2021-01-12,9575,20,57,9495,23,0,0,5,0
2021-01-13,9579,20,56,9500,23,0,0,5,0
2021-01-14,9583,19,55,9505,23,0,0,5,0
2021-01-15,9586,19,53,9510,23,0,0,5,0
2021-01-16,9590,19,52,9515,23,0,0,5,0
2021-01-17,9594,18,51,9520,23,0,0,5,0
2021-01-18,9597,18,50,9524,23,0,0,5,0
2021-01-19,9601,17,49,9529,23,0,0,4,0
2021-01-20,9604,17,48,9533,23,0,0,4,0
2021-01-21,9607,17,47,9537,23,0,0,4,0
2021-01-22,9611,16,46,9542,23,0,0,4,0
2021-01-23,9614,16,45,9546,23,0,0,4,0
2021-01-24,9617,16,44,9550,23,0,0,4,0
2021-01-25,9620,15,43,9554,23,0,0,4,0
2021-01-26,9623,15,42,9558,23,0,0,4,0
