Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-15,3602,695,713,2874,15,0,71,64,0
2020-07-16,3732,620,776,2941,15,0,51,70,0
2020-07-17,3850,563,821,3013,16,0,36,74,0
2020-07-18,3956,519,852,3088,16,0,24,77,0
2020-07-19,4055,484,873,3166,16,0,16,79,0
2020-07-20,4149,457,886,3246,17,0,9,80,0
2020-07-21,4236,435,893,3326,17,0,4,81,0
2020-07-22,4321,418,896,3407,18,0,1,81,0
2020-07-23,4401,404,895,3488,18,0,0,81,0
2020-07-24,4479,392,892,3569,18,0,0,81,0
2020-07-25,4555,382,887,3649,19,0,0,80,0
2020-07-26,4629,373,881,3729,19,0,0,80,0
2020-07-27,4703,365,874,3809,20,0,0,79,0
2020-07-28,4774,358,866,3888,20,0,0,78,0
2020-07-29,4843,352,857,3966,20,0,0,78,0
2020-07-30,4912,346,848,4043,21,0,0,77,0
2020-07-31,4979,340,839,4119,21,0,0,76,0
2020-08-01,5046,335,829,4195,22,0,0,75,0
2020-08-02,5110,329,819,4269,22,0,0,74,0
2020-08-03,5174,324,809,4343,22,0,0,73,0
2020-08-04,5238,320,799,4416,23,0,0,72,0
2020-08-05,5300,315,789,4488,23,0,0,71,0
2020-08-06,5362,310,779,4559,24,0,0,70,0
2020-08-07,5422,305,769,4629,24,0,0,70,0
2020-08-08,5481,301,759,4698,24,0,0,69,0
2020-08-09,5541,296,749,4767,25,0,0,68,0
2020-08-10,5598,292,739,4834,25,0,0,67,0
2020-08-11,5655,288,729,4901,25,0,0,66,0
2020-08-12,5711,283,719,4966,26,0,0,65,0
2020-08-13,5767,279,710,5031,26,0,0,64,0
2020-08-14,5821,275,700,5095,26,0,0,63,0
2020-08-15,5875,271,690,5158,27,0,0,62,0
2020-08-16,5927,267,680,5220,27,0,0,62,0
2020-08-17,5979,262,671,5281,27,0,0,61,0
2020-08-18,6030,258,661,5341,28,0,0,60,0
2020-08-19,6081,254,652,5401,28,0,0,59,0
2020-08-20,6131,251,643,5460,28,0,0,58,0
2020-08-21,6178,247,633,5517,28,0,0,57,0
2020-08-22,6227,243,624,5574,29,0,0,56,0
2020-08-23,6274,239,615,5630,29,0,0,56,0
2020-08-24,6321,235,606,5686,29,0,0,55,0
2020-08-25,6367,231,597,5740,30,0,0,54,0
2020-08-26,6412,228,588,5794,30,0,0,53,0
2020-08-27,6456,224,579,5847,30,0,0,52,0
2020-08-28,6500,220,571,5899,30,0,0,52,0
2020-08-29,6543,217,562,5950,31,0,0,51,0
2020-08-30,6586,213,554,6001,31,0,0,50,0
2020-08-31,6627,210,545,6051,31,0,0,49,0
2020-09-01,6668,206,537,6100,31,0,0,49,0
2020-09-02,6708,203,528,6148,32,0,0,48,0
2020-09-03,6747,200,520,6195,32,0,0,47,0
2020-09-04,6786,196,512,6242,32,0,0,46,0
2020-09-05,6824,193,504,6288,32,0,0,46,0
2020-09-06,6863,190,496,6334,33,0,0,45,0
2020-09-07,6899,187,488,6378,33,0,0,44,0
2020-09-08,6936,184,481,6422,33,0,0,43,0
2020-09-09,6971,181,473,6465,33,0,0,43,0
2020-09-10,7007,178,465,6508,34,0,0,42,0
2020-09-11,7042,175,458,6550,34,0,0,41,0
2020-09-12,7076,172,451,6591,34,0,0,41,0
2020-09-13,7108,169,443,6631,34,0,0,40,0
2020-09-14,7141,166,436,6671,34,0,0,39,0
2020-09-15,7174,163,429,6710,35,0,0,39,0
2020-09-16,7206,160,422,6749,35,0,0,38,0
2020-09-17,7237,157,415,6787,35,0,0,38,0
2020-09-18,7267,155,408,6824,35,0,0,37,0
2020-09-19,7298,152,402,6861,35,0,0,36,0
2020-09-20,7328,149,395,6897,36,0,0,36,0
2020-09-21,7357,147,388,6933,36,0,0,35,0
2020-09-22,7385,144,382,6967,36,0,0,35,0
2020-09-23,7413,142,375,7002,36,0,0,34,0
2020-09-24,7441,139,369,7036,36,0,0,33,0
2020-09-25,7468,137,363,7069,36,0,0,33,0
2020-09-26,7495,134,357,7101,37,0,0,32,0
