Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-23,274,42,72,200,2,0,2,6,0
2020-06-24,282,40,73,207,2,0,1,7,0
2020-06-25,290,39,75,213,2,0,1,7,0
2020-06-26,297,38,75,220,2,0,1,7,0
2020-06-27,305,37,76,227,2,0,0,7,0
2020-06-28,312,36,76,234,2,0,0,7,0
2020-06-29,318,36,76,240,2,0,0,7,0
2020-06-30,325,35,76,247,2,0,0,7,0
2020-07-01,332,35,76,254,2,0,0,7,0
2020-07-02,340,34,76,261,3,0,0,7,0
2020-07-03,347,34,76,268,3,0,0,7,0
2020-07-04,354,34,76,275,3,0,0,7,0
2020-07-05,359,34,75,281,3,0,0,7,0
2020-07-06,366,34,75,288,3,0,0,7,0
2020-07-07,373,33,75,295,3,0,0,7,0
2020-07-08,380,33,75,302,3,0,0,7,0
2020-07-09,385,33,74,308,3,0,0,7,0
2020-07-10,392,33,74,315,3,0,0,7,0
2020-07-11,399,33,74,322,3,0,0,7,0
2020-07-12,404,33,73,328,3,0,0,7,0
2020-07-13,411,32,73,335,3,0,0,7,0
2020-07-14,417,32,73,341,3,0,0,7,0
2020-07-15,424,32,73,348,3,0,0,7,0
2020-07-16,429,32,72,354,3,0,0,6,0
2020-07-17,437,32,72,361,4,0,0,6,0
2020-07-18,443,32,72,367,4,0,0,6,0
2020-07-19,449,32,71,374,4,0,0,6,0
2020-07-20,455,31,71,380,4,0,0,6,0
2020-07-21,462,31,71,387,4,0,0,6,0
2020-07-22,467,31,70,393,4,0,0,6,0
2020-07-23,473,31,70,399,4,0,0,6,0
2020-07-24,480,31,70,406,4,0,0,6,0
2020-07-25,485,31,69,412,4,0,0,6,0
2020-07-26,491,30,69,418,4,0,0,6,0
2020-07-27,497,30,69,424,4,0,0,6,0
2020-07-28,504,30,69,431,4,0,0,6,0
2020-07-29,509,30,68,437,4,0,0,6,0
2020-07-30,515,30,68,443,4,0,0,6,0
2020-07-31,521,30,68,449,4,0,0,6,0
2020-08-01,526,30,67,455,4,0,0,6,0
2020-08-02,533,29,67,461,5,0,0,6,0
2020-08-03,539,29,67,467,5,0,0,6,0
2020-08-04,544,29,66,473,5,0,0,6,0
2020-08-05,550,29,66,479,5,0,0,6,0
2020-08-06,556,29,66,485,5,0,0,6,0
2020-08-07,561,29,65,491,5,0,0,6,0
2020-08-08,567,29,65,497,5,0,0,6,0
2020-08-09,573,28,65,503,5,0,0,6,0
2020-08-10,578,28,65,508,5,0,0,6,0
2020-08-11,583,28,64,514,5,0,0,6,0
2020-08-12,589,28,64,520,5,0,0,6,0
2020-08-13,595,28,64,526,5,0,0,6,0
2020-08-14,599,28,63,531,5,0,0,6,0
2020-08-15,605,28,63,537,5,0,0,6,0
2020-08-16,611,27,63,543,5,0,0,6,0
2020-08-17,615,27,62,548,5,0,0,6,0
2020-08-18,621,27,62,554,5,0,0,6,0
2020-08-19,628,27,62,560,6,0,0,6,0
2020-08-20,632,27,61,565,6,0,0,6,0
2020-08-21,638,27,61,571,6,0,0,6,0
2020-08-22,643,27,61,576,6,0,0,5,0
2020-08-23,648,26,60,582,6,0,0,5,0
2020-08-24,653,26,60,587,6,0,0,5,0
2020-08-25,658,26,60,592,6,0,0,5,0
2020-08-26,664,26,60,598,6,0,0,5,0
2020-08-27,668,26,59,603,6,0,0,5,0
2020-08-28,674,26,59,609,6,0,0,5,0
2020-08-29,679,26,59,614,6,0,0,5,0
2020-08-30,683,25,58,619,6,0,0,5,0
2020-08-31,688,25,58,624,6,0,0,5,0
2020-09-01,694,25,58,630,6,0,0,5,0
2020-09-02,698,25,57,635,6,0,0,5,0
2020-09-03,703,25,57,640,6,0,0,5,0
2020-09-04,708,25,57,645,6,0,0,5,0
2020-09-05,712,25,56,650,6,0,0,5,0
2020-09-06,717,25,56,655,6,0,0,5,0
2020-09-07,722,24,56,660,6,0,0,5,0
2020-09-08,728,24,56,665,7,0,0,5,0
2020-09-09,732,24,55,670,7,0,0,5,0
2020-09-10,737,24,55,675,7,0,0,5,0
2020-09-11,742,24,55,680,7,0,0,5,0
2020-09-12,746,24,54,685,7,0,0,5,0
2020-09-13,751,24,54,690,7,0,0,5,0
2020-09-14,756,23,54,695,7,0,0,5,0
2020-09-15,760,23,53,700,7,0,0,5,0
2020-09-16,764,23,53,704,7,0,0,5,0
2020-09-17,769,23,53,709,7,0,0,5,0
2020-09-18,774,23,53,714,7,0,0,5,0
2020-09-19,778,23,52,719,7,0,0,5,0
2020-09-20,782,23,52,723,7,0,0,5,0
2020-09-21,787,22,52,728,7,0,0,5,0
2020-09-22,791,22,51,733,7,0,0,5,0
2020-09-23,795,22,51,737,7,0,0,5,0
2020-09-24,800,22,51,742,7,0,0,5,0
2020-09-25,804,22,51,746,7,0,0,5,0
2020-09-26,808,22,50,751,7,0,0,5,0
2020-09-27,813,22,50,756,7,0,0,4,0
2020-09-28,817,22,50,760,7,0,0,4,0
2020-09-29,821,21,49,764,8,0,0,4,0
2020-09-30,826,21,49,769,8,0,0,4,0
2020-10-01,830,21,49,773,8,0,0,4,0
2020-10-02,835,21,49,778,8,0,0,4,0
2020-10-03,838,21,48,782,8,0,0,4,0
2020-10-04,842,21,48,786,8,0,0,4,0
2020-10-05,847,21,48,791,8,0,0,4,0
2020-10-06,850,21,47,795,8,0,0,4,0
2020-10-07,854,20,47,799,8,0,0,4,0
2020-10-08,858,20,47,803,8,0,0,4,0
2020-10-09,863,20,47,808,8,0,0,4,0
2020-10-10,866,20,46,812,8,0,0,4,0
2020-10-11,870,20,46,816,8,0,0,4,0
2020-10-12,874,20,46,820,8,0,0,4,0
2020-10-13,877,20,45,824,8,0,0,4,0
2020-10-14,881,20,45,828,8,0,0,4,0
2020-10-15,885,19,45,832,8,0,0,4,0
2020-10-16,889,19,45,836,8,0,0,4,0
2020-10-17,892,19,44,840,8,0,0,4,0
2020-10-18,896,19,44,844,8,0,0,4,0
2020-10-19,900,19,44,848,8,0,0,4,0
2020-10-20,904,19,44,852,8,0,0,4,0
2020-10-21,907,19,43,856,8,0,0,4,0
2020-10-22,911,19,43,860,8,0,0,4,0
2020-10-23,915,18,43,864,8,0,0,4,0
2020-10-24,919,18,42,868,9,0,0,4,0
2020-10-25,923,18,42,872,9,0,0,4,0
2020-10-26,926,18,42,875,9,0,0,4,0
2020-10-27,930,18,42,879,9,0,0,4,0
2020-10-28,933,18,41,883,9,0,0,4,0
2020-10-29,937,18,41,887,9,0,0,4,0
2020-10-30,940,18,41,890,9,0,0,4,0
2020-10-31,944,18,41,894,9,0,0,4,0
2020-11-01,947,17,40,898,9,0,0,4,0
2020-11-02,950,17,40,901,9,0,0,4,0
2020-11-03,954,17,40,905,9,0,0,4,0
2020-11-04,957,17,40,908,9,0,0,4,0
2020-11-05,960,17,39,912,9,0,0,4,0
2020-11-06,963,17,39,915,9,0,0,4,0
2020-11-07,967,17,39,919,9,0,0,3,0
2020-11-08,970,17,39,922,9,0,0,3,0
2020-11-09,973,17,38,926,9,0,0,3,0
2020-11-10,976,16,38,929,9,0,0,3,0
2020-11-11,980,16,38,933,9,0,0,3,0
2020-11-12,983,16,38,936,9,0,0,3,0
2020-11-13,986,16,37,940,9,0,0,3,0
2020-11-14,989,16,37,943,9,0,0,3,0
2020-11-15,992,16,37,946,9,0,0,3,0
2020-11-16,996,16,37,950,9,0,0,3,0
2020-11-17,998,16,36,953,9,0,0,3,0
2020-11-18,1001,16,36,956,9,0,0,3,0
2020-11-19,1004,15,36,959,9,0,0,3,0
2020-11-20,1008,15,36,963,9,0,0,3,0
2020-11-21,1011,15,35,966,10,0,0,3,0
2020-11-22,1014,15,35,969,10,0,0,3,0
2020-11-23,1017,15,35,972,10,0,0,3,0
2020-11-24,1020,15,35,975,10,0,0,3,0
2020-11-25,1022,15,34,978,10,0,0,3,0
2020-11-26,1025,15,34,981,10,0,0,3,0
2020-11-27,1029,15,34,985,10,0,0,3,0
2020-11-28,1032,15,34,988,10,0,0,3,0
2020-11-29,1035,14,34,991,10,0,0,3,0
2020-11-30,1037,14,33,994,10,0,0,3,0
2020-12-01,1040,14,33,997,10,0,0,3,0
2020-12-02,1043,14,33,1000,10,0,0,3,0
2020-12-03,1046,14,33,1003,10,0,0,3,0
2020-12-04,1048,14,32,1006,10,0,0,3,0
2020-12-05,1050,14,32,1008,10,0,0,3,0
2020-12-06,1053,14,32,1011,10,0,0,3,0
2020-12-07,1056,14,32,1014,10,0,0,3,0
2020-12-08,1059,14,32,1017,10,0,0,3,0
2020-12-09,1061,13,31,1020,10,0,0,3,0
2020-12-10,1064,13,31,1023,10,0,0,3,0
2020-12-11,1067,13,31,1026,10,0,0,3,0
2020-12-12,1069,13,31,1028,10,0,0,3,0
2020-12-13,1072,13,31,1031,10,0,0,3,0
2020-12-14,1074,13,30,1034,10,0,0,3,0
2020-12-15,1077,13,30,1037,10,0,0,3,0
2020-12-16,1079,13,30,1039,10,0,0,3,0
2020-12-17,1082,13,30,1042,10,0,0,3,0
2020-12-18,1084,13,29,1045,10,0,0,3,0
2020-12-19,1086,13,29,1047,10,0,0,3,0
2020-12-20,1089,12,29,1050,10,0,0,3,0
2020-12-21,1091,12,29,1052,10,0,0,3,0
2020-12-22,1094,12,29,1055,10,0,0,3,0
2020-12-23,1096,12,28,1058,10,0,0,3,0
2020-12-24,1098,12,28,1060,10,0,0,3,0
2020-12-25,1101,12,28,1063,10,0,0,3,0
2020-12-26,1103,12,28,1065,10,0,0,3,0
2020-12-27,1107,12,28,1068,11,0,0,2,0
2020-12-28,1108,12,27,1070,11,0,0,2,0
2020-12-29,1111,12,27,1073,11,0,0,2,0
2020-12-30,1113,12,27,1075,11,0,0,2,0
2020-12-31,1116,12,27,1078,11,0,0,2,0
2021-01-01,1118,11,27,1080,11,0,0,2,0
2021-01-02,1120,11,27,1082,11,0,0,2,0
2021-01-03,1122,11,26,1085,11,0,0,2,0
2021-01-04,1124,11,26,1087,11,0,0,2,0
