Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-08,231,144,51,179,1,0,24,5,0
2020-07-09,258,120,72,185,1,0,17,7,0
2020-07-10,280,101,87,192,1,0,12,8,0
2020-07-11,298,86,97,200,1,0,8,9,0
2020-07-12,314,74,104,209,1,0,5,9,0
2020-07-13,327,64,108,218,1,0,3,10,0
2020-07-14,339,56,110,228,1,0,1,10,0
2020-07-15,350,50,111,238,1,0,0,10,0
2020-07-16,359,45,110,248,1,0,0,10,0
2020-07-17,367,40,108,258,1,0,0,10,0
2020-07-18,375,37,106,268,1,0,0,10,0
2020-07-19,383,34,104,278,1,0,0,9,0
2020-07-20,389,31,101,287,1,0,0,9,0
2020-07-21,395,29,98,296,1,0,0,9,0
2020-07-22,401,27,95,305,1,0,0,9,0
2020-07-23,405,26,91,313,1,0,0,8,0
2020-07-24,410,24,88,321,1,0,0,8,0
2020-07-25,415,23,85,329,1,0,0,8,0
2020-07-26,421,22,82,337,2,0,0,7,0
2020-07-27,424,20,78,344,2,0,0,7,0
2020-07-28,428,19,75,351,2,0,0,7,0
2020-07-29,432,19,72,358,2,0,0,7,0
2020-07-30,435,18,69,364,2,0,0,6,0
2020-07-31,439,17,67,370,2,0,0,6,0
2020-08-01,442,16,64,376,2,0,0,6,0
2020-08-02,445,15,61,382,2,0,0,6,0
2020-08-03,448,15,59,387,2,0,0,5,0
2020-08-04,451,14,56,393,2,0,0,5,0
2020-08-05,454,13,54,398,2,0,0,5,0
2020-08-06,456,13,52,402,2,0,0,5,0
2020-08-07,459,12,50,407,2,0,0,4,0
2020-08-08,461,12,48,411,2,0,0,4,0
2020-08-09,464,11,46,416,2,0,0,4,0
2020-08-10,466,11,44,420,2,0,0,4,0
2020-08-11,468,10,42,424,2,0,0,4,0
2020-08-12,469,10,40,427,2,0,0,4,0
2020-08-13,471,9,38,431,2,0,0,3,0
2020-08-14,473,9,37,434,2,0,0,3,0
2020-08-15,475,9,35,438,2,0,0,3,0
2020-08-16,477,8,34,441,2,0,0,3,0
2020-08-17,478,8,32,444,2,0,0,3,0
2020-08-18,480,8,31,447,2,0,0,3,0
2020-08-19,481,7,30,449,2,0,0,3,0
2020-08-20,482,7,28,452,2,0,0,3,0
2020-08-21,484,7,27,455,2,0,0,2,0
2020-08-22,485,6,26,457,2,0,0,2,0
2020-08-23,486,6,25,459,2,0,0,2,0
2020-08-24,488,6,24,462,2,0,0,2,0
2020-08-25,489,6,23,464,2,0,0,2,0
2020-08-26,490,5,22,466,2,0,0,2,0
2020-08-27,491,5,21,468,2,0,0,2,0
2020-08-28,492,5,20,470,2,0,0,2,0
2020-08-29,492,5,19,471,2,0,0,2,0
2020-08-30,494,5,19,473,2,0,0,2,0
2020-08-31,495,4,18,475,2,0,0,2,0
2020-09-01,495,4,17,476,2,0,0,2,0
2020-09-02,496,4,16,478,2,0,0,1,0
2020-09-03,497,4,16,479,2,0,0,1,0
2020-09-04,498,4,15,481,2,0,0,1,0
2020-09-05,498,4,14,482,2,0,0,1,0
2020-09-06,499,3,14,483,2,0,0,1,0
2020-09-07,500,3,13,485,2,0,0,1,0
2020-09-08,501,3,13,486,2,0,0,1,0
2020-09-09,501,3,12,487,2,0,0,1,0
