Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-23,175,21,47,128,0,6,0,4,0
2020-06-24,180,26,47,132,1,5,1,4,0
2020-06-25,185,31,48,136,1,4,2,4,0
2020-06-26,192,35,50,141,1,4,2,5,0
2020-06-27,199,38,53,145,1,4,3,5,0
2020-06-28,207,42,56,150,1,3,3,5,0
2020-06-29,215,45,59,155,1,3,4,5,0
2020-06-30,225,49,63,161,1,4,4,6,0
2020-07-01,234,52,67,166,1,4,4,6,0
2020-07-02,245,56,71,173,1,4,5,6,0
2020-07-03,256,60,76,179,1,4,5,7,0
2020-07-04,268,64,81,186,1,4,5,7,0
2020-07-05,281,68,86,194,1,4,6,8,0
2020-07-06,295,73,92,202,1,5,6,8,0
2020-07-07,309,78,98,210,1,5,6,9,0
2020-07-08,324,83,104,219,1,5,7,9,0
2020-07-09,341,88,111,229,1,6,7,10,0
2020-07-10,359,94,119,239,1,6,8,11,0
2020-07-11,377,100,126,250,1,6,8,11,0
2020-07-12,398,107,135,262,1,7,9,12,0
2020-07-13,419,114,144,274,1,7,9,13,0
2020-07-14,442,121,153,288,1,8,10,14,0
2020-07-15,466,129,163,302,1,8,10,15,0
2020-07-16,492,138,174,317,1,9,11,16,0
2020-07-17,520,147,186,333,1,9,12,17,0
2020-07-18,550,156,198,351,1,10,13,18,0
2020-07-19,581,166,211,369,1,10,13,19,0
2020-07-20,614,176,224,388,2,11,14,20,0
2020-07-21,650,188,239,409,2,12,15,22,0
2020-07-22,687,199,254,431,2,12,16,23,0
2020-07-23,728,212,271,455,2,13,17,25,0
2020-07-24,770,225,288,480,2,14,18,26,0
2020-07-25,815,239,306,507,2,14,19,28,0
2020-07-26,863,254,326,535,2,15,20,29,0
2020-07-27,913,269,346,565,2,16,21,31,0
2020-07-28,967,285,368,597,2,17,22,33,0
2020-07-29,1024,302,391,631,2,18,24,35,0
2020-07-30,1086,320,415,668,3,18,25,38,0
2020-07-31,1150,339,441,706,3,19,26,40,0
2020-08-01,1218,359,468,747,3,20,28,42,0
2020-08-02,1289,379,496,790,3,21,29,45,0
2020-08-03,1365,401,526,836,3,22,31,48,0
2020-08-04,1445,423,557,885,3,23,32,50,0
2020-08-05,1530,447,590,936,4,24,34,53,0
2020-08-06,1620,471,625,991,4,25,36,57,0
2020-08-07,1714,497,661,1049,4,26,37,60,0
2020-08-08,1813,523,699,1110,4,27,39,63,0
2020-08-09,1919,550,739,1175,5,28,41,67,0
2020-08-10,2028,578,780,1243,5,29,42,71,0
2020-08-11,2143,607,823,1315,5,29,44,75,0
2020-08-12,2264,637,868,1391,5,30,46,79,0
2020-08-13,2391,667,914,1471,6,31,48,83,0
2020-08-14,2525,698,963,1556,6,31,49,87,0
2020-08-15,2663,730,1013,1644,6,32,51,92,0
2020-08-16,2809,762,1064,1738,7,32,53,96,0
2020-08-17,2961,794,1118,1836,7,33,54,101,0
2020-08-18,3119,827,1172,1939,8,33,56,106,0
2020-08-19,3283,860,1228,2047,8,33,57,111,0
2020-08-20,3454,893,1286,2160,8,33,58,116,0
2020-08-21,3632,926,1344,2279,9,33,59,122,0
2020-08-22,3815,958,1404,2402,9,32,60,127,0
2020-08-23,4007,991,1465,2532,10,32,61,133,1
2020-08-24,4202,1022,1526,2666,10,31,62,138,1
2020-08-25,4406,1053,1588,2807,11,30,62,144,1
2020-08-26,4614,1082,1650,2953,11,29,62,149,1
2020-08-27,4828,1111,1712,3104,12,28,62,155,1
2020-08-28,5048,1138,1774,3261,13,26,62,161,1
2020-08-29,5273,1164,1836,3424,13,25,61,166,1
2020-08-30,5503,1188,1897,3592,14,23,60,172,1
2020-08-31,5738,1209,1957,3766,15,21,59,177,1
2020-09-01,5977,1229,2016,3946,15,18,58,183,1
2020-09-02,6219,1247,2073,4130,16,16,56,188,1
2020-09-03,6465,1262,2128,4320,17,14,54,193,1
2020-09-04,6713,1275,2181,4514,18,11,52,198,1
2020-09-05,6963,1285,2232,4713,18,8,49,202,1
2020-09-06,7216,1292,2280,4917,19,6,46,206,1
2020-09-07,7470,1297,2325,5125,20,3,43,211,1
2020-09-08,7725,1299,2367,5337,21,0,40,214,1
2020-09-09,7980,1298,2405,5553,22,0,36,218,1
2020-09-10,8233,1295,2439,5772,22,0,32,221,1
2020-09-11,8487,1288,2470,5994,23,0,28,224,1
2020-09-12,8739,1279,2497,6218,24,0,24,226,1
2020-09-13,8989,1268,2519,6445,25,0,20,228,1
2020-09-14,9237,1254,2537,6674,26,0,15,230,1
2020-09-15,9481,1237,2550,6904,27,0,11,231,1
2020-09-16,9723,1219,2559,7136,28,0,6,232,1
2020-09-17,9960,1198,2564,7367,29,0,2,232,1
2020-09-18,10194,1175,2564,7600,30,0,0,232,1
2020-09-19,10422,1151,2560,7832,30,0,0,232,1
2020-09-20,10645,1125,2551,8063,31,0,0,231,1
2020-09-21,10864,1098,2538,8294,32,0,0,230,1
2020-09-22,11077,1069,2521,8523,33,0,0,228,1
2020-09-23,11285,1040,2500,8751,34,0,0,226,1
2020-09-24,11486,1009,2475,8976,35,0,0,224,1
2020-09-25,11683,979,2447,9200,36,0,0,222,1
2020-09-26,11872,947,2415,9420,37,0,0,219,1
2020-09-27,12055,916,2380,9638,37,0,0,216,1
2020-09-28,12232,884,2342,9852,38,0,0,212,1
2020-09-29,12404,852,2302,10063,39,0,0,208,1
2020-09-30,12568,820,2258,10270,40,0,0,205,1
2020-10-01,12727,789,2213,10473,41,0,0,200,1
2020-10-02,12878,758,2166,10671,41,0,0,196,1
2020-10-03,13025,727,2117,10866,42,0,0,192,1
2020-10-04,13166,697,2067,11056,43,0,0,187,1
2020-10-05,13300,668,2015,11241,44,0,0,182,1
2020-10-06,13428,639,1962,11422,44,0,0,178,1
2020-10-07,13552,611,1909,11598,45,0,0,173,1
2020-10-08,13670,583,1855,11769,46,0,0,168,1
2020-10-09,13782,557,1801,11935,46,0,0,163,1
2020-10-10,13889,531,1746,12096,47,0,0,158,1
2020-10-11,13993,507,1692,12253,48,0,0,153,1
2020-10-12,14089,483,1637,12404,48,0,0,148,1
2020-10-13,14182,460,1583,12550,49,0,0,143,1
2020-10-14,14271,438,1530,12692,49,0,0,139,1
2020-10-15,14356,416,1477,12829,50,0,0,134,1
2020-10-16,14435,396,1424,12961,50,0,0,129,1
2020-10-17,14512,376,1373,13088,51,0,0,124,0
2020-10-18,14583,358,1322,13210,51,0,0,120,0
2020-10-19,14653,340,1272,13329,52,0,0,115,0
2020-10-20,14718,323,1224,13442,52,0,0,111,0
2020-10-21,14780,306,1176,13551,53,0,0,107,0
2020-10-22,14839,291,1130,13656,53,0,0,102,0
2020-10-23,14895,276,1085,13757,53,0,0,98,0
2020-10-24,14949,262,1041,13854,54,0,0,94,0
2020-10-25,14998,248,998,13946,54,0,0,90,0
2020-10-26,15046,236,956,14035,55,0,0,87,0
2020-10-27,15092,223,916,14121,55,0,0,83,0
2020-10-28,15134,212,877,14202,55,0,0,79,0
2020-10-29,15174,201,839,14280,55,0,0,76,0
2020-10-30,15214,190,803,14355,56,0,0,73,0
2020-10-31,15251,181,768,14427,56,0,0,70,0
2020-11-01,15285,171,734,14495,56,0,0,66,0
2020-11-02,15318,162,701,14560,57,0,0,63,0
2020-11-03,15350,154,670,14623,57,0,0,61,0
2020-11-04,15378,146,639,14682,57,0,0,58,0
2020-11-05,15406,138,610,14739,57,0,0,55,0
2020-11-06,15433,131,582,14794,57,0,0,53,0
2020-11-07,15458,124,555,14845,58,0,0,50,0
2020-11-08,15483,118,530,14895,58,0,0,48,0
2020-11-09,15505,111,505,14942,58,0,0,46,0
2020-11-10,15526,106,481,14987,58,0,0,44,0
2020-11-11,15547,100,459,15030,58,0,0,42,0
2020-11-12,15566,95,437,15070,59,0,0,40,0
2020-11-13,15584,90,416,15109,59,0,0,38,0
