Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-25,1673,856,1673,0,0,55,16,0,0
2020-06-26,1692,908,1692,0,0,47,24,0,0
2020-06-27,1719,953,1719,0,0,42,31,0,0
2020-06-28,1752,994,1752,0,0,38,36,0,0
2020-06-29,1789,1031,1789,0,0,35,39,0,0
2020-06-30,1829,1065,1829,0,0,34,43,0,0
2020-07-01,1873,1099,1873,0,0,33,45,0,0
2020-07-02,1919,1131,1919,0,0,32,47,0,0
2020-07-03,1967,1163,1967,0,0,32,49,0,0
2020-07-04,2017,1194,2017,0,0,32,51,0,0
2020-07-05,2068,1226,2068,0,0,32,52,0,0
2020-07-06,2121,1258,2121,0,0,32,54,0,0
2020-07-07,2175,1290,2175,0,0,32,55,0,0
2020-07-08,2231,1322,2231,0,0,33,56,0,0
2020-07-09,2288,1355,2288,0,0,33,58,0,0
2020-07-10,2346,1389,2346,0,0,34,59,0,0
2020-07-11,2406,1423,2406,0,0,34,60,0,0
2020-07-12,2466,1457,2466,0,0,35,62,0,0
2020-07-13,2528,1492,2528,0,0,35,63,0,0
2020-07-14,2592,1528,2592,0,0,36,64,0,0
2020-07-15,2656,1564,2656,0,0,37,65,0,0
2020-07-16,2722,1601,2722,0,0,37,66,0,0
2020-07-17,2789,1638,2789,0,0,38,68,0,0
2020-07-18,2857,1676,2857,0,0,38,69,0,0
2020-07-19,2926,1714,2926,0,0,39,70,0,0
2020-07-20,2997,1753,2997,0,0,39,71,0,0
2020-07-21,3069,1793,3069,0,0,40,73,0,0
2020-07-22,3142,1833,3142,0,0,40,74,0,0
2020-07-23,3216,1873,3216,0,0,41,75,0,0
2020-07-24,3291,1914,3291,0,0,41,76,0,0
2020-07-25,3368,1956,3368,0,0,42,77,0,0
2020-07-26,3446,1998,3446,0,0,42,78,0,0
2020-07-27,3524,2040,3524,0,0,43,80,0,0
2020-07-28,3604,2083,3604,0,0,43,81,0,0
2020-07-29,3686,2126,3686,0,0,43,82,0,0
2020-07-30,3768,2169,3768,0,0,44,83,0,0
2020-07-31,3851,2213,3851,0,0,44,84,0,0
