Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-14,1693,242,344,1345,4,0,16,31,0
2020-07-15,1740,227,359,1377,4,0,12,33,0
2020-07-16,1783,217,369,1410,4,0,9,33,0
2020-07-17,1825,208,377,1444,4,0,7,34,0
2020-07-18,1865,202,383,1478,4,0,5,35,0
2020-07-19,1904,197,387,1513,4,0,3,35,0
2020-07-20,1942,193,390,1548,4,0,2,35,0
2020-07-21,1980,190,392,1584,4,0,2,36,0
2020-07-22,2018,188,394,1620,4,0,1,36,0
2020-07-23,2054,185,395,1655,4,0,0,36,0
2020-07-24,2090,184,395,1691,4,0,0,36,0
2020-07-25,2127,182,395,1727,5,0,0,36,0
2020-07-26,2163,180,395,1763,5,0,0,36,0
2020-07-27,2197,179,394,1798,5,0,0,36,0
2020-07-28,2232,177,393,1834,5,0,0,36,0
2020-07-29,2267,176,392,1870,5,0,0,36,0
2020-07-30,2301,175,391,1905,5,0,0,35,0
2020-07-31,2336,173,390,1941,5,0,0,35,0
2020-08-01,2369,172,388,1976,5,0,0,35,0
2020-08-02,2402,170,386,2011,5,0,0,35,0
2020-08-03,2436,169,385,2046,5,0,0,35,0
2020-08-04,2469,168,383,2081,5,0,0,35,0
2020-08-05,2502,166,381,2115,6,0,0,35,0
2020-08-06,2535,165,379,2150,6,0,0,34,0
2020-08-07,2567,163,377,2184,6,0,0,34,0
2020-08-08,2598,162,374,2218,6,0,0,34,0
2020-08-09,2630,160,372,2252,6,0,0,34,0
2020-08-10,2661,158,369,2286,6,0,0,33,0
2020-08-11,2692,157,367,2319,6,0,0,33,0
2020-08-12,2722,155,364,2352,6,0,0,33,0
2020-08-13,2752,153,361,2385,6,0,0,33,0
2020-08-14,2783,152,359,2418,6,0,0,33,0
2020-08-15,2812,150,356,2450,6,0,0,32,0
2020-08-16,2842,148,353,2483,6,0,0,32,0
2020-08-17,2871,146,350,2514,7,0,0,32,0
2020-08-18,2900,145,347,2546,7,0,0,31,0
2020-08-19,2927,143,343,2577,7,0,0,31,0
2020-08-20,2955,141,340,2608,7,0,0,31,0
2020-08-21,2983,139,337,2639,7,0,0,31,0
2020-08-22,3011,137,334,2670,7,0,0,30,0
2020-08-23,3037,136,330,2700,7,0,0,30,0
2020-08-24,3063,134,327,2729,7,0,0,30,0
2020-08-25,3089,132,323,2759,7,0,0,29,0
2020-08-26,3115,130,320,2788,7,0,0,29,0
2020-08-27,3140,128,316,2817,7,0,0,29,0
2020-08-28,3166,127,313,2846,7,0,0,28,0
2020-08-29,3191,125,309,2874,8,0,0,28,0
2020-08-30,3215,123,305,2902,8,0,0,28,0
2020-08-31,3239,121,302,2929,8,0,0,27,0
2020-09-01,3263,119,298,2957,8,0,0,27,0
2020-09-02,3285,117,294,2983,8,0,0,27,0
2020-09-03,3309,116,291,3010,8,0,0,26,0
2020-09-04,3331,114,287,3036,8,0,0,26,0
2020-09-05,3353,112,283,3062,8,0,0,26,0
2020-09-06,3375,110,279,3088,8,0,0,25,0
2020-09-07,3396,108,275,3113,8,0,0,25,0
2020-09-08,3418,107,272,3138,8,0,0,25,0
2020-09-09,3438,105,268,3162,8,0,0,24,0
2020-09-10,3458,103,264,3186,8,0,0,24,0
2020-09-11,3478,101,260,3210,8,0,0,24,0
2020-09-12,3499,100,257,3234,8,0,0,23,0
2020-09-13,3519,98,253,3257,9,0,0,23,0
2020-09-14,3538,96,249,3280,9,0,0,23,0
2020-09-15,3556,95,245,3302,9,0,0,22,0
2020-09-16,3575,93,242,3324,9,0,0,22,0
2020-09-17,3593,91,238,3346,9,0,0,22,0
2020-09-18,3610,90,234,3367,9,0,0,21,0
2020-09-19,3627,88,230,3388,9,0,0,21,0
2020-09-20,3645,86,227,3409,9,0,0,21,0
2020-09-21,3662,85,223,3430,9,0,0,20,0
2020-09-22,3678,83,219,3450,9,0,0,20,0
2020-09-23,3695,82,216,3470,9,0,0,20,0
2020-09-24,3710,80,212,3489,9,0,0,19,0
2020-09-25,3726,79,209,3508,9,0,0,19,0
2020-09-26,3741,77,205,3527,9,0,0,19,0
2020-09-27,3756,76,202,3545,9,0,0,18,0
2020-09-28,3771,74,198,3564,9,0,0,18,0
2020-09-29,3785,73,195,3581,9,0,0,18,0
2020-09-30,3799,72,191,3599,9,0,0,17,0
2020-10-01,3813,70,188,3616,9,0,0,17,0
2020-10-02,3828,69,185,3633,10,0,0,17,0
2020-10-03,3841,67,181,3650,10,0,0,16,0
2020-10-04,3854,66,178,3666,10,0,0,16,0
2020-10-05,3867,65,175,3682,10,0,0,16,0
2020-10-06,3880,64,172,3698,10,0,0,16,0
2020-10-07,3892,62,169,3713,10,0,0,15,0
2020-10-08,3905,61,166,3729,10,0,0,15,0
2020-10-09,3916,60,162,3744,10,0,0,15,0
2020-10-10,3927,59,159,3758,10,0,0,14,0
2020-10-11,3939,57,156,3773,10,0,0,14,0
