Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-27,97,0,27,69,1,4,0,2,0
2020-06-28,98,4,25,72,1,3,0,2,0
2020-06-29,99,7,24,74,1,2,0,2,0
2020-06-30,100,9,23,76,1,2,0,2,0
2020-07-01,102,11,23,78,1,2,0,2,0
2020-07-02,104,12,23,80,1,1,0,2,0
2020-07-03,106,13,23,82,1,1,1,2,0
2020-07-04,109,14,24,84,1,1,1,2,0
2020-07-05,113,15,25,87,1,1,1,2,0
2020-07-06,115,16,25,89,1,1,1,2,0
2020-07-07,118,17,26,91,1,1,1,2,0
2020-07-08,122,18,27,94,1,1,1,2,0
2020-07-09,125,19,28,96,1,1,1,3,0
2020-07-10,130,20,30,99,1,1,1,3,0
2020-07-11,133,20,31,101,1,1,1,3,0
2020-07-12,137,21,32,104,1,1,1,3,0
2020-07-13,141,22,33,107,1,1,1,3,0
2020-07-14,146,23,35,110,1,1,1,3,0
2020-07-15,150,24,36,113,1,1,1,3,0
2020-07-16,155,25,37,117,1,1,1,3,0
2020-07-17,160,26,39,120,1,1,2,3,0
2020-07-18,164,27,40,123,1,1,2,4,0
2020-07-19,170,28,42,127,1,1,2,4,0
2020-07-20,176,29,44,131,1,1,2,4,0
2020-07-21,181,30,45,135,1,1,2,4,0
2020-07-22,187,31,47,139,1,1,2,4,0
2020-07-23,193,32,49,143,1,1,2,4,0
2020-07-24,200,33,51,148,1,1,2,5,0
2020-07-25,207,35,53,153,1,1,2,5,0
2020-07-26,213,36,55,157,1,1,2,5,0
2020-07-27,220,37,57,162,1,1,2,5,0
2020-07-28,229,39,59,168,2,1,2,5,0
2020-07-29,236,40,61,173,2,1,2,6,0
2020-07-30,245,41,64,179,2,1,2,6,0
2020-07-31,252,43,66,184,2,1,2,6,0
2020-08-01,260,44,68,190,2,2,2,6,0
2020-08-02,270,46,71,197,2,2,3,6,0
2020-08-03,278,47,73,203,2,2,3,7,0
2020-08-04,288,49,76,210,2,2,3,7,0
2020-08-05,298,51,79,217,2,2,3,7,0
2020-08-06,308,52,82,224,2,2,3,7,0
2020-08-07,317,54,84,231,2,2,3,8,0
2020-08-08,328,56,87,239,2,2,3,8,0
2020-08-09,339,57,90,247,2,2,3,8,0
2020-08-10,350,59,93,255,2,2,3,8,0
2020-08-11,363,61,97,264,2,2,3,9,0
2020-08-12,376,63,100,273,3,2,3,9,0
2020-08-13,388,65,103,282,3,2,3,9,0
2020-08-14,400,67,106,291,3,2,3,10,0
2020-08-15,414,69,110,301,3,2,3,10,0
2020-08-16,427,71,113,311,3,2,4,10,0
2020-08-17,441,72,117,321,3,2,4,11,0
2020-08-18,456,74,121,332,3,2,4,11,0
2020-08-19,470,76,124,343,3,2,4,11,0
2020-08-20,485,78,128,354,3,2,4,12,0
2020-08-21,501,80,132,366,3,2,4,12,0
2020-08-22,516,82,135,378,3,2,4,12,0
2020-08-23,533,84,139,390,4,2,4,13,0
2020-08-24,550,86,143,403,4,2,4,13,0
2020-08-25,567,88,147,416,4,2,4,13,0
2020-08-26,584,90,151,429,4,2,4,14,0
2020-08-27,602,92,155,443,4,2,4,14,0
2020-08-28,620,94,159,457,4,2,4,14,0
2020-08-29,639,96,163,472,4,2,4,15,0
2020-08-30,657,98,167,486,4,2,4,15,0
2020-08-31,678,100,171,502,5,2,4,15,0
2020-09-01,697,101,175,517,5,2,4,16,0
2020-09-02,717,103,179,533,5,2,4,16,0
2020-09-03,737,105,183,549,5,2,4,16,0
2020-09-04,758,106,187,566,5,2,4,17,0
2020-09-05,778,108,190,583,5,1,4,17,0
2020-09-06,800,109,194,600,6,1,4,18,0
2020-09-07,822,111,198,618,6,1,4,18,0
2020-09-08,844,112,202,636,6,1,4,18,0
2020-09-09,865,113,205,654,6,1,4,18,0
2020-09-10,888,114,209,673,6,1,3,19,0
2020-09-11,909,115,212,691,6,1,3,19,0
2020-09-12,933,116,215,711,7,1,3,19,0
2020-09-13,956,117,219,730,7,1,3,20,0
2020-09-14,979,118,222,750,7,1,3,20,0
2020-09-15,1002,119,225,770,7,1,3,20,0
2020-09-16,1024,119,227,790,7,1,3,20,0
2020-09-17,1048,120,230,811,7,0,3,21,0
2020-09-18,1073,120,233,832,8,0,2,21,0
2020-09-19,1096,120,235,853,8,0,2,21,0
2020-09-20,1119,121,237,874,8,0,2,21,0
2020-09-21,1142,121,239,895,8,0,2,22,0
2020-09-22,1166,121,241,917,8,0,2,22,0
2020-09-23,1191,121,243,939,9,0,2,22,0
2020-09-24,1214,120,244,961,9,0,1,22,0
2020-09-25,1238,120,246,983,9,0,1,22,0
2020-09-26,1261,119,247,1005,9,0,1,22,0
2020-09-27,1284,119,248,1027,9,0,1,22,0
2020-09-28,1308,118,248,1050,10,0,1,22,0
2020-09-29,1331,117,249,1072,10,0,0,22,0
2020-09-30,1353,117,249,1094,10,0,0,22,0
2020-10-01,1376,116,249,1117,10,0,0,22,0
2020-10-02,1398,115,249,1139,10,0,0,22,0
2020-10-03,1422,114,249,1162,11,0,0,22,0
2020-10-04,1444,112,249,1184,11,0,0,22,0
2020-10-05,1466,111,248,1207,11,0,0,22,0
2020-10-06,1487,110,247,1229,11,0,0,22,0
2020-10-07,1508,108,246,1251,11,0,0,22,0
2020-10-08,1530,107,245,1273,12,0,0,22,0
2020-10-09,1550,105,243,1295,12,0,0,22,0
2020-10-10,1571,104,242,1317,12,0,0,22,0
2020-10-11,1591,102,240,1339,12,0,0,22,0
2020-10-12,1610,100,238,1360,12,0,0,21,0
2020-10-13,1631,99,236,1382,13,0,0,21,0
2020-10-14,1650,97,234,1403,13,0,0,21,0
2020-10-15,1669,95,232,1424,13,0,0,21,0
2020-10-16,1687,93,229,1445,13,0,0,21,0
2020-10-17,1705,91,227,1465,13,0,0,20,0
2020-10-18,1724,90,224,1486,14,0,0,20,0
2020-10-19,1741,88,221,1506,14,0,0,20,0
2020-10-20,1758,86,218,1526,14,0,0,20,0
2020-10-21,1774,84,215,1545,14,0,0,19,0
2020-10-22,1791,82,212,1565,14,0,0,19,0
2020-10-23,1808,80,209,1584,15,0,0,19,0
2020-10-24,1823,78,206,1602,15,0,0,19,0
2020-10-25,1838,76,202,1621,15,0,0,18,0
2020-10-26,1853,75,199,1639,15,0,0,18,0
2020-10-27,1867,73,195,1657,15,0,0,18,0
2020-10-28,1881,71,192,1674,15,0,0,17,0
2020-10-29,1895,69,188,1691,16,0,0,17,0
2020-10-30,1909,67,185,1708,16,0,0,17,0
2020-10-31,1921,65,181,1724,16,0,0,16,0
2020-11-01,1934,64,177,1741,16,0,0,16,0
2020-11-02,1947,62,174,1757,16,0,0,16,0
2020-11-03,1958,60,170,1772,16,0,0,15,0
2020-11-04,1969,58,166,1787,16,0,0,15,0
2020-11-05,1982,57,163,1802,17,0,0,15,0
2020-11-06,1993,55,159,1817,17,0,0,14,0
2020-11-07,2003,54,155,1831,17,0,0,14,0
2020-11-08,2014,52,152,1845,17,0,0,14,0
2020-11-09,2023,50,148,1858,17,0,0,13,0
2020-11-10,2034,49,145,1872,17,0,0,13,0
2020-11-11,2042,47,141,1884,17,0,0,13,0
2020-11-12,2052,46,138,1897,17,0,0,12,0
2020-11-13,2061,45,134,1909,18,0,0,12,0
2020-11-14,2070,43,131,1921,18,0,0,12,0
2020-11-15,2078,42,127,1933,18,0,0,11,0
2020-11-16,2086,41,124,1944,18,0,0,11,0
2020-11-17,2094,39,121,1955,18,0,0,11,0
2020-11-18,2101,38,117,1966,18,0,0,11,0
2020-11-19,2109,37,114,1977,18,0,0,10,0
2020-11-20,2116,36,111,1987,18,0,0,10,0
2020-11-21,2123,34,108,1997,18,0,0,10,0
2020-11-22,2129,33,105,2006,18,0,0,9,0
2020-11-23,2137,32,102,2016,19,0,0,9,0
2020-11-24,2143,31,99,2025,19,0,0,9,0
2020-11-25,2149,30,96,2034,19,0,0,9,0
2020-11-26,2154,29,93,2042,19,0,0,8,0
2020-11-27,2160,28,91,2050,19,0,0,8,0
2020-11-28,2165,27,88,2058,19,0,0,8,0
2020-11-29,2170,26,85,2066,19,0,0,8,0
2020-11-30,2176,25,83,2074,19,0,0,7,0
2020-12-01,2180,25,80,2081,19,0,0,7,0
2020-12-02,2185,24,78,2088,19,0,0,7,0
2020-12-03,2189,23,75,2095,19,0,0,7,0
2020-12-04,2194,22,73,2102,19,0,0,7,0
2020-12-05,2199,21,71,2109,19,0,0,6,0
2020-12-06,2203,21,69,2115,19,0,0,6,0
2020-12-07,2206,20,66,2121,19,0,0,6,0
2020-12-08,2211,19,64,2127,20,0,0,6,0
2020-12-09,2215,19,62,2133,20,0,0,6,0
2020-12-10,2218,18,60,2138,20,0,0,5,0
2020-12-11,2221,17,58,2143,20,0,0,5,0
2020-12-12,2225,17,56,2149,20,0,0,5,0
2020-12-13,2229,16,55,2154,20,0,0,5,0
2020-12-14,2231,16,53,2158,20,0,0,5,0
2020-12-15,2234,15,51,2163,20,0,0,5,0
2020-12-16,2237,14,49,2168,20,0,0,4,0
2020-12-17,2240,14,48,2172,20,0,0,4,0
2020-12-18,2242,13,46,2176,20,0,0,4,0
2020-12-19,2245,13,45,2180,20,0,0,4,0
2020-12-20,2247,13,43,2184,20,0,0,4,0
2020-12-21,2250,12,42,2188,20,0,0,4,0
2020-12-22,2252,12,40,2192,20,0,0,4,0
2020-12-23,2255,11,39,2196,20,0,0,4,0
2020-12-24,2257,11,38,2199,20,0,0,3,0
2020-12-25,2258,10,36,2202,20,0,0,3,0
