Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-14,647,188,131,515,1,0,25,12,0
2020-07-15,682,171,154,527,1,0,20,14,0
2020-07-16,715,160,172,542,1,0,16,16,0
2020-07-17,747,153,187,558,2,0,13,17,0
2020-07-18,776,149,199,575,2,0,11,18,0
2020-07-19,805,147,209,594,2,0,10,19,0
2020-07-20,834,147,219,613,2,0,9,20,0
2020-07-21,862,147,227,633,2,1,8,21,0
2020-07-22,892,149,236,654,2,2,8,21,0
2020-07-23,921,151,243,676,2,3,8,22,0
2020-07-24,951,154,251,698,2,3,7,23,0
2020-07-25,981,157,258,721,2,3,7,23,0
2020-07-26,1013,161,266,745,2,4,7,24,0
2020-07-27,1044,164,273,769,2,4,7,25,0
2020-07-28,1076,168,280,794,2,4,7,25,0
2020-07-29,1110,172,288,820,2,4,8,26,0
2020-07-30,1143,176,295,846,2,4,8,27,0
2020-07-31,1178,180,303,873,2,4,8,27,0
2020-08-01,1214,185,311,901,2,4,8,28,0
2020-08-02,1251,189,319,929,3,4,8,29,0
2020-08-03,1288,194,327,958,3,5,8,30,0
2020-08-04,1326,198,335,988,3,5,8,30,0
2020-08-05,1366,203,344,1019,3,5,9,31,0
2020-08-06,1406,208,352,1051,3,5,9,32,0
2020-08-07,1447,212,361,1083,3,5,9,33,0
2020-08-08,1489,217,370,1116,3,5,9,34,0
2020-08-09,1532,222,379,1150,3,5,9,34,0
2020-08-10,1575,227,388,1184,3,5,9,35,0
2020-08-11,1621,232,398,1220,3,5,9,36,0
2020-08-12,1666,237,407,1256,3,5,10,37,0
2020-08-13,1714,243,417,1293,4,5,10,38,0
2020-08-14,1762,248,426,1332,4,5,10,39,0
2020-08-15,1811,253,436,1371,4,5,10,40,0
2020-08-16,1860,259,446,1410,4,5,10,40,0
2020-08-17,1912,264,457,1451,4,5,10,41,0
2020-08-18,1964,269,467,1493,4,5,10,42,0
2020-08-19,2017,275,477,1536,4,6,11,43,0
2020-08-20,2071,281,488,1579,4,6,11,44,0
2020-08-21,2127,286,499,1624,4,6,11,45,0
