Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-24,166,48,44,121,1,0,5,4,0
2020-06-25,176,43,49,126,1,0,4,4,0
2020-06-26,183,39,52,130,1,0,3,5,0
2020-06-27,191,37,55,135,1,0,2,5,0
2020-06-28,198,35,57,140,1,0,2,5,0
2020-06-29,204,33,58,145,1,0,1,5,0
2020-06-30,211,32,59,151,1,0,1,5,0
2020-07-01,217,31,60,156,1,0,1,5,0
2020-07-02,223,30,61,161,1,0,0,5,0
2020-07-03,229,30,61,167,1,0,0,6,0
2020-07-04,234,29,61,172,1,0,0,6,0
2020-07-05,241,29,62,178,1,0,0,6,0
2020-07-06,247,29,62,184,1,0,0,6,0
2020-07-07,252,29,62,189,1,0,0,6,0
2020-07-08,258,28,62,195,1,0,0,6,0
2020-07-09,263,28,62,200,1,0,0,6,0
2020-07-10,269,28,62,206,1,0,0,6,0
2020-07-11,273,28,61,211,1,0,0,6,0
2020-07-12,279,28,61,217,1,0,0,6,0
2020-07-13,284,28,61,222,1,0,0,6,0
2020-07-14,290,28,61,228,1,0,0,6,0
2020-07-15,296,28,61,234,1,0,0,6,0
2020-07-16,301,28,61,239,1,0,0,6,0
2020-07-17,307,27,61,245,1,0,0,5,0
2020-07-18,312,27,61,250,1,0,0,5,0
2020-07-19,317,27,60,256,1,0,0,5,0
2020-07-20,322,27,60,261,1,0,0,5,0
2020-07-21,327,27,60,266,1,0,0,5,0
2020-07-22,333,27,60,272,1,0,0,5,0
2020-07-23,338,27,60,277,1,0,0,5,0
2020-07-24,344,27,60,283,1,0,0,5,0
2020-07-25,349,27,60,288,1,0,0,5,0
2020-07-26,354,27,59,294,1,0,0,5,0
2020-07-27,360,27,59,299,2,0,0,5,0
2020-07-28,365,27,59,304,2,0,0,5,0
2020-07-29,371,26,59,310,2,0,0,5,0
2020-07-30,376,26,59,315,2,0,0,5,0
2020-07-31,381,26,59,320,2,0,0,5,0
2020-08-01,386,26,58,326,2,0,0,5,0
2020-08-02,391,26,58,331,2,0,0,5,0
2020-08-03,396,26,58,336,2,0,0,5,0
2020-08-04,401,26,58,341,2,0,0,5,0
2020-08-05,407,26,58,347,2,0,0,5,0
2020-08-06,412,26,58,352,2,0,0,5,0
2020-08-07,416,26,57,357,2,0,0,5,0
2020-08-08,421,26,57,362,2,0,0,5,0
2020-08-09,426,25,57,367,2,0,0,5,0
2020-08-10,431,25,57,372,2,0,0,5,0
2020-08-11,437,25,57,378,2,0,0,5,0
2020-08-12,441,25,56,383,2,0,0,5,0
2020-08-13,446,25,56,388,2,0,0,5,0
2020-08-14,451,25,56,393,2,0,0,5,0
2020-08-15,456,25,56,398,2,0,0,5,0
2020-08-16,461,25,56,403,2,0,0,5,0
2020-08-17,465,25,55,408,2,0,0,5,0
2020-08-18,470,24,55,413,2,0,0,5,0
2020-08-19,475,24,55,418,2,0,0,5,0
2020-08-20,480,24,55,423,2,0,0,5,0
2020-08-21,484,24,54,428,2,0,0,5,0
2020-08-22,489,24,54,433,2,0,0,5,0
2020-08-23,494,24,54,438,2,0,0,5,0
2020-08-24,498,24,54,442,2,0,0,5,0
2020-08-25,503,24,54,447,2,0,0,5,0
2020-08-26,507,24,53,452,2,0,0,5,0
2020-08-27,512,23,53,457,2,0,0,5,0
2020-08-28,517,23,53,462,2,0,0,5,0
2020-08-29,522,23,53,467,2,0,0,5,0
2020-08-30,525,23,52,471,2,0,0,5,0
2020-08-31,530,23,52,476,2,0,0,5,0
2020-09-01,535,23,52,481,2,0,0,5,0
2020-09-02,539,23,52,485,2,0,0,5,0
2020-09-03,544,23,52,490,2,0,0,5,0
2020-09-04,549,23,51,495,3,0,0,5,0
2020-09-05,553,22,51,499,3,0,0,5,0
2020-09-06,558,22,51,504,3,0,0,5,0
2020-09-07,563,22,51,509,3,0,0,5,0
2020-09-08,566,22,50,513,3,0,0,5,0
2020-09-09,571,22,50,518,3,0,0,5,0
2020-09-10,575,22,50,522,3,0,0,5,0
2020-09-11,580,22,50,527,3,0,0,4,0
2020-09-12,583,22,49,531,3,0,0,4,0
2020-09-13,588,22,49,536,3,0,0,4,0
2020-09-14,592,21,49,540,3,0,0,4,0
2020-09-15,597,21,49,545,3,0,0,4,0
