Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-14,198,23,40,157,1,1,1,4,0
2020-07-15,203,24,41,161,1,1,1,4,0
2020-07-16,208,25,42,165,1,1,1,4,0
2020-07-17,213,25,43,169,1,1,1,4,0
2020-07-18,217,26,44,172,1,1,1,4,0
2020-07-19,222,27,45,176,1,1,1,4,0
2020-07-20,228,27,46,181,1,1,1,4,0
2020-07-21,233,28,47,185,1,1,1,4,0
2020-07-22,239,29,49,189,1,1,1,4,0
2020-07-23,245,30,50,194,1,1,1,5,0
2020-07-24,250,30,51,198,1,1,1,5,0
2020-07-25,257,31,53,203,1,1,1,5,0
2020-07-26,263,32,54,208,1,1,1,5,0
2020-07-27,269,33,55,213,1,1,1,5,0
2020-07-28,276,33,57,218,1,1,1,5,0
2020-07-29,282,34,58,223,1,1,1,5,0
2020-07-30,288,35,59,228,1,1,1,5,0
2020-07-31,296,36,61,234,1,1,1,6,0
2020-08-01,302,37,62,239,1,1,2,6,0
2020-08-02,310,38,64,245,1,1,2,6,0
2020-08-03,318,38,66,251,1,1,2,6,0
2020-08-04,325,39,67,257,1,1,2,6,0
2020-08-05,333,40,69,263,1,1,2,6,0
2020-08-06,340,41,70,269,1,1,2,6,0
2020-08-07,348,42,72,275,1,1,2,7,0
2020-08-08,357,43,74,282,1,1,2,7,0
2020-08-09,366,44,76,289,1,1,2,7,0
2020-08-10,374,45,77,296,1,1,2,7,0
2020-08-11,383,46,79,303,1,1,2,7,0
2020-08-12,392,47,81,310,1,1,2,7,0
2020-08-13,401,48,83,317,1,1,2,7,0
2020-08-14,411,49,85,325,1,1,2,8,0
2020-08-15,420,50,86,333,1,1,2,8,0
2020-08-16,430,51,88,341,1,1,2,8,0
2020-08-17,441,52,90,349,2,1,2,8,0
2020-08-18,451,53,92,357,2,1,2,8,0
2020-08-19,461,54,94,365,2,1,2,9,0
2020-08-20,472,55,96,374,2,1,2,9,0
2020-08-21,483,56,98,383,2,1,2,9,0
2020-08-22,494,57,100,392,2,1,2,9,0
2020-08-23,505,58,102,401,2,1,2,9,0
2020-08-24,516,59,104,410,2,1,2,9,0
2020-08-25,528,60,106,420,2,1,2,10,0
2020-08-26,540,61,109,429,2,1,2,10,0
2020-08-27,552,62,111,439,2,1,2,10,0
2020-08-28,564,63,113,449,2,1,2,10,0
2020-08-29,577,64,115,460,2,1,2,10,0
2020-08-30,589,65,117,470,2,1,2,11,0
2020-08-31,602,66,119,481,2,1,2,11,0
2020-09-01,615,67,121,492,2,1,2,11,0
2020-09-02,629,68,124,503,2,1,2,11,0
2020-09-03,642,69,126,514,2,1,2,11,0
2020-09-04,655,70,128,525,2,1,2,12,0
2020-09-05,669,71,130,537,2,1,2,12,0
2020-09-06,683,72,132,549,2,1,2,12,0
2020-09-07,697,73,134,561,2,1,2,12,0
2020-09-08,712,74,137,573,2,1,2,12,0
2020-09-09,728,75,139,586,3,1,2,13,0
2020-09-10,742,76,141,598,3,1,2,13,0
2020-09-11,757,77,143,611,3,1,2,13,0
2020-09-12,772,78,145,624,3,1,2,13,0
2020-09-13,787,79,147,637,3,1,2,13,0
2020-09-14,803,80,149,651,3,1,2,14,0
2020-09-15,818,80,151,664,3,1,2,14,0
2020-09-16,834,81,153,678,3,1,2,14,0
2020-09-17,850,82,155,692,3,1,2,14,0
2020-09-18,866,83,157,706,3,1,2,14,0
2020-09-19,882,84,159,720,3,1,2,14,0
2020-09-20,899,84,161,735,3,1,2,15,0
2020-09-21,915,85,163,749,3,1,2,15,0
2020-09-22,932,86,165,764,3,1,2,15,0
2020-09-23,948,86,166,779,3,1,2,15,0
2020-09-24,965,87,168,794,3,1,2,15,0
2020-09-25,983,87,170,810,3,1,2,15,0
2020-09-26,1001,88,172,825,4,0,2,16,0
2020-09-27,1018,88,173,841,4,0,2,16,0
2020-09-28,1035,89,175,856,4,0,2,16,0
2020-09-29,1052,89,176,872,4,0,1,16,0
2020-09-30,1070,89,178,888,4,0,1,16,0
2020-10-01,1087,90,179,904,4,0,1,16,0
2020-10-02,1105,90,180,921,4,0,1,16,0
2020-10-03,1123,90,182,937,4,0,1,16,0
2020-10-04,1140,91,183,953,4,0,1,17,0
2020-10-05,1158,91,184,970,4,0,1,17,0
2020-10-06,1176,91,185,987,4,0,1,17,0
2020-10-07,1193,91,186,1003,4,0,1,17,0
2020-10-08,1211,91,187,1020,4,0,1,17,0
2020-10-09,1229,91,188,1037,4,0,1,17,0
2020-10-10,1247,91,188,1054,5,0,1,17,0
2020-10-11,1265,91,189,1071,5,0,1,17,0
2020-10-12,1283,91,190,1088,5,0,1,17,0
2020-10-13,1301,91,190,1106,5,0,0,17,0
2020-10-14,1319,91,191,1123,5,0,0,17,0
2020-10-15,1336,90,191,1140,5,0,0,17,0
2020-10-16,1353,90,191,1157,5,0,0,17,0
2020-10-17,1372,90,192,1175,5,0,0,17,0
2020-10-18,1389,89,192,1192,5,0,0,17,0
2020-10-19,1406,89,192,1209,5,0,0,17,0
2020-10-20,1424,89,192,1227,5,0,0,17,0
2020-10-21,1441,88,192,1244,5,0,0,17,0
2020-10-22,1459,88,192,1262,5,0,0,17,0
2020-10-23,1476,87,191,1279,6,0,0,17,0
2020-10-24,1493,87,191,1296,6,0,0,17,0
2020-10-25,1511,86,191,1314,6,0,0,17,0
2020-10-26,1527,86,190,1331,6,0,0,17,0
2020-10-27,1544,85,190,1348,6,0,0,17,0
2020-10-28,1560,84,189,1365,6,0,0,17,0
2020-10-29,1576,84,188,1382,6,0,0,17,0
2020-10-30,1593,83,188,1399,6,0,0,17,0
2020-10-31,1609,82,187,1416,6,0,0,17,0
2020-11-01,1625,82,186,1433,6,0,0,17,0
2020-11-02,1641,81,185,1450,6,0,0,17,0
2020-11-03,1657,80,184,1467,6,0,0,17,0
2020-11-04,1672,79,183,1483,6,0,0,17,0
2020-11-05,1688,78,182,1500,6,0,0,16,0
2020-11-06,1704,77,181,1516,7,0,0,16,0
2020-11-07,1718,77,179,1532,7,0,0,16,0
2020-11-08,1734,76,178,1549,7,0,0,16,0
2020-11-09,1749,75,177,1565,7,0,0,16,0
2020-11-10,1763,74,175,1581,7,0,0,16,0
2020-11-11,1778,73,174,1597,7,0,0,16,0
2020-11-12,1791,72,172,1612,7,0,0,16,0
2020-11-13,1806,71,171,1628,7,0,0,15,0
2020-11-14,1819,70,169,1643,7,0,0,15,0
2020-11-15,1832,69,167,1658,7,0,0,15,0
2020-11-16,1846,68,166,1673,7,0,0,15,0
2020-11-17,1859,67,164,1688,7,0,0,15,0
2020-11-18,1872,66,162,1703,7,0,0,15,0
2020-11-19,1885,65,160,1718,7,0,0,15,0
2020-11-20,1898,64,159,1732,7,0,0,14,0
2020-11-21,1912,63,157,1747,8,0,0,14,0
2020-11-22,1924,62,155,1761,8,0,0,14,0
2020-11-23,1936,61,153,1775,8,0,0,14,0
2020-11-24,1947,60,151,1788,8,0,0,14,0
2020-11-25,1959,59,149,1802,8,0,0,13,0
2020-11-26,1971,58,147,1816,8,0,0,13,0
2020-11-27,1982,57,145,1829,8,0,0,13,0
2020-11-28,1993,56,143,1842,8,0,0,13,0
2020-11-29,2004,55,141,1855,8,0,0,13,0
2020-11-30,2014,54,139,1867,8,0,0,13,0
2020-12-01,2025,53,137,1880,8,0,0,12,0
2020-12-02,2035,52,135,1892,8,0,0,12,0
2020-12-03,2045,51,133,1904,8,0,0,12,0
2020-12-04,2055,50,131,1916,8,0,0,12,0
2020-12-05,2065,49,129,1928,8,0,0,12,0
2020-12-06,2075,48,127,1940,8,0,0,11,0
2020-12-07,2084,47,125,1951,8,0,0,11,0
2020-12-08,2093,47,123,1962,8,0,0,11,0
2020-12-09,2104,46,121,1974,9,0,0,11,0
2020-12-10,2112,45,119,1984,9,0,0,11,0
2020-12-11,2121,44,117,1995,9,0,0,11,0
2020-12-12,2130,43,115,2006,9,0,0,10,0
2020-12-13,2138,42,113,2016,9,0,0,10,0
2020-12-14,2146,41,111,2026,9,0,0,10,0
