Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-18,1975,230,370,1597,8,26,11,33,0
2020-07-19,2022,255,383,1631,8,23,15,35,0
2020-07-20,2074,277,399,1666,9,22,18,36,0
2020-07-21,2130,299,418,1703,9,21,21,38,0
2020-07-22,2190,320,440,1741,9,21,23,40,0
2020-07-23,2254,340,463,1782,9,21,25,42,0
2020-07-24,2321,362,488,1824,9,22,27,44,0
2020-07-25,2395,384,516,1869,10,22,28,47,0
2020-07-26,2472,406,545,1917,10,23,30,49,0
2020-07-27,2552,430,575,1967,10,24,32,52,0
2020-07-28,2638,454,608,2020,10,25,34,55,0
2020-07-29,2731,480,643,2077,11,27,36,58,0
2020-07-30,2826,507,679,2136,11,28,38,61,0
2020-07-31,2928,535,718,2199,11,29,40,65,0
2020-08-01,3035,565,758,2265,12,31,42,69,0
2020-08-02,3148,596,801,2335,12,32,44,72,0
2020-08-03,3267,629,846,2409,12,34,46,76,0
2020-08-04,3393,663,893,2487,13,35,49,81,0
2020-08-05,3525,699,943,2569,13,37,51,85,0
2020-08-06,3665,736,995,2656,14,39,54,90,0
2020-08-07,3812,776,1050,2748,14,40,57,95,0
2020-08-08,3968,817,1108,2845,15,42,59,100,1
2020-08-09,4130,860,1168,2947,15,44,62,106,1
2020-08-10,4303,904,1232,3055,16,46,65,111,1
2020-08-11,4483,951,1298,3169,16,48,68,117,1
2020-08-12,4673,999,1368,3288,17,50,72,124,1
2020-08-13,4874,1050,1441,3415,18,52,75,130,1
2020-08-14,5082,1103,1517,3547,18,54,78,137,1
2020-08-15,5302,1157,1596,3687,19,56,82,144,1
2020-08-16,5534,1214,1679,3835,20,58,85,152,1
2020-08-17,5776,1272,1766,3989,21,60,89,160,1
2020-08-18,6029,1333,1856,4152,21,62,93,168,1
2020-08-19,6295,1396,1950,4323,22,64,96,176,1
2020-08-20,6574,1460,2048,4503,23,66,100,185,1
2020-08-21,6866,1527,2150,4692,24,68,104,194,1
2020-08-22,7169,1595,2255,4889,25,70,108,204,1
2020-08-23,7487,1665,2364,5097,26,71,112,214,1
2020-08-24,7819,1737,2477,5315,27,73,115,224,1
2020-08-25,8166,1811,2594,5543,29,74,119,235,1
2020-08-26,8526,1886,2715,5781,30,76,123,246,1
2020-08-27,8901,1962,2839,6031,31,77,127,257,1
2020-08-28,9292,2040,2967,6292,33,78,130,268,1
2020-08-29,9698,2118,3099,6565,34,79,134,280,1
2020-08-30,10119,2197,3234,6850,35,80,137,292,2
2020-08-31,10556,2277,3372,7147,37,80,140,305,2
2020-09-01,11009,2357,3513,7457,39,80,143,318,2
2020-09-02,11476,2438,3657,7779,40,80,146,331,2
2020-09-03,11960,2518,3803,8115,42,80,148,344,2
2020-09-04,12460,2597,3952,8464,44,79,150,357,2
2020-09-05,12975,2676,4103,8826,46,78,152,371,2
2020-09-06,13506,2754,4255,9203,48,77,153,385,2
2020-09-07,14051,2830,4408,9593,50,75,154,399,2
2020-09-08,14612,2904,4563,9997,52,73,155,413,2
2020-09-09,15187,2976,4718,10415,54,71,155,427,2
2020-09-10,15774,3046,4872,10846,56,68,154,441,2
2020-09-11,16376,3113,5026,11292,58,65,153,455,2
2020-09-12,16992,3177,5179,11752,61,61,152,468,2
2020-09-13,17619,3237,5330,12226,63,58,150,482,2
2020-09-14,18259,3293,5480,12713,66,53,147,496,3
2020-09-15,18907,3344,5626,13213,68,49,144,509,3
2020-09-16,19567,3392,5769,13727,71,44,141,522,3
2020-09-17,20236,3434,5908,14254,74,39,136,534,3
2020-09-18,20911,3471,6042,14793,76,34,131,546,3
2020-09-19,21594,3503,6172,15343,79,29,126,558,3
2020-09-20,22283,3530,6295,15906,82,23,120,569,3
2020-09-21,22977,3551,6413,16479,85,17,113,580,3
2020-09-22,23674,3566,6523,17063,88,11,106,590,3
2020-09-23,24375,3575,6627,17657,91,5,98,599,3
2020-09-24,25075,3578,6722,18259,94,0,90,608,3
2020-09-25,25776,3575,6809,18870,97,0,82,616,3
2020-09-26,26478,3566,6888,19489,101,0,73,623,3
2020-09-27,27176,3551,6958,20114,104,0,64,629,3
2020-09-28,27871,3531,7018,20746,107,0,54,635,3
2020-09-29,28561,3505,7069,21382,110,0,45,639,3
2020-09-30,29247,3474,7110,22023,114,0,35,643,3
2020-10-01,29925,3437,7141,22667,117,0,25,646,3
2020-10-02,30596,3395,7162,23314,120,0,15,648,3
2020-10-03,31259,3349,7173,23962,124,0,5,649,3
2020-10-04,31912,3299,7174,24611,127,0,0,649,3
2020-10-05,32553,3244,7164,25259,130,0,0,648,3
2020-10-06,33186,3186,7146,25906,134,0,0,646,3
2020-10-07,33806,3124,7117,26552,137,0,0,644,3
2020-10-08,34413,3059,7079,27194,140,0,0,640,3
2020-10-09,35009,2991,7032,27833,144,0,0,636,3
2020-10-10,35590,2921,6976,28467,147,0,0,631,3
2020-10-11,36157,2850,6911,29096,150,0,0,625,3
2020-10-12,36712,2776,6839,29719,154,0,0,619,3
2020-10-13,37250,2701,6759,30334,157,0,0,611,3
2020-10-14,37774,2625,6671,30943,160,0,0,603,3
2020-10-15,38283,2549,6577,31543,163,0,0,595,3
2020-10-16,38778,2472,6477,32135,166,0,0,586,3
2020-10-17,39256,2395,6370,32717,169,0,0,576,3
2020-10-18,39720,2318,6259,33289,172,0,0,566,3
2020-10-19,40169,2241,6143,33851,175,0,0,556,3
