Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-20,610,252,178,431,1,0,33,16,0
2020-06-21,658,238,209,448,1,0,28,19,0
2020-06-22,704,232,235,468,1,0,24,21,0
2020-06-23,749,230,258,490,1,1,22,23,0
2020-06-24,794,233,279,514,1,5,20,25,0
2020-06-25,840,239,299,540,1,7,20,27,0
2020-06-26,888,246,319,568,1,9,19,29,0
2020-06-27,937,256,338,598,1,10,19,31,0
2020-06-28,989,266,358,629,2,11,20,32,0
2020-06-29,1041,278,377,662,2,12,20,34,0
2020-06-30,1097,291,398,697,2,13,21,36,0
2020-07-01,1155,304,419,734,2,14,22,38,0
2020-07-02,1216,319,441,773,2,15,22,40,0
2020-07-03,1279,334,464,813,2,16,23,42,0
2020-07-04,1345,349,487,856,2,16,24,44,0
2020-07-05,1415,366,512,901,2,17,25,46,0
2020-07-06,1487,383,537,948,2,18,26,49,0
2020-07-07,1564,401,564,998,2,18,27,51,0
2020-07-08,1645,419,592,1050,3,19,28,54,0
2020-07-09,1729,438,621,1105,3,19,30,56,0
2020-07-10,1815,458,650,1162,3,20,31,59,0
2020-07-11,1907,478,682,1222,3,21,32,62,0
2020-07-12,2002,499,714,1285,3,21,33,65,0
2020-07-13,2101,520,747,1351,3,22,34,68,0
2020-07-14,2205,542,782,1420,3,22,35,71,0
2020-07-15,2313,565,817,1492,4,23,36,74,0
2020-07-16,2425,588,854,1567,4,23,38,77,0
2020-07-17,2542,611,892,1646,4,24,39,81,0
2020-07-18,2663,635,931,1728,4,24,40,84,0
2020-07-19,2790,660,972,1814,4,25,41,88,0
2020-07-20,2922,684,1013,1904,5,25,42,92,0
2020-07-21,3058,709,1056,1997,5,25,43,96,0
2020-07-22,3198,734,1099,2094,5,25,44,100,0
2020-07-23,3343,760,1143,2195,5,25,45,104,0
2020-07-24,3495,785,1189,2300,6,26,46,108,0
2020-07-25,3651,811,1235,2410,6,26,47,112,0
2020-07-26,3811,836,1282,2523,6,25,47,116,0
2020-07-27,3977,862,1330,2641,6,25,48,121,0
2020-07-28,4149,887,1378,2764,7,25,49,125,0
2020-07-29,4324,912,1427,2890,7,25,49,129,0
2020-07-30,4504,936,1476,3021,7,24,49,134,0
2020-07-31,4690,960,1525,3157,8,24,50,138,0
2020-08-01,4880,983,1575,3297,8,23,50,143,0
2020-08-02,5074,1006,1625,3441,8,22,50,147,0
2020-08-03,5273,1028,1674,3590,9,21,49,152,0
2020-08-04,5476,1049,1723,3744,9,20,49,156,0
2020-08-05,5684,1069,1772,3902,10,19,48,161,0
2020-08-06,5894,1088,1820,4064,10,18,48,165,0
2020-08-07,6109,1105,1868,4231,10,17,47,169,0
2020-08-08,6327,1122,1914,4402,11,15,46,174,0
2020-08-09,6548,1136,1960,4577,11,14,45,178,0
2020-08-10,6772,1150,2004,4756,12,13,43,182,0
2020-08-11,6999,1162,2047,4940,12,11,42,186,0
2020-08-12,7228,1172,2088,5127,13,9,40,189,0
2020-08-13,7457,1181,2127,5317,13,8,38,193,0
2020-08-14,7690,1188,2165,5511,14,6,36,196,0
2020-08-15,7923,1193,2200,5709,14,4,34,199,0
2020-08-16,8158,1196,2233,5910,15,2,32,202,0
2020-08-17,8392,1198,2264,6113,15,0,29,205,1
2020-08-18,8627,1198,2292,6319,16,0,27,208,1
2020-08-19,8861,1196,2317,6528,16,0,24,210,1
2020-08-20,9096,1192,2340,6739,17,0,21,212,1
2020-08-21,9329,1186,2360,6952,17,0,18,214,1
2020-08-22,9562,1179,2377,7167,18,0,15,216,1
2020-08-23,9792,1170,2391,7383,18,0,12,217,1
2020-08-24,10021,1160,2402,7600,19,0,9,218,1
2020-08-25,10247,1148,2410,7818,19,0,6,219,1
2020-08-26,10472,1134,2415,8037,20,0,3,219,1
2020-08-27,10692,1119,2416,8256,20,0,0,219,1
2020-08-28,10911,1103,2415,8475,21,0,0,219,1
2020-08-29,11126,1086,2411,8694,21,0,0,219,1
2020-08-30,11337,1067,2403,8912,22,0,0,218,1
2020-08-31,11545,1047,2393,9130,22,0,0,217,1
2020-09-01,11749,1027,2380,9346,23,0,0,216,1
2020-09-02,11949,1006,2364,9561,24,0,0,214,1
2020-09-03,12144,983,2345,9775,24,0,0,213,1
2020-09-04,12336,961,2324,9987,25,0,0,211,1
2020-09-05,12522,938,2300,10197,25,0,0,209,1
2020-09-06,12705,914,2274,10405,26,0,0,206,1
2020-09-07,12881,890,2245,10610,26,0,0,204,1
2020-09-08,13055,866,2215,10813,27,0,0,201,0
2020-09-09,13222,841,2183,11012,27,0,0,198,0
2020-09-10,13386,817,2149,11209,28,0,0,195,0
2020-09-11,13544,792,2113,11403,28,0,0,192,0
2020-09-12,13698,768,2076,11593,29,0,0,188,0
2020-09-13,13846,744,2037,11780,29,0,0,185,0
2020-09-14,13990,719,1997,11964,29,0,0,181,0
2020-09-15,14129,696,1956,12143,30,0,0,177,0
2020-09-16,14263,672,1914,12319,30,0,0,174,0
2020-09-17,14394,649,1872,12491,31,0,0,170,0
2020-09-18,14520,626,1829,12660,31,0,0,166,0
2020-09-19,14641,604,1785,12824,32,0,0,162,0
2020-09-20,14757,582,1741,12984,32,0,0,158,0
2020-09-21,14870,560,1697,13141,32,0,0,154,0
2020-09-22,14978,539,1652,13293,33,0,0,150,0
2020-09-23,15083,519,1608,13442,33,0,0,146,0
2020-09-24,15182,499,1563,13586,33,0,0,142,0
2020-09-25,15279,479,1519,13726,34,0,0,138,0
2020-09-26,15371,461,1475,13862,34,0,0,134,0
2020-09-27,15461,442,1432,13995,34,0,0,130,0
2020-09-28,15546,425,1388,14123,35,0,0,126,0
2020-09-29,15628,407,1346,14247,35,0,0,122,0
2020-09-30,15706,391,1303,14368,35,0,0,118,0
2020-10-01,15783,375,1262,14485,36,0,0,114,0
2020-10-02,15855,359,1221,14598,36,0,0,111,0
2020-10-03,15924,344,1181,14707,36,0,0,107,0
2020-10-04,15990,330,1141,14813,36,0,0,103,0
2020-10-05,16054,316,1102,14915,37,0,0,100,0
2020-10-06,16115,303,1064,15014,37,0,0,97,0
2020-10-07,16173,290,1027,15109,37,0,0,93,0
2020-10-08,16229,278,991,15201,37,0,0,90,0
2020-10-09,16284,266,956,15290,38,0,0,87,0
2020-10-10,16334,254,921,15375,38,0,0,84,0
2020-10-11,16383,243,888,15457,38,0,0,81,0
2020-10-12,16430,233,855,15537,38,0,0,78,0
2020-10-13,16474,223,823,15613,38,0,0,75,0
2020-10-14,16518,213,792,15687,39,0,0,72,0
2020-10-15,16559,204,762,15758,39,0,0,69,0
2020-10-16,16598,195,733,15826,39,0,0,67,0
2020-10-17,16635,186,705,15891,39,0,0,64,0
2020-10-18,16671,178,678,15954,39,0,0,61,0
2020-10-19,16705,170,651,16015,39,0,0,59,0
2020-10-20,16739,163,626,16073,40,0,0,57,0
2020-10-21,16770,155,601,16129,40,0,0,55,0
2020-10-22,16800,148,577,16183,40,0,0,52,0
2020-10-23,16828,142,554,16234,40,0,0,50,0
2020-10-24,16856,136,532,16284,40,0,0,48,0
2020-10-25,16881,130,510,16331,40,0,0,46,0
2020-10-26,16907,124,490,16377,40,0,0,44,0
2020-10-27,16931,118,470,16421,40,0,0,43,0
2020-10-28,16954,113,451,16463,40,0,0,41,0
2020-10-29,16976,108,432,16503,41,0,0,39,0
2020-10-30,16996,103,414,16541,41,0,0,38,0
2020-10-31,17016,98,397,16578,41,0,0,36,0
2020-11-01,17035,94,380,16614,41,0,0,34,0
2020-11-02,17053,90,364,16648,41,0,0,33,0
2020-11-03,17070,86,349,16680,41,0,0,32,0
2020-11-04,17086,82,334,16711,41,0,0,30,0
2020-11-05,17102,78,320,16741,41,0,0,29,0
2020-11-06,17118,75,307,16770,41,0,0,28,0
2020-11-07,17132,71,294,16797,41,0,0,27,0
2020-11-08,17145,68,281,16823,41,0,0,26,0
2020-11-09,17159,65,269,16849,41,0,0,24,0
2020-11-10,17172,62,258,16873,41,0,0,23,0
2020-11-11,17185,59,247,16896,42,0,0,22,0
2020-11-12,17196,57,236,16918,42,0,0,21,0
2020-11-13,17207,54,226,16939,42,0,0,20,0
2020-11-14,17217,52,216,16959,42,0,0,20,0
2020-11-15,17227,49,207,16978,42,0,0,19,0
2020-11-16,17236,47,198,16996,42,0,0,18,0
2020-11-17,17245,45,189,17014,42,0,0,17,0
