Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-14,363,12,72,290,1,12,0,7,0
2020-07-15,366,23,69,296,1,10,0,6,0
2020-07-16,371,32,68,302,1,8,0,6,0
2020-07-17,377,39,68,308,1,6,1,6,0
2020-07-18,386,45,70,315,1,5,2,6,0
2020-07-19,395,50,73,321,1,5,3,7,0
2020-07-20,406,55,77,328,1,5,4,7,0
2020-07-21,417,60,81,335,1,5,4,7,0
2020-07-22,429,64,85,342,2,5,5,8,0
2020-07-23,442,69,90,350,2,5,5,8,0
2020-07-24,457,73,96,359,2,5,6,9,0
2020-07-25,470,78,101,367,2,5,6,9,0
2020-07-26,487,83,108,377,2,5,7,10,0
2020-07-27,503,88,114,387,2,5,7,10,0
2020-07-28,520,94,121,397,2,6,7,11,0
2020-07-29,540,99,129,409,2,6,8,12,0
2020-07-30,560,105,137,421,2,6,8,12,0
2020-07-31,580,111,145,433,2,6,9,13,0
2020-08-01,603,118,154,447,2,7,9,14,0
2020-08-02,626,125,163,461,2,7,10,15,0
2020-08-03,651,132,173,476,2,7,10,16,0
2020-08-04,677,139,183,492,2,8,11,17,0
2020-08-05,705,147,194,509,2,8,11,18,0
2020-08-06,734,154,205,527,2,8,12,19,0
2020-08-07,765,163,217,546,2,8,12,20,0
2020-08-08,799,171,230,566,3,9,13,21,0
2020-08-09,832,180,242,587,3,9,13,22,0
2020-08-10,869,189,256,610,3,9,14,23,0
2020-08-11,906,198,270,633,3,9,14,24,0
2020-08-12,945,208,284,658,3,10,15,26,0
2020-08-13,987,218,300,684,3,10,15,27,0
2020-08-14,1030,228,315,712,3,10,16,29,0
2020-08-15,1075,238,331,741,3,10,17,30,0
2020-08-16,1123,248,348,772,3,10,17,32,0
2020-08-17,1173,259,365,804,4,10,17,33,0
2020-08-18,1224,269,383,837,4,11,18,35,0
2020-08-19,1278,280,401,873,4,11,18,36,0
2020-08-20,1333,290,419,910,4,10,19,38,0
2020-08-21,1390,300,438,948,4,10,19,40,0
2020-08-22,1451,311,458,989,4,10,19,41,0
2020-08-23,1513,321,477,1031,5,10,20,43,0
2020-08-24,1576,331,497,1074,5,10,20,45,0
2020-08-25,1641,341,516,1120,5,9,20,47,0
2020-08-26,1708,350,536,1167,5,9,20,49,0
2020-08-27,1778,359,556,1217,5,9,20,50,0
2020-08-28,1850,367,576,1268,6,8,20,52,0
2020-08-29,1921,375,595,1320,6,8,19,54,0
2020-08-30,1996,383,615,1375,6,7,19,56,0
2020-08-31,2071,389,634,1431,6,6,19,57,0
2020-09-01,2148,395,652,1489,7,6,18,59,0
2020-09-02,2226,401,670,1549,7,5,18,61,0
2020-09-03,2305,405,688,1610,7,4,17,62,0
2020-09-04,2384,409,704,1673,7,3,16,64,0
2020-09-05,2465,412,720,1737,8,2,15,65,0
2020-09-06,2546,414,735,1803,8,2,14,67,0
2020-09-07,2627,415,749,1870,8,1,13,68,0
2020-09-08,2709,415,762,1938,9,0,12,69,0
2020-09-09,2791,415,774,2008,9,0,11,70,0
2020-09-10,2871,413,784,2078,9,0,10,71,0
2020-09-11,2953,411,794,2149,10,0,8,72,0
2020-09-12,3033,408,802,2221,10,0,7,73,0
2020-09-13,3112,404,808,2294,10,0,6,73,0
2020-09-14,3192,399,813,2368,11,0,4,74,0
2020-09-15,3269,394,817,2441,11,0,3,74,0
2020-09-16,3346,387,820,2515,11,0,1,74,0
2020-09-17,3421,381,820,2590,11,0,0,74,0
2020-09-18,3496,373,820,2664,12,0,0,74,0
2020-09-19,3568,365,818,2738,12,0,0,74,0
2020-09-20,3639,357,815,2812,12,0,0,74,0
2020-09-21,3708,348,810,2885,13,0,0,73,0
2020-09-22,3776,339,804,2959,13,0,0,73,0
2020-09-23,3841,329,797,3031,13,0,0,72,0
2020-09-24,3906,320,789,3103,14,0,0,71,0
2020-09-25,3967,310,779,3174,14,0,0,71,0
2020-09-26,4027,300,769,3244,14,0,0,70,0
2020-09-27,4086,290,757,3314,15,0,0,69,0
2020-09-28,4142,280,745,3382,15,0,0,67,0
2020-09-29,4196,269,732,3449,15,0,0,66,0
2020-09-30,4248,259,718,3514,16,0,0,65,0
2020-10-01,4298,249,703,3579,16,0,0,64,0
2020-10-02,4346,239,688,3642,16,0,0,62,0
2020-10-03,4392,230,672,3704,16,0,0,61,0
2020-10-04,4437,220,656,3764,17,0,0,59,0
2020-10-05,4479,211,639,3823,17,0,0,58,0
2020-10-06,4520,202,623,3880,17,0,0,56,0
2020-10-07,4558,193,605,3936,17,0,0,55,0
2020-10-08,4596,184,588,3990,18,0,0,53,0
