Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-14,4108,478,817,3265,26,0,19,74,1
2020-07-15,4201,473,835,3339,27,0,17,75,1
2020-07-16,4293,470,851,3415,27,0,15,77,1
2020-07-17,4386,469,866,3492,28,0,13,78,1
2020-07-18,4478,470,878,3571,29,1,12,79,1
2020-07-19,4570,472,890,3651,29,2,12,80,1
2020-07-20,4663,474,902,3731,30,3,11,81,1
2020-07-21,4756,477,913,3813,30,3,11,82,1
2020-07-22,4850,481,923,3896,31,4,10,83,1
2020-07-23,4945,485,934,3979,32,4,10,84,1
2020-07-24,5040,489,944,4064,32,4,10,85,1
2020-07-25,5136,493,954,4149,33,4,10,86,1
2020-07-26,5234,497,964,4236,34,4,10,87,1
2020-07-27,5331,502,973,4323,35,4,10,88,1
2020-07-28,5429,506,983,4411,35,5,10,89,1
2020-07-29,5529,511,993,4500,36,5,10,90,1
2020-07-30,5630,515,1003,4590,37,5,10,90,1
2020-07-31,5731,520,1013,4681,37,5,10,91,1
2020-08-01,5833,525,1023,4772,38,5,10,92,1
2020-08-02,5937,529,1033,4865,39,5,10,93,1
2020-08-03,6041,534,1043,4958,40,5,10,94,1
2020-08-04,6146,539,1053,5053,40,5,10,95,1
2020-08-05,6252,544,1063,5148,41,5,10,96,1
2020-08-06,6359,548,1073,5244,42,5,10,97,1
2020-08-07,6467,553,1083,5341,43,5,10,98,1
2020-08-08,6575,558,1093,5439,43,5,10,99,1
2020-08-09,6685,563,1103,5538,44,5,10,99,1
2020-08-10,6796,567,1113,5638,45,5,10,100,1
2020-08-11,6908,572,1123,5739,46,5,10,101,1
2020-08-12,7020,577,1133,5840,47,5,10,102,1
2020-08-13,7134,581,1143,5943,48,5,10,103,1
2020-08-14,7247,586,1153,6046,48,5,10,104,1
2020-08-15,7363,591,1163,6151,49,5,10,105,1
2020-08-16,7479,596,1173,6256,50,5,10,106,1
2020-08-17,7596,600,1183,6362,51,5,10,107,1
2020-08-18,7715,605,1194,6469,52,5,10,108,1
2020-08-19,7834,610,1204,6577,53,5,10,109,1
2020-08-20,7953,614,1214,6686,53,5,10,109,1
2020-08-21,8074,619,1224,6796,54,5,10,110,1
2020-08-22,8195,624,1234,6906,55,5,10,111,1
2020-08-23,8318,628,1244,7018,56,5,10,112,1
2020-08-24,8442,633,1254,7131,57,5,10,113,1
2020-08-25,8566,637,1264,7244,58,5,10,114,1
2020-08-26,8691,642,1274,7358,59,5,10,115,1
2020-08-27,8818,646,1284,7474,60,5,10,116,1
2020-08-28,8945,651,1294,7590,61,4,10,117,1
2020-08-29,9073,655,1304,7707,62,4,10,118,1
2020-08-30,9202,660,1314,7825,63,4,10,119,1
2020-08-31,9331,664,1324,7944,63,4,10,119,1
2020-09-01,9461,669,1334,8063,64,4,10,120,1
2020-09-02,9593,673,1344,8184,65,4,10,121,1
2020-09-03,9726,677,1354,8306,66,4,10,122,1
2020-09-04,9858,682,1363,8428,67,4,10,123,1
2020-09-05,9992,686,1373,8551,68,4,10,124,1
2020-09-06,10127,690,1383,8675,69,4,10,125,1
2020-09-07,10262,694,1392,8800,70,4,10,126,1
2020-09-08,10399,699,1402,8926,71,4,10,126,1
2020-09-09,10536,703,1411,9053,72,4,9,127,1
2020-09-10,10675,707,1421,9181,73,4,9,128,1
2020-09-11,10813,711,1430,9309,74,4,9,129,1
2020-09-12,10954,715,1440,9439,75,4,9,130,1
2020-09-13,11094,719,1449,9569,76,4,9,131,1
2020-09-14,11236,723,1458,9700,78,4,9,131,1
2020-09-15,11377,727,1467,9831,79,4,9,132,1
2020-09-16,11520,730,1476,9964,80,4,9,133,1
2020-09-17,11664,734,1485,10098,81,4,9,134,1
2020-09-18,11808,738,1494,10232,82,4,9,135,1
2020-09-19,11953,741,1503,10367,83,4,9,136,1
2020-09-20,12099,745,1512,10503,84,4,9,136,1
2020-09-21,12244,749,1520,10639,85,4,9,137,1
2020-09-22,12392,752,1529,10777,86,3,8,138,1
2020-09-23,12539,755,1537,10915,87,3,8,139,1
2020-09-24,12688,759,1546,11054,88,3,8,139,1
2020-09-25,12836,762,1554,11193,89,3,8,140,1
2020-09-26,12987,765,1562,11334,91,3,8,141,1
2020-09-27,13137,769,1570,11475,92,3,8,142,1
2020-09-28,13288,772,1578,11617,93,3,8,142,1
2020-09-29,13439,775,1586,11759,94,3,8,143,1
2020-09-30,13591,778,1593,11903,95,3,8,144,1
2020-10-01,13744,781,1601,12047,96,3,8,144,1
2020-10-02,13896,783,1608,12191,97,3,7,145,1
2020-10-03,14052,786,1616,12337,99,3,7,146,1
2020-10-04,14206,789,1623,12483,100,3,7,146,1
2020-10-05,14360,792,1630,12629,101,3,7,147,1
2020-10-06,14515,794,1637,12776,102,3,7,148,1
2020-10-07,14671,797,1644,12924,103,2,7,148,1
2020-10-08,14828,799,1651,13073,104,2,7,149,1
2020-10-09,14985,801,1657,13222,106,2,6,149,1
2020-10-10,15143,804,1664,13372,107,2,6,150,1
2020-10-11,15300,806,1670,13522,108,2,6,151,1
2020-10-12,15458,808,1676,13673,109,2,6,151,1
2020-10-13,15616,810,1682,13824,110,2,6,152,1
2020-10-14,15776,812,1688,13976,112,2,6,152,1
2020-10-15,15935,814,1694,14128,113,2,6,153,1
2020-10-16,16094,816,1699,14281,114,2,5,153,1
2020-10-17,16254,817,1704,14435,115,2,5,154,1
2020-10-18,16416,819,1710,14589,117,2,5,154,1
2020-10-19,16576,820,1715,14743,118,1,5,155,1
2020-10-20,16737,822,1720,14898,119,1,5,155,1
2020-10-21,16897,823,1724,15053,120,1,5,156,1
2020-10-22,17060,824,1729,15209,122,1,4,156,1
2020-10-23,17221,826,1733,15365,123,1,4,156,1
2020-10-24,17383,827,1738,15521,124,1,4,157,1
2020-10-25,17545,828,1742,15678,125,1,4,157,1
2020-10-26,17708,829,1746,15835,127,1,4,157,1
2020-10-27,17870,829,1749,15993,128,1,4,158,1
2020-10-28,18033,830,1753,16151,129,1,3,158,1
2020-10-29,18195,831,1756,16309,130,1,3,158,1
2020-10-30,18358,831,1759,16467,132,1,3,159,1
2020-10-31,18521,832,1762,16626,133,0,3,159,1
2020-11-01,18684,832,1765,16785,134,0,3,159,1
2020-11-02,18848,833,1768,16945,135,0,3,159,1
2020-11-03,19011,833,1770,17104,137,0,2,160,1
2020-11-04,19175,833,1773,17264,138,0,2,160,1
2020-11-05,19338,833,1775,17424,139,0,2,160,1
2020-11-06,19502,833,1777,17584,141,0,2,160,1
2020-11-07,19665,833,1779,17744,142,0,2,160,1
2020-11-08,19828,833,1780,17905,143,0,1,161,1
2020-11-09,19990,832,1781,18065,144,0,1,161,1
2020-11-10,20155,832,1783,18226,146,0,1,161,1
2020-11-11,20318,831,1784,18387,147,0,1,161,1
2020-11-12,20480,831,1784,18548,148,0,1,161,1
2020-11-13,20644,830,1785,18709,150,0,1,161,1
2020-11-14,20806,829,1785,18870,151,0,0,161,1
2020-11-15,20969,829,1786,19031,152,0,0,161,1
2020-11-16,21131,828,1786,19192,153,0,0,161,1
2020-11-17,21294,827,1786,19353,155,0,0,161,1
2020-11-18,21455,826,1785,19514,156,0,0,161,1
2020-11-19,21617,824,1785,19675,157,0,0,161,1
2020-11-20,21779,823,1784,19836,159,0,0,161,1
2020-11-21,21940,822,1783,19997,160,0,0,161,1
2020-11-22,22101,820,1782,20158,161,0,0,161,1
2020-11-23,22261,819,1781,20318,162,0,0,161,1
2020-11-24,22422,817,1779,20479,164,0,0,160,1
2020-11-25,22582,815,1778,20639,165,0,0,160,1
2020-11-26,22741,814,1776,20799,166,0,0,160,1
2020-11-27,22902,812,1774,20960,168,0,0,160,1
2020-11-28,23061,810,1772,21120,169,0,0,160,1
2020-11-29,23219,808,1770,21279,170,0,0,160,1
2020-11-30,23377,806,1767,21439,171,0,0,159,1
2020-12-01,23535,804,1764,21598,173,0,0,159,1
2020-12-02,23692,801,1761,21757,174,0,0,159,1
2020-12-03,23849,799,1758,21916,175,0,0,159,1
2020-12-04,24005,797,1755,22074,176,0,0,158,1
2020-12-05,24162,794,1752,22232,178,0,0,158,1
2020-12-06,24317,792,1748,22390,179,0,0,158,1
2020-12-07,24472,789,1744,22548,180,0,0,157,1
2020-12-08,24626,786,1740,22705,181,0,0,157,1
2020-12-09,24781,784,1736,22862,183,0,0,157,1
2020-12-10,24934,781,1732,23018,184,0,0,156,1
2020-12-11,25087,778,1728,23174,185,0,0,156,1
2020-12-12,25239,775,1723,23330,186,0,0,155,1
2020-12-13,25391,772,1718,23485,188,0,0,155,1
2020-12-14,25542,769,1713,23640,189,0,0,155,1
2020-12-15,25692,766,1708,23794,190,0,0,154,1
2020-12-16,25842,763,1703,23948,191,0,0,154,1
2020-12-17,25993,759,1698,24102,193,0,0,153,1
2020-12-18,26141,756,1692,24255,194,0,0,153,1
2020-12-19,26289,753,1687,24407,195,0,0,152,1
2020-12-20,26436,749,1681,24559,196,0,0,152,1
2020-12-21,26584,746,1675,24711,198,0,0,151,1
2020-12-22,26729,742,1669,24861,199,0,0,151,1
2020-12-23,26875,739,1663,25012,200,0,0,150,1
2020-12-24,27018,735,1656,25161,201,0,0,149,1
2020-12-25,27163,731,1650,25311,202,0,0,149,1
2020-12-26,27305,728,1643,25459,203,0,0,148,1
2020-12-27,27448,724,1636,25607,205,0,0,148,1
2020-12-28,27590,720,1630,25754,206,0,0,147,1
2020-12-29,27731,716,1623,25901,207,0,0,146,1
2020-12-30,27870,712,1615,26047,208,0,0,146,1
2020-12-31,28010,708,1608,26193,209,0,0,145,1
2021-01-01,28150,704,1601,26338,211,0,0,144,1
2021-01-02,28287,700,1593,26482,212,0,0,144,1
2021-01-03,28424,696,1586,26625,213,0,0,143,1
2021-01-04,28560,692,1578,26768,214,0,0,142,1
2021-01-05,28695,688,1570,26910,215,0,0,142,1
2021-01-06,28829,684,1562,27051,216,0,0,141,1
2021-01-07,28963,680,1554,27192,217,0,0,140,1
2021-01-08,29096,675,1546,27332,218,0,0,139,1
2021-01-09,29229,671,1538,27471,220,0,0,139,1
2021-01-10,29360,667,1530,27609,221,0,0,138,1
2021-01-11,29490,662,1521,27747,222,0,0,137,1
2021-01-12,29620,658,1513,27884,223,0,0,136,1
2021-01-13,29749,654,1505,28020,224,0,0,136,1
2021-01-14,29877,649,1496,28156,225,0,0,135,1
2021-01-15,30003,645,1487,28290,226,0,0,134,1
2021-01-16,30129,641,1478,28424,227,0,0,133,1
2021-01-17,30255,636,1470,28557,228,0,0,133,1
2021-01-18,30379,632,1461,28689,229,0,0,132,1
2021-01-19,30503,627,1452,28821,230,0,0,131,1
2021-01-20,30625,623,1443,28951,231,0,0,130,1
2021-01-21,30747,618,1434,29081,232,0,0,129,1
2021-01-22,30867,613,1424,29210,233,0,0,128,1
2021-01-23,30988,609,1415,29338,235,0,0,128,1
2021-01-24,31108,604,1406,29466,236,0,0,127,1
2021-01-25,31226,600,1397,29592,237,0,0,126,1
2021-01-26,31343,595,1387,29718,238,0,0,125,1
2021-01-27,31460,591,1378,29843,239,0,0,124,1
2021-01-28,31575,586,1368,29967,240,0,0,123,1
2021-01-29,31690,581,1359,30090,241,0,0,123,1
2021-01-30,31802,577,1349,30212,241,0,0,122,1
2021-01-31,31915,572,1340,30333,242,0,0,121,1
2021-02-01,32027,568,1330,30454,243,0,0,120,1
2021-02-02,32137,563,1320,30573,244,0,0,119,1
2021-02-03,32248,558,1311,30692,245,0,0,118,1
2021-02-04,32357,554,1301,30810,246,0,0,117,1
2021-02-05,32465,549,1291,30927,247,0,0,116,1
2021-02-06,32573,545,1282,31043,248,0,0,116,1
2021-02-07,32679,540,1272,31158,249,0,0,115,1
2021-02-08,32785,535,1262,31273,250,0,0,114,1
2021-02-09,32889,531,1252,31386,251,0,0,113,1
2021-02-10,32994,526,1243,31499,252,0,0,112,1
2021-02-11,33097,521,1233,31611,253,0,0,111,1
2021-02-12,33198,517,1223,31721,254,0,0,110,1
2021-02-13,33298,512,1213,31831,254,0,0,109,1
2021-02-14,33399,508,1203,31941,255,0,0,109,1
2021-02-15,33498,503,1193,32049,256,0,0,108,1
2021-02-16,33597,499,1184,32156,257,0,0,107,1
2021-02-17,33694,494,1174,32262,258,0,0,106,1
2021-02-18,33791,490,1164,32368,259,0,0,105,1
2021-02-19,33887,485,1154,32473,260,0,0,104,1
2021-02-20,33980,481,1144,32576,260,0,0,103,1
2021-02-21,34075,476,1135,32679,261,0,0,102,1
2021-02-22,34168,472,1125,32781,262,0,0,101,1
2021-02-23,34260,467,1115,32882,263,0,0,101,1
2021-02-24,34352,463,1105,32983,264,0,0,100,1
2021-02-25,34442,458,1096,33082,264,0,0,99,1
2021-02-26,34531,454,1086,33180,265,0,0,98,1
2021-02-27,34620,450,1076,33278,266,0,0,97,1
2021-02-28,34708,445,1066,33375,267,0,0,96,1
2021-03-01,34796,441,1057,33471,268,0,0,95,1
2021-03-02,34881,436,1047,33566,268,0,0,94,1
2021-03-03,34967,432,1038,33660,269,0,0,94,1
2021-03-04,35051,428,1028,33753,270,0,0,93,1
2021-03-05,35134,424,1018,33845,271,0,0,92,1
2021-03-06,35217,419,1009,33937,271,0,0,91,1
2021-03-07,35299,415,999,34028,272,0,0,90,1
2021-03-08,35380,411,990,34117,273,0,0,89,1
2021-03-09,35460,407,981,34206,273,0,0,88,1
2021-03-10,35539,403,971,34294,274,0,0,88,1
2021-03-11,35619,398,962,34382,275,0,0,87,1
2021-03-12,35697,394,953,34468,276,0,0,86,1
2021-03-13,35773,390,943,34554,276,0,0,85,1
2021-03-14,35850,386,934,34639,277,0,0,84,1
2021-03-15,35925,382,925,34722,278,0,0,83,1
2021-03-16,36000,378,916,34806,278,0,0,83,1
2021-03-17,36074,374,907,34888,279,0,0,82,1
2021-03-18,36147,370,898,34969,280,0,0,81,1
2021-03-19,36219,366,889,35050,280,0,0,80,1
2021-03-20,36291,362,880,35130,281,0,0,79,1
2021-03-21,36361,358,871,35209,281,0,0,79,1
2021-03-22,36431,355,862,35287,282,0,0,78,1
2021-03-23,36501,351,853,35365,283,0,0,77,1
