Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-07,6080,239,1390,4674,16,104,0,126,0
2020-07-08,6134,332,1320,4797,17,77,0,120,0
2020-07-09,6205,401,1273,4915,17,57,0,115,0
2020-07-10,6287,453,1241,5029,17,43,0,112,0
2020-07-11,6380,492,1221,5141,18,32,0,111,0
2020-07-12,6478,521,1209,5251,18,24,0,110,0
2020-07-13,6581,543,1203,5360,18,19,0,109,0
2020-07-14,6689,560,1201,5469,19,14,1,109,0
2020-07-15,6800,573,1203,5578,19,11,3,109,0
2020-07-16,6914,583,1207,5687,20,9,5,109,0
2020-07-17,7029,591,1212,5797,20,7,6,110,0
2020-07-18,7145,598,1218,5907,20,5,6,110,0
2020-07-19,7262,602,1224,6017,21,4,7,111,0
2020-07-20,7380,606,1231,6128,21,3,7,112,0
2020-07-21,7499,609,1238,6240,21,3,7,112,0
2020-07-22,7620,612,1245,6353,22,2,7,113,0
2020-07-23,7740,614,1252,6466,22,1,7,113,0
2020-07-24,7860,615,1258,6579,23,1,6,114,0
2020-07-25,7981,616,1264,6694,23,1,6,115,0
2020-07-26,8101,616,1270,6808,23,0,5,115,0
2020-07-27,8223,616,1275,6924,24,0,5,116,0
2020-07-28,8343,616,1280,7039,24,0,4,116,0
2020-07-29,8464,615,1284,7155,25,0,4,116,0
2020-07-30,8585,614,1288,7272,25,0,3,117,0
2020-07-31,8705,613,1291,7389,25,0,3,117,0
2020-08-01,8825,611,1293,7506,26,0,2,117,0
2020-08-02,8945,609,1296,7623,26,0,2,117,0
2020-08-03,9064,607,1297,7740,27,0,1,118,0
2020-08-04,9183,605,1298,7858,27,0,1,118,0
2020-08-05,9300,602,1298,7975,27,0,0,118,0
2020-08-06,9419,599,1298,8093,28,0,0,118,0
2020-08-07,9536,596,1297,8211,28,0,0,118,0
2020-08-08,9653,592,1296,8328,29,0,0,117,0
2020-08-09,9768,589,1294,8445,29,0,0,117,0
