Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-25,2207,1457,2207,0,0,0,85,0,0
2020-06-26,2287,1429,2287,0,0,0,72,0,0
2020-06-27,2356,1412,2356,0,0,0,63,0,0
2020-06-28,2415,1402,2415,0,0,0,55,0,0
2020-06-29,2468,1397,2468,0,0,0,49,0,0
2020-06-30,2516,1394,2516,0,0,0,45,0,0
2020-07-01,2559,1394,2559,0,0,1,41,0,0
2020-07-02,2599,1395,2599,0,0,1,37,0,0
2020-07-03,2635,1396,2635,0,0,1,34,0,0
2020-07-04,2668,1397,2668,0,0,1,31,0,0
2020-07-05,2698,1398,2698,0,0,0,29,0,0
2020-07-06,2726,1398,2726,0,0,0,26,0,0
2020-07-07,2751,1397,2751,0,0,0,24,0,0
2020-07-08,2774,1395,2774,0,0,0,21,0,0
2020-07-09,2795,1392,2795,0,0,0,19,0,0
2020-07-10,2813,1388,2813,0,0,0,17,0,0
2020-07-11,2828,1383,2828,0,0,0,14,0,0
2020-07-12,2842,1377,2842,0,0,0,12,0,0
2020-07-13,2852,1369,2852,0,0,0,9,0,0
2020-07-14,2861,1361,2861,0,0,0,7,0,0
2020-07-15,2866,1351,2866,0,0,0,4,0,0
2020-07-16,2870,1340,2870,0,0,0,2,0,0
2020-07-17,2871,1328,2871,0,0,0,0,0,0
2020-07-18,2869,1315,2869,0,0,0,0,0,0
2020-07-19,2865,1301,2865,0,0,0,0,0,0
2020-07-20,2859,1286,2859,0,0,0,0,0,0
2020-07-21,2850,1270,2850,0,0,0,0,0,0
2020-07-22,2839,1253,2839,0,0,0,0,0,0
2020-07-23,2826,1236,2826,0,0,0,0,0,0
2020-07-24,2811,1218,2811,0,0,0,0,0,0
2020-07-25,2793,1199,2793,0,0,0,0,0,0
2020-07-26,2774,1179,2774,0,0,0,0,0,0
2020-07-27,2752,1159,2752,0,0,0,0,0,0
2020-07-28,2728,1139,2728,0,0,0,0,0,0
2020-07-29,2703,1118,2703,0,0,0,0,0,0
2020-07-30,2676,1096,2676,0,0,0,0,0,0
2020-07-31,2647,1075,2647,0,0,0,0,0,0
2020-08-01,2616,1053,2616,0,0,0,0,0,0
2020-08-02,2584,1030,2584,0,0,0,0,0,0
2020-08-03,2551,1008,2551,0,0,0,0,0,0
2020-08-04,2516,985,2516,0,0,0,0,0,0
2020-08-05,2480,963,2480,0,0,0,0,0,0
2020-08-06,2443,940,2443,0,0,0,0,0,0
2020-08-07,2405,918,2405,0,0,0,0,0,0
2020-08-08,2366,895,2366,0,0,0,0,0,0
2020-08-09,2326,873,2326,0,0,0,0,0,0
2020-08-10,2285,850,2285,0,0,0,0,0,0
2020-08-11,2244,828,2244,0,0,0,0,0,0
2020-08-12,2202,806,2202,0,0,0,0,0,0
2020-08-13,2160,784,2160,0,0,0,0,0,0
2020-08-14,2117,763,2117,0,0,0,0,0,0
2020-08-15,2074,742,2074,0,0,0,0,0,0
2020-08-16,2031,721,2031,0,0,0,0,0,0
2020-08-17,1988,700,1988,0,0,0,0,0,0
2020-08-18,1944,680,1944,0,0,0,0,0,0
2020-08-19,1901,660,1901,0,0,0,0,0,0
2020-08-20,1858,640,1858,0,0,0,0,0,0
2020-08-21,1814,621,1814,0,0,0,0,0,0
2020-08-22,1771,602,1771,0,0,0,0,0,0
2020-08-23,1728,584,1728,0,0,0,0,0,0
2020-08-24,1686,566,1686,0,0,0,0,0,0
2020-08-25,1644,548,1644,0,0,0,0,0,0
2020-08-26,1602,531,1602,0,0,0,0,0,0
2020-08-27,1560,514,1560,0,0,0,0,0,0
2020-08-28,1519,497,1519,0,0,0,0,0,0
2020-08-29,1479,481,1479,0,0,0,0,0,0
2020-08-30,1439,466,1439,0,0,0,0,0,0
2020-08-31,1400,450,1400,0,0,0,0,0,0
2020-09-01,1361,436,1361,0,0,0,0,0,0
2020-09-02,1323,421,1323,0,0,0,0,0,0
2020-09-03,1286,407,1286,0,0,0,0,0,0
2020-09-04,1249,393,1249,0,0,0,0,0,0
2020-09-05,1213,380,1213,0,0,0,0,0,0
2020-09-06,1177,367,1177,0,0,0,0,0,0
2020-09-07,1142,355,1142,0,0,0,0,0,0
2020-09-08,1108,343,1108,0,0,0,0,0,0
2020-09-09,1075,331,1075,0,0,0,0,0,0
2020-09-10,1043,320,1043,0,0,0,0,0,0
2020-09-11,1011,308,1011,0,0,0,0,0,0
2020-09-12,980,298,980,0,0,0,0,0,0
2020-09-13,949,287,949,0,0,0,0,0,0
2020-09-14,919,277,919,0,0,0,0,0,0
2020-09-15,891,268,891,0,0,0,0,0,0
2020-09-16,862,258,862,0,0,0,0,0,0
2020-09-17,835,249,835,0,0,0,0,0,0
2020-09-18,808,240,808,0,0,0,0,0,0
2020-09-19,782,232,782,0,0,0,0,0,0
2020-09-20,757,223,757,0,0,0,0,0,0
2020-09-21,732,216,732,0,0,0,0,0,0
2020-09-22,708,208,708,0,0,0,0,0,0
2020-09-23,685,200,685,0,0,0,0,0,0
2020-09-24,662,193,662,0,0,0,0,0,0
2020-09-25,640,186,640,0,0,0,0,0,0
2020-09-26,618,180,618,0,0,0,0,0,0
2020-09-27,598,173,598,0,0,0,0,0,0
2020-09-28,577,167,577,0,0,0,0,0,0
2020-09-29,558,161,558,0,0,0,0,0,0
