Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-08,301,14,68,232,1,7,0,6,0
2020-07-09,304,21,65,238,1,6,0,6,0
2020-07-10,309,26,64,244,1,4,0,6,0
2020-07-11,314,30,63,250,1,4,0,6,0
2020-07-12,321,33,64,256,1,3,1,6,0
2020-07-13,328,36,65,262,1,3,1,6,0
2020-07-14,334,38,66,267,1,2,2,6,0
2020-07-15,342,41,68,273,1,2,2,6,0
2020-07-16,350,43,69,280,1,2,2,6,0
2020-07-17,359,44,72,286,1,2,2,6,0
2020-07-18,368,46,74,293,1,2,2,7,0
2020-07-19,376,48,76,299,1,2,3,7,0
2020-07-20,386,50,79,306,1,2,3,7,0
2020-07-21,396,52,81,314,1,2,3,7,0
2020-07-22,406,54,84,321,1,2,3,8,0
2020-07-23,417,56,87,329,1,2,3,8,0
2020-07-24,428,58,90,337,1,2,3,8,0
2020-07-25,439,60,93,345,1,2,3,8,0
2020-07-26,452,62,97,354,1,2,3,9,0
2020-07-27,463,64,100,362,1,2,3,9,0
2020-07-28,476,66,103,372,1,2,4,9,0
2020-07-29,489,68,107,381,1,2,4,10,0
2020-07-30,503,71,111,391,1,2,4,10,0
2020-07-31,517,73,115,401,1,2,4,10,0
2020-08-01,531,76,118,412,1,3,4,11,0
2020-08-02,546,78,123,422,1,3,4,11,0
2020-08-03,562,81,127,434,1,3,4,11,0
2020-08-04,577,84,131,445,1,3,4,12,0
2020-08-05,594,86,136,457,1,3,5,12,0
2020-08-06,611,89,140,470,1,3,5,13,0
2020-08-07,629,92,145,483,1,3,5,13,0
2020-08-08,648,95,150,496,2,3,5,14,0
2020-08-09,667,99,155,510,2,3,5,14,0
2020-08-10,687,102,161,524,2,3,5,15,0
2020-08-11,707,105,166,539,2,3,6,15,0
2020-08-12,728,109,172,554,2,4,6,16,0
2020-08-13,749,112,177,570,2,4,6,16,0
2020-08-14,771,116,183,586,2,4,6,17,0
2020-08-15,795,120,190,603,2,4,6,17,0
2020-08-16,818,124,196,620,2,4,6,18,0
2020-08-17,842,128,202,638,2,4,7,18,0
2020-08-18,868,132,209,657,2,4,7,19,0
2020-08-19,894,136,216,676,2,4,7,20,0
2020-08-20,921,141,223,696,2,4,7,20,0
2020-08-21,949,145,231,716,2,5,7,21,0
2020-08-22,978,150,238,738,2,5,8,22,0
2020-08-23,1007,155,246,759,2,5,8,22,0
2020-08-24,1038,159,254,782,2,5,8,23,0
2020-08-25,1069,164,262,805,2,5,8,24,0
2020-08-26,1103,170,271,829,3,5,9,25,0
2020-08-27,1136,175,279,854,3,5,9,25,0
2020-08-28,1171,180,288,880,3,5,9,26,0
2020-08-29,1207,186,298,906,3,6,9,27,0
2020-08-30,1244,191,307,934,3,6,10,28,0
2020-08-31,1282,197,317,962,3,6,10,29,0
2020-09-01,1321,203,327,991,3,6,10,30,0
2020-09-02,1361,209,337,1021,3,6,10,31,0
2020-09-03,1403,216,348,1052,3,6,11,31,0
2020-09-04,1444,222,358,1083,3,6,11,32,0
2020-09-05,1488,228,369,1116,3,7,11,33,0
2020-09-06,1534,235,381,1150,3,7,11,35,0
2020-09-07,1581,242,392,1185,4,7,12,36,0
2020-09-08,1629,249,404,1221,4,7,12,37,0
2020-09-09,1678,256,416,1258,4,7,12,38,0
2020-09-10,1729,263,429,1296,4,7,13,39,0
2020-09-11,1780,270,441,1335,4,7,13,40,0
2020-09-12,1834,278,454,1376,4,8,13,41,0
2020-09-13,1890,285,468,1418,4,8,13,42,0
2020-09-14,1945,293,481,1460,4,8,14,44,0
2020-09-15,2004,301,495,1504,5,8,14,45,0
2020-09-16,2064,309,509,1550,5,8,14,46,0
2020-09-17,2124,317,523,1596,5,8,15,47,0
2020-09-18,2187,325,538,1644,5,8,15,49,0
2020-09-19,2252,333,553,1694,5,8,15,50,0
2020-09-20,2317,342,568,1744,5,8,15,52,0
2020-09-21,2385,350,584,1796,5,9,16,53,0
2020-09-22,2455,359,599,1850,6,9,16,54,0
2020-09-23,2526,367,615,1905,6,9,16,56,0
2020-09-24,2599,376,632,1961,6,9,16,57,0
2020-09-25,2673,385,648,2019,6,9,17,59,0
2020-09-26,2749,394,665,2078,6,9,17,60,0
2020-09-27,2828,403,682,2139,7,9,17,62,0
2020-09-28,2907,412,699,2201,7,9,17,63,0
2020-09-29,2988,421,716,2265,7,9,17,65,0
2020-09-30,3071,430,733,2331,7,9,18,66,0
2020-10-01,3156,439,751,2398,7,9,18,68,0
2020-10-02,3242,448,769,2466,7,9,18,70,0
2020-10-03,3332,457,787,2537,8,9,18,71,0
2020-10-04,3421,466,805,2608,8,9,18,73,0
2020-10-05,3513,474,823,2682,8,9,18,75,0
2020-10-06,3606,483,841,2757,8,9,18,76,0
2020-10-07,3702,492,859,2834,9,9,18,78,0
2020-10-08,3800,501,878,2913,9,9,18,80,0
2020-10-09,3898,510,896,2993,9,9,18,81,0
2020-10-10,3999,518,915,3075,9,8,18,83,0
2020-10-11,4101,527,933,3158,10,8,18,85,0
2020-10-12,4205,535,952,3243,10,8,18,86,0
2020-10-13,4310,543,970,3330,10,8,18,88,0
2020-10-14,4417,551,988,3419,10,8,18,90,0
2020-10-15,4526,559,1006,3509,11,8,18,91,0
2020-10-16,4636,566,1024,3601,11,7,18,93,0
2020-10-17,4747,574,1042,3694,11,7,18,94,0
2020-10-18,4861,581,1060,3789,12,7,18,96,0
2020-10-19,4975,588,1077,3886,12,7,17,98,0
2020-10-20,5091,595,1095,3984,12,7,17,99,0
2020-10-21,5208,601,1112,4084,12,6,17,101,0
2020-10-22,5326,607,1128,4185,13,6,16,102,0
2020-10-23,5446,613,1145,4288,13,6,16,104,0
2020-10-24,5566,619,1161,4392,13,5,16,105,0
2020-10-25,5688,624,1176,4498,14,5,15,107,0
2020-10-26,5810,629,1191,4605,14,5,15,108,0
2020-10-27,5934,633,1206,4714,14,4,15,109,0
2020-10-28,6060,638,1221,4824,15,4,14,111,0
2020-10-29,6184,641,1234,4935,15,4,14,112,0
2020-10-30,6310,645,1248,5047,15,3,13,113,0
2020-10-31,6438,648,1261,5161,16,3,12,114,0
2020-11-01,6564,651,1273,5275,16,2,12,115,0
2020-11-02,6691,653,1284,5391,16,2,11,116,0
2020-11-03,6821,655,1296,5508,17,2,11,117,0
2020-11-04,6949,657,1306,5626,17,1,10,118,0
2020-11-05,7077,658,1316,5744,17,1,9,119,0
2020-11-06,7207,659,1325,5864,18,1,9,120,0
2020-11-07,7335,659,1333,5984,18,0,8,121,0
2020-11-08,7465,659,1341,6105,19,0,7,122,0
2020-11-09,7594,658,1348,6227,19,0,7,122,0
2020-11-10,7722,658,1354,6349,19,0,6,123,0
2020-11-11,7852,656,1360,6472,20,0,5,123,0
2020-11-12,7981,655,1365,6596,20,0,4,124,0
2020-11-13,8109,653,1369,6720,20,0,4,124,0
2020-11-14,8237,650,1372,6844,21,0,3,124,0
2020-11-15,8363,647,1374,6968,21,0,2,125,0
2020-11-16,8491,644,1376,7093,22,0,1,125,0
2020-11-17,8617,641,1377,7218,22,0,0,125,0
2020-11-18,8741,637,1377,7342,22,0,0,125,0
2020-11-19,8867,633,1377,7467,23,0,0,125,0
2020-11-20,8990,628,1375,7592,23,0,0,125,0
2020-11-21,9112,623,1373,7716,23,0,0,124,0
2020-11-22,9235,618,1370,7841,24,0,0,124,0
2020-11-23,9355,612,1366,7965,24,0,0,124,0
2020-11-24,9476,607,1362,8089,25,0,0,123,0
2020-11-25,9594,601,1357,8212,25,0,0,123,0
2020-11-26,9711,594,1351,8335,25,0,0,122,0
2020-11-27,9827,588,1344,8457,26,0,0,122,0
2020-11-28,9941,581,1337,8578,26,0,0,121,0
2020-11-29,10054,574,1329,8699,26,0,0,120,0
2020-11-30,10168,567,1321,8820,27,0,0,120,0
2020-12-01,10278,559,1312,8939,27,0,0,119,0
2020-12-02,10387,552,1302,9057,28,0,0,118,0
2020-12-03,10494,544,1291,9175,28,0,0,117,0
2020-12-04,10600,536,1280,9292,28,0,0,116,0
2020-12-05,10705,528,1269,9407,29,0,0,115,0
2020-12-06,10808,520,1257,9522,29,0,0,114,0
2020-12-07,10910,512,1245,9636,29,0,0,113,0
2020-12-08,11010,503,1232,9748,30,0,0,112,0
2020-12-09,11107,495,1218,9859,30,0,0,110,0
2020-12-10,11203,487,1204,9969,30,0,0,109,0
2020-12-11,11299,478,1190,10078,31,0,0,108,0
2020-12-12,11392,470,1176,10185,31,0,0,107,0
2020-12-13,11483,461,1161,10291,31,0,0,105,0
2020-12-14,11573,452,1145,10396,32,0,0,104,0
2020-12-15,11661,444,1130,10499,32,0,0,102,0
2020-12-16,11747,435,1114,10601,32,0,0,101,0
2020-12-17,11832,427,1098,10701,33,0,0,100,0
2020-12-18,11915,418,1082,10800,33,0,0,98,0
2020-12-19,11996,409,1065,10898,33,0,0,97,0
2020-12-20,12076,401,1049,10994,33,0,0,95,0
2020-12-21,12154,392,1032,11088,34,0,0,94,0
2020-12-22,12230,384,1015,11181,34,0,0,92,0
2020-12-23,12305,376,998,11273,34,0,0,90,0
2020-12-24,12379,368,981,11363,35,0,0,89,0
2020-12-25,12450,359,964,11451,35,0,0,87,0
2020-12-26,12520,351,947,11538,35,0,0,86,0
2020-12-27,12587,343,929,11623,35,0,0,84,0
2020-12-28,12654,335,912,11706,36,0,0,83,0
2020-12-29,12720,327,895,11789,36,0,0,81,0
2020-12-30,12783,320,878,11869,36,0,0,80,0
2020-12-31,12845,312,861,11948,36,0,0,78,0
2021-01-01,12907,305,844,12026,37,0,0,76,0
2021-01-02,12965,297,827,12101,37,0,0,75,0
2021-01-03,13023,290,810,12176,37,0,0,73,0
2021-01-04,13079,283,793,12249,37,0,0,72,0
2021-01-05,13134,276,777,12320,37,0,0,70,0
2021-01-06,13188,269,760,12390,38,0,0,69,0
2021-01-07,13240,262,744,12458,38,0,0,67,0
2021-01-08,13291,255,728,12525,38,0,0,66,0
2021-01-09,13340,249,712,12590,38,0,0,64,0
2021-01-10,13388,242,696,12654,38,0,0,63,0
2021-01-11,13436,236,680,12717,39,0,0,62,0
2021-01-12,13482,230,665,12778,39,0,0,60,0
2021-01-13,13526,224,649,12838,39,0,0,59,0
2021-01-14,13569,218,634,12896,39,0,0,57,0
2021-01-15,13611,212,619,12953,39,0,0,56,0
2021-01-16,13654,206,605,13009,40,0,0,55,0
2021-01-17,13693,201,590,13063,40,0,0,53,0
2021-01-18,13732,195,576,13116,40,0,0,52,0
2021-01-19,13770,190,562,13168,40,0,0,51,0
2021-01-20,13806,185,548,13218,40,0,0,50,0
2021-01-21,13842,180,535,13267,40,0,0,48,0
2021-01-22,13876,175,521,13315,40,0,0,47,0
2021-01-23,13911,170,508,13362,41,0,0,46,0
2021-01-24,13945,165,496,13408,41,0,0,45,0
2021-01-25,13976,161,483,13452,41,0,0,44,0
2021-01-26,14008,156,471,13496,41,0,0,43,0
2021-01-27,14038,152,459,13538,41,0,0,42,0
2021-01-28,14067,147,447,13579,41,0,0,40,0
2021-01-29,14095,143,435,13619,41,0,0,39,0
2021-01-30,14124,139,424,13658,42,0,0,38,0
2021-01-31,14150,135,412,13696,42,0,0,37,0
2021-02-01,14177,131,402,13733,42,0,0,36,0
2021-02-02,14202,127,391,13769,42,0,0,35,0
2021-02-03,14226,124,380,13804,42,0,0,34,0
2021-02-04,14250,120,370,13838,42,0,0,34,0
2021-02-05,14274,117,360,13872,42,0,0,33,0
2021-02-06,14296,113,350,13904,42,0,0,32,0
2021-02-07,14318,110,341,13935,42,0,0,31,0
2021-02-08,14340,107,332,13966,42,0,0,30,0
2021-02-09,14361,104,322,13996,43,0,0,29,0
2021-02-10,14382,101,314,14025,43,0,0,28,0
2021-02-11,14401,98,305,14053,43,0,0,28,0
2021-02-12,14419,95,296,14080,43,0,0,27,0
2021-02-13,14438,92,288,14107,43,0,0,26,0
