Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-08,1402,397,321,1079,2,0,49,29,0
2020-07-09,1477,351,365,1110,2,0,36,33,0
2020-07-10,1542,317,396,1144,2,0,26,36,0
2020-07-11,1603,291,420,1181,2,0,19,38,0
2020-07-12,1658,271,436,1220,2,0,14,40,0
2020-07-13,1710,256,448,1260,2,0,10,41,0
2020-07-14,1760,245,457,1301,2,0,7,41,0
2020-07-15,1806,236,462,1342,2,0,4,42,0
2020-07-16,1852,229,466,1384,2,0,3,42,0
2020-07-17,1897,224,468,1427,2,0,1,42,0
2020-07-18,1940,220,469,1469,2,0,0,43,0
2020-07-19,1984,216,469,1512,3,0,0,43,0
2020-07-20,2026,213,469,1554,3,0,0,43,0
2020-07-21,2068,211,468,1597,3,0,0,42,0
2020-07-22,2109,209,467,1639,3,0,0,42,0
2020-07-23,2150,207,465,1682,3,0,0,42,0
2020-07-24,2190,206,463,1724,3,0,0,42,0
2020-07-25,2230,204,461,1766,3,0,0,42,0
2020-07-26,2270,203,459,1808,3,0,0,42,0
2020-07-27,2309,202,457,1849,3,0,0,42,0
2020-07-28,2349,200,455,1891,3,0,0,41,0
2020-07-29,2388,199,453,1932,3,0,0,41,0
2020-07-30,2427,198,451,1973,3,0,0,41,0
2020-07-31,2466,197,449,2014,3,0,0,41,0
2020-08-01,2504,196,447,2054,3,0,0,41,0
2020-08-02,2543,195,444,2095,4,0,0,40,0
2020-08-03,2581,194,442,2135,4,0,0,40,0
2020-08-04,2619,193,440,2175,4,0,0,40,0
2020-08-05,2657,192,438,2215,4,0,0,40,0
2020-08-06,2695,191,436,2255,4,0,0,40,0
2020-08-07,2731,190,433,2294,4,0,0,39,0
2020-08-08,2768,188,431,2333,4,0,0,39,0
2020-08-09,2805,187,429,2372,4,0,0,39,0
2020-08-10,2842,186,427,2411,4,0,0,39,0
2020-08-11,2878,185,424,2450,4,0,0,39,0
2020-08-12,2914,184,422,2488,4,0,0,38,0
2020-08-13,2951,183,420,2527,4,0,0,38,0
2020-08-14,2987,182,418,2565,4,0,0,38,0
2020-08-15,3023,181,416,2603,4,0,0,38,0
2020-08-16,3057,180,413,2640,4,0,0,38,0
2020-08-17,3094,179,411,2678,5,0,0,37,0
2020-08-18,3129,178,409,2715,5,0,0,37,0
2020-08-19,3164,177,407,2752,5,0,0,37,0
2020-08-20,3199,176,405,2789,5,0,0,37,0
2020-08-21,3232,175,402,2825,5,0,0,37,0
2020-08-22,3267,174,400,2862,5,0,0,36,0
2020-08-23,3301,173,398,2898,5,0,0,36,0
2020-08-24,3335,172,396,2934,5,0,0,36,0
2020-08-25,3369,171,394,2970,5,0,0,36,0
2020-08-26,3402,170,391,3006,5,0,0,36,0
2020-08-27,3435,170,389,3041,5,0,0,35,0
2020-08-28,3468,169,387,3076,5,0,0,35,0
2020-08-29,3501,168,385,3111,5,0,0,35,0
2020-08-30,3534,167,383,3146,5,0,0,35,0
2020-08-31,3567,166,381,3181,5,0,0,35,0
2020-09-01,3599,165,379,3215,5,0,0,34,0
2020-09-02,3632,164,376,3250,6,0,0,34,0
2020-09-03,3664,163,374,3284,6,0,0,34,0
2020-09-04,3696,162,372,3318,6,0,0,34,0
2020-09-05,3727,161,370,3351,6,0,0,34,0
2020-09-06,3759,160,368,3385,6,0,0,33,0
2020-09-07,3790,159,366,3418,6,0,0,33,0
2020-09-08,3821,158,364,3451,6,0,0,33,0
2020-09-09,3852,157,362,3484,6,0,0,33,0
2020-09-10,3883,156,360,3517,6,0,0,33,0
2020-09-11,3914,155,358,3550,6,0,0,32,0
2020-09-12,3944,154,356,3582,6,0,0,32,0
2020-09-13,3974,153,354,3614,6,0,0,32,0
2020-09-14,4003,152,351,3646,6,0,0,32,0
2020-09-15,4033,152,349,3678,6,0,0,32,0
2020-09-16,4063,151,347,3710,6,0,0,32,0
2020-09-17,4092,150,345,3741,6,0,0,31,0
2020-09-18,4121,149,343,3772,6,0,0,31,0
2020-09-19,4151,148,341,3804,6,0,0,31,0
2020-09-20,4180,147,339,3834,7,0,0,31,0
2020-09-21,4209,146,337,3865,7,0,0,31,0
2020-09-22,4238,145,335,3896,7,0,0,30,0
2020-09-23,4266,144,333,3926,7,0,0,30,0
2020-09-24,4294,143,331,3956,7,0,0,30,0
2020-09-25,4322,143,329,3986,7,0,0,30,0
2020-09-26,4350,142,327,4016,7,0,0,30,0
2020-09-27,4378,141,325,4046,7,0,0,30,0
2020-09-28,4405,140,323,4075,7,0,0,29,0
2020-09-29,4432,139,321,4104,7,0,0,29,0
2020-09-30,4461,138,320,4134,7,0,0,29,0
2020-10-01,4488,137,318,4163,7,0,0,29,0
2020-10-02,4514,137,316,4191,7,0,0,29,0
2020-10-03,4541,136,314,4220,7,0,0,28,0
2020-10-04,4567,135,312,4248,7,0,0,28,0
2020-10-05,4593,134,310,4276,7,0,0,28,0
2020-10-06,4620,133,308,4305,7,0,0,28,0
2020-10-07,4645,132,306,4332,7,0,0,28,0
2020-10-08,4671,131,304,4360,7,0,0,28,0
2020-10-09,4697,131,302,4388,7,0,0,27,0
2020-10-10,4722,130,300,4415,7,0,0,27,0
2020-10-11,4749,129,299,4442,8,0,0,27,0
2020-10-12,4774,128,297,4469,8,0,0,27,0
2020-10-13,4799,127,295,4496,8,0,0,27,0
2020-10-14,4824,127,293,4523,8,0,0,27,0
2020-10-15,4848,126,291,4549,8,0,0,26,0
2020-10-16,4873,125,289,4576,8,0,0,26,0
2020-10-17,4898,124,288,4602,8,0,0,26,0
2020-10-18,4922,123,286,4628,8,0,0,26,0
2020-10-19,4946,123,284,4654,8,0,0,26,0
2020-10-20,4970,122,282,4680,8,0,0,26,0
2020-10-21,4993,121,280,4705,8,0,0,25,0
2020-10-22,5018,120,279,4731,8,0,0,25,0
2020-10-23,5041,119,277,4756,8,0,0,25,0
2020-10-24,5064,119,275,4781,8,0,0,25,0
2020-10-25,5087,118,273,4806,8,0,0,25,0
2020-10-26,5111,117,272,4831,8,0,0,25,0
2020-10-27,5133,116,270,4855,8,0,0,24,0
