Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-12,585,5,126,456,3,12,0,11,0
2020-07-13,587,15,117,467,3,9,0,11,0
2020-07-14,591,23,110,478,3,6,0,10,0
2020-07-15,595,29,105,487,3,5,0,9,0
2020-07-16,602,33,102,497,3,4,0,9,0
2020-07-17,608,36,99,506,3,3,0,9,0
2020-07-18,616,39,98,515,3,2,0,9,0
2020-07-19,624,41,97,524,3,2,0,9,0
2020-07-20,631,42,96,532,3,1,0,9,0
2020-07-21,640,43,96,541,3,1,0,9,0
2020-07-22,649,44,96,550,3,1,0,9,0
2020-07-23,657,45,96,558,3,1,0,9,0
2020-07-24,666,46,96,567,3,1,0,9,0
2020-07-25,674,46,96,575,3,0,0,9,0
2020-07-26,684,47,96,584,4,0,0,9,0
2020-07-27,694,47,97,593,4,0,0,9,0
2020-07-28,703,47,97,602,4,0,0,9,0
2020-07-29,712,48,98,610,4,0,0,9,0
2020-07-30,721,48,98,619,4,0,0,9,0
2020-07-31,731,48,99,628,4,0,1,9,0
2020-08-01,740,49,99,637,4,0,1,9,0
2020-08-02,750,49,100,646,4,0,1,9,0
2020-08-03,759,49,100,655,4,0,1,9,0
2020-08-04,769,49,101,664,4,0,1,9,0
2020-08-05,778,50,101,673,4,0,1,9,0
2020-08-06,789,50,102,683,4,0,1,9,0
2020-08-07,798,50,102,692,4,0,1,9,0
2020-08-08,808,50,103,701,4,0,1,9,0
2020-08-09,817,51,103,710,4,0,1,9,0
2020-08-10,828,51,104,720,4,0,1,9,0
2020-08-11,838,51,105,729,4,0,1,9,0
2020-08-12,848,51,105,739,4,0,1,9,0
2020-08-13,858,52,106,748,4,0,1,10,0
2020-08-14,869,52,106,758,5,0,1,10,0
2020-08-15,879,52,107,767,5,0,1,10,0
2020-08-16,889,53,107,777,5,0,1,10,0
2020-08-17,900,53,108,787,5,0,1,10,0
2020-08-18,909,53,108,796,5,0,1,10,0
2020-08-19,920,53,109,806,5,0,1,10,0
2020-08-20,930,54,109,816,5,0,1,10,0
2020-08-21,941,54,110,826,5,0,1,10,0
2020-08-22,952,54,111,836,5,0,1,10,0
2020-08-23,962,54,111,846,5,0,1,10,0
2020-08-24,973,54,112,856,5,0,1,10,0
2020-08-25,983,55,112,866,5,0,1,10,0
2020-08-26,994,55,113,876,5,0,1,10,0
2020-08-27,1005,55,113,887,5,0,1,10,0
2020-08-28,1016,55,114,897,5,0,1,10,0
2020-08-29,1026,56,114,907,5,0,1,10,0
2020-08-30,1038,56,115,917,6,0,1,10,0
2020-08-31,1049,56,115,928,6,0,1,10,0
2020-09-01,1060,56,116,938,6,0,1,10,0
2020-09-02,1071,57,116,949,6,0,1,11,0
2020-09-03,1082,57,117,959,6,0,1,11,0
2020-09-04,1093,57,117,970,6,0,1,11,0
2020-09-05,1104,57,118,980,6,0,1,11,0
2020-09-06,1116,58,119,991,6,0,1,11,0
2020-09-07,1127,58,119,1002,6,0,1,11,0
2020-09-08,1139,58,120,1013,6,0,1,11,0
2020-09-09,1150,58,120,1024,6,0,1,11,0
2020-09-10,1161,59,121,1034,6,0,1,11,0
2020-09-11,1172,59,121,1045,6,0,1,11,0
2020-09-12,1184,59,122,1056,6,0,1,11,0
2020-09-13,1195,59,122,1067,6,0,1,11,0
2020-09-14,1207,60,123,1078,6,0,1,11,0
2020-09-15,1219,60,123,1089,7,0,1,11,0
2020-09-16,1232,60,124,1101,7,0,1,11,0
2020-09-17,1243,60,124,1112,7,0,1,11,0
2020-09-18,1255,60,125,1123,7,0,1,11,0
2020-09-19,1266,61,125,1134,7,0,1,11,0
2020-09-20,1279,61,126,1146,7,0,1,11,0
2020-09-21,1290,61,126,1157,7,0,1,11,0
2020-09-22,1303,61,127,1169,7,0,1,11,0
2020-09-23,1314,62,127,1180,7,0,0,12,0
2020-09-24,1327,62,128,1192,7,0,0,12,0
2020-09-25,1338,62,128,1203,7,0,0,12,0
2020-09-26,1351,62,129,1215,7,0,0,12,0
2020-09-27,1362,62,129,1226,7,0,0,12,0
2020-09-28,1375,63,130,1238,7,0,0,12,0
2020-09-29,1388,63,130,1250,8,0,0,12,0
2020-09-30,1401,63,131,1262,8,0,0,12,0
2020-10-01,1412,63,131,1273,8,0,0,12,0
2020-10-02,1425,64,132,1285,8,0,0,12,0
2020-10-03,1437,64,132,1297,8,0,0,12,0
2020-10-04,1450,64,133,1309,8,0,0,12,0
2020-10-05,1462,64,133,1321,8,0,0,12,0
2020-10-06,1475,64,134,1333,8,0,0,12,0
2020-10-07,1487,65,134,1345,8,0,0,12,0
2020-10-08,1500,65,135,1357,8,0,0,12,0
2020-10-09,1513,65,135,1370,8,0,0,12,0
2020-10-10,1525,65,135,1382,8,0,0,12,0
2020-10-11,1538,65,136,1394,8,0,0,12,0
2020-10-12,1550,65,136,1406,8,0,0,12,0
2020-10-13,1565,66,137,1419,9,0,0,12,0
2020-10-14,1577,66,137,1431,9,0,0,12,0
2020-10-15,1591,66,138,1444,9,0,0,12,0
2020-10-16,1603,66,138,1456,9,0,0,12,0
2020-10-17,1616,66,139,1468,9,0,0,13,0
2020-10-18,1629,67,139,1481,9,0,0,13,0
2020-10-19,1642,67,139,1494,9,0,0,13,0
2020-10-20,1655,67,140,1506,9,0,0,13,0
2020-10-21,1668,67,140,1519,9,0,0,13,0
2020-10-22,1682,67,141,1532,9,0,0,13,0
2020-10-23,1694,67,141,1544,9,0,0,13,0
2020-10-24,1707,68,141,1557,9,0,0,13,0
2020-10-25,1721,68,142,1570,9,0,0,13,0
2020-10-26,1735,68,142,1583,10,0,0,13,0
2020-10-27,1749,68,143,1596,10,0,0,13,0
2020-10-28,1761,68,143,1608,10,0,0,13,0
2020-10-29,1774,68,143,1621,10,0,0,13,0
2020-10-30,1788,69,144,1634,10,0,0,13,0
2020-10-31,1801,69,144,1647,10,0,0,13,0
2020-11-01,1815,69,145,1660,10,0,0,13,0
2020-11-02,1828,69,145,1673,10,0,0,13,0
2020-11-03,1842,69,145,1687,10,0,0,13,0
2020-11-04,1856,69,146,1700,10,0,0,13,0
2020-11-05,1869,70,146,1713,10,0,0,13,0
2020-11-06,1882,70,146,1726,10,0,0,13,0
2020-11-07,1896,70,147,1739,10,0,0,13,0
2020-11-08,1911,70,147,1753,11,0,0,13,0
2020-11-09,1924,70,147,1766,11,0,0,13,0
2020-11-10,1938,70,148,1779,11,0,0,13,0
2020-11-11,1952,70,148,1793,11,0,0,13,0
2020-11-12,1965,70,148,1806,11,0,0,13,0
2020-11-13,1979,71,149,1819,11,0,0,13,0
2020-11-14,1993,71,149,1833,11,0,0,13,0
2020-11-15,2006,71,149,1846,11,0,0,13,0
2020-11-16,2021,71,150,1860,11,0,0,14,0
2020-11-17,2034,71,150,1873,11,0,0,14,0
2020-11-18,2048,71,150,1887,11,0,0,14,0
2020-11-19,2063,71,151,1901,11,0,0,14,0
2020-11-20,2076,71,151,1914,11,0,0,14,0
2020-11-21,2091,71,151,1928,12,0,0,14,0
2020-11-22,2104,72,151,1941,12,0,0,14,0
2020-11-23,2119,72,152,1955,12,0,0,14,0
2020-11-24,2133,72,152,1969,12,0,0,14,0
2020-11-25,2147,72,152,1983,12,0,0,14,0
2020-11-26,2160,72,152,1996,12,0,0,14,0
2020-11-27,2175,72,153,2010,12,0,0,14,0
2020-11-28,2189,72,153,2024,12,0,0,14,0
2020-11-29,2203,72,153,2038,12,0,0,14,0
2020-11-30,2217,72,153,2052,12,0,0,14,0
2020-12-01,2231,72,154,2065,12,0,0,14,0
2020-12-02,2245,72,154,2079,12,0,0,14,0
2020-12-03,2260,72,154,2093,13,0,0,14,0
2020-12-04,2274,73,154,2107,13,0,0,14,0
2020-12-05,2288,73,154,2121,13,0,0,14,0
2020-12-06,2303,73,155,2135,13,0,0,14,0
2020-12-07,2317,73,155,2149,13,0,0,14,0
2020-12-08,2331,73,155,2163,13,0,0,14,0
2020-12-09,2345,73,155,2177,13,0,0,14,0
2020-12-10,2359,73,155,2191,13,0,0,14,0
2020-12-11,2374,73,156,2205,13,0,0,14,0
2020-12-12,2388,73,156,2219,13,0,0,14,0
2020-12-13,2402,73,156,2233,13,0,0,14,0
2020-12-14,2416,73,156,2247,13,0,0,14,0
2020-12-15,2431,73,156,2261,14,0,0,14,0
2020-12-16,2446,73,156,2276,14,0,0,14,0
2020-12-17,2460,73,156,2290,14,0,0,14,0
2020-12-18,2475,73,157,2304,14,0,0,14,0
2020-12-19,2489,73,157,2318,14,0,0,14,0
2020-12-20,2503,73,157,2332,14,0,0,14,0
2020-12-21,2517,73,157,2346,14,0,0,14,0
2020-12-22,2532,73,157,2361,14,0,0,14,0
2020-12-23,2546,73,157,2375,14,0,0,14,0
2020-12-24,2560,73,157,2389,14,0,0,14,0
2020-12-25,2574,73,157,2403,14,0,0,14,0
2020-12-26,2589,73,157,2417,15,0,0,14,0
2020-12-27,2604,73,157,2432,15,0,0,14,0
2020-12-28,2618,73,157,2446,15,0,0,14,0
2020-12-29,2633,73,158,2460,15,0,0,14,0
2020-12-30,2647,73,158,2474,15,0,0,14,0
2020-12-31,2661,73,158,2488,15,0,0,14,0
2021-01-01,2676,73,158,2503,15,0,0,14,0
2021-01-02,2690,73,158,2517,15,0,0,14,0
2021-01-03,2704,73,158,2531,15,0,0,14,0
2021-01-04,2718,73,158,2545,15,0,0,14,0
2021-01-05,2733,73,158,2560,15,0,0,14,0
2021-01-06,2747,73,158,2574,15,0,0,14,0
2021-01-07,2762,73,158,2588,16,0,0,14,0
2021-01-08,2776,73,158,2602,16,0,0,14,0
2021-01-09,2791,73,158,2617,16,0,0,14,0
2021-01-10,2805,73,158,2631,16,0,0,14,0
2021-01-11,2819,73,158,2645,16,0,0,14,0
2021-01-12,2833,73,158,2659,16,0,0,14,0
2021-01-13,2848,73,158,2674,16,0,0,14,0
2021-01-14,2862,73,158,2688,16,0,0,14,0
