Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-18,1411,256,397,1012,2,7,14,36,0
2020-06-19,1462,263,411,1049,2,7,14,37,0
2020-06-20,1514,270,425,1087,2,8,14,39,0
2020-06-21,1568,278,440,1126,2,8,15,40,0
2020-06-22,1622,287,454,1166,2,9,15,41,0
2020-06-23,1679,295,469,1208,2,9,15,43,0
2020-06-24,1738,305,485,1251,2,9,16,44,0
2020-06-25,1799,314,501,1296,2,10,16,45,0
2020-06-26,1861,324,517,1342,2,10,17,47,0
2020-06-27,1925,334,534,1389,2,11,17,48,0
2020-06-28,1991,345,551,1438,2,11,18,50,0
2020-06-29,2060,356,569,1489,2,11,18,52,0
2020-06-30,2130,367,587,1541,2,12,19,53,0
2020-07-01,2203,379,606,1595,2,12,19,55,0
2020-07-02,2278,391,625,1650,3,12,20,57,0
2020-07-03,2356,404,645,1708,3,13,20,59,0
2020-07-04,2436,417,666,1767,3,13,21,60,0
2020-07-05,2518,430,687,1828,3,14,22,62,0
2020-07-06,2604,443,709,1892,3,14,22,64,0
2020-07-07,2692,458,732,1957,3,14,23,66,0
2020-07-08,2783,472,756,2024,3,15,24,69,0
2020-07-09,2876,487,780,2093,3,15,25,71,0
2020-07-10,2973,503,805,2165,3,16,25,73,0
2020-07-11,3073,519,830,2239,4,16,26,75,0
2020-07-12,3176,535,857,2315,4,17,27,78,0
2020-07-13,3282,552,884,2394,4,17,28,80,0
2020-07-14,3391,569,912,2475,4,18,29,83,0
2020-07-15,3504,587,941,2559,4,18,30,85,0
2020-07-16,3620,606,971,2645,4,19,31,88,0
2020-07-17,3741,625,1002,2735,4,19,31,91,0
2020-07-18,3865,645,1034,2827,4,20,32,94,0
2020-07-19,3994,665,1067,2922,5,21,33,97,0
2020-07-20,4126,686,1101,3020,5,21,34,100,0
2020-07-21,4261,707,1135,3121,5,22,35,103,0
2020-07-22,4401,729,1171,3225,5,23,37,106,0
2020-07-23,4545,752,1208,3332,5,23,38,110,0
2020-07-24,4694,776,1246,3443,5,24,39,113,0
2020-07-25,4850,800,1286,3558,6,25,40,117,0
2020-07-26,5008,825,1326,3676,6,25,41,120,0
2020-07-27,5172,850,1368,3798,6,26,42,124,0
2020-07-28,5340,877,1411,3923,6,27,44,128,0
2020-07-29,5514,904,1455,4053,6,28,45,132,0
2020-07-30,5693,932,1500,4186,7,28,46,136,0
