Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-16,328,0,64,261,3,9,0,6,0
2020-07-17,329,8,59,267,3,7,0,5,0
2020-07-18,331,15,56,272,3,5,0,5,0
2020-07-19,334,19,54,277,3,4,0,5,0
2020-07-20,338,23,53,282,3,3,0,5,0
2020-07-21,342,26,53,286,3,3,0,5,0
2020-07-22,348,29,54,291,3,2,1,5,0
2020-07-23,354,31,55,296,3,2,1,5,0
2020-07-24,360,32,56,301,3,2,1,5,0
2020-07-25,366,34,57,306,3,2,1,5,0
2020-07-26,373,36,59,311,3,1,2,5,0
2020-07-27,380,37,60,317,3,1,2,5,0
2020-07-28,388,39,62,322,4,1,2,6,0
2020-07-29,396,40,64,328,4,1,2,6,0
2020-07-30,404,41,66,334,4,1,2,6,0
2020-07-31,412,43,68,340,4,1,2,6,0
2020-08-01,421,44,71,346,4,1,2,6,0
2020-08-02,429,46,73,352,4,1,2,7,0
2020-08-03,438,47,75,359,4,2,2,7,0
2020-08-04,448,49,78,366,4,2,2,7,0
2020-08-05,457,50,80,373,4,2,3,7,0
2020-08-06,467,52,83,380,4,2,3,7,0
2020-08-07,477,54,85,388,4,2,3,8,0
2020-08-08,487,55,88,395,4,2,3,8,0
2020-08-09,498,57,91,403,4,2,3,8,0
2020-08-10,511,59,94,412,5,2,3,8,0
2020-08-11,522,61,97,420,5,2,3,9,0
2020-08-12,534,62,100,429,5,2,3,9,0
2020-08-13,546,64,103,438,5,2,3,9,0
2020-08-14,560,66,107,448,5,2,3,10,0
2020-08-15,572,68,110,457,5,2,3,10,0
2020-08-16,585,70,113,467,5,2,4,10,0
2020-08-17,600,73,117,478,5,2,4,11,0
2020-08-18,614,75,121,488,5,2,4,11,0
2020-08-19,628,77,124,499,5,2,4,11,0
2020-08-20,645,79,128,511,6,2,4,12,0
2020-08-21,660,82,132,522,6,2,4,12,0
2020-08-22,676,84,136,534,6,2,4,12,0
2020-08-23,693,86,140,547,6,2,4,13,0
2020-08-24,709,89,144,559,6,3,4,13,0
2020-08-25,728,91,149,573,6,3,4,13,0
2020-08-26,745,94,153,586,6,3,5,14,0
2020-08-27,765,97,158,600,7,3,5,14,0
2020-08-28,783,99,162,614,7,3,5,15,0
2020-08-29,803,102,167,629,7,3,5,15,0
2020-08-30,823,105,172,644,7,3,5,15,0
2020-08-31,844,108,177,660,7,3,5,16,0
2020-09-01,865,111,182,676,7,3,5,16,0
2020-09-02,888,114,187,693,8,3,5,17,0
2020-09-03,911,117,193,710,8,3,5,17,0
2020-09-04,933,120,198,727,8,3,5,18,0
2020-09-05,956,123,203,745,8,3,6,18,0
2020-09-06,981,126,209,764,8,3,6,19,0
2020-09-07,1007,129,215,783,9,3,6,19,0
2020-09-08,1032,132,221,802,9,3,6,20,0
2020-09-09,1057,135,226,822,9,3,6,20,0
2020-09-10,1084,139,232,843,9,3,6,21,0
2020-09-11,1112,142,239,864,9,3,6,21,0
2020-09-12,1140,145,245,885,10,3,6,22,0
2020-09-13,1169,149,251,908,10,3,6,23,0
2020-09-14,1197,152,257,930,10,3,6,23,0
2020-09-15,1228,155,264,954,10,3,6,24,0
2020-09-16,1259,159,270,978,11,3,7,24,0
2020-09-17,1290,162,277,1002,11,3,7,25,0
2020-09-18,1322,166,284,1027,11,3,7,26,0
2020-09-19,1355,169,290,1053,12,3,7,26,0
2020-09-20,1388,173,297,1079,12,3,7,27,0
2020-09-21,1422,176,304,1106,12,3,7,27,0
2020-09-22,1457,179,311,1134,12,3,7,28,0
2020-09-23,1493,183,318,1162,13,3,7,29,0
2020-09-24,1529,186,325,1191,13,3,7,29,0
2020-09-25,1565,190,332,1220,13,3,7,30,0
2020-09-26,1603,193,339,1250,14,3,7,30,0
2020-09-27,1641,196,346,1281,14,3,7,31,0
2020-09-28,1680,200,353,1313,14,3,7,32,0
2020-09-29,1719,203,360,1344,15,3,7,32,0
2020-09-30,1759,206,367,1377,15,3,7,33,0
2020-10-01,1799,209,374,1410,15,3,7,34,0
2020-10-02,1841,213,381,1444,16,3,7,34,0
2020-10-03,1883,216,388,1479,16,3,7,35,0
2020-10-04,1926,219,395,1514,17,3,7,36,0
2020-10-05,1969,222,402,1550,17,3,7,36,0
2020-10-06,2012,224,409,1586,17,3,7,37,0
2020-10-07,2057,227,416,1623,18,3,7,37,0
2020-10-08,2101,230,422,1661,18,3,7,38,0
2020-10-09,2147,232,429,1699,19,3,7,39,0
2020-10-10,2193,235,436,1738,19,2,6,39,0
2020-10-11,2238,237,442,1777,19,2,6,40,0
2020-10-12,2285,239,448,1817,20,2,6,40,0
2020-10-13,2332,242,454,1858,20,2,6,41,0
2020-10-14,2380,244,460,1899,21,2,6,41,0
2020-10-15,2427,246,466,1940,21,2,6,42,0
2020-10-16,2476,247,472,1982,22,2,6,42,0
2020-10-17,2525,249,478,2025,22,2,5,43,0
2020-10-18,2574,250,483,2068,23,1,5,43,0
2020-10-19,2623,252,488,2112,23,1,5,44,0
2020-10-20,2673,253,493,2156,24,1,5,44,0
2020-10-21,2722,254,498,2200,24,1,5,45,0
2020-10-22,2772,255,502,2245,25,1,4,45,0
2020-10-23,2822,256,506,2291,25,1,4,46,0
2020-10-24,2873,257,511,2336,26,1,4,46,1
2020-10-25,2922,257,514,2382,26,0,4,46,1
2020-10-26,2974,257,518,2429,27,0,3,47,1
2020-10-27,3023,258,521,2475,27,0,3,47,1
2020-10-28,3074,258,524,2522,28,0,3,47,1
2020-10-29,3125,258,527,2570,28,0,3,47,1
2020-10-30,3176,257,530,2617,29,0,2,48,1
2020-10-31,3226,257,532,2665,29,0,2,48,1
2020-11-01,3277,256,534,2713,30,0,2,48,1
2020-11-02,3326,256,535,2761,30,0,1,48,1
2020-11-03,3377,255,537,2809,31,0,1,48,1
2020-11-04,3426,254,538,2857,31,0,1,48,1
2020-11-05,3477,253,539,2906,32,0,1,48,1
2020-11-06,3525,251,539,2954,32,0,0,48,1
2020-11-07,3574,250,539,3002,33,0,0,48,1
2020-11-08,3623,249,539,3051,33,0,0,48,1
2020-11-09,3672,247,539,3099,34,0,0,48,1
2020-11-10,3720,245,538,3148,34,0,0,48,1
2020-11-11,3768,243,537,3196,35,0,0,48,1
2020-11-12,3815,241,536,3244,35,0,0,48,1
2020-11-13,3863,239,534,3293,36,0,0,48,1
2020-11-14,3911,237,533,3341,37,0,0,48,1
2020-11-15,3955,234,530,3388,37,0,0,48,1
2020-11-16,4002,232,528,3436,38,0,0,47,1
2020-11-17,4046,229,525,3483,38,0,0,47,1
2020-11-18,4093,227,523,3531,39,0,0,47,1
2020-11-19,4135,224,519,3577,39,0,0,47,1
2020-11-20,4180,221,516,3624,40,0,0,46,1
2020-11-21,4223,219,513,3670,40,0,0,46,1
2020-11-22,4266,216,509,3716,41,0,0,46,1
2020-11-23,4308,213,505,3762,41,0,0,45,0
2020-11-24,4349,210,500,3807,42,0,0,45,0
2020-11-25,4390,207,496,3852,42,0,0,45,0
2020-11-26,4430,203,491,3896,43,0,0,44,0
2020-11-27,4469,200,486,3940,43,0,0,44,0
2020-11-28,4509,197,481,3984,44,0,0,43,0
2020-11-29,4547,194,476,4027,44,0,0,43,0
2020-11-30,4586,191,471,4070,45,0,0,42,0
2020-12-01,4622,187,465,4112,45,0,0,42,0
2020-12-02,4659,184,460,4154,45,0,0,41,0
2020-12-03,4695,181,454,4195,46,0,0,41,0
2020-12-04,4729,178,448,4235,46,0,0,40,0
2020-12-05,4765,174,442,4276,47,0,0,40,0
2020-12-06,4798,171,436,4315,47,0,0,39,0
2020-12-07,4832,168,430,4354,48,0,0,39,0
2020-12-08,4865,164,424,4393,48,0,0,38,0
2020-12-09,4896,161,417,4431,48,0,0,38,0
2020-12-10,4928,158,411,4468,49,0,0,37,0
2020-12-11,4959,155,405,4505,49,0,0,36,0
2020-12-12,4989,151,398,4541,50,0,0,36,0
2020-12-13,5018,148,392,4576,50,0,0,35,0
2020-12-14,5046,145,385,4611,50,0,0,35,0
