Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-16,6446,0,1296,5134,16,203,0,117,0
2020-07-17,6460,181,1196,5248,16,149,0,108,0
2020-07-18,6506,315,1136,5354,16,111,0,103,0
2020-07-19,6576,416,1103,5456,17,85,0,100,0
2020-07-20,6663,493,1091,5555,17,66,0,99,0
2020-07-21,6764,553,1093,5654,17,52,9,99,0
2020-07-22,6878,602,1106,5754,18,43,17,100,0
2020-07-23,6998,642,1126,5854,18,36,23,102,0
2020-07-24,7126,675,1151,5957,18,31,28,104,0
2020-07-25,7262,705,1180,6063,19,27,31,107,0
2020-07-26,7402,730,1212,6171,19,24,33,110,0
2020-07-27,7545,754,1245,6281,19,22,35,113,0
2020-07-28,7695,775,1280,6395,20,20,36,116,0
2020-07-29,7849,795,1316,6513,20,19,36,119,0
2020-07-30,8005,813,1352,6633,20,17,36,123,0
2020-07-31,8167,830,1389,6757,21,16,36,126,0
2020-08-01,8330,845,1425,6884,21,15,36,129,0
2020-08-02,8497,860,1461,7015,21,14,36,132,0
2020-08-03,8667,873,1497,7148,22,13,35,136,0
2020-08-04,8838,885,1531,7285,22,11,34,139,0
2020-08-05,9013,896,1565,7425,23,10,33,142,0
2020-08-06,9189,906,1598,7568,23,9,32,145,0
2020-08-07,9368,914,1630,7714,24,8,31,148,0
2020-08-08,9548,921,1661,7863,24,6,30,151,0
2020-08-09,9728,927,1690,8014,24,5,28,153,0
2020-08-10,9911,932,1718,8168,25,4,27,156,0
2020-08-11,10093,935,1743,8325,25,2,25,158,0
2020-08-12,10278,937,1768,8484,26,1,23,160,0
2020-08-13,10461,937,1790,8645,26,0,21,162,0
2020-08-14,10645,936,1810,8808,27,0,19,164,1
2020-08-15,10827,934,1828,8972,27,0,17,166,1
2020-08-16,11012,930,1845,9139,28,0,15,167,1
2020-08-17,11192,926,1858,9306,28,0,13,168,1
2020-08-18,11374,919,1870,9475,29,0,10,169,1
2020-08-19,11554,912,1880,9645,29,0,8,170,1
2020-08-20,11733,903,1887,9816,30,0,6,171,1
2020-08-21,11909,894,1891,9987,31,0,3,171,1
2020-08-22,12083,883,1894,10158,31,0,1,172,1
