Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-23,267,150,267,0,0,4,5,0,0
2020-06-24,272,154,272,0,0,4,5,0,0
2020-06-25,278,158,278,0,0,4,6,0,0
2020-06-26,284,162,284,0,0,4,6,0,0
2020-06-27,290,166,290,0,0,4,6,0,0
2020-06-28,296,170,296,0,0,4,6,0,0
2020-06-29,303,174,303,0,0,4,7,0,0
2020-06-30,309,177,309,0,0,4,7,0,0
2020-07-01,316,181,316,0,0,4,7,0,0
2020-07-02,323,185,323,0,0,4,7,0,0
2020-07-03,330,189,330,0,0,4,7,0,0
2020-07-04,337,193,337,0,0,4,7,0,0
2020-07-05,344,197,344,0,0,4,7,0,0
2020-07-06,351,201,351,0,0,4,7,0,0
2020-07-07,359,205,359,0,0,4,8,0,0
2020-07-08,367,209,367,0,0,4,8,0,0
2020-07-09,374,213,374,0,0,4,8,0,0
2020-07-10,382,217,382,0,0,4,8,0,0
2020-07-11,390,222,390,0,0,4,8,0,0
2020-07-12,398,226,398,0,0,4,8,0,0
2020-07-13,406,230,406,0,0,4,8,0,0
2020-07-14,415,235,415,0,0,4,8,0,0
2020-07-15,423,239,423,0,0,4,8,0,0
2020-07-16,431,244,431,0,0,4,9,0,0
2020-07-17,440,248,440,0,0,5,9,0,0
2020-07-18,449,253,449,0,0,5,9,0,0
2020-07-19,457,257,457,0,0,5,9,0,0
2020-07-20,466,262,466,0,0,5,9,0,0
2020-07-21,475,267,475,0,0,5,9,0,0
2020-07-22,484,271,484,0,0,5,9,0,0
2020-07-23,494,276,494,0,0,5,9,0,0
2020-07-24,503,281,503,0,0,5,9,0,0
2020-07-25,512,285,512,0,0,5,9,0,0
2020-07-26,522,290,522,0,0,5,9,0,0
2020-07-27,531,295,531,0,0,5,10,0,0
2020-07-28,541,300,541,0,0,5,10,0,0
2020-07-29,550,304,550,0,0,5,10,0,0
2020-07-30,560,309,560,0,0,5,10,0,0
2020-07-31,570,314,570,0,0,5,10,0,0
2020-08-01,580,319,580,0,0,5,10,0,0
2020-08-02,589,324,589,0,0,5,10,0,0
2020-08-03,599,328,599,0,0,5,10,0,0
2020-08-04,609,333,609,0,0,5,10,0,0
2020-08-05,619,338,619,0,0,5,10,0,0
2020-08-06,629,343,629,0,0,5,10,0,0
2020-08-07,639,348,639,0,0,5,10,0,0
2020-08-08,649,352,649,0,0,5,10,0,0
2020-08-09,659,357,659,0,0,5,10,0,0
2020-08-10,669,362,669,0,0,5,10,0,0
2020-08-11,679,366,679,0,0,5,10,0,0
2020-08-12,689,371,689,0,0,5,10,0,0
2020-08-13,699,375,699,0,0,4,10,0,0
2020-08-14,709,380,709,0,0,4,10,0,0
2020-08-15,719,384,719,0,0,4,10,0,0
2020-08-16,729,389,729,0,0,4,10,0,0
2020-08-17,739,393,739,0,0,4,10,0,0
2020-08-18,749,397,749,0,0,4,10,0,0
2020-08-19,759,401,759,0,0,4,10,0,0
2020-08-20,768,405,768,0,0,4,10,0,0
2020-08-21,778,409,778,0,0,4,10,0,0
