Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-24,2224,187,603,1616,5,32,0,55,0
2020-06-25,2263,216,588,1670,5,24,0,53,0
2020-06-26,2308,237,579,1723,6,18,0,52,0
2020-06-27,2355,254,574,1775,6,14,0,52,0
2020-06-28,2406,267,573,1827,6,11,0,52,0
2020-06-29,2459,278,574,1879,6,9,2,52,0
2020-06-30,2514,287,577,1931,6,8,4,52,0
2020-07-01,2570,294,581,1983,6,6,5,53,0
2020-07-02,2629,300,586,2036,7,6,6,53,0
2020-07-03,2689,305,592,2090,7,5,6,54,0
2020-07-04,2748,310,598,2143,7,4,6,54,0
2020-07-05,2809,314,604,2198,7,4,7,55,0
2020-07-06,2871,318,611,2253,7,4,7,55,0
2020-07-07,2933,322,618,2308,7,4,7,56,0
2020-07-08,2998,325,625,2365,8,3,7,57,0
2020-07-09,3062,329,632,2422,8,3,7,57,0
2020-07-10,3126,332,639,2479,8,3,7,58,0
2020-07-11,3191,335,646,2537,8,3,7,59,0
2020-07-12,3257,337,653,2596,8,3,7,59,0
2020-07-13,3324,340,660,2655,9,3,7,60,0
2020-07-14,3390,343,666,2715,9,3,7,60,0
2020-07-15,3458,345,673,2776,9,2,7,61,0
2020-07-16,3525,348,679,2837,9,2,6,62,0
2020-07-17,3594,350,686,2899,9,2,6,62,0
2020-07-18,3662,352,692,2961,9,2,6,63,0
2020-07-19,3732,354,698,3024,10,2,6,63,0
2020-07-20,3802,356,704,3088,10,2,6,64,0
2020-07-21,3872,358,710,3152,10,2,6,64,0
2020-07-22,3941,360,715,3216,10,2,6,65,0
2020-07-23,4013,362,721,3281,11,2,5,65,0
2020-07-24,4084,363,726,3347,11,1,5,66,0
2020-07-25,4155,365,731,3413,11,1,5,66,0
2020-07-26,4226,366,736,3479,11,1,5,67,0
2020-07-27,4298,367,741,3546,11,1,5,67,0
2020-07-28,4370,368,745,3613,12,1,4,68,0
2020-07-29,4443,369,750,3681,12,1,4,68,0
