Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-14,500,273,102,397,1,0,44,9,0
2020-07-15,550,226,141,408,1,0,31,13,0
2020-07-16,592,188,169,422,1,0,22,15,0
2020-07-17,626,158,187,438,1,0,14,17,0
2020-07-18,655,134,199,455,1,0,8,18,0
2020-07-19,680,114,205,474,1,0,4,19,0
2020-07-20,702,98,208,493,1,0,0,19,0
2020-07-21,719,85,207,511,1,0,0,19,0
2020-07-22,735,74,204,530,1,0,0,19,0
2020-07-23,750,65,200,549,1,0,0,18,0
2020-07-24,761,58,194,566,1,0,0,18,0
2020-07-25,773,52,188,584,1,0,0,17,0
2020-07-26,783,47,181,601,1,0,0,16,0
2020-07-27,791,42,173,617,1,0,0,16,0
2020-07-28,799,39,166,632,1,0,0,15,0
2020-07-29,806,35,158,647,1,0,0,14,0
2020-07-30,813,32,151,661,1,0,0,14,0
2020-07-31,820,30,144,675,1,0,0,13,0
2020-08-01,824,28,136,687,1,0,0,12,0
2020-08-02,831,26,130,700,1,0,0,12,0
2020-08-03,835,24,123,711,1,0,0,11,0
2020-08-04,840,22,117,722,1,0,0,11,0
2020-08-05,843,21,110,732,1,0,0,10,0
2020-08-06,848,20,105,742,1,0,0,10,0
2020-08-07,852,18,99,752,1,0,0,9,0
2020-08-08,855,17,94,760,1,0,0,9,0
2020-08-09,859,16,89,769,1,0,0,8,0
2020-08-10,862,15,84,777,1,0,0,8,0
2020-08-11,864,14,79,784,1,0,0,7,0
2020-08-12,867,14,75,791,1,0,0,7,0
2020-08-13,870,13,71,798,1,0,0,6,0
2020-08-14,872,12,67,804,1,0,0,6,0
2020-08-15,875,11,64,810,1,0,0,6,0
2020-08-16,877,11,60,816,1,0,0,5,0
2020-08-17,879,10,57,821,1,0,0,5,0
2020-08-18,881,10,54,826,1,0,0,5,0
2020-08-19,883,9,51,831,1,0,0,5,0
2020-08-20,884,9,48,835,1,0,0,4,0
2020-08-21,886,8,45,840,1,0,0,4,0
2020-08-22,888,8,43,844,1,0,0,4,0
2020-08-23,889,7,40,848,1,0,0,4,0
2020-08-24,890,7,38,851,1,0,0,3,0
2020-08-25,892,6,36,855,1,0,0,3,0
2020-08-26,893,6,34,858,1,0,0,3,0
2020-08-27,894,6,32,861,1,0,0,3,0
2020-08-28,896,5,31,864,1,0,0,3,0
2020-08-29,896,5,29,866,1,0,0,3,0
2020-08-30,897,5,27,869,1,0,0,2,0
2020-08-31,898,5,26,871,1,0,0,2,0
2020-09-01,899,4,24,874,1,0,0,2,0
2020-09-02,900,4,23,876,1,0,0,2,0
2020-09-03,901,4,22,878,1,0,0,2,0
2020-09-04,902,4,21,880,1,0,0,2,0
2020-09-05,902,3,19,882,1,0,0,2,0
2020-09-06,902,3,18,883,1,0,0,2,0
2020-09-07,903,3,17,885,1,0,0,2,0
2020-09-08,904,3,16,887,1,0,0,1,0
2020-09-09,904,3,15,888,1,0,0,1,0
2020-09-10,905,3,15,889,1,0,0,1,0
2020-09-11,906,2,14,891,1,0,0,1,0
2020-09-12,906,2,13,892,1,0,0,1,0
2020-09-13,906,2,12,893,1,0,0,1,0
2020-09-14,907,2,12,894,1,0,0,1,0
2020-09-15,907,2,11,895,1,0,0,1,0
2020-09-16,907,2,10,896,1,0,0,1,0
2020-09-17,908,2,10,897,1,0,0,1,0
2020-09-18,908,2,9,898,1,0,0,1,0
2020-09-19,909,2,9,899,1,0,0,1,0
2020-09-20,909,1,8,900,1,0,0,1,0
2020-09-21,909,1,8,900,1,0,0,1,0
2020-09-22,909,1,7,901,1,0,0,1,0
2020-09-23,910,1,7,902,1,0,0,1,0
2020-09-24,910,1,7,902,1,0,0,1,0
2020-09-25,910,1,6,903,1,0,0,1,0
2020-09-26,910,1,6,903,1,0,0,1,0
2020-09-27,911,1,6,904,1,0,0,1,0
2020-09-28,910,1,5,904,1,0,0,0,0
2020-09-29,911,1,5,905,1,0,0,0,0
2020-09-30,911,1,5,905,1,0,0,0,0
2020-10-01,911,1,4,906,1,0,0,0,0
