Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-20,481,12,135,340,6,15,0,12,0
2020-06-21,484,26,126,351,7,11,0,11,0
2020-06-22,490,36,121,362,7,9,0,11,0
2020-06-23,498,43,118,373,7,7,0,10,0
2020-06-24,506,49,116,383,7,5,0,10,0
2020-06-25,517,54,116,394,7,4,0,10,0
2020-06-26,528,58,116,404,8,3,1,10,0
2020-06-27,540,61,117,415,8,3,1,10,0
2020-06-28,552,64,119,425,8,3,2,11,0
2020-06-29,565,67,121,436,8,2,2,11,0
2020-06-30,577,69,123,446,8,2,2,11,0
2020-07-01,592,71,125,458,9,2,3,11,0
2020-07-02,606,73,128,469,9,2,3,11,0
2020-07-03,619,75,130,480,9,2,3,12,0
2020-07-04,634,77,133,492,9,2,3,12,0
2020-07-05,650,79,136,504,10,2,3,12,0
2020-07-06,665,80,139,516,10,2,3,12,0
2020-07-07,681,82,142,529,10,2,3,13,0
2020-07-08,698,84,146,542,10,2,3,13,0
2020-07-09,715,86,149,555,11,2,3,13,0
2020-07-10,731,88,152,568,11,2,3,14,0
2020-07-11,749,90,156,582,11,2,3,14,0
2020-07-12,766,92,159,596,11,2,4,14,0
2020-07-13,785,94,163,610,12,2,4,15,0
2020-07-14,803,96,166,625,12,2,4,15,0
2020-07-15,822,98,170,640,12,2,4,15,0
2020-07-16,841,100,174,655,12,2,4,16,0
2020-07-17,862,102,178,671,13,2,4,16,0
2020-07-18,882,104,182,687,13,2,4,16,0
2020-07-19,902,106,186,703,13,2,4,17,0
2020-07-20,924,109,190,720,14,2,4,17,0
2020-07-21,945,111,194,737,14,2,4,17,0
2020-07-22,966,113,198,754,14,2,4,18,0
2020-07-23,989,115,202,772,15,2,4,18,0
2020-07-24,1011,118,206,790,15,2,4,18,0
2020-07-25,1035,120,211,809,15,2,4,19,0
2020-07-26,1059,122,215,828,16,2,4,19,0
2020-07-27,1082,125,219,847,16,2,5,20,0
2020-07-28,1107,127,224,867,16,2,5,20,0
2020-07-29,1133,130,229,887,17,2,5,20,0
2020-07-30,1157,132,233,907,17,2,5,21,0
2020-07-31,1184,135,238,928,18,3,5,21,0
2020-08-01,1211,137,243,950,18,3,5,22,0
2020-08-02,1237,140,248,971,18,3,5,22,0
2020-08-03,1266,142,253,994,19,3,5,23,0
2020-08-04,1292,145,257,1016,19,3,5,23,0
2020-08-05,1322,147,262,1040,20,3,5,23,0
2020-08-06,1351,150,268,1063,20,3,5,24,0
2020-08-07,1381,153,273,1087,21,3,5,24,0
2020-08-08,1411,155,278,1112,21,3,5,25,0
2020-08-09,1442,158,283,1137,22,3,5,25,0
2020-08-10,1472,161,288,1162,22,3,5,26,0
2020-08-11,1505,163,294,1188,23,3,5,26,0
2020-08-12,1536,166,299,1214,23,3,5,27,1
2020-08-13,1569,169,304,1241,24,3,5,27,1
2020-08-14,1603,172,310,1269,24,3,5,28,1
2020-08-15,1636,174,315,1296,25,3,6,28,1
2020-08-16,1671,177,321,1325,25,3,6,29,1
2020-08-17,1707,180,327,1354,26,3,6,29,1
2020-08-18,1741,183,332,1383,26,3,6,30,1
2020-08-19,1778,185,338,1413,27,3,6,30,1
2020-08-20,1813,188,343,1443,27,3,6,31,1
2020-08-21,1851,191,349,1474,28,3,6,31,1
2020-08-22,1889,194,355,1505,29,3,6,32,1
2020-08-23,1927,196,361,1537,29,3,6,32,1
2020-08-24,1965,199,366,1569,30,3,6,33,1
2020-08-25,2004,202,372,1602,30,3,6,33,1
2020-08-26,2045,205,378,1636,31,3,6,34,1
2020-08-27,2086,207,384,1670,32,3,6,34,1
2020-08-28,2125,210,389,1704,32,3,6,35,1
2020-08-29,2167,213,395,1739,33,3,6,35,1
2020-08-30,2209,215,401,1774,34,3,6,36,1
2020-08-31,2251,218,407,1810,34,3,6,36,1
2020-09-01,2294,220,412,1847,35,3,6,37,1
2020-09-02,2338,223,418,1884,36,3,6,37,1
2020-09-03,2381,225,424,1921,36,2,6,38,1
2020-09-04,2425,228,429,1959,37,2,6,38,1
2020-09-05,2471,230,435,1998,38,2,6,39,1
2020-09-06,2517,233,441,2037,39,2,6,39,1
2020-09-07,2561,235,446,2076,39,2,6,40,1
2020-09-08,2608,237,452,2116,40,2,5,40,1
2020-09-09,2655,240,457,2157,41,2,5,41,1
2020-09-10,2702,242,462,2198,42,2,5,41,1
2020-09-11,2749,244,468,2239,42,2,5,42,1
2020-09-12,2797,246,473,2281,43,2,5,42,1
2020-09-13,2845,248,478,2323,44,2,5,43,1
2020-09-14,2894,250,483,2366,45,2,5,43,1
2020-09-15,2944,252,488,2410,46,2,5,44,1
2020-09-16,2992,254,493,2453,46,2,5,44,1
2020-09-17,3043,256,498,2498,47,2,5,44,1
2020-09-18,3093,257,503,2542,48,2,5,45,1
2020-09-19,3144,259,508,2587,49,2,5,45,1
2020-09-20,3195,260,512,2633,50,2,4,46,1
2020-09-21,3246,262,517,2678,51,1,4,46,1
2020-09-22,3298,263,521,2725,52,1,4,46,1
2020-09-23,3348,265,525,2771,52,1,4,47,1
2020-09-24,3400,266,529,2818,53,1,4,47,1
2020-09-25,3453,267,533,2866,54,1,4,48,1
2020-09-26,3505,268,537,2913,55,1,4,48,1
2020-09-27,3558,269,541,2961,56,1,4,48,1
2020-09-28,3611,270,544,3010,57,1,3,49,1
2020-09-29,3665,271,548,3059,58,1,3,49,1
2020-09-30,3718,272,551,3108,59,1,3,49,1
2020-10-01,3771,272,554,3157,60,1,3,49,1
2020-10-02,3824,273,557,3206,61,1,3,50,1
2020-10-03,3878,274,560,3256,62,0,3,50,1
2020-10-04,3932,274,563,3306,63,0,3,50,1
2020-10-05,3986,274,565,3357,64,0,2,50,1
2020-10-06,4040,274,568,3407,65,0,2,51,1
2020-10-07,4093,275,570,3458,65,0,2,51,1
2020-10-08,4147,275,572,3509,66,0,2,51,1
2020-10-09,4200,275,573,3560,67,0,2,51,1
2020-10-10,4254,274,575,3611,68,0,2,51,1
2020-10-11,4308,274,577,3662,69,0,1,51,1
2020-10-12,4362,274,578,3714,70,0,1,52,1
2020-10-13,4415,273,579,3765,71,0,1,52,1
2020-10-14,4469,273,580,3817,72,0,1,52,1
2020-10-15,4523,272,581,3869,73,0,1,52,1
2020-10-16,4576,272,581,3921,74,0,0,52,1
2020-10-17,4630,271,582,3973,75,0,0,52,1
2020-10-18,4682,270,582,4024,76,0,0,52,1
2020-10-19,4735,269,582,4076,77,0,0,52,1
2020-10-20,4788,268,582,4128,78,0,0,52,1
2020-10-21,4840,267,581,4180,79,0,0,52,1
2020-10-22,4893,266,581,4232,80,0,0,52,1
2020-10-23,4945,265,580,4284,81,0,0,52,1
2020-10-24,4996,263,579,4335,82,0,0,52,1
2020-10-25,5048,262,578,4387,83,0,0,52,1
2020-10-26,5100,260,577,4439,84,0,0,51,1
2020-10-27,5150,259,575,4490,85,0,0,51,1
2020-10-28,5201,257,574,4541,86,0,0,51,1
2020-10-29,5251,256,572,4592,87,0,0,51,1
2020-10-30,5301,254,570,4643,88,0,0,51,1
2020-10-31,5351,252,568,4694,89,0,0,51,1
2020-11-01,5401,250,566,4745,90,0,0,50,1
2020-11-02,5449,248,563,4795,91,0,0,50,1
2020-11-03,5497,246,560,4845,92,0,0,50,1
2020-11-04,5546,244,558,4895,93,0,0,50,1
2020-11-05,5594,242,555,4945,94,0,0,50,1
2020-11-06,5641,240,552,4994,95,0,0,49,1
2020-11-07,5688,238,549,5043,96,0,0,49,1
2020-11-08,5733,235,545,5092,96,0,0,49,1
2020-11-09,5780,233,542,5141,97,0,0,48,1
2020-11-10,5825,231,538,5189,98,0,0,48,1
2020-11-11,5871,229,535,5237,99,0,0,48,1
2020-11-12,5915,226,531,5284,100,0,0,47,1
2020-11-13,5960,224,527,5332,101,0,0,47,1
2020-11-14,6003,221,523,5378,102,0,0,47,1
2020-11-15,6047,219,519,5425,103,0,0,46,1
2020-11-16,6089,216,514,5471,104,0,0,46,1
2020-11-17,6131,214,510,5517,104,0,0,45,1
2020-11-18,6172,211,505,5562,105,0,0,45,1
2020-11-19,6214,209,501,5607,106,0,0,45,1
2020-11-20,6255,206,496,5652,107,0,0,44,1
2020-11-21,6295,203,491,5696,108,0,0,44,1
2020-11-22,6335,201,487,5739,109,0,0,43,1
2020-11-23,6375,198,482,5783,110,0,0,43,1
2020-11-24,6413,196,477,5826,110,0,0,43,1
2020-11-25,6451,193,472,5868,111,0,0,42,1
2020-11-26,6489,190,467,5910,112,0,0,42,1
2020-11-27,6526,188,462,5951,113,0,0,41,1
2020-11-28,6561,185,456,5992,113,0,0,41,1
2020-11-29,6598,182,451,6033,114,0,0,40,1
2020-11-30,6634,180,446,6073,115,0,0,40,1
2020-12-01,6670,177,441,6113,116,0,0,39,1
2020-12-02,6704,174,435,6152,117,0,0,39,1
2020-12-03,6737,172,430,6190,117,0,0,38,1
2020-12-04,6770,169,424,6228,118,0,0,38,1
2020-12-05,6804,167,419,6266,119,0,0,37,1
2020-12-06,6836,164,414,6303,119,0,0,37,1
2020-12-07,6868,161,408,6340,120,0,0,36,1
2020-12-08,6900,159,403,6376,121,0,0,36,1
2020-12-09,6930,156,397,6412,121,0,0,35,1
2020-12-10,6961,154,392,6447,122,0,0,35,1
2020-12-11,6991,151,386,6482,123,0,0,34,1
2020-12-12,7020,149,381,6516,123,0,0,34,1
2020-12-13,7049,146,375,6550,124,0,0,33,1
2020-12-14,7078,144,370,6583,125,0,0,33,1
2020-12-15,7105,141,364,6616,125,0,0,33,1
2020-12-16,7134,139,359,6649,126,0,0,32,1
2020-12-17,7161,136,354,6680,127,0,0,32,1
2020-12-18,7187,134,348,6712,127,0,0,31,1
2020-12-19,7214,132,343,6743,128,0,0,31,1
2020-12-20,7238,129,337,6773,128,0,0,30,1
2020-12-21,7264,127,332,6803,129,0,0,30,1
2020-12-22,7288,125,327,6832,129,0,0,29,1
2020-12-23,7313,122,322,6861,130,0,0,29,1
2020-12-24,7336,120,316,6890,130,0,0,28,1
2020-12-25,7360,118,311,6918,131,0,0,28,1
2020-12-26,7384,116,306,6946,132,0,0,27,1
2020-12-27,7406,114,301,6973,132,0,0,27,1
2020-12-28,7428,111,296,6999,133,0,0,26,0
2020-12-29,7450,109,291,7026,133,0,0,26,0
2020-12-30,7471,107,286,7051,134,0,0,26,0
2020-12-31,7492,105,281,7077,134,0,0,25,0
2021-01-01,7513,103,276,7102,135,0,0,25,0
2021-01-02,7532,101,271,7126,135,0,0,24,0
2021-01-03,7551,99,266,7150,135,0,0,24,0
2021-01-04,7572,97,262,7174,136,0,0,23,0
2021-01-05,7590,95,257,7197,136,0,0,23,0
2021-01-06,7609,93,252,7220,137,0,0,23,0
2021-01-07,7627,92,248,7242,137,0,0,22,0
2021-01-08,7645,90,243,7264,138,0,0,22,0
2021-01-09,7663,88,239,7286,138,0,0,21,0
2021-01-10,7679,86,234,7307,138,0,0,21,0
2021-01-11,7696,85,230,7327,139,0,0,21,0
2021-01-12,7713,83,226,7348,139,0,0,20,0
2021-01-13,7729,81,221,7368,140,0,0,20,0
2021-01-14,7744,79,217,7387,140,0,0,19,0
2021-01-15,7760,78,213,7407,140,0,0,19,0
2021-01-16,7776,76,209,7426,141,0,0,19,0
2021-01-17,7790,75,205,7444,141,0,0,18,0
2021-01-18,7804,73,201,7462,141,0,0,18,0
2021-01-19,7819,72,197,7480,142,0,0,18,0
2021-01-20,7832,70,193,7497,142,0,0,17,0
2021-01-21,7846,69,189,7515,142,0,0,17,0
2021-01-22,7860,67,186,7531,143,0,0,17,0
2021-01-23,7873,66,182,7548,143,0,0,16,0
2021-01-24,7885,64,178,7564,143,0,0,16,0
2021-01-25,7899,63,175,7580,144,0,0,16,0
2021-01-26,7910,62,171,7595,144,0,0,15,0
2021-01-27,7922,60,168,7610,144,0,0,15,0
2021-01-28,7933,59,164,7625,144,0,0,15,0
2021-01-29,7946,58,161,7640,145,0,0,14,0
2021-01-30,7957,57,158,7654,145,0,0,14,0
2021-01-31,7968,55,155,7668,145,0,0,14,0
2021-02-01,7978,54,151,7682,145,0,0,14,0
2021-02-02,7989,53,148,7695,146,0,0,13,0
2021-02-03,7999,52,145,7708,146,0,0,13,0
2021-02-04,8009,51,142,7721,146,0,0,13,0
2021-02-05,8019,50,139,7734,146,0,0,12,0
2021-02-06,8029,49,136,7746,147,0,0,12,0
2021-02-07,8038,47,133,7758,147,0,0,12,0
2021-02-08,8048,46,131,7770,147,0,0,12,0
2021-02-09,8056,45,128,7781,147,0,0,11,0
2021-02-10,8066,44,125,7793,148,0,0,11,0
2021-02-11,8075,43,123,7804,148,0,0,11,0
2021-02-12,8083,42,120,7815,148,0,0,11,0
2021-02-13,8090,42,117,7825,148,0,0,10,0
2021-02-14,8099,41,115,7836,148,0,0,10,0
2021-02-15,8107,40,112,7846,149,0,0,10,0
2021-02-16,8115,39,110,7856,149,0,0,10,0
2021-02-17,8122,38,108,7865,149,0,0,10,0
2021-02-18,8129,37,105,7875,149,0,0,9,0
2021-02-19,8136,36,103,7884,149,0,0,9,0
2021-02-20,8144,35,101,7893,150,0,0,9,0
2021-02-21,8151,35,99,7902,150,0,0,9,0
2021-02-22,8157,34,96,7911,150,0,0,9,0
2021-02-23,8164,33,94,7920,150,0,0,8,0
2021-02-24,8170,32,92,7928,150,0,0,8,0
2021-02-25,8176,32,90,7936,150,0,0,8,0
2021-02-26,8182,31,88,7944,150,0,0,8,0
2021-02-27,8189,30,86,7952,151,0,0,8,0
2021-02-28,8195,30,84,7960,151,0,0,8,0
2021-03-01,8201,29,83,7967,151,0,0,7,0
2021-03-02,8206,28,81,7974,151,0,0,7,0
2021-03-03,8211,28,79,7981,151,0,0,7,0
2021-03-04,8216,27,77,7988,151,0,0,7,0
2021-03-05,8221,26,75,7995,151,0,0,7,0
2021-03-06,8228,26,74,8002,152,0,0,7,0
2021-03-07,8232,25,72,8008,152,0,0,6,0
2021-03-08,8238,25,71,8015,152,0,0,6,0
2021-03-09,8242,24,69,8021,152,0,0,6,0
2021-03-10,8246,23,67,8027,152,0,0,6,0
2021-03-11,8251,23,66,8033,152,0,0,6,0
2021-03-12,8255,22,64,8039,152,0,0,6,0
2021-03-13,8260,22,63,8045,152,0,0,6,0
2021-03-14,8264,21,62,8050,152,0,0,5,0
2021-03-15,8269,21,60,8056,153,0,0,5,0
2021-03-16,8273,20,59,8061,153,0,0,5,0
2021-03-17,8276,20,57,8066,153,0,0,5,0
2021-03-18,8280,20,56,8071,153,0,0,5,0
