Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-23,4490,1195,1208,3273,9,0,124,110,0
2020-06-24,4718,1117,1322,3386,10,0,99,120,0
2020-06-25,4933,1064,1414,3509,10,0,80,128,0
2020-06-26,5138,1030,1488,3640,10,0,67,135,0
2020-06-27,5339,1010,1551,3777,11,0,57,141,0
2020-06-28,5536,999,1605,3920,11,0,50,146,0
2020-06-29,5731,995,1653,4067,11,0,45,150,0
2020-06-30,5926,996,1696,4218,12,4,41,154,0
2020-07-01,6122,1001,1736,4374,12,7,38,157,0
2020-07-02,6319,1009,1774,4532,13,9,36,161,0
2020-07-03,6517,1018,1810,4694,13,10,35,164,0
2020-07-04,6719,1029,1845,4860,14,11,34,167,0
2020-07-05,6920,1041,1878,5028,14,12,33,170,0
2020-07-06,7125,1053,1911,5199,15,13,33,173,0
2020-07-07,7333,1066,1944,5374,15,13,32,176,0
2020-07-08,7543,1079,1976,5551,16,13,32,179,1
2020-07-09,7755,1092,2008,5731,16,13,32,182,1
2020-07-10,7970,1105,2039,5914,17,13,31,185,1
2020-07-11,8188,1119,2071,6100,17,13,31,188,1
2020-07-12,8409,1132,2102,6289,18,13,31,191,1
2020-07-13,8631,1145,2132,6481,18,13,31,193,1
2020-07-14,8857,1158,2163,6675,19,13,30,196,1
2020-07-15,9084,1170,2193,6872,19,12,30,199,1
2020-07-16,9315,1183,2223,7072,20,12,30,202,1
2020-07-17,9548,1195,2253,7275,20,12,29,204,1
2020-07-18,9783,1206,2282,7480,21,12,29,207,1
2020-07-19,10021,1218,2311,7688,22,11,29,210,1
2020-07-20,10260,1229,2340,7898,22,11,28,212,1
2020-07-21,10502,1240,2368,8111,23,11,28,215,1
2020-07-22,10745,1250,2395,8327,23,10,27,217,1
2020-07-23,10992,1261,2423,8545,24,10,27,220,1
2020-07-24,11239,1270,2449,8765,25,9,26,222,1
2020-07-25,11489,1280,2476,8988,25,9,26,224,1
2020-07-26,11741,1288,2501,9214,26,9,25,227,1
2020-07-27,11994,1297,2526,9441,27,8,25,229,1
2020-07-28,12249,1305,2551,9671,27,8,24,231,1
2020-07-29,12505,1313,2574,9903,28,7,23,233,1
2020-07-30,12763,1320,2597,10137,29,7,23,235,1
2020-07-31,13023,1326,2620,10374,29,6,22,237,1
2020-08-01,13283,1332,2641,10612,30,6,21,239,1
2020-08-02,13545,1338,2662,10852,31,5,20,241,1
2020-08-03,13807,1343,2682,11094,31,5,20,243,1
2020-08-04,14071,1348,2701,11338,32,4,19,245,1
2020-08-05,14336,1352,2720,11583,33,4,18,247,1
2020-08-06,14601,1356,2737,11831,33,3,17,248,1
2020-08-07,14867,1359,2754,12079,34,3,16,250,1
2020-08-08,15134,1361,2770,12329,35,2,15,251,1
2020-08-09,15400,1363,2784,12581,35,2,14,252,1
2020-08-10,15668,1365,2798,12834,36,1,13,254,1
2020-08-11,15936,1366,2811,13088,37,1,12,255,1
2020-08-12,16204,1366,2823,13343,38,0,11,256,1
2020-08-13,16472,1366,2834,13600,38,0,10,257,1
2020-08-14,16739,1365,2843,13857,39,0,9,258,1
2020-08-15,17007,1364,2852,14115,40,0,8,259,1
2020-08-16,17274,1362,2860,14374,40,0,7,259,1
2020-08-17,17541,1360,2867,14633,41,0,6,260,1
2020-08-18,17807,1357,2872,14893,42,0,5,260,1
2020-08-19,18074,1354,2877,15154,43,0,4,261,1
2020-08-20,18338,1350,2880,15415,43,0,3,261,1
2020-08-21,18603,1345,2883,15676,44,0,2,261,1
2020-08-22,18866,1340,2884,15937,45,0,1,261,1
2020-08-23,19129,1335,2884,16199,46,0,0,261,1
2020-08-24,19389,1329,2883,16460,46,0,0,261,1
