Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-26,423,73,116,306,1,0,4,11,0
2020-06-27,438,73,120,317,1,1,3,11,0
2020-06-28,452,74,123,328,1,1,3,11,0
2020-06-29,466,75,126,339,1,1,3,11,0
2020-06-30,481,76,129,351,1,1,3,12,0
2020-07-01,497,77,133,363,1,1,3,12,0
2020-07-02,512,78,136,375,1,1,3,12,0
2020-07-03,527,80,139,387,1,1,3,13,0
2020-07-04,543,81,142,400,1,2,3,13,0
2020-07-05,559,83,145,413,1,2,3,13,0
2020-07-06,575,85,148,426,1,2,3,13,0
2020-07-07,592,86,151,440,1,2,3,14,0
2020-07-08,608,88,154,453,1,2,3,14,0
2020-07-09,627,90,158,468,1,2,3,14,0
2020-07-10,644,92,161,482,1,2,3,15,0
2020-07-11,662,93,164,497,1,2,3,15,0
2020-07-12,681,95,168,512,1,2,3,15,0
2020-07-13,699,97,171,527,1,2,3,16,0
2020-07-14,719,99,175,543,1,2,4,16,0
2020-07-15,738,101,178,559,1,2,4,16,0
2020-07-16,758,103,182,575,1,2,4,16,0
2020-07-17,778,105,185,592,1,2,4,17,0
2020-07-18,798,107,189,608,1,2,4,17,0
2020-07-19,820,109,193,626,1,2,4,18,0
2020-07-20,841,111,197,643,1,2,4,18,0
2020-07-21,863,113,201,661,1,2,4,18,0
2020-07-22,886,115,205,680,1,2,4,19,0
2020-07-23,908,118,209,698,1,2,4,19,0
2020-07-24,932,120,213,718,1,2,4,19,0
2020-07-25,956,122,217,737,2,2,4,20,0
2020-07-26,980,124,221,757,2,2,4,20,0
2020-07-27,1005,127,226,777,2,2,4,20,0
2020-07-28,1030,129,230,798,2,2,4,21,0
2020-07-29,1055,131,234,819,2,2,4,21,0
2020-07-30,1081,134,239,840,2,2,4,22,0
2020-07-31,1107,136,243,862,2,2,5,22,0
2020-08-01,1134,138,248,884,2,2,5,22,0
2020-08-02,1161,141,252,907,2,2,5,23,0
2020-08-03,1189,143,257,930,2,2,5,23,0
