Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-19,481,103,87,393,1,0,12,8,0
2020-07-20,501,90,98,401,2,0,9,9,0
2020-07-21,518,81,106,410,2,0,6,10,0
2020-07-22,533,73,111,420,2,0,4,10,0
2020-07-23,547,68,115,430,2,0,3,10,0
2020-07-24,559,63,117,440,2,0,2,11,0
2020-07-25,572,60,119,451,2,0,1,11,0
2020-07-26,583,57,119,462,2,0,0,11,0
2020-07-27,594,54,119,473,2,0,0,11,0
2020-07-28,605,53,119,484,2,0,0,11,0
2020-07-29,614,51,118,494,2,0,0,11,0
2020-07-30,625,49,118,505,2,0,0,11,0
2020-07-31,635,48,117,516,2,0,0,11,0
2020-08-01,643,47,115,526,2,0,0,10,0
2020-08-02,653,46,114,537,2,0,0,10,0
2020-08-03,662,45,113,547,2,0,0,10,0
2020-08-04,670,44,111,557,2,0,0,10,0
2020-08-05,679,44,110,567,2,0,0,10,0
2020-08-06,688,43,109,577,2,0,0,10,0
2020-08-07,696,42,107,587,2,0,0,10,0
2020-08-08,704,41,106,596,2,0,0,10,0
2020-08-09,712,41,104,606,2,0,0,9,0
2020-08-10,720,40,103,615,2,0,0,9,0
2020-08-11,728,39,101,625,2,0,0,9,0
2020-08-12,736,39,100,634,2,0,0,9,0
2020-08-13,743,38,98,643,2,0,0,9,0
2020-08-14,750,37,97,651,2,0,0,9,0
2020-08-15,757,37,95,660,2,0,0,9,0
2020-08-16,766,36,94,669,3,0,0,9,0
2020-08-17,772,36,92,677,3,0,0,8,0
2020-08-18,780,35,91,686,3,0,0,8,0
2020-08-19,787,34,90,694,3,0,0,8,0
2020-08-20,793,34,88,702,3,0,0,8,0
2020-08-21,800,33,87,710,3,0,0,8,0
2020-08-22,807,33,86,718,3,0,0,8,0
2020-08-23,812,32,84,725,3,0,0,8,0
2020-08-24,819,32,83,733,3,0,0,8,0
2020-08-25,825,31,82,740,3,0,0,7,0
2020-08-26,831,31,80,748,3,0,0,7,0
2020-08-27,837,30,79,755,3,0,0,7,0
2020-08-28,843,30,78,762,3,0,0,7,0
2020-08-29,848,29,76,769,3,0,0,7,0
2020-08-30,854,29,75,776,3,0,0,7,0
2020-08-31,860,28,74,783,3,0,0,7,0
2020-09-01,865,28,73,789,3,0,0,7,0
2020-09-02,871,27,72,796,3,0,0,6,0
2020-09-03,875,27,70,802,3,0,0,6,0
2020-09-04,881,26,69,809,3,0,0,6,0
2020-09-05,886,26,68,815,3,0,0,6,0
2020-09-06,891,25,67,821,3,0,0,6,0
2020-09-07,896,25,66,827,3,0,0,6,0
2020-09-08,901,24,65,833,3,0,0,6,0
2020-09-09,906,24,64,839,3,0,0,6,0
2020-09-10,909,23,62,844,3,0,0,6,0
2020-09-11,914,23,61,850,3,0,0,6,0
2020-09-12,919,23,60,856,3,0,0,5,0
2020-09-13,923,22,59,861,3,0,0,5,0
2020-09-14,927,22,58,866,3,0,0,5,0
2020-09-15,932,21,57,872,3,0,0,5,0
2020-09-16,936,21,56,877,3,0,0,5,0
2020-09-17,940,21,55,882,3,0,0,5,0
2020-09-18,944,20,54,887,3,0,0,5,0
2020-09-19,948,20,53,892,3,0,0,5,0
2020-09-20,951,20,52,896,3,0,0,5,0
2020-09-21,955,19,51,901,3,0,0,5,0
2020-09-22,960,19,51,906,3,0,0,5,0
2020-09-23,963,18,50,910,3,0,0,4,0
2020-09-24,967,18,49,915,3,0,0,4,0
2020-09-25,970,18,48,919,3,0,0,4,0
2020-09-26,973,17,47,923,3,0,0,4,0
2020-09-27,977,17,46,928,3,0,0,4,0
2020-09-28,980,17,45,932,3,0,0,4,0
2020-09-29,984,16,44,936,4,0,0,4,0
2020-09-30,988,16,44,940,4,0,0,4,0
2020-10-01,991,16,43,944,4,0,0,4,0
2020-10-02,994,16,42,948,4,0,0,4,0
2020-10-03,996,15,41,951,4,0,0,4,0
2020-10-04,1000,15,41,955,4,0,0,4,0
2020-10-05,1003,15,40,959,4,0,0,4,0
2020-10-06,1005,14,39,962,4,0,0,4,0
2020-10-07,1008,14,38,966,4,0,0,3,0
2020-10-08,1011,14,38,969,4,0,0,3,0
2020-10-09,1014,14,37,973,4,0,0,3,0
2020-10-10,1016,13,36,976,4,0,0,3,0
2020-10-11,1019,13,36,979,4,0,0,3,0
2020-10-12,1022,13,35,983,4,0,0,3,0
2020-10-13,1024,13,34,986,4,0,0,3,0
2020-10-14,1027,12,34,989,4,0,0,3,0
2020-10-15,1029,12,33,992,4,0,0,3,0
