Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-20,2916,525,853,2061,2,0,25,77,0
2020-06-21,3017,508,876,2139,2,0,20,80,0
2020-06-22,3116,495,895,2219,2,0,16,81,0
2020-06-23,3212,483,909,2301,2,0,12,83,0
2020-06-24,3306,473,920,2384,2,0,9,84,0
2020-06-25,3399,464,928,2468,3,0,7,84,0
2020-06-26,3489,455,934,2552,3,0,4,85,0
2020-06-27,3577,447,937,2637,3,0,2,85,0
2020-06-28,3665,439,939,2723,3,0,1,85,0
2020-06-29,3750,430,939,2808,3,0,0,85,0
2020-06-30,3833,421,937,2893,3,0,0,85,0
2020-07-01,3915,413,934,2978,3,0,0,85,0
2020-07-02,3996,404,930,3063,3,0,0,84,0
2020-07-03,4074,394,924,3147,3,0,0,84,0
2020-07-04,4151,385,917,3231,3,0,0,83,0
2020-07-05,4225,375,908,3314,3,0,0,82,0
2020-07-06,4298,365,899,3396,3,0,0,82,0
2020-07-07,4369,355,888,3477,4,0,0,81,0
2020-07-08,4438,345,877,3557,4,0,0,80,0
2020-07-09,4506,335,865,3637,4,0,0,79,0
2020-07-10,4570,325,851,3715,4,0,0,77,0
2020-07-11,4633,315,837,3792,4,0,0,76,0
2020-07-12,4694,305,823,3867,4,0,0,75,0
2020-07-13,4752,294,807,3941,4,0,0,73,0
2020-07-14,4810,284,792,4014,4,0,0,72,0
2020-07-15,4865,274,775,4086,4,0,0,70,0
2020-07-16,4917,265,758,4155,4,0,0,69,0
2020-07-17,4969,255,741,4224,4,0,0,67,0
2020-07-18,5018,246,724,4290,4,0,0,66,0
2020-07-19,5066,236,706,4356,4,0,0,64,0
2020-07-20,5112,227,688,4419,5,0,0,62,0
2020-07-21,5156,218,670,4481,5,0,0,61,0
2020-07-22,5198,210,652,4541,5,0,0,59,0
2020-07-23,5239,201,634,4600,5,0,0,58,0
2020-07-24,5278,193,616,4657,5,0,0,56,0
2020-07-25,5315,185,598,4712,5,0,0,54,0
2020-07-26,5351,178,580,4766,5,0,0,53,0
2020-07-27,5385,170,562,4818,5,0,0,51,0
2020-07-28,5417,163,544,4868,5,0,0,49,0
2020-07-29,5449,156,527,4917,5,0,0,48,0
2020-07-30,5479,149,510,4964,5,0,0,46,0
2020-07-31,5508,143,493,5010,5,0,0,45,0
2020-08-01,5535,137,476,5054,5,0,0,43,0
2020-08-02,5562,131,460,5097,5,0,0,42,0
2020-08-03,5586,125,443,5138,5,0,0,40,0
2020-08-04,5611,119,428,5178,5,0,0,39,0
2020-08-05,5633,114,412,5216,5,0,0,37,0
2020-08-06,5655,109,397,5253,5,0,0,36,0
2020-08-07,5676,104,383,5288,5,0,0,35,0
2020-08-08,5696,99,368,5323,5,0,0,33,0
2020-08-09,5716,95,355,5356,5,0,0,32,0
2020-08-10,5734,90,341,5387,6,0,0,31,0
2020-08-11,5752,86,328,5418,6,0,0,30,0
2020-08-12,5768,82,315,5447,6,0,0,29,0
2020-08-13,5784,79,303,5475,6,0,0,27,0
2020-08-14,5800,75,291,5503,6,0,0,26,0
2020-08-15,5814,71,279,5529,6,0,0,25,0
2020-08-16,5828,68,268,5554,6,0,0,24,0
2020-08-17,5840,65,257,5577,6,0,0,23,0
2020-08-18,5853,62,247,5600,6,0,0,22,0
2020-08-19,5865,59,236,5623,6,0,0,21,0
2020-08-20,5877,56,227,5644,6,0,0,21,0
2020-08-21,5887,54,217,5664,6,0,0,20,0
2020-08-22,5897,51,208,5683,6,0,0,19,0
2020-08-23,5907,49,199,5702,6,0,0,18,0
2020-08-24,5917,47,191,5720,6,0,0,17,0
2020-08-25,5926,44,183,5737,6,0,0,17,0
2020-08-26,5934,42,175,5753,6,0,0,16,0
2020-08-27,5943,40,168,5769,6,0,0,15,0
2020-08-28,5950,38,160,5784,6,0,0,15,0
2020-08-29,5957,37,153,5798,6,0,0,14,0
2020-08-30,5965,35,147,5812,6,0,0,13,0
2020-08-31,5971,33,140,5825,6,0,0,13,0
2020-09-01,5977,32,134,5837,6,0,0,12,0
2020-09-02,5983,30,128,5849,6,0,0,12,0
2020-09-03,5990,29,123,5861,6,0,0,11,0
2020-09-04,5995,27,117,5872,6,0,0,11,0
2020-09-05,6000,26,112,5882,6,0,0,10,0
2020-09-06,6005,25,107,5892,6,0,0,10,0
2020-09-07,6010,24,102,5902,6,0,0,9,0
2020-09-08,6015,23,98,5911,6,0,0,9,0
2020-09-09,6019,22,93,5920,6,0,0,8,0
2020-09-10,6023,21,89,5928,6,0,0,8,0
2020-09-11,6027,20,85,5936,6,0,0,8,0
2020-09-12,6031,19,81,5944,6,0,0,7,0
2020-09-13,6035,18,78,5951,6,0,0,7,0
2020-09-14,6038,17,74,5958,6,0,0,7,0
2020-09-15,6041,16,71,5964,6,0,0,6,0
2020-09-16,6045,15,68,5971,6,0,0,6,0
2020-09-17,6047,15,64,5977,6,0,0,6,0
2020-09-18,6050,14,62,5982,6,0,0,6,0
2020-09-19,6053,13,59,5988,6,0,0,5,0
2020-09-20,6055,13,56,5993,6,0,0,5,0
2020-09-21,6058,12,54,5998,6,0,0,5,0
2020-09-22,6060,12,51,6003,6,0,0,5,0
2020-09-23,6063,11,49,6008,6,0,0,4,0
2020-09-24,6064,10,46,6012,6,0,0,4,0
2020-09-25,6066,10,44,6016,6,0,0,4,0
2020-09-26,6068,10,42,6020,6,0,0,4,0
2020-09-27,6070,9,40,6024,6,0,0,4,0
2020-09-28,6072,9,39,6027,6,0,0,3,0
2020-09-29,6074,8,37,6031,6,0,0,3,0
2020-09-30,6075,8,35,6034,6,0,0,3,0
2020-10-01,6076,7,33,6037,6,0,0,3,0
2020-10-02,6078,7,32,6040,6,0,0,3,0
2020-10-03,6079,7,30,6043,6,0,0,3,0
2020-10-04,6081,6,29,6046,6,0,0,3,0
2020-10-05,6082,6,28,6048,6,0,0,3,0
2020-10-06,6083,6,26,6051,6,0,0,2,0
2020-10-07,6084,6,25,6053,6,0,0,2,0
2020-10-08,6085,5,24,6055,6,0,0,2,0
2020-10-09,6087,5,23,6058,6,0,0,2,0
2020-10-10,6088,5,22,6060,6,0,0,2,0
2020-10-11,6089,5,21,6062,6,0,0,2,0
2020-10-12,6089,4,20,6063,6,0,0,2,0
2020-10-13,6090,4,19,6065,6,0,0,2,0
2020-10-14,6091,4,18,6067,6,0,0,2,0
2020-10-15,6091,4,17,6068,6,0,0,2,0
2020-10-16,6092,4,16,6070,6,0,0,1,0
2020-10-17,6093,3,16,6071,6,0,0,1,0
2020-10-18,6094,3,15,6073,6,0,0,1,0
2020-10-19,6094,3,14,6074,6,0,0,1,0
2020-10-20,6095,3,14,6075,6,0,0,1,0
2020-10-21,6096,3,13,6077,6,0,0,1,0
2020-10-22,6096,3,12,6078,6,0,0,1,0
2020-10-23,6097,3,12,6079,6,0,0,1,0
2020-10-24,6097,2,11,6080,6,0,0,1,0
2020-10-25,6098,2,11,6081,6,0,0,1,0
2020-10-26,6098,2,10,6082,6,0,0,1,0
2020-10-27,6099,2,10,6083,6,0,0,1,0
2020-10-28,6099,2,9,6084,6,0,0,1,0
2020-10-29,6099,2,9,6084,6,0,0,1,0
2020-10-30,6099,2,8,6085,6,0,0,1,0
2020-10-31,6100,2,8,6086,6,0,0,1,0
2020-11-01,6101,2,8,6087,6,0,0,1,0
2020-11-02,6100,2,7,6087,6,0,0,1,0
2020-11-03,6101,2,7,6088,6,0,0,1,0
2020-11-04,6102,1,7,6089,6,0,0,1,0
2020-11-05,6101,1,6,6089,6,0,0,1,0
2020-11-06,6102,1,6,6090,6,0,0,1,0
2020-11-07,6102,1,6,6090,6,0,0,1,0
2020-11-08,6102,1,5,6091,6,0,0,0,0
2020-11-09,6102,1,5,6091,6,0,0,0,0
2020-11-10,6103,1,5,6092,6,0,0,0,0
2020-11-11,6103,1,5,6092,6,0,0,0,0
2020-11-12,6103,1,4,6093,6,0,0,0,0
2020-11-13,6103,1,4,6093,6,0,0,0,0
2020-11-14,6103,1,4,6093,6,0,0,0,0
2020-11-15,6104,1,4,6094,6,0,0,0,0
2020-11-16,6104,1,4,6094,6,0,0,0,0
2020-11-17,6105,1,4,6095,6,0,0,0,0
2020-11-18,6104,1,3,6095,6,0,0,0,0
2020-11-19,6104,1,3,6095,6,0,0,0,0
2020-11-20,6104,1,3,6095,6,0,0,0,0
2020-11-21,6105,1,3,6096,6,0,0,0,0
2020-11-22,6105,1,3,6096,6,0,0,0,0
2020-11-23,6105,1,3,6096,6,0,0,0,0
2020-11-24,6105,1,3,6096,6,0,0,0,0
2020-11-25,6105,1,2,6097,6,0,0,0,0
2020-11-26,6105,1,2,6097,6,0,0,0,0
2020-11-27,6105,0,2,6097,6,0,0,0,0
2020-11-28,6105,0,2,6097,6,0,0,0,0
2020-11-29,6105,0,2,6097,6,0,0,0,0
2020-11-30,6106,0,2,6098,6,0,0,0,0
