Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-14,125,12,24,99,2,0,0,2,0
2020-07-15,128,12,24,101,3,0,0,2,0
2020-07-16,130,12,24,103,3,0,0,2,0
2020-07-17,132,12,24,105,3,0,0,2,0
2020-07-18,134,11,24,107,3,0,0,2,0
2020-07-19,136,11,24,109,3,0,0,2,0
2020-07-20,138,11,24,111,3,0,0,2,0
2020-07-21,141,11,24,114,3,0,0,2,0
2020-07-22,143,11,24,116,3,0,0,2,0
2020-07-23,145,11,24,118,3,0,0,2,0
2020-07-24,147,11,24,120,3,0,0,2,0
2020-07-25,149,11,24,122,3,0,0,2,0
2020-07-26,151,11,24,124,3,0,0,2,0
2020-07-27,154,11,24,127,3,0,0,2,0
2020-07-28,156,11,24,129,3,0,0,2,0
2020-07-29,158,11,24,131,3,0,0,2,0
2020-07-30,160,11,24,133,3,0,0,2,0
2020-07-31,162,11,24,135,3,0,0,2,0
2020-08-01,164,11,24,137,3,0,0,2,0
2020-08-02,166,11,24,139,3,0,0,2,0
2020-08-03,170,11,24,142,4,0,0,2,0
2020-08-04,172,11,24,144,4,0,0,2,0
2020-08-05,174,11,24,146,4,0,0,2,0
2020-08-06,176,11,24,148,4,0,0,2,0
2020-08-07,178,11,24,150,4,0,0,2,0
2020-08-08,180,11,24,152,4,0,0,2,0
2020-08-09,182,11,24,154,4,0,0,2,0
2020-08-10,184,11,24,156,4,0,0,2,0
2020-08-11,187,11,24,159,4,0,0,2,0
2020-08-12,189,11,24,161,4,0,0,2,0
2020-08-13,191,11,24,163,4,0,0,2,0
2020-08-14,193,11,24,165,4,0,0,2,0
2020-08-15,195,11,24,167,4,0,0,2,0
2020-08-16,197,11,24,169,4,0,0,2,0
2020-08-17,198,11,23,171,4,0,0,2,0
2020-08-18,200,11,23,173,4,0,0,2,0
2020-08-19,202,11,23,175,4,0,0,2,0
2020-08-20,204,11,23,177,4,0,0,2,0
2020-08-21,206,11,23,179,4,0,0,2,0
2020-08-22,209,11,23,181,5,0,0,2,0
2020-08-23,211,11,23,183,5,0,0,2,0
2020-08-24,214,11,23,186,5,0,0,2,0
2020-08-25,216,11,23,188,5,0,0,2,0
2020-08-26,218,11,23,190,5,0,0,2,0
2020-08-27,220,10,23,192,5,0,0,2,0
2020-08-28,222,10,23,194,5,0,0,2,0
2020-08-29,224,10,23,196,5,0,0,2,0
2020-08-30,226,10,23,198,5,0,0,2,0
2020-08-31,228,10,23,200,5,0,0,2,0
2020-09-01,230,10,23,202,5,0,0,2,0
2020-09-02,232,10,23,204,5,0,0,2,0
2020-09-03,234,10,23,206,5,0,0,2,0
2020-09-04,236,10,23,208,5,0,0,2,0
2020-09-05,238,10,23,210,5,0,0,2,0
2020-09-06,240,10,23,212,5,0,0,2,0
2020-09-07,242,10,23,214,5,0,0,2,0
2020-09-08,244,10,23,216,5,0,0,2,0
2020-09-09,246,10,23,218,5,0,0,2,0
2020-09-10,247,10,22,220,5,0,0,2,0
2020-09-11,250,10,22,222,6,0,0,2,0
2020-09-12,252,10,22,224,6,0,0,2,0
2020-09-13,254,10,22,226,6,0,0,2,0
2020-09-14,256,10,22,228,6,0,0,2,0
2020-09-15,258,10,22,230,6,0,0,2,0
2020-09-16,260,10,22,232,6,0,0,2,0
2020-09-17,262,10,22,234,6,0,0,2,0
2020-09-18,264,10,22,236,6,0,0,2,0
2020-09-19,266,10,22,238,6,0,0,2,0
2020-09-20,268,10,22,240,6,0,0,2,0
2020-09-21,270,10,22,242,6,0,0,2,0
2020-09-22,272,10,22,244,6,0,0,2,0
2020-09-23,274,10,22,246,6,0,0,2,0
2020-09-24,276,10,22,248,6,0,0,2,0
2020-09-25,277,10,22,249,6,0,0,2,0
2020-09-26,279,10,22,251,6,0,0,2,0
2020-09-27,281,10,22,253,6,0,0,2,0
