Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-14,900,947,900,0,0,0,104,0,0
2020-07-15,994,862,994,0,0,0,79,0,0
2020-07-16,1065,801,1065,0,0,0,60,0,0
2020-07-17,1120,756,1120,0,0,0,46,0,0
2020-07-18,1162,724,1162,0,0,0,36,0,0
2020-07-19,1196,702,1196,0,0,0,29,0,0
2020-07-20,1222,686,1222,0,0,0,23,0,0
2020-07-21,1244,675,1244,0,0,0,19,0,0
2020-07-22,1262,668,1262,0,0,0,16,0,0
2020-07-23,1277,663,1277,0,0,0,14,0,0
2020-07-24,1291,660,1291,0,0,0,12,0,0
2020-07-25,1302,659,1302,0,0,0,11,0,0
2020-07-26,1313,659,1313,0,0,0,10,0,0
2020-07-27,1322,659,1322,0,0,1,9,0,0
2020-07-28,1331,660,1331,0,0,1,8,0,0
2020-07-29,1339,662,1339,0,0,2,8,0,0
2020-07-30,1347,663,1347,0,0,2,8,0,0
2020-07-31,1355,665,1355,0,0,2,7,0,0
2020-08-01,1362,667,1362,0,0,2,7,0,0
2020-08-02,1369,669,1369,0,0,2,7,0,0
2020-08-03,1375,671,1375,0,0,2,6,0,0
2020-08-04,1382,672,1382,0,0,2,6,0,0
2020-08-05,1388,674,1388,0,0,2,6,0,0
2020-08-06,1394,676,1394,0,0,2,6,0,0
2020-08-07,1400,678,1400,0,0,2,6,0,0
2020-08-08,1405,680,1405,0,0,2,5,0,0
2020-08-09,1411,681,1411,0,0,2,5,0,0
2020-08-10,1416,683,1416,0,0,1,5,0,0
2020-08-11,1421,684,1421,0,0,1,5,0,0
2020-08-12,1426,685,1426,0,0,1,5,0,0
2020-08-13,1430,687,1430,0,0,1,5,0,0
2020-08-14,1435,688,1435,0,0,1,4,0,0
2020-08-15,1439,689,1439,0,0,1,4,0,0
2020-08-16,1443,690,1443,0,0,1,4,0,0
2020-08-17,1447,691,1447,0,0,1,4,0,0
2020-08-18,1451,691,1451,0,0,1,4,0,0
