Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-27,1911,331,515,1389,7,0,18,47,0
2020-06-28,1974,318,531,1436,7,0,14,48,0
2020-06-29,2037,308,544,1485,8,0,11,49,0
2020-06-30,2096,301,554,1534,8,0,9,50,0
2020-07-01,2155,296,562,1585,8,0,7,51,0
2020-07-02,2212,292,568,1636,8,0,6,51,0
2020-07-03,2270,290,574,1687,9,0,5,52,0
2020-07-04,2326,289,578,1739,9,0,4,52,0
2020-07-05,2383,288,582,1792,9,0,3,53,0
2020-07-06,2438,287,585,1844,9,0,3,53,0
2020-07-07,2496,287,588,1898,10,0,3,53,0
2020-07-08,2552,287,591,1951,10,0,3,53,0
2020-07-09,2607,287,593,2004,10,0,2,54,0
2020-07-10,2665,287,596,2058,11,0,2,54,0
2020-07-11,2721,288,598,2112,11,0,2,54,0
2020-07-12,2777,288,600,2166,11,0,2,54,0
2020-07-13,2834,289,602,2221,11,0,2,54,0
2020-07-14,2891,289,604,2275,12,1,2,55,0
2020-07-15,2947,290,605,2330,12,1,2,55,0
2020-07-16,3003,290,607,2384,12,1,2,55,0
2020-07-17,3060,291,609,2439,12,0,2,55,0
2020-07-18,3119,291,611,2495,13,0,2,55,0
2020-07-19,3175,292,612,2550,13,0,2,55,0
2020-07-20,3232,292,614,2605,13,0,1,56,0
2020-07-21,3290,293,615,2661,14,0,1,56,0
2020-07-22,3348,293,617,2717,14,0,1,56,0
2020-07-23,3404,293,618,2772,14,0,1,56,0
2020-07-24,3461,294,619,2828,14,0,1,56,0
2020-07-25,3520,294,621,2884,15,0,1,56,0
2020-07-26,3577,294,622,2940,15,0,1,56,0
2020-07-27,3635,295,623,2997,15,0,1,56,0
2020-07-28,3693,295,624,3053,16,0,1,56,0
2020-07-29,3751,295,625,3110,16,0,1,57,0
2020-07-30,3808,296,626,3166,16,0,1,57,0
2020-07-31,3866,296,627,3223,16,0,1,57,0
2020-08-01,3925,296,628,3280,17,0,1,57,0
2020-08-02,3983,296,629,3337,17,0,1,57,0
2020-08-03,4040,296,630,3393,17,0,1,57,0
2020-08-04,4100,297,631,3451,18,0,1,57,0
2020-08-05,4158,297,632,3508,18,0,1,57,0
2020-08-06,4215,297,632,3565,18,0,1,57,0
2020-08-07,4273,297,633,3622,18,0,1,57,0
2020-08-08,4332,297,634,3679,19,0,1,57,0
2020-08-09,4390,297,634,3737,19,0,1,57,0
2020-08-10,4448,297,635,3794,19,0,1,57,0
2020-08-11,4506,297,635,3851,20,0,0,57,0
2020-08-12,4565,297,636,3909,20,0,0,58,0
2020-08-13,4622,297,636,3966,20,0,0,58,0
2020-08-14,4682,297,637,4024,21,0,0,58,0
2020-08-15,4740,297,637,4082,21,0,0,58,0
2020-08-16,4797,296,637,4139,21,0,0,58,0
2020-08-17,4855,296,637,4197,21,0,0,58,0
2020-08-18,4913,296,637,4254,22,0,0,58,0
2020-08-19,4971,296,637,4312,22,0,0,58,0
2020-08-20,5030,296,638,4370,22,0,0,58,0
2020-08-21,5088,295,638,4427,23,0,0,58,0
2020-08-22,5145,295,637,4485,23,0,0,58,0
2020-08-23,5203,295,637,4543,23,0,0,58,0
2020-08-24,5260,294,637,4600,23,0,0,58,0
2020-08-25,5319,294,637,4658,24,0,0,58,0
2020-08-26,5377,294,637,4716,24,0,0,58,0
2020-08-27,5433,293,636,4773,24,0,0,58,0
2020-08-28,5492,293,636,4831,25,0,0,58,0
2020-08-29,5549,293,636,4888,25,0,0,57,0
2020-08-30,5606,292,635,4946,25,0,0,57,0
2020-08-31,5664,292,635,5003,26,0,0,57,0
2020-09-01,5721,291,634,5061,26,0,0,57,0
2020-09-02,5778,291,634,5118,26,0,0,57,0
2020-09-03,5834,290,633,5175,26,0,0,57,0
2020-09-04,5891,289,632,5232,27,0,0,57,0
2020-09-05,5949,289,632,5290,27,0,0,57,0
2020-09-06,6005,288,631,5347,27,0,0,57,0
2020-09-07,6062,288,630,5404,28,0,0,57,0
2020-09-08,6118,287,629,5461,28,0,0,57,0
2020-09-09,6173,286,628,5517,28,0,0,57,0
2020-09-10,6229,286,627,5574,28,0,0,57,0
2020-09-11,6286,285,626,5631,29,0,0,57,0
2020-09-12,6342,284,625,5688,29,0,0,57,0
2020-09-13,6397,283,624,5744,29,0,0,56,0
2020-09-14,6453,283,623,5800,30,0,0,56,0
2020-09-15,6509,282,622,5857,30,0,0,56,0
2020-09-16,6563,281,620,5913,30,0,0,56,0
2020-09-17,6618,280,619,5969,30,0,0,56,0
2020-09-18,6674,279,618,6025,31,0,0,56,0
2020-09-19,6728,279,616,6081,31,0,0,56,0
2020-09-20,6782,278,615,6136,31,0,0,56,0
2020-09-21,6837,277,613,6192,32,0,0,55,0
2020-09-22,6891,276,612,6247,32,0,0,55,0
2020-09-23,6945,275,610,6303,32,0,0,55,0
