date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2020-06-15,1685,64,480,1198,7,60,0,43,0
2020-06-16,1700,118,452,1241,7,46,0,41,0
2020-06-17,1723,161,435,1281,7,36,0,39,0
2020-06-18,1753,194,426,1320,7,29,0,38,0
2020-06-19,1789,221,423,1358,8,24,0,38,0
2020-06-20,1828,244,424,1396,8,20,3,38,0
2020-06-21,1871,263,428,1435,8,17,6,39,0
2020-06-22,1918,279,436,1474,8,15,9,39,0
2020-06-23,1967,294,445,1514,8,14,10,40,0
2020-06-24,2019,308,456,1554,9,13,12,41,0
2020-06-25,2073,321,468,1596,9,13,13,42,0
2020-06-26,2128,333,481,1638,9,12,14,43,0
2020-06-27,2186,346,495,1682,9,12,15,45,0
2020-06-28,2248,358,510,1728,10,12,15,46,0
2020-06-29,2309,370,525,1774,10,12,16,48,0
2020-06-30,2374,382,542,1822,10,12,17,49,0
2020-07-01,2441,394,559,1872,10,12,17,50,0
2020-07-02,2510,407,576,1923,11,13,18,52,0
2020-07-03,2581,419,594,1976,11,13,18,54,0
2020-07-04,2653,432,612,2030,11,13,19,55,0
2020-07-05,2729,445,631,2086,12,13,19,57,0
2020-07-06,2807,459,651,2144,12,14,20,59,0
2020-07-07,2886,472,671,2203,12,14,20,61,0
2020-07-08,2970,486,692,2265,13,14,21,63,0
2020-07-09,3054,501,713,2328,13,14,21,64,0
2020-07-10,3141,515,735,2393,13,15,22,66,0
2020-07-11,3231,530,757,2460,14,15,23,68,0
2020-07-12,3323,545,780,2529,14,15,23,70,0
2020-07-13,3418,560,803,2601,14,16,24,73,0
2020-07-14,3516,576,827,2674,15,16,24,75,0
2020-07-15,3616,592,851,2750,15,16,25,77,0
2020-07-16,3719,608,876,2827,16,16,25,79,0
2020-07-17,3824,625,901,2907,16,17,26,81,0
2020-07-18,3934,642,927,2990,17,17,26,84,0
2020-07-19,4046,659,954,3075,17,17,27,86,0
2020-07-20,4161,676,981,3162,18,18,27,89,0
2020-07-21,4278,694,1009,3251,18,18,28,91,1
2020-07-22,4399,712,1037,3343,19,18,28,94,1
2020-07-23,4522,730,1065,3438,19,18,29,96,1
2020-07-24,4650,748,1095,3535,20,18,29,99,1
2020-07-25,4779,767,1124,3635,20,19,30,102,1
2020-07-26,4913,785,1154,3738,21,19,30,104,1
2020-07-27,5049,804,1185,3843,21,19,31,107,1
2020-07-28,5190,823,1216,3952,22,19,31,110,1
2020-07-29,5334,842,1248,4063,23,19,32,113,1
2020-07-30,5479,862,1280,4176,23,19,32,116,1
2020-07-31,5629,881,1312,4293,24,20,33,119,1
2020-08-01,5782,901,1345,4413,24,20,33,122,1
2020-08-02,5939,921,1378,4536,25,20,33,125,1
2020-08-03,6099,940,1412,4661,26,20,34,128,1
2020-08-04,6263,960,1446,4790,27,20,34,131,1
2020-08-05,6429,980,1480,4922,27,20,34,134,1
2020-08-06,6599,1000,1514,5057,28,20,35,137,1
2020-08-07,6773,1019,1549,5195,29,20,35,140,1
2020-08-08,6950,1039,1584,5336,30,20,35,143,1
2020-08-09,7130,1059,1619,5481,30,19,35,146,1
2020-08-10,7314,1078,1655,5628,31,19,35,150,1
2020-08-11,7501,1097,1690,5779,32,19,36,153,1
2020-08-12,7692,1116,1726,5933,33,19,36,156,1
2020-08-13,7885,1135,1761,6090,34,19,36,159,1
2020-08-14,8083,1154,1797,6251,35,18,36,162,1
2020-08-15,8282,1172,1832,6414,36,18,36,166,1
2020-08-16,8486,1190,1868,6581,37,18,35,169,1
2020-08-17,8691,1208,1903,6751,37,18,35,172,1
2020-08-18,8901,1225,1938,6925,38,17,35,175,1
2020-08-19,9113,1242,1973,7101,39,17,35,178,1
2020-08-20,9329,1259,2008,7281,40,16,34,182,1
2020-08-21,9546,1275,2042,7463,41,16,34,185,1
2020-08-22,9767,1291,2076,7649,42,15,34,188,1
2020-08-23,9992,1306,2110,7838,44,15,33,191,1
2020-08-24,10218,1320,2143,8030,45,14,33,194,1
2020-08-25,10447,1334,2176,8225,46,14,32,197,1
2020-08-26,10678,1347,2208,8423,47,13,32,200,1
2020-08-27,10910,1360,2239,8623,48,12,31,202,1
2020-08-28,11146,1372,2270,8827,49,12,30,205,1
2020-08-29,11383,1383,2300,9033,50,11,29,208,1
2020-08-30,11622,1394,2329,9242,51,10,29,211,1
2020-08-31,11862,1404,2357,9453,52,9,28,213,1
2020-09-01,12105,1413,2384,9667,54,9,27,216,1
2020-09-02,12350,1421,2411,9884,55,8,26,218,1
2020-09-03,12595,1428,2436,10103,56,7,25,220,1
2020-09-04,12842,1435,2461,10324,57,6,24,222,1
2020-09-05,13090,1441,2484,10547,59,5,23,225,1
2020-09-06,13338,1446,2506,10772,60,4,21,227,1
2020-09-07,13588,1450,2527,11000,61,4,20,228,1
2020-09-08,13838,1453,2547,11229,62,3,19,230,1
2020-09-09,14089,1455,2565,11460,64,2,18,232,1
2020-09-10,14340,1457,2583,11692,65,1,16,233,1
