Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-19,174,67,32,142,0,0,10,3,0
2020-07-20,186,57,41,145,0,0,7,4,0
2020-07-21,198,49,48,149,1,0,5,4,0
2020-07-22,206,43,52,153,1,0,4,5,0
2020-07-23,215,39,56,158,1,0,3,5,0
2020-07-24,222,35,58,163,1,0,2,5,0
2020-07-25,229,32,59,169,1,0,1,5,0
2020-07-26,235,30,60,174,1,0,0,5,0
2020-07-27,240,28,60,179,1,0,0,5,0
2020-07-28,246,27,60,185,1,0,0,5,0
2020-07-29,251,26,60,190,1,0,0,5,0
2020-07-30,257,25,60,196,1,0,0,5,0
2020-07-31,261,24,59,201,1,0,0,5,0
2020-08-01,265,23,58,206,1,0,0,5,0
2020-08-02,271,23,58,212,1,0,0,5,0
2020-08-03,275,22,57,217,1,0,0,5,0
2020-08-04,279,21,56,222,1,0,0,5,0
2020-08-05,283,21,55,227,1,0,0,5,0
2020-08-06,287,21,54,232,1,0,0,5,0
2020-08-07,291,20,53,237,1,0,0,5,0
2020-08-08,295,20,52,242,1,0,0,5,0
2020-08-09,298,19,51,246,1,0,0,5,0
2020-08-10,303,19,51,251,1,0,0,5,0
2020-08-11,306,19,50,255,1,0,0,4,0
2020-08-12,310,18,49,260,1,0,0,4,0
2020-08-13,313,18,48,264,1,0,0,4,0
2020-08-14,317,18,47,269,1,0,0,4,0
2020-08-15,320,17,46,273,1,0,0,4,0
2020-08-16,323,17,45,277,1,0,0,4,0
2020-08-17,327,17,45,281,1,0,0,4,0
2020-08-18,330,16,44,285,1,0,0,4,0
2020-08-19,333,16,43,289,1,0,0,4,0
2020-08-20,336,16,42,293,1,0,0,4,0
2020-08-21,340,15,42,297,1,0,0,4,0
2020-08-22,343,15,41,301,1,0,0,4,0
2020-08-23,345,15,40,304,1,0,0,4,0
2020-08-24,348,15,39,308,1,0,0,4,0
2020-08-25,351,14,39,311,1,0,0,4,0
2020-08-26,354,14,38,315,1,0,0,3,0
2020-08-27,356,14,37,318,1,0,0,3,0
2020-08-28,360,14,37,322,1,0,0,3,0
2020-08-29,362,13,36,325,1,0,0,3,0
2020-08-30,364,13,35,328,1,0,0,3,0
2020-08-31,367,13,35,331,1,0,0,3,0
2020-09-01,369,13,34,334,1,0,0,3,0
2020-09-02,371,12,33,337,1,0,0,3,0
2020-09-03,374,12,33,340,1,0,0,3,0
2020-09-04,376,12,32,343,1,0,0,3,0
2020-09-05,379,12,32,346,1,0,0,3,0
2020-09-06,381,12,31,349,1,0,0,3,0
2020-09-07,384,11,31,352,1,0,0,3,0
2020-09-08,386,11,30,355,1,0,0,3,0
2020-09-09,388,11,30,357,1,0,0,3,0
2020-09-10,390,11,29,360,1,0,0,3,0
2020-09-11,392,11,28,363,1,0,0,3,0
2020-09-12,394,10,28,365,1,0,0,3,0
2020-09-13,396,10,27,368,1,0,0,2,0
2020-09-14,398,10,27,370,1,0,0,2,0
2020-09-15,400,10,26,373,1,0,0,2,0
2020-09-16,402,10,26,375,1,0,0,2,0
2020-09-17,404,9,26,377,1,0,0,2,0
2020-09-18,406,9,25,380,1,0,0,2,0
2020-09-19,408,9,25,382,1,0,0,2,0
2020-09-20,409,9,24,384,1,0,0,2,0
2020-09-21,411,9,24,386,1,0,0,2,0
2020-09-22,413,9,23,389,1,0,0,2,0
2020-09-23,415,9,23,391,1,0,0,2,0
2020-09-24,417,8,23,393,1,0,0,2,0
2020-09-25,418,8,22,395,1,0,0,2,0
2020-09-26,420,8,22,397,1,0,0,2,0
2020-09-27,421,8,21,399,1,0,0,2,0
2020-09-28,423,8,21,401,1,0,0,2,0
2020-09-29,424,8,21,402,1,0,0,2,0
2020-09-30,425,8,20,404,1,0,0,2,0
2020-10-01,427,7,20,406,1,0,0,2,0
2020-10-02,428,7,19,408,1,0,0,2,0
2020-10-03,430,7,19,410,1,0,0,2,0
2020-10-04,431,7,19,411,1,0,0,2,0
2020-10-05,432,7,18,413,1,0,0,2,0
2020-10-06,434,7,18,415,1,0,0,2,0
2020-10-07,435,7,18,416,1,0,0,2,0
2020-10-08,436,6,17,418,1,0,0,2,0
2020-10-09,438,6,17,420,1,0,0,2,0
2020-10-10,439,6,17,421,1,0,0,2,0
2020-10-11,441,6,17,423,1,0,0,2,0
2020-10-12,441,6,16,424,1,0,0,1,0
2020-10-13,443,6,16,426,1,0,0,1,0
2020-10-14,444,6,16,427,1,0,0,1,0
2020-10-15,444,6,15,428,1,0,0,1,0
2020-10-16,446,6,15,430,1,0,0,1,0
2020-10-17,447,6,15,431,1,0,0,1,0
2020-10-18,448,5,15,432,1,0,0,1,0
2020-10-19,449,5,14,434,1,0,0,1,0
2020-10-20,450,5,14,435,1,0,0,1,0
2020-10-21,451,5,14,436,1,0,0,1,0
2020-10-22,453,5,14,438,1,0,0,1,0
2020-10-23,453,5,13,439,1,0,0,1,0
2020-10-24,454,5,13,440,1,0,0,1,0
2020-10-25,455,5,13,441,1,0,0,1,0
2020-10-26,456,5,13,442,1,0,0,1,0
2020-10-27,457,5,12,443,2,0,0,1,0
2020-10-28,459,5,12,445,2,0,0,1,0
2020-10-29,460,4,12,446,2,0,0,1,0
2020-10-30,461,4,12,447,2,0,0,1,0
2020-10-31,462,4,12,448,2,0,0,1,0
2020-11-01,462,4,11,449,2,0,0,1,0
2020-11-02,463,4,11,450,2,0,0,1,0
2020-11-03,464,4,11,451,2,0,0,1,0
2020-11-04,465,4,11,452,2,0,0,1,0
2020-11-05,466,4,11,453,2,0,0,1,0
2020-11-06,466,4,10,454,2,0,0,1,0
2020-11-07,467,4,10,455,2,0,0,1,0
2020-11-08,468,4,10,456,2,0,0,1,0
2020-11-09,469,4,10,457,2,0,0,1,0
2020-11-10,469,4,10,457,2,0,0,1,0
2020-11-11,469,4,9,458,2,0,0,1,0
2020-11-12,470,3,9,459,2,0,0,1,0
2020-11-13,471,3,9,460,2,0,0,1,0
2020-11-14,472,3,9,461,2,0,0,1,0
