Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-08,12319,1088,2793,9479,47,30,0,253,1
2020-07-09,12535,1115,2756,9730,49,21,0,249,1
2020-07-10,12754,1133,2726,9978,50,15,0,247,1
2020-07-11,12978,1146,2703,10224,51,10,0,244,1
2020-07-12,13203,1154,2683,10468,52,6,0,243,1
2020-07-13,13429,1158,2666,10710,53,3,0,241,1
2020-07-14,13658,1161,2652,10951,55,1,0,240,1
2020-07-15,13885,1161,2639,11190,56,0,0,239,1
2020-07-16,14112,1160,2627,11428,57,0,0,238,1
2020-07-17,14339,1158,2616,11665,58,0,0,237,1
2020-07-18,14566,1154,2605,11902,59,0,0,236,1
2020-07-19,14792,1151,2594,12137,61,0,0,235,1
2020-07-20,15017,1147,2584,12371,62,0,0,234,1
2020-07-21,15242,1142,2574,12605,63,0,0,233,1
2020-07-22,15465,1137,2564,12837,64,0,0,232,1
2020-07-23,15688,1132,2554,13069,65,0,0,231,1
2020-07-24,15909,1126,2544,13299,66,0,0,230,1
2020-07-25,16130,1121,2533,13529,68,0,0,229,1
2020-07-26,16350,1115,2523,13758,69,0,0,228,1
2020-07-27,16568,1109,2512,13986,70,0,0,227,1
2020-07-28,16785,1103,2501,14213,71,0,0,226,1
2020-07-29,17000,1097,2490,14438,72,0,0,225,1
2020-07-30,17214,1091,2478,14663,73,0,0,224,1
2020-07-31,17428,1085,2467,14887,74,0,0,223,1
2020-08-01,17640,1078,2455,15110,75,0,0,222,1
2020-08-02,17852,1072,2443,15332,77,0,0,221,1
2020-08-03,18061,1065,2431,15552,78,0,0,220,1
2020-08-04,18270,1059,2419,15772,79,0,0,219,1
2020-08-05,18477,1052,2407,15990,80,0,0,218,1
2020-08-06,18682,1046,2394,16207,81,0,0,217,1
2020-08-07,18888,1039,2382,16424,82,0,0,215,1
2020-08-08,19091,1032,2369,16639,83,0,0,214,1
2020-08-09,19292,1025,2356,16852,84,0,0,213,1
2020-08-10,19492,1018,2342,17065,85,0,0,212,1
2020-08-11,19691,1011,2329,17276,86,0,0,211,1
2020-08-12,19890,1004,2316,17487,87,0,0,209,1
2020-08-13,20086,997,2302,17696,88,0,0,208,1
2020-08-14,20280,990,2288,17903,89,0,0,207,1
2020-08-15,20474,983,2274,18110,90,0,0,206,1
