Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-08,582,56,134,447,1,1,0,12,0
2020-07-09,593,57,133,459,1,1,0,12,0
2020-07-10,604,58,132,471,1,1,0,12,0
2020-07-11,615,58,131,483,1,0,0,12,0
2020-07-12,627,59,131,495,1,0,0,12,0
2020-07-13,639,59,131,507,1,0,0,12,0
2020-07-14,650,59,130,519,1,0,0,12,0
2020-07-15,662,59,130,531,1,0,0,12,0
2020-07-16,674,59,130,543,1,0,0,12,0
2020-07-17,685,59,130,554,1,0,0,12,0
2020-07-18,697,59,130,566,1,0,0,12,0
2020-07-19,709,59,130,578,1,0,0,12,0
2020-07-20,720,59,129,590,1,0,0,12,0
2020-07-21,731,59,129,601,1,0,0,12,0
2020-07-22,743,59,129,613,1,0,0,12,0
2020-07-23,755,59,129,625,1,0,0,12,0
2020-07-24,767,59,129,637,1,0,0,12,0
2020-07-25,778,59,129,648,1,0,0,12,0
2020-07-26,790,59,129,660,1,0,0,12,0
2020-07-27,802,59,129,672,1,0,0,12,0
2020-07-28,813,59,129,683,1,0,0,12,0
2020-07-29,824,59,128,695,1,0,0,12,0
2020-07-30,836,59,128,707,1,0,0,12,0
2020-07-31,847,59,128,718,1,0,0,12,0
2020-08-01,859,59,128,730,1,0,0,12,0
2020-08-02,870,59,128,741,1,0,0,12,0
2020-08-03,882,59,128,753,1,0,0,12,0
2020-08-04,894,58,128,765,1,0,0,12,0
2020-08-05,905,58,128,776,1,0,0,12,0
2020-08-06,916,58,127,788,1,0,0,12,0
2020-08-07,927,58,127,799,1,0,0,12,0
2020-08-08,939,58,127,811,1,0,0,12,0
2020-08-09,950,58,127,822,1,0,0,12,0
2020-08-10,962,58,127,834,1,0,0,12,0
2020-08-11,973,58,127,845,1,0,0,11,0
2020-08-12,985,58,126,857,2,0,0,11,0
2020-08-13,996,58,126,868,2,0,0,11,0
2020-08-14,1008,58,126,880,2,0,0,11,0
2020-08-15,1019,57,126,891,2,0,0,11,0
2020-08-16,1031,57,126,903,2,0,0,11,0
2020-08-17,1042,57,126,914,2,0,0,11,0
2020-08-18,1053,57,125,926,2,0,0,11,0
2020-08-19,1064,57,125,937,2,0,0,11,0
2020-08-20,1075,57,125,948,2,0,0,11,0
2020-08-21,1087,57,125,960,2,0,0,11,0
2020-08-22,1098,57,125,971,2,0,0,11,0
2020-08-23,1108,57,124,982,2,0,0,11,0
2020-08-24,1120,57,124,994,2,0,0,11,0
2020-08-25,1131,56,124,1005,2,0,0,11,0
2020-08-26,1142,56,124,1016,2,0,0,11,0
2020-08-27,1153,56,124,1027,2,0,0,11,0
2020-08-28,1163,56,123,1038,2,0,0,11,0
2020-08-29,1175,56,123,1050,2,0,0,11,0
2020-08-30,1186,56,123,1061,2,0,0,11,0
2020-08-31,1197,56,123,1072,2,0,0,11,0
2020-09-01,1207,56,122,1083,2,0,0,11,0
2020-09-02,1218,55,122,1094,2,0,0,11,0
2020-09-03,1229,55,122,1105,2,0,0,11,0
2020-09-04,1240,55,122,1116,2,0,0,11,0
2020-09-05,1250,55,121,1127,2,0,0,11,0
2020-09-06,1261,55,121,1138,2,0,0,11,0
2020-09-07,1272,55,121,1149,2,0,0,11,0
2020-09-08,1283,55,121,1160,2,0,0,11,0
2020-09-09,1293,55,120,1171,2,0,0,11,0
2020-09-10,1304,54,120,1182,2,0,0,11,0
2020-09-11,1315,54,120,1193,2,0,0,11,0
2020-09-12,1326,54,120,1204,2,0,0,11,0
2020-09-13,1336,54,119,1215,2,0,0,11,0
2020-09-14,1347,54,119,1226,2,0,0,11,0
2020-09-15,1357,54,119,1236,2,0,0,11,0
2020-09-16,1368,54,119,1247,2,0,0,11,0
2020-09-17,1378,53,118,1258,2,0,0,11,0
2020-09-18,1389,53,118,1269,2,0,0,11,0
2020-09-19,1399,53,118,1279,2,0,0,11,0
2020-09-20,1409,53,117,1290,2,0,0,11,0
2020-09-21,1420,53,117,1301,2,0,0,11,0
2020-09-22,1430,53,117,1311,2,0,0,11,0
2020-09-23,1441,52,117,1322,2,0,0,11,0
2020-09-24,1450,52,116,1332,2,0,0,11,0
2020-09-25,1461,52,116,1343,2,0,0,11,0
2020-09-26,1471,52,116,1353,2,0,0,10,0
2020-09-27,1481,52,115,1364,2,0,0,10,0
2020-09-28,1491,52,115,1374,2,0,0,10,0
2020-09-29,1502,52,115,1385,2,0,0,10,0
2020-09-30,1511,51,114,1395,2,0,0,10,0
2020-10-01,1522,51,114,1406,2,0,0,10,0
2020-10-02,1532,51,114,1416,2,0,0,10,0
2020-10-03,1542,51,113,1426,3,0,0,10,0
2020-10-04,1553,51,113,1437,3,0,0,10,0
2020-10-05,1563,51,113,1447,3,0,0,10,0
2020-10-06,1572,50,112,1457,3,0,0,10,0
2020-10-07,1582,50,112,1467,3,0,0,10,0
2020-10-08,1592,50,112,1477,3,0,0,10,0
2020-10-09,1601,50,111,1487,3,0,0,10,0
2020-10-10,1612,50,111,1498,3,0,0,10,0
2020-10-11,1622,50,111,1508,3,0,0,10,0
2020-10-12,1631,49,110,1518,3,0,0,10,0
2020-10-13,1641,49,110,1528,3,0,0,10,0
2020-10-14,1651,49,110,1538,3,0,0,10,0
2020-10-15,1660,49,109,1548,3,0,0,10,0
2020-10-16,1670,49,109,1558,3,0,0,10,0
2020-10-17,1679,49,109,1567,3,0,0,10,0
2020-10-18,1688,48,108,1577,3,0,0,10,0
2020-10-19,1698,48,108,1587,3,0,0,10,0
2020-10-20,1708,48,108,1597,3,0,0,10,0
2020-10-21,1717,48,107,1607,3,0,0,10,0
2020-10-22,1726,48,107,1616,3,0,0,10,0
2020-10-23,1736,48,107,1626,3,0,0,10,0
2020-10-24,1745,47,106,1636,3,0,0,10,0
2020-10-25,1754,47,106,1645,3,0,0,10,0
2020-10-26,1764,47,106,1655,3,0,0,10,0
2020-10-27,1773,47,105,1665,3,0,0,10,0
2020-10-28,1782,47,105,1674,3,0,0,10,0
2020-10-29,1791,47,104,1684,3,0,0,9,0
2020-10-30,1800,46,104,1693,3,0,0,9,0
2020-10-31,1809,46,104,1702,3,0,0,9,0
2020-11-01,1818,46,103,1712,3,0,0,9,0
2020-11-02,1827,46,103,1721,3,0,0,9,0
2020-11-03,1837,46,103,1731,3,0,0,9,0
2020-11-04,1845,45,102,1740,3,0,0,9,0
2020-11-05,1854,45,102,1749,3,0,0,9,0
2020-11-06,1862,45,101,1758,3,0,0,9,0
2020-11-07,1871,45,101,1767,3,0,0,9,0
