Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-21,69396,9070,19016,50153,227,739,50,1721,8
2020-06-22,71227,9754,19116,51876,235,603,175,1730,8
2020-06-23,73182,10319,19327,53612,243,506,266,1749,8
2020-06-24,75242,10797,19620,55371,251,436,333,1776,8
2020-06-25,77390,11212,19973,57158,259,385,383,1808,8
2020-06-26,79617,11583,20371,58979,267,348,419,1844,8
2020-06-27,81914,11920,20801,60837,276,321,446,1882,9
2020-06-28,84274,12233,21255,62734,285,301,466,1924,9
2020-06-29,86694,12527,21727,64674,293,285,481,1966,9
2020-06-30,89172,12808,22213,66657,302,273,492,2010,9
2020-07-01,91704,13077,22708,68684,312,264,500,2055,9
2020-07-02,94287,13338,23210,70756,321,255,505,2100,10
2020-07-03,96920,13590,23716,72873,331,248,509,2146,10
2020-07-04,99603,13836,24226,75037,340,241,511,2192,10
2020-07-05,102334,14075,24737,77247,350,235,511,2239,10
2020-07-06,105111,14308,25248,79502,361,229,510,2285,10
2020-07-07,107933,14534,25757,81805,371,222,508,2331,11
2020-07-08,110799,14753,26264,84153,382,215,505,2377,11
2020-07-09,113708,14966,26768,86547,393,208,501,2422,11
2020-07-10,116657,15172,27267,88986,404,201,496,2468,11
2020-07-11,119647,15370,27761,91471,415,193,490,2512,11
2020-07-12,122674,15560,28248,94000,426,185,483,2556,12
2020-07-13,125738,15742,28728,96572,438,177,475,2600,12
2020-07-14,128838,15915,29200,99188,450,168,466,2643,12
2020-07-15,131972,16080,29663,101847,462,159,456,2684,12
2020-07-16,135136,16235,30115,104547,474,149,446,2725,12
2020-07-17,138330,16380,30556,107287,487,139,434,2765,13
2020-07-18,141551,16515,30985,110067,499,128,421,2804,13
2020-07-19,144799,16639,31402,112885,512,118,408,2842,13
2020-07-20,148070,16753,31804,115741,525,107,394,2878,13
2020-07-21,151362,16855,32192,118632,538,95,378,2913,13
2020-07-22,154675,16946,32565,121559,551,84,362,2947,13
2020-07-23,158004,17026,32921,124518,565,72,346,2979,14
2020-07-24,161347,17093,33260,127509,578,60,328,3010,14
2020-07-25,164703,17149,33581,130530,592,48,310,3039,14
2020-07-26,168069,17193,33884,133579,606,36,291,3066,14
2020-07-27,171442,17224,34167,136655,620,24,271,3092,14
2020-07-28,174822,17243,34431,139757,634,11,251,3116,14
2020-07-29,178203,17249,34674,142881,648,0,230,3138,14
2020-07-30,181585,17244,34896,146027,662,0,209,3158,14
2020-07-31,184966,17225,35097,149192,677,0,187,3176,14
2020-08-01,188340,17195,35275,152374,691,0,165,3192,14
2020-08-02,191710,17153,35432,155572,706,0,142,3207,15
2020-08-03,195068,17098,35565,158783,720,0,119,3219,15
2020-08-04,198417,17032,35676,162006,735,0,96,3229,15
2020-08-05,201750,16955,35764,165237,749,0,73,3237,15
2020-08-06,205068,16865,35828,168476,764,0,50,3242,15
2020-08-07,208368,16765,35869,171720,779,0,26,3246,15
2020-08-08,211648,16654,35887,174967,794,0,3,3248,15
2020-08-09,214904,16533,35881,178215,808,0,0,3247,15
2020-08-10,218136,16402,35852,181461,823,0,0,3245,15
2020-08-11,221343,16260,35801,184704,838,0,0,3240,15
2020-08-12,224520,16110,35726,187942,852,0,0,3233,15
2020-08-13,227667,15951,35628,191172,867,0,0,3224,15
2020-08-14,230783,15783,35509,194392,882,0,0,3213,15
2020-08-15,233864,15607,35367,197601,896,0,0,3201,15
2020-08-16,236911,15423,35204,200796,911,0,0,3186,14
2020-08-17,239921,15232,35020,203976,925,0,0,3169,14
2020-08-18,242893,15035,34816,207138,939,0,0,3151,14
2020-08-19,245827,14832,34591,210282,954,0,0,3130,14
2020-08-20,248720,14622,34348,213404,968,0,0,3108,14
2020-08-21,251571,14408,34085,216504,982,0,0,3085,14
2020-08-22,254380,14188,33805,219579,996,0,0,3059,14
2020-08-23,257145,13964,33507,222628,1010,0,0,3032,14
2020-08-24,259866,13737,33193,225650,1023,0,0,3004,14
2020-08-25,262543,13506,32863,228643,1037,0,0,2974,13
2020-08-26,265175,13272,32519,231606,1050,0,0,2943,13
2020-08-27,267759,13035,32159,234536,1064,0,0,2910,13
2020-08-28,270298,12797,31787,237434,1077,0,0,2877,13
2020-08-29,272790,12556,31402,240298,1090,0,0,2842,13
2020-08-30,275234,12315,31005,243126,1103,0,0,2806,13
2020-08-31,277630,12072,30597,245918,1115,0,0,2769,13
2020-09-01,279980,11829,30179,248673,1128,0,0,2731,12
2020-09-02,282281,11586,29751,251390,1140,0,0,2692,12
2020-09-03,284535,11343,29315,254068,1152,0,0,2653,12
2020-09-04,286742,11100,28872,256706,1164,0,0,2613,12
2020-09-05,288900,10859,28421,259303,1176,0,0,2572,12
2020-09-06,291012,10618,27964,261860,1188,0,0,2531,11
