Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-13,4508,748,920,3582,6,0,63,83,0
2020-07-14,4648,676,975,3667,6,0,44,89,0
2020-07-15,4778,621,1014,3757,7,0,30,92,0
2020-07-16,4896,577,1039,3850,7,0,19,94,0
2020-07-17,5006,543,1054,3945,7,0,11,96,0
2020-07-18,5111,516,1063,4041,7,0,5,96,0
2020-07-19,5210,494,1065,4138,7,0,0,97,0
2020-07-20,5305,475,1064,4234,7,0,0,97,0
2020-07-21,5398,460,1059,4331,8,0,0,96,0
2020-07-22,5487,447,1052,4427,8,0,0,96,0
2020-07-23,5574,435,1044,4522,8,0,0,95,0
2020-07-24,5658,425,1034,4616,8,0,0,94,0
2020-07-25,5741,416,1023,4710,8,0,0,93,0
2020-07-26,5821,407,1011,4802,8,0,0,92,0
2020-07-27,5901,399,999,4893,9,0,0,91,0
2020-07-28,5979,392,986,4984,9,0,0,89,0
2020-07-29,6055,384,973,5073,9,0,0,88,0
2020-07-30,6130,378,960,5161,9,0,0,87,0
2020-07-31,6203,371,947,5247,9,0,0,86,0
2020-08-01,6275,364,933,5333,9,0,0,85,0
2020-08-02,6346,358,920,5417,9,0,0,83,0
2020-08-03,6417,352,907,5500,10,0,0,82,0
2020-08-04,6485,346,893,5582,10,0,0,81,0
2020-08-05,6552,340,880,5662,10,0,0,80,0
2020-08-06,6618,334,866,5742,10,0,0,79,0
2020-08-07,6683,328,853,5820,10,0,0,77,0
2020-08-08,6747,322,840,5897,10,0,0,76,0
2020-08-09,6810,316,827,5973,10,0,0,75,0
2020-08-10,6872,311,814,6047,11,0,0,74,0
2020-08-11,6933,305,801,6121,11,0,0,73,0
2020-08-12,6992,300,788,6193,11,0,0,71,0
2020-08-13,7050,294,775,6264,11,0,0,70,0
2020-08-14,7107,289,762,6334,11,0,0,69,0
2020-08-15,7164,284,750,6403,11,0,0,68,0
2020-08-16,7218,279,737,6470,11,0,0,67,0
2020-08-17,7273,274,725,6537,11,0,0,66,0
2020-08-18,7326,269,713,6602,11,0,0,65,0
2020-08-19,7379,264,701,6666,12,0,0,64,0
2020-08-20,7431,259,689,6730,12,0,0,63,0
2020-08-21,7481,254,677,6792,12,0,0,61,0
2020-08-22,7530,249,665,6853,12,0,0,60,0
2020-08-23,7579,244,654,6913,12,0,0,59,0
2020-08-24,7626,240,642,6972,12,0,0,58,0
2020-08-25,7672,235,631,7029,12,0,0,57,0
2020-08-26,7718,231,620,7086,12,0,0,56,0
2020-08-27,7763,226,609,7142,12,0,0,55,0
2020-08-28,7808,222,598,7197,13,0,0,54,0
2020-08-29,7851,218,587,7251,13,0,0,53,0
2020-08-30,7893,213,576,7304,13,0,0,52,0
2020-08-31,7935,209,566,7356,13,0,0,51,0
2020-09-01,7976,205,556,7407,13,0,0,50,0
2020-09-02,8015,201,545,7457,13,0,0,49,0
2020-09-03,8054,197,535,7506,13,0,0,49,0
2020-09-04,8092,193,525,7554,13,0,0,48,0
2020-09-05,8131,190,516,7602,13,0,0,47,0
2020-09-06,8167,186,506,7648,13,0,0,46,0
2020-09-07,8203,182,496,7694,13,0,0,45,0
2020-09-08,8238,178,487,7738,13,0,0,44,0
2020-09-09,8274,175,478,7782,14,0,0,43,0
2020-09-10,8308,171,469,7825,14,0,0,43,0
2020-09-11,8341,168,460,7867,14,0,0,42,0
2020-09-12,8374,165,451,7909,14,0,0,41,0
2020-09-13,8406,161,442,7950,14,0,0,40,0
2020-09-14,8437,158,434,7989,14,0,0,39,0
2020-09-15,8467,155,425,8028,14,0,0,39,0
2020-09-16,8498,152,417,8067,14,0,0,38,0
2020-09-17,8527,148,409,8104,14,0,0,37,0
2020-09-18,8556,145,401,8141,14,0,0,36,0
2020-09-19,8584,142,393,8177,14,0,0,36,0
2020-09-20,8612,139,385,8213,14,0,0,35,0
2020-09-21,8639,137,378,8247,14,0,0,34,0
2020-09-22,8665,134,370,8281,14,0,0,34,0
2020-09-23,8692,131,363,8315,14,0,0,33,0
2020-09-24,8717,128,355,8347,15,0,0,32,0
2020-09-25,8742,126,348,8379,15,0,0,32,0
2020-09-26,8767,123,341,8411,15,0,0,31,0
2020-09-27,8791,120,335,8441,15,0,0,30,0
2020-09-28,8815,118,328,8472,15,0,0,30,0
2020-09-29,8837,115,321,8501,15,0,0,29,0
2020-09-30,8860,113,315,8530,15,0,0,29,0
2020-10-01,8881,111,308,8558,15,0,0,28,0
2020-10-02,8903,108,302,8586,15,0,0,27,0
2020-10-03,8924,106,296,8613,15,0,0,27,0
2020-10-04,8945,104,290,8640,15,0,0,26,0
