Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-19,1519,66,268,1239,12,25,0,24,0
2020-07-20,1534,89,259,1263,12,19,0,23,0
2020-07-21,1553,107,254,1286,13,15,0,23,0
2020-07-22,1575,121,253,1309,13,12,1,23,0
2020-07-23,1599,132,255,1331,13,10,3,23,0
2020-07-24,1625,142,258,1354,13,9,4,23,0
2020-07-25,1655,150,263,1378,14,8,5,24,0
2020-07-26,1685,157,269,1402,14,7,6,24,0
2020-07-27,1715,164,275,1426,14,7,7,25,0
2020-07-28,1748,170,283,1451,14,6,8,25,0
2020-07-29,1782,176,291,1477,14,6,8,26,0
2020-07-30,1817,182,299,1503,15,6,9,27,0
2020-07-31,1853,188,308,1530,15,6,9,28,0
2020-08-01,1890,194,317,1558,15,6,9,29,0
2020-08-02,1929,200,326,1587,16,6,10,29,0
2020-08-03,1969,206,336,1617,16,6,10,30,0
2020-08-04,2009,212,346,1647,16,6,10,31,0
2020-08-05,2051,218,356,1679,16,6,10,32,0
2020-08-06,2095,225,367,1711,17,6,11,33,0
2020-08-07,2139,231,377,1745,17,6,11,34,0
2020-08-08,2185,237,389,1779,17,7,11,35,0
2020-08-09,2232,244,400,1814,18,7,11,36,0
2020-08-10,2280,251,411,1851,18,7,12,37,0
2020-08-11,2330,257,423,1888,19,7,12,38,0
2020-08-12,2381,264,435,1927,19,7,12,39,0
2020-08-13,2433,271,448,1966,19,7,12,40,0
2020-08-14,2487,278,460,2007,20,7,13,41,0
2020-08-15,2542,286,473,2049,20,7,13,43,0
2020-08-16,2599,293,486,2092,21,7,13,44,0
2020-08-17,2657,300,500,2136,21,7,13,45,0
2020-08-18,2716,308,513,2182,21,8,14,46,0
2020-08-19,2777,315,527,2228,22,8,14,47,0
2020-08-20,2839,323,541,2276,22,8,14,49,0
2020-08-21,2903,331,555,2325,23,8,14,50,0
2020-08-22,2969,338,570,2376,23,8,15,51,1
2020-08-23,3036,346,584,2428,24,8,15,53,1
2020-08-24,3104,354,599,2481,24,8,15,54,1
2020-08-25,3174,362,614,2535,25,8,15,55,1
2020-08-26,3245,370,629,2591,25,8,15,57,1
2020-08-27,3319,378,645,2648,26,8,16,58,1
2020-08-28,3394,386,660,2707,27,8,16,59,1
2020-08-29,3470,394,676,2767,27,8,16,61,1
2020-08-30,3548,402,692,2828,28,8,16,62,1
2020-08-31,3627,410,708,2891,28,8,16,64,1
2020-09-01,3708,418,724,2955,29,8,16,65,1
2020-09-02,3791,426,740,3021,30,8,16,67,1
2020-09-03,3875,434,757,3088,30,8,16,68,1
2020-09-04,3961,442,773,3157,31,8,16,70,1
2020-09-05,4049,450,790,3227,32,8,17,71,1
2020-09-06,4137,458,806,3299,32,8,17,73,1
2020-09-07,4228,466,823,3372,33,8,17,74,1
2020-09-08,4319,474,839,3446,34,8,17,76,1
2020-09-09,4414,481,856,3523,35,7,17,77,1
2020-09-10,4507,488,872,3600,35,7,16,79,1
2020-09-11,4604,496,889,3679,36,7,16,80,1
2020-09-12,4702,503,905,3760,37,7,16,81,1
2020-09-13,4801,510,921,3842,38,7,16,83,1
2020-09-14,4901,517,938,3925,38,7,16,84,1
2020-09-15,5003,523,954,4010,39,7,16,86,1
2020-09-16,5106,530,969,4097,40,6,16,87,1
2020-09-17,5211,536,985,4185,41,6,16,89,1
2020-09-18,5317,542,1001,4274,42,6,15,90,1
2020-09-19,5423,548,1016,4364,43,6,15,91,1
2020-09-20,5531,553,1031,4456,44,5,15,93,1
2020-09-21,5640,559,1045,4550,45,5,14,94,1
2020-09-22,5750,564,1060,4644,46,5,14,95,1
2020-09-23,5860,568,1074,4740,46,5,14,97,1
2020-09-24,5971,573,1087,4837,47,4,13,98,1
2020-09-25,6085,577,1101,4936,48,4,13,99,1
2020-09-26,6198,581,1114,5035,49,4,13,100,1
2020-09-27,6312,584,1126,5136,50,3,12,101,1
2020-09-28,6427,587,1138,5238,51,3,12,102,1
2020-09-29,6542,590,1150,5340,52,3,11,103,1
2020-09-30,6658,593,1161,5444,53,2,11,104,1
2020-10-01,6774,595,1171,5549,54,2,10,105,1
2020-10-02,6891,597,1181,5655,55,2,10,106,1
2020-10-03,7009,598,1191,5762,56,1,9,107,1
2020-10-04,7126,599,1199,5869,58,1,8,108,1
2020-10-05,7244,600,1208,5977,59,1,8,109,1
2020-10-06,7361,601,1215,6086,60,0,7,109,1
2020-10-07,7479,601,1222,6196,61,0,7,110,1
2020-10-08,7597,600,1229,6306,62,0,6,111,1
2020-10-09,7715,600,1235,6417,63,0,5,111,1
2020-10-10,7832,599,1240,6528,64,0,5,112,1
2020-10-11,7949,597,1244,6640,65,0,4,112,1
2020-10-12,8066,596,1248,6752,66,0,3,112,1
2020-10-13,8183,594,1251,6865,67,0,3,113,1
2020-10-14,8298,591,1253,6977,68,0,2,113,1
2020-10-15,8415,589,1255,7090,70,0,1,113,1
2020-10-16,8530,585,1256,7203,71,0,1,113,1
2020-10-17,8644,582,1256,7316,72,0,0,113,1
2020-10-18,8759,579,1256,7430,73,0,0,113,1
2020-10-19,8872,575,1255,7543,74,0,0,113,1
2020-10-20,8984,570,1253,7656,75,0,0,113,1
2020-10-21,9095,566,1251,7768,76,0,0,113,1
2020-10-22,9206,561,1248,7881,77,0,0,112,1
2020-10-23,9315,556,1244,7993,78,0,0,112,1
2020-10-24,9424,551,1240,8105,79,0,0,112,1
2020-10-25,9532,545,1235,8216,81,0,0,111,1
2020-10-26,9638,539,1229,8327,82,0,0,111,1
2020-10-27,9744,533,1223,8438,83,0,0,110,1
2020-10-28,9848,527,1216,8548,84,0,0,110,1
2020-10-29,9951,521,1209,8657,85,0,0,109,1
2020-10-30,10053,514,1201,8766,86,0,0,108,1
2020-10-31,10152,508,1192,8873,87,0,0,107,1
2020-11-01,10251,501,1183,8980,88,0,0,107,1
2020-11-02,10350,494,1174,9087,89,0,0,106,1
2020-11-03,10446,487,1164,9192,90,0,0,105,1
2020-11-04,10540,480,1153,9296,91,0,0,104,1
2020-11-05,10634,472,1142,9400,92,0,0,103,1
2020-11-06,10726,465,1131,9502,93,0,0,102,1
2020-11-07,10817,457,1119,9604,94,0,0,101,1
2020-11-08,10906,450,1107,9704,95,0,0,100,1
2020-11-09,10993,442,1094,9803,96,0,0,99,1
2020-11-10,11080,435,1082,9901,97,0,0,97,1
2020-11-11,11164,427,1068,9998,98,0,0,96,1
2020-11-12,11248,419,1055,10094,99,0,0,95,1
2020-11-13,11330,412,1041,10189,100,0,0,94,1
2020-11-14,11410,404,1027,10282,101,0,0,92,1
