Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-28,660,192,174,485,1,0,22,16,0
2020-06-29,697,180,194,502,1,0,18,18,0
2020-06-30,732,173,211,520,1,0,15,19,0
2020-07-01,764,168,224,539,1,0,13,20,0
2020-07-02,797,166,236,560,1,0,11,21,0
2020-07-03,830,166,247,582,1,1,10,22,0
2020-07-04,863,168,257,605,1,2,9,23,0
2020-07-05,895,170,266,628,1,3,9,24,0
2020-07-06,929,172,275,653,1,3,9,25,0
2020-07-07,963,176,284,678,1,4,9,26,0
2020-07-08,998,180,293,704,1,4,9,27,0
2020-07-09,1033,184,301,731,1,4,9,27,0
2020-07-10,1071,188,310,759,2,4,9,28,0
2020-07-11,1108,193,319,787,2,5,9,29,0
2020-07-12,1146,197,328,816,2,5,9,30,0
2020-07-13,1185,202,337,846,2,5,9,31,0
2020-07-14,1225,207,346,877,2,5,9,31,0
2020-07-15,1266,213,355,909,2,5,9,32,0
2020-07-16,1307,218,364,941,2,5,10,33,0
2020-07-17,1351,223,374,975,2,5,10,34,0
2020-07-18,1395,229,384,1009,2,6,10,35,0
2020-07-19,1440,234,394,1044,2,6,10,36,0
2020-07-20,1486,240,404,1080,2,6,10,37,0
2020-07-21,1534,246,415,1117,2,6,11,38,0
2020-07-22,1582,252,425,1155,2,6,11,39,0
2020-07-23,1632,258,436,1194,2,6,11,40,0
2020-07-24,1684,264,447,1234,3,6,11,41,0
2020-07-25,1736,270,458,1275,3,6,11,42,0
2020-07-26,1789,276,469,1317,3,6,11,43,0
2020-07-27,1844,282,481,1360,3,6,12,44,0
2020-07-28,1900,289,493,1404,3,6,12,45,0
2020-07-29,1957,295,505,1449,3,7,12,46,0
2020-07-30,2015,302,517,1495,3,7,12,47,0
2020-07-31,2074,308,529,1542,3,7,12,48,0
2020-08-01,2135,315,541,1591,3,7,13,49,0
2020-08-02,2197,322,554,1640,3,7,13,50,0
2020-08-03,2261,329,567,1691,3,7,13,51,0
2020-08-04,2327,335,580,1743,4,7,13,53,0
2020-08-05,2393,342,593,1796,4,7,13,54,0
2020-08-06,2460,349,606,1850,4,7,13,55,0
2020-08-07,2530,356,620,1906,4,7,13,56,0
2020-08-08,2599,363,633,1962,4,7,14,57,0
2020-08-09,2671,370,647,2020,4,7,14,59,0
2020-08-10,2744,377,661,2079,4,7,14,60,0
2020-08-11,2818,384,674,2140,4,7,14,61,0
2020-08-12,2895,391,689,2202,4,7,14,62,0
2020-08-13,2972,398,703,2264,5,7,14,64,0
2020-08-14,3051,405,717,2329,5,7,14,65,0
2020-08-15,3130,412,731,2394,5,7,14,66,0
2020-08-16,3212,419,746,2461,5,7,14,68,0
2020-08-17,3294,426,760,2529,5,7,14,69,0
2020-08-18,3378,433,774,2599,5,7,14,70,0
2020-08-19,3463,440,789,2669,5,7,15,72,0
2020-08-20,3550,447,803,2741,6,7,15,73,0
2020-08-21,3639,453,818,2815,6,7,15,74,0
2020-08-22,3728,460,832,2890,6,7,15,76,0
2020-08-23,3819,467,847,2966,6,7,14,77,0
2020-08-24,3910,473,861,3043,6,6,14,78,0
2020-08-25,4004,479,876,3122,6,6,14,79,0
2020-08-26,4098,486,890,3201,7,6,14,81,0
2020-08-27,4194,492,904,3283,7,6,14,82,0
2020-08-28,4291,498,919,3365,7,6,14,83,0
2020-08-29,4389,504,933,3449,7,6,14,85,0
2020-08-30,4488,510,947,3534,7,6,14,86,0
2020-08-31,4588,515,960,3621,7,6,14,87,0
2020-09-01,4690,521,974,3708,8,5,14,88,0
2020-09-02,4793,526,988,3797,8,5,13,90,0
2020-09-03,4896,531,1001,3887,8,5,13,91,0
2020-09-04,5000,536,1014,3978,8,5,13,92,0
2020-09-05,5106,541,1027,4071,8,5,13,93,0
2020-09-06,5211,545,1039,4164,8,4,12,94,0
2020-09-07,5320,549,1052,4259,9,4,12,95,0
2020-09-08,5428,554,1064,4355,9,4,12,96,0
2020-09-09,5536,557,1075,4452,9,4,12,98,0
2020-09-10,5646,561,1087,4550,9,3,11,99,0
2020-09-11,5756,564,1098,4649,9,3,11,100,0
2020-09-12,5868,568,1109,4749,10,3,11,101,0
2020-09-13,5979,571,1119,4850,10,3,10,102,0
2020-09-14,6090,573,1129,4951,10,2,10,102,0
2020-09-15,6203,576,1139,5054,10,2,9,103,0
2020-09-16,6316,578,1148,5158,10,2,9,104,0
2020-09-17,6430,580,1157,5262,11,2,8,105,0
2020-09-18,6543,581,1165,5367,11,1,8,106,0
2020-09-19,6657,582,1173,5473,11,1,8,106,0
2020-09-20,6771,584,1180,5580,11,1,7,107,0
2020-09-21,6886,584,1187,5687,12,1,7,108,0
2020-09-22,7001,585,1194,5795,12,0,6,108,0
2020-09-23,7116,585,1200,5904,12,0,6,109,0
2020-09-24,7230,585,1205,6013,12,0,5,109,0
2020-09-25,7344,585,1210,6122,12,0,5,110,0
2020-09-26,7459,584,1214,6232,13,0,4,110,0
2020-09-27,7573,583,1218,6342,13,0,4,111,0
2020-09-28,7688,582,1222,6453,13,0,3,111,0
2020-09-29,7802,581,1225,6564,13,0,3,111,0
2020-09-30,7916,579,1227,6675,14,0,2,111,0
2020-10-01,8030,577,1229,6787,14,0,1,111,0
2020-10-02,8142,575,1230,6898,14,0,1,112,0
2020-10-03,8255,572,1231,7010,14,0,0,112,0
2020-10-04,8366,570,1231,7121,14,0,0,112,0
2020-10-05,8478,567,1230,7233,15,0,0,112,0
2020-10-06,8589,563,1229,7345,15,0,0,112,0
2020-10-07,8699,560,1228,7456,15,0,0,111,0
2020-10-08,8808,556,1226,7567,15,0,0,111,0
2020-10-09,8918,552,1223,7679,16,0,0,111,0
2020-10-10,9025,548,1220,7789,16,0,0,111,0
2020-10-11,9133,544,1217,7900,16,0,0,110,0
2020-10-12,9239,540,1213,8010,16,0,0,110,0
2020-10-13,9345,535,1208,8120,17,0,0,110,0
2020-10-14,9450,530,1203,8230,17,0,0,109,0
2020-10-15,9553,525,1197,8339,17,0,0,109,0
2020-10-16,9655,520,1191,8447,17,0,0,108,0
2020-10-17,9757,515,1185,8555,17,0,0,107,0
2020-10-18,9858,509,1178,8662,18,0,0,107,0
2020-10-19,9957,503,1170,8769,18,0,0,106,0
2020-10-20,10055,498,1162,8875,18,0,0,105,0
2020-10-21,10152,492,1154,8980,18,0,0,105,0
2020-10-22,10248,486,1146,9084,18,0,0,104,0
2020-10-23,10344,480,1137,9188,19,0,0,103,0
2020-10-24,10437,474,1127,9291,19,0,0,102,0
2020-10-25,10528,467,1117,9392,19,0,0,101,0
2020-10-26,10620,461,1107,9494,19,0,0,100,0
2020-10-27,10711,454,1097,9594,20,0,0,100,0
2020-10-28,10799,448,1086,9693,20,0,0,99,0
2020-10-29,10886,441,1075,9791,20,0,0,98,0
2020-10-30,10972,435,1064,9888,20,0,0,97,0
2020-10-31,11056,428,1052,9984,20,0,0,95,0
2020-11-01,11140,422,1041,10079,20,0,0,94,0
2020-11-02,11223,415,1029,10173,21,0,0,93,0
2020-11-03,11303,408,1016,10266,21,0,0,92,0
2020-11-04,11383,401,1004,10358,21,0,0,91,0
2020-11-05,11461,395,991,10449,21,0,0,90,0
2020-11-06,11537,388,978,10538,21,0,0,89,0
2020-11-07,11614,381,966,10626,22,0,0,88,0
2020-11-08,11688,375,952,10714,22,0,0,86,0
2020-11-09,11761,368,939,10800,22,0,0,85,0
2020-11-10,11832,361,926,10884,22,0,0,84,0
2020-11-11,11903,355,913,10968,22,0,0,83,0
2020-11-12,11971,348,899,11050,22,0,0,82,0
2020-11-13,12040,341,886,11131,23,0,0,80,0
2020-11-14,12106,335,872,11211,23,0,0,79,0
2020-11-15,12171,328,858,11290,23,0,0,78,0
2020-11-16,12235,322,845,11367,23,0,0,77,0
2020-11-17,12297,316,831,11443,23,0,0,75,0
2020-11-18,12358,309,817,11518,23,0,0,74,0
2020-11-19,12420,303,804,11592,24,0,0,73,0
2020-11-20,12479,297,790,11665,24,0,0,72,0
2020-11-21,12536,291,776,11736,24,0,0,70,0
2020-11-22,12593,285,763,11806,24,0,0,69,0
2020-11-23,12647,279,749,11874,24,0,0,68,0
2020-11-24,12702,273,736,11942,24,0,0,67,0
2020-11-25,12755,267,723,12008,24,0,0,66,0
2020-11-26,12807,261,709,12073,25,0,0,64,0
2020-11-27,12858,256,696,12137,25,0,0,63,0
2020-11-28,12908,250,683,12200,25,0,0,62,0
2020-11-29,12957,244,670,12262,25,0,0,61,0
2020-11-30,13004,239,657,12322,25,0,0,60,0
2020-12-01,13050,234,644,12381,25,0,0,58,0
2020-12-02,13095,228,631,12439,25,0,0,57,0
2020-12-03,13140,223,619,12496,25,0,0,56,0
2020-12-04,13184,218,606,12552,26,0,0,55,0
2020-12-05,13226,213,594,12606,26,0,0,54,0
2020-12-06,13268,208,582,12660,26,0,0,53,0
2020-12-07,13308,203,570,12712,26,0,0,52,0
2020-12-08,13347,199,558,12763,26,0,0,51,0
2020-12-09,13386,194,546,12814,26,0,0,50,0
2020-12-10,13424,189,535,12863,26,0,0,49,0
2020-12-11,13460,185,523,12911,26,0,0,47,0
2020-12-12,13496,180,512,12958,26,0,0,46,0
2020-12-13,13531,176,501,13004,26,0,0,45,0
2020-12-14,13566,172,490,13049,27,0,0,44,0
2020-12-15,13599,168,479,13093,27,0,0,43,0
2020-12-16,13632,164,469,13136,27,0,0,43,0
2020-12-17,13663,160,458,13178,27,0,0,42,0
2020-12-18,13695,156,448,13220,27,0,0,41,0
2020-12-19,13725,152,438,13260,27,0,0,40,0
2020-12-20,13754,148,428,13299,27,0,0,39,0
2020-12-21,13783,145,418,13338,27,0,0,38,0
2020-12-22,13810,141,408,13375,27,0,0,37,0
2020-12-23,13838,137,399,13412,27,0,0,36,0
2020-12-24,13865,134,390,13448,27,0,0,35,0
2020-12-25,13891,131,381,13483,27,0,0,35,0
2020-12-26,13916,127,372,13517,27,0,0,34,0
2020-12-27,13942,124,363,13551,28,0,0,33,0
2020-12-28,13965,121,354,13583,28,0,0,32,0
2020-12-29,13989,118,346,13615,28,0,0,31,0
2020-12-30,14012,115,338,13646,28,0,0,31,0
2020-12-31,14035,112,330,13677,28,0,0,30,0
2021-01-01,14056,109,322,13706,28,0,0,29,0
2021-01-02,14077,106,314,13735,28,0,0,28,0
2021-01-03,14097,104,306,13763,28,0,0,28,0
2021-01-04,14118,101,299,13791,28,0,0,27,0
2021-01-05,14137,98,291,13818,28,0,0,26,0
2021-01-06,14156,96,284,13844,28,0,0,26,0
2021-01-07,14174,93,277,13869,28,0,0,25,0
