Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-13,2522,332,505,2005,12,0,19,46,0
2020-07-14,2585,316,522,2051,12,0,14,47,0
2020-07-15,2647,304,535,2099,13,0,11,48,0
2020-07-16,2705,296,545,2147,13,0,8,49,0
2020-07-17,2763,289,553,2197,13,0,6,50,0
2020-07-18,2820,285,559,2247,14,0,5,51,0
2020-07-19,2875,282,563,2298,14,0,4,51,0
2020-07-20,2930,279,567,2349,14,0,3,51,0
2020-07-21,2985,277,570,2400,15,0,3,52,0
2020-07-22,3039,276,572,2452,15,0,2,52,0
2020-07-23,3093,276,574,2504,15,0,2,52,0
2020-07-24,3148,275,576,2556,16,0,2,52,0
2020-07-25,3202,275,578,2608,16,0,1,52,0
2020-07-26,3255,275,579,2660,16,0,1,52,0
2020-07-27,3308,274,580,2712,16,0,1,52,0
2020-07-28,3363,274,581,2765,17,0,1,53,0
2020-07-29,3416,275,582,2817,17,0,1,53,0
2020-07-30,3470,275,583,2870,17,0,1,53,0
2020-07-31,3525,275,584,2923,18,0,1,53,0
2020-08-01,3578,275,585,2975,18,0,1,53,0
2020-08-02,3631,275,585,3028,18,0,1,53,0
2020-08-03,3686,275,586,3081,19,0,1,53,0
2020-08-04,3740,275,587,3134,19,0,1,53,0
2020-08-05,3793,276,587,3187,19,0,1,53,0
2020-08-06,3848,276,588,3240,20,0,1,53,0
2020-08-07,3903,276,589,3294,20,0,1,53,0
2020-08-08,3956,276,589,3347,20,0,1,53,0
2020-08-09,4011,276,590,3400,21,0,1,53,0
2020-08-10,4064,276,590,3453,21,0,1,53,0
2020-08-11,4119,276,591,3507,21,0,0,53,0
2020-08-12,4173,276,591,3560,22,0,0,53,0
2020-08-13,4228,277,592,3614,22,0,0,53,0
2020-08-14,4281,277,592,3667,22,0,0,54,0
2020-08-15,4337,277,593,3721,23,0,0,54,0
2020-08-16,4390,277,593,3774,23,0,0,54,0
2020-08-17,4444,277,593,3828,23,0,0,54,0
2020-08-18,4499,277,594,3881,24,0,0,54,0
2020-08-19,4553,277,594,3935,24,0,0,54,0
2020-08-20,4607,277,594,3989,24,0,0,54,0
2020-08-21,4662,277,595,4042,25,0,0,54,0
2020-08-22,4716,277,595,4096,25,0,0,54,0
2020-08-23,4770,277,595,4150,25,0,0,54,0
2020-08-24,4825,277,595,4204,26,0,0,54,0
