Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-21,340,51,59,280,1,0,5,5,0
2020-07-22,349,46,63,285,1,0,3,6,0
2020-07-23,358,43,66,291,1,0,2,6,0
2020-07-24,367,40,68,297,2,0,2,6,0
2020-07-25,375,38,70,303,2,0,1,6,0
2020-07-26,382,36,71,309,2,0,1,6,0
2020-07-27,389,35,71,316,2,0,0,6,0
2020-07-28,395,34,71,322,2,0,0,6,0
2020-07-29,403,33,72,329,2,0,0,6,0
2020-07-30,409,33,72,335,2,0,0,6,0
2020-07-31,415,32,71,342,2,0,0,6,0
2020-08-01,421,32,71,348,2,0,0,6,0
2020-08-02,428,31,71,355,2,0,0,6,0
2020-08-03,433,31,70,361,2,0,0,6,0
2020-08-04,439,30,70,367,2,0,0,6,0
2020-08-05,446,30,70,374,2,0,0,6,0
2020-08-06,451,30,69,380,2,0,0,6,0
2020-08-07,457,30,69,386,2,0,0,6,0
2020-08-08,462,29,68,392,2,0,0,6,0
2020-08-09,469,29,68,399,2,0,0,6,0
2020-08-10,474,29,67,405,2,0,0,6,0
2020-08-11,480,29,67,411,2,0,0,6,0
2020-08-12,485,28,66,417,2,0,0,6,0
2020-08-13,491,28,66,423,2,0,0,6,0
2020-08-14,497,28,66,429,2,0,0,6,0
2020-08-15,502,28,65,435,2,0,0,6,0
2020-08-16,508,28,65,441,2,0,0,6,0
2020-08-17,512,27,64,446,2,0,0,6,0
2020-08-18,518,27,64,452,2,0,0,6,0
2020-08-19,523,27,63,458,2,0,0,6,0
2020-08-20,529,27,63,464,2,0,0,6,0
2020-08-21,533,27,62,469,2,0,0,6,0
2020-08-22,539,26,62,475,2,0,0,6,0
2020-08-23,543,26,61,480,2,0,0,6,0
2020-08-24,549,26,61,486,2,0,0,6,0
2020-08-25,555,26,60,492,3,0,0,5,0
2020-08-26,560,26,60,497,3,0,0,5,0
2020-08-27,565,25,60,502,3,0,0,5,0
2020-08-28,570,25,59,508,3,0,0,5,0
2020-08-29,575,25,59,513,3,0,0,5,0
2020-08-30,579,25,58,518,3,0,0,5,0
2020-08-31,585,25,58,524,3,0,0,5,0
2020-09-01,589,24,57,529,3,0,0,5,0
2020-09-02,594,24,57,534,3,0,0,5,0
2020-09-03,599,24,57,539,3,0,0,5,0
2020-09-04,603,24,56,544,3,0,0,5,0
2020-09-05,608,24,56,549,3,0,0,5,0
2020-09-06,612,23,55,554,3,0,0,5,0
2020-09-07,617,23,55,559,3,0,0,5,0
2020-09-08,621,23,54,564,3,0,0,5,0
2020-09-09,626,23,54,569,3,0,0,5,0
2020-09-10,631,23,54,574,3,0,0,5,0
2020-09-11,635,23,53,579,3,0,0,5,0
2020-09-12,640,22,53,584,3,0,0,5,0
2020-09-13,643,22,52,588,3,0,0,5,0
2020-09-14,648,22,52,593,3,0,0,5,0
2020-09-15,653,22,52,598,3,0,0,5,0
2020-09-16,657,22,51,603,3,0,0,5,0
