Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-23,1048,169,280,763,5,0,8,25,0
2020-06-24,1081,169,287,788,6,0,7,26,0
2020-06-25,1114,169,294,814,6,1,6,27,0
2020-06-26,1147,170,300,841,6,1,6,27,0
2020-06-27,1180,171,306,868,6,1,6,28,0
2020-06-28,1214,172,312,896,6,2,5,28,0
2020-06-29,1248,174,317,924,7,2,5,29,0
2020-06-30,1282,176,322,953,7,2,5,29,0
2020-07-01,1318,178,328,983,7,2,5,30,0
2020-07-02,1352,180,333,1012,7,2,5,30,0
2020-07-03,1387,182,338,1042,7,2,5,30,0
2020-07-04,1424,184,343,1073,8,2,5,31,0
2020-07-05,1460,186,348,1104,8,2,5,31,0
2020-07-06,1496,188,352,1136,8,2,5,32,0
2020-07-07,1533,190,357,1168,8,2,5,32,0
2020-07-08,1571,192,362,1200,9,2,5,33,0
2020-07-09,1609,195,367,1233,9,2,5,33,0
2020-07-10,1647,197,372,1266,9,2,5,34,0
2020-07-11,1685,199,376,1300,9,2,5,34,0
2020-07-12,1725,201,381,1334,10,2,5,34,0
2020-07-13,1765,202,386,1369,10,2,5,35,0
2020-07-14,1804,204,390,1404,10,2,5,35,0
2020-07-15,1844,206,395,1439,10,2,5,36,0
2020-07-16,1885,208,399,1475,11,2,4,36,0
2020-07-17,1926,210,404,1511,11,2,4,36,0
2020-07-18,1967,211,408,1548,11,2,4,37,0
2020-07-19,2009,213,413,1585,11,2,4,37,0
2020-07-20,2051,215,417,1622,12,2,4,38,0
2020-07-21,2093,216,421,1660,12,2,4,38,0
2020-07-22,2135,218,425,1698,12,1,4,38,0
2020-07-23,2177,219,429,1736,12,1,4,39,0
2020-07-24,2221,221,433,1775,13,1,4,39,0
2020-07-25,2265,222,437,1815,13,1,4,39,0
2020-07-26,2308,223,441,1854,13,1,4,40,0
2020-07-27,2352,224,444,1894,14,1,4,40,0
2020-07-28,2396,225,448,1934,14,1,3,40,0
2020-07-29,2440,227,451,1975,14,1,3,41,0
2020-07-30,2485,228,455,2016,14,1,3,41,0
2020-07-31,2530,228,458,2057,15,1,3,41,0
2020-08-01,2574,229,461,2098,15,1,3,42,0
2020-08-02,2619,230,464,2140,15,1,3,42,0
2020-08-03,2665,231,467,2182,16,1,3,42,0
2020-08-04,2710,231,470,2224,16,1,3,42,0
2020-08-05,2755,232,472,2267,16,1,3,43,0
2020-08-06,2801,232,475,2309,17,0,2,43,0
2020-08-07,2846,233,477,2352,17,0,2,43,0
2020-08-08,2892,233,479,2396,17,0,2,43,0
2020-08-09,2938,233,482,2439,17,0,2,43,0
2020-08-10,2983,234,483,2482,18,0,2,44,0
2020-08-11,3029,234,485,2526,18,0,2,44,0
2020-08-12,3075,234,487,2570,18,0,2,44,0
