Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-08,144,10,33,110,1,2,0,3,0
2020-07-09,146,12,32,113,1,1,0,3,0
2020-07-10,149,13,32,116,1,1,0,3,0
2020-07-11,151,14,31,119,1,1,0,3,0
2020-07-12,154,15,31,122,1,1,0,3,0
2020-07-13,157,15,31,125,1,1,0,3,0
2020-07-14,160,16,31,128,1,0,0,3,0
2020-07-15,163,16,32,130,1,0,0,3,0
2020-07-16,166,16,32,133,1,0,0,3,0
2020-07-17,169,17,32,136,1,0,0,3,0
2020-07-18,173,17,33,139,1,0,0,3,0
2020-07-19,176,17,33,142,1,0,0,3,0
2020-07-20,179,18,33,145,1,0,0,3,0
2020-07-21,183,18,34,148,1,0,0,3,0
2020-07-22,186,18,34,151,1,0,0,3,0
2020-07-23,190,18,35,154,1,0,0,3,0
2020-07-24,194,19,35,158,1,0,0,3,0
2020-07-25,198,19,36,161,1,0,0,3,0
2020-07-26,201,19,36,164,1,0,0,3,0
2020-07-27,205,19,37,167,1,0,0,3,0
2020-07-28,209,20,37,171,1,0,0,3,0
2020-07-29,213,20,38,174,1,0,0,3,0
2020-07-30,216,20,38,177,1,0,1,3,0
2020-07-31,221,20,39,181,1,0,1,3,0
2020-08-01,224,21,39,184,1,0,1,4,0
2020-08-02,229,21,40,188,1,0,1,4,0
2020-08-03,233,21,40,192,1,0,1,4,0
2020-08-04,237,22,41,195,1,0,1,4,0
2020-08-05,241,22,41,199,1,0,1,4,0
2020-08-06,246,22,42,203,1,0,1,4,0
2020-08-07,249,22,42,206,1,0,1,4,0
2020-08-08,254,23,43,210,1,0,1,4,0
2020-08-09,258,23,43,214,1,0,1,4,0
2020-08-10,263,23,44,218,1,0,1,4,0
2020-08-11,267,23,44,222,1,0,1,4,0
2020-08-12,272,24,45,226,1,0,1,4,0
2020-08-13,277,24,46,230,1,0,1,4,0
2020-08-14,281,24,46,234,1,0,1,4,0
2020-08-15,287,25,47,239,1,0,1,4,0
2020-08-16,291,25,47,243,1,0,1,4,0
2020-08-17,296,25,48,247,1,0,1,4,0
2020-08-18,300,25,48,251,1,0,1,4,0
2020-08-19,306,26,49,256,1,0,1,4,0
2020-08-20,311,26,50,260,1,0,1,4,0
2020-08-21,316,26,50,265,1,0,1,5,0
2020-08-22,321,27,51,269,1,0,1,5,0
2020-08-23,326,27,51,274,1,0,1,5,0
2020-08-24,332,27,52,279,1,0,1,5,0
2020-08-25,337,28,53,283,1,0,1,5,0
2020-08-26,342,28,53,288,1,0,1,5,0
2020-08-27,348,28,54,293,1,0,1,5,0
2020-08-28,354,28,54,298,2,0,1,5,0
2020-08-29,360,29,55,303,2,0,1,5,0
2020-08-30,366,29,56,308,2,0,1,5,0
2020-08-31,371,29,56,313,2,0,1,5,0
2020-09-01,377,30,57,318,2,0,1,5,0
2020-09-02,383,30,58,323,2,0,1,5,0
2020-09-03,389,30,58,329,2,0,1,5,0
2020-09-04,395,31,59,334,2,0,1,5,0
2020-09-05,401,31,60,339,2,0,1,5,0
2020-09-06,407,31,60,345,2,0,1,5,0
2020-09-07,413,31,61,350,2,0,1,6,0
2020-09-08,419,32,61,356,2,0,1,6,0
2020-09-09,425,32,62,361,2,0,1,6,0
2020-09-10,432,32,63,367,2,0,1,6,0
2020-09-11,437,33,63,372,2,0,1,6,0
2020-09-12,444,33,64,378,2,0,1,6,0
2020-09-13,451,33,65,384,2,0,1,6,0
2020-09-14,457,34,65,390,2,0,1,6,0
2020-09-15,464,34,66,396,2,0,1,6,0
2020-09-16,471,34,67,402,2,0,1,6,0
2020-09-17,477,35,67,408,2,0,1,6,0
2020-09-18,484,35,68,414,2,0,1,6,0
2020-09-19,491,35,69,420,2,0,1,6,0
2020-09-20,497,35,69,426,2,0,1,6,0
2020-09-21,505,36,70,433,2,0,1,6,0
2020-09-22,512,36,71,439,2,0,1,6,0
2020-09-23,518,36,71,445,2,0,1,6,0
2020-09-24,526,37,72,452,2,0,1,7,0
2020-09-25,533,37,73,458,2,0,1,7,0
2020-09-26,540,37,73,465,2,0,1,7,0
2020-09-27,548,38,74,472,2,0,1,7,0
2020-09-28,554,38,74,478,2,0,1,7,0
2020-09-29,562,38,75,485,2,0,1,7,0
2020-09-30,570,38,76,492,2,0,1,7,0
2020-10-01,578,39,76,499,3,0,1,7,0
2020-10-02,586,39,77,506,3,0,1,7,0
2020-10-03,594,39,78,513,3,0,1,7,0
2020-10-04,601,40,78,520,3,0,1,7,0
2020-10-05,609,40,79,527,3,0,1,7,0
2020-10-06,617,40,80,534,3,0,1,7,0
2020-10-07,624,40,80,541,3,0,1,7,0
2020-10-08,633,41,81,549,3,0,1,7,0
2020-10-09,640,41,81,556,3,0,1,7,0
2020-10-10,648,41,82,563,3,0,1,7,0
2020-10-11,657,41,83,571,3,0,1,7,0
2020-10-12,664,42,83,578,3,0,1,8,0
2020-10-13,673,42,84,586,3,0,1,8,0
2020-10-14,680,42,84,593,3,0,1,8,0
2020-10-15,689,42,85,601,3,0,1,8,0
2020-10-16,698,43,86,609,3,0,1,8,0
2020-10-17,706,43,86,617,3,0,1,8,0
2020-10-18,714,43,87,624,3,0,1,8,0
2020-10-19,722,43,87,632,3,0,1,8,0
2020-10-20,731,44,88,640,3,0,1,8,0
2020-10-21,739,44,88,648,3,0,1,8,0
2020-10-22,748,44,89,656,3,0,1,8,0
2020-10-23,757,44,90,664,3,0,1,8,0
2020-10-24,765,44,90,672,3,0,1,8,0
2020-10-25,774,45,91,680,3,0,1,8,0
2020-10-26,783,45,91,689,3,0,1,8,0
2020-10-27,793,45,92,697,4,0,1,8,0
2020-10-28,801,45,92,705,4,0,0,8,0
2020-10-29,811,45,93,714,4,0,0,8,0
2020-10-30,819,46,93,722,4,0,0,8,0
2020-10-31,828,46,94,730,4,0,0,8,0
2020-11-01,837,46,94,739,4,0,0,9,0
2020-11-02,845,46,94,747,4,0,0,9,0
2020-11-03,855,46,95,756,4,0,0,9,0
2020-11-04,864,46,95,765,4,0,0,9,0
2020-11-05,873,47,96,773,4,0,0,9,0
2020-11-06,882,47,96,782,4,0,0,9,0
2020-11-07,892,47,97,791,4,0,0,9,0
2020-11-08,900,47,97,799,4,0,0,9,0
2020-11-09,909,47,97,808,4,0,0,9,0
2020-11-10,919,47,98,817,4,0,0,9,0
2020-11-11,928,47,98,826,4,0,0,9,0
2020-11-12,937,47,98,835,4,0,0,9,0
2020-11-13,947,48,99,844,4,0,0,9,0
2020-11-14,956,48,99,853,4,0,0,9,0
2020-11-15,965,48,99,862,4,0,0,9,0
2020-11-16,975,48,100,871,4,0,0,9,0
2020-11-17,984,48,100,880,4,0,0,9,0
2020-11-18,993,48,100,889,4,0,0,9,0
2020-11-19,1004,48,101,898,5,0,0,9,0
2020-11-20,1013,48,101,907,5,0,0,9,0
2020-11-21,1022,48,101,916,5,0,0,9,0
2020-11-22,1031,48,101,925,5,0,0,9,0
2020-11-23,1041,48,102,934,5,0,0,9,0
2020-11-24,1050,48,102,943,5,0,0,9,0
2020-11-25,1060,48,102,953,5,0,0,9,0
2020-11-26,1069,48,102,962,5,0,0,9,0
2020-11-27,1078,48,102,971,5,0,0,9,0
2020-11-28,1087,48,102,980,5,0,0,9,0
2020-11-29,1098,48,103,990,5,0,0,9,0
2020-11-30,1107,48,103,999,5,0,0,9,0
2020-12-01,1116,48,103,1008,5,0,0,9,0
2020-12-02,1126,48,103,1018,5,0,0,9,0
