Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-21,456,56,77,375,4,0,4,7,0
2020-07-22,467,52,81,382,4,0,3,7,0
2020-07-23,476,50,83,389,4,0,2,7,0
2020-07-24,486,48,85,397,4,0,2,8,0
2020-07-25,496,46,87,405,4,0,1,8,0
2020-07-26,504,45,88,412,4,0,1,8,0
2020-07-27,513,44,88,420,5,0,1,8,0
2020-07-28,522,43,89,428,5,0,0,8,0
2020-07-29,530,43,89,436,5,0,0,8,0
2020-07-30,539,43,90,444,5,0,0,8,0
2020-07-31,547,42,90,452,5,0,0,8,0
2020-08-01,555,42,90,460,5,0,0,8,0
2020-08-02,564,42,90,469,5,0,0,8,0
2020-08-03,572,42,90,477,5,0,0,8,0
2020-08-04,580,41,90,485,5,0,0,8,0
2020-08-05,588,41,90,493,5,0,0,8,0
2020-08-06,596,41,90,501,5,0,0,8,0
2020-08-07,605,41,90,509,6,0,0,8,0
2020-08-08,613,41,90,517,6,0,0,8,0
2020-08-09,620,41,89,525,6,0,0,8,0
2020-08-10,628,41,89,533,6,0,0,8,0
2020-08-11,636,41,89,541,6,0,0,8,0
2020-08-12,644,41,89,549,6,0,0,8,0
2020-08-13,652,41,89,557,6,0,0,8,0
2020-08-14,660,40,89,565,6,0,0,8,0
2020-08-15,668,40,89,573,6,0,0,8,0
2020-08-16,676,40,89,581,6,0,0,8,0
2020-08-17,683,40,88,589,6,0,0,8,0
2020-08-18,691,40,88,597,6,0,0,8,0
2020-08-19,700,40,88,605,7,0,0,8,0
2020-08-20,708,40,88,613,7,0,0,8,0
2020-08-21,716,40,88,621,7,0,0,8,0
2020-08-22,723,40,87,629,7,0,0,8,0
2020-08-23,730,40,87,636,7,0,0,8,0
2020-08-24,738,39,87,644,7,0,0,8,0
2020-08-25,746,39,87,652,7,0,0,8,0
2020-08-26,754,39,87,660,7,0,0,8,0
2020-08-27,762,39,87,668,7,0,0,8,0
2020-08-28,769,39,86,676,7,0,0,8,0
2020-08-29,776,39,86,683,7,0,0,8,0
2020-08-30,785,39,86,691,8,0,0,8,0
2020-08-31,793,39,86,699,8,0,0,8,0
2020-09-01,799,38,85,706,8,0,0,8,0
2020-09-02,807,38,85,714,8,0,0,8,0
2020-09-03,815,38,85,722,8,0,0,8,0
2020-09-04,822,38,85,729,8,0,0,8,0
2020-09-05,830,38,85,737,8,0,0,8,0
2020-09-06,837,38,84,745,8,0,0,8,0
2020-09-07,844,38,84,752,8,0,0,8,0
2020-09-08,852,38,84,760,8,0,0,8,0
2020-09-09,859,37,84,767,8,0,0,8,0
2020-09-10,866,37,83,775,8,0,0,7,0
2020-09-11,874,37,83,782,9,0,0,7,0
2020-09-12,882,37,83,790,9,0,0,7,0
2020-09-13,889,37,83,797,9,0,0,7,0
2020-09-14,896,37,82,805,9,0,0,7,0
2020-09-15,903,37,82,812,9,0,0,7,0
2020-09-16,910,36,82,819,9,0,0,7,0
2020-09-17,917,36,81,827,9,0,0,7,0
2020-09-18,924,36,81,834,9,0,0,7,0
2020-09-19,931,36,81,841,9,0,0,7,0
2020-09-20,938,36,81,848,9,0,0,7,0
2020-09-21,945,36,80,856,9,0,0,7,0
2020-09-22,952,36,80,863,9,0,0,7,0
2020-09-23,959,35,80,870,9,0,0,7,0
2020-09-24,966,35,79,877,10,0,0,7,0
2020-09-25,973,35,79,884,10,0,0,7,0
2020-09-26,981,35,79,892,10,0,0,7,0
2020-09-27,988,35,79,899,10,0,0,7,0
2020-09-28,994,35,78,906,10,0,0,7,0
2020-09-29,1001,35,78,913,10,0,0,7,0
2020-09-30,1008,34,78,920,10,0,0,7,0
2020-10-01,1014,34,77,927,10,0,0,7,0
2020-10-02,1021,34,77,934,10,0,0,7,0
2020-10-03,1028,34,77,941,10,0,0,7,0
2020-10-04,1033,34,76,947,10,0,0,7,0
2020-10-05,1040,34,76,954,10,0,0,7,0
2020-10-06,1047,33,76,961,10,0,0,7,0
2020-10-07,1054,33,75,968,11,0,0,7,0
2020-10-08,1061,33,75,975,11,0,0,7,0
2020-10-09,1067,33,75,981,11,0,0,7,0
2020-10-10,1073,33,74,988,11,0,0,7,0
2020-10-11,1080,33,74,995,11,0,0,7,0
2020-10-12,1086,33,74,1001,11,0,0,7,0
2020-10-13,1092,32,73,1008,11,0,0,7,0
2020-10-14,1099,32,73,1015,11,0,0,7,0
2020-10-15,1105,32,73,1021,11,0,0,7,0
2020-10-16,1111,32,72,1028,11,0,0,7,0
2020-10-17,1117,32,72,1034,11,0,0,6,0
2020-10-18,1124,32,72,1041,11,0,0,6,0
2020-10-19,1129,31,71,1047,11,0,0,6,0
2020-10-20,1136,31,71,1054,11,0,0,6,0
2020-10-21,1143,31,71,1060,12,0,0,6,0
2020-10-22,1148,31,70,1066,12,0,0,6,0
2020-10-23,1155,31,70,1073,12,0,0,6,0
2020-10-24,1161,31,70,1079,12,0,0,6,0
2020-10-25,1166,30,69,1085,12,0,0,6,0
2020-10-26,1172,30,69,1091,12,0,0,6,0
2020-10-27,1179,30,69,1098,12,0,0,6,0
2020-10-28,1184,30,68,1104,12,0,0,6,0
2020-10-29,1190,30,68,1110,12,0,0,6,0
2020-10-30,1196,30,68,1116,12,0,0,6,0
2020-10-31,1201,29,67,1122,12,0,0,6,0
2020-11-01,1207,29,67,1128,12,0,0,6,0
2020-11-02,1213,29,67,1134,12,0,0,6,0
2020-11-03,1218,29,66,1140,12,0,0,6,0
2020-11-04,1224,29,66,1146,12,0,0,6,0
2020-11-05,1230,29,65,1152,13,0,0,6,0
2020-11-06,1236,28,65,1158,13,0,0,6,0
2020-11-07,1242,28,65,1164,13,0,0,6,0
2020-11-08,1246,28,64,1169,13,0,0,6,0
2020-11-09,1252,28,64,1175,13,0,0,6,0
2020-11-10,1258,28,64,1181,13,0,0,6,0
2020-11-11,1263,28,63,1187,13,0,0,6,0
2020-11-12,1268,27,63,1192,13,0,0,6,0
