Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-08,1162,405,1162,0,0,47,0,0,0
2020-07-09,1140,447,1140,0,0,36,0,0,0
2020-07-10,1127,480,1127,0,0,27,0,0,0
2020-07-11,1121,505,1121,0,0,21,0,0,0
2020-07-12,1119,524,1119,0,0,17,1,0,0
2020-07-13,1122,540,1122,0,0,14,4,0,0
2020-07-14,1126,553,1126,0,0,11,6,0,0
2020-07-15,1133,563,1133,0,0,10,7,0,0
2020-07-16,1141,572,1141,0,0,8,9,0,0
2020-07-17,1150,580,1150,0,0,7,9,0,0
2020-07-18,1159,587,1159,0,0,6,10,0,0
2020-07-19,1169,593,1169,0,0,6,10,0,0
2020-07-20,1179,599,1179,0,0,5,10,0,0
2020-07-21,1189,604,1189,0,0,5,10,0,0
2020-07-22,1200,609,1200,0,0,5,10,0,0
2020-07-23,1210,614,1210,0,0,4,10,0,0
2020-07-24,1221,618,1221,0,0,4,10,0,0
2020-07-25,1231,622,1231,0,0,4,10,0,0
2020-07-26,1241,626,1241,0,0,4,10,0,0
2020-07-27,1251,630,1251,0,0,4,10,0,0
2020-07-28,1260,633,1260,0,0,3,10,0,0
2020-07-29,1270,637,1270,0,0,3,9,0,0
2020-07-30,1279,640,1279,0,0,3,9,0,0
2020-07-31,1288,643,1288,0,0,3,9,0,0
2020-08-01,1297,646,1297,0,0,3,9,0,0
2020-08-02,1306,648,1306,0,0,3,8,0,0
2020-08-03,1314,651,1314,0,0,2,8,0,0
2020-08-04,1322,653,1322,0,0,2,8,0,0
2020-08-05,1330,655,1330,0,0,2,8,0,0
2020-08-06,1338,657,1338,0,0,2,7,0,0
2020-08-07,1345,659,1345,0,0,2,7,0,0
2020-08-08,1352,661,1352,0,0,2,7,0,0
2020-08-09,1358,662,1358,0,0,1,6,0,0
2020-08-10,1365,664,1365,0,0,1,6,0,0
2020-08-11,1371,665,1371,0,0,1,6,0,0
2020-08-12,1376,666,1376,0,0,1,5,0,0
2020-08-13,1382,667,1382,0,0,1,5,0,0
2020-08-14,1387,667,1387,0,0,0,5,0,0
2020-08-15,1391,668,1391,0,0,0,4,0,0
2020-08-16,1395,668,1395,0,0,0,4,0,0
2020-08-17,1399,668,1399,0,0,0,4,0,0
2020-08-18,1403,668,1403,0,0,0,3,0,0
2020-08-19,1406,668,1406,0,0,0,3,0,0
2020-08-20,1409,667,1409,0,0,0,3,0,0
2020-08-21,1412,666,1412,0,0,0,2,0,0
2020-08-22,1414,666,1414,0,0,0,2,0,0
2020-08-23,1416,665,1416,0,0,0,2,0,0
2020-08-24,1417,663,1417,0,0,0,1,0,0
