Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-12,4107,431,880,3216,11,0,5,80,0
2020-07-13,4191,424,884,3295,12,0,3,80,0
2020-07-14,4274,418,886,3376,12,0,1,80,0
2020-07-15,4355,413,887,3456,12,0,0,80,0
2020-07-16,4436,409,887,3536,13,0,0,80,0
2020-07-17,4516,406,886,3617,13,0,0,80,0
2020-07-18,4595,403,885,3697,13,0,0,80,0
2020-07-19,4673,400,883,3777,13,0,0,80,0
2020-07-20,4752,398,881,3857,14,0,0,80,0
2020-07-21,4830,396,879,3937,14,0,0,80,0
2020-07-22,4907,393,877,4016,14,0,0,79,0
2020-07-23,4985,391,874,4096,15,0,0,79,0
2020-07-24,5061,390,871,4175,15,0,0,79,0
2020-07-25,5137,388,869,4253,15,0,0,79,0
2020-07-26,5213,386,866,4332,15,0,0,78,0
2020-07-27,5288,384,862,4410,16,0,0,78,0
2020-07-28,5363,382,859,4488,16,0,0,78,0
2020-07-29,5438,380,856,4566,16,0,0,78,0
2020-07-30,5514,378,853,4644,17,0,0,77,0
2020-07-31,5587,376,849,4721,17,0,0,77,0
2020-08-01,5660,374,846,4797,17,0,0,77,0
2020-08-02,5733,373,842,4874,17,0,0,76,0
2020-08-03,5807,371,839,4950,18,0,0,76,0
2020-08-04,5879,369,835,5026,18,0,0,76,0
2020-08-05,5952,367,832,5102,18,0,0,75,0
2020-08-06,6023,365,828,5177,18,0,0,75,0
2020-08-07,6095,363,824,5252,19,0,0,75,0
2020-08-08,6165,361,820,5326,19,0,0,74,0
2020-08-09,6235,359,816,5400,19,0,0,74,0
2020-08-10,6305,357,812,5474,19,0,0,74,0
2020-08-11,6376,355,808,5548,20,0,0,73,0
2020-08-12,6446,352,805,5621,20,0,0,73,0
2020-08-13,6513,350,800,5693,20,0,0,73,0
2020-08-14,6583,348,796,5766,21,0,0,72,0
2020-08-15,6651,346,792,5838,21,0,0,72,0
2020-08-16,6718,344,788,5909,21,0,0,71,0
2020-08-17,6786,342,784,5981,21,0,0,71,0
2020-08-18,6854,340,780,6052,22,0,0,71,0
2020-08-19,6919,338,775,6122,22,0,0,70,0
2020-08-20,6985,336,771,6192,22,0,0,70,0
2020-08-21,7051,333,767,6262,22,0,0,69,0
2020-08-22,7116,331,762,6331,23,0,0,69,0
2020-08-23,7181,329,758,6400,23,0,0,69,0
2020-08-24,7246,327,754,6469,23,0,0,68,0
2020-08-25,7309,325,749,6537,23,0,0,68,0
2020-08-26,7372,322,745,6604,23,0,0,67,0
2020-08-27,7436,320,740,6672,24,0,0,67,0
2020-08-28,7499,318,736,6739,24,0,0,67,0
2020-08-29,7560,316,731,6805,24,0,0,66,0
2020-08-30,7622,314,727,6871,24,0,0,66,0
2020-08-31,7684,311,722,6937,25,0,0,65,0
2020-09-01,7744,309,717,7002,25,0,0,65,0
2020-09-02,7805,307,713,7067,25,0,0,65,0
2020-09-03,7864,305,708,7131,25,0,0,64,0
2020-09-04,7924,302,703,7195,26,0,0,64,0
2020-09-05,7984,300,699,7259,26,0,0,63,0
2020-09-06,8042,298,694,7322,26,0,0,63,0
2020-09-07,8100,296,689,7385,26,0,0,62,0
2020-09-08,8158,293,685,7447,26,0,0,62,0
2020-09-09,8216,291,680,7509,27,0,0,62,0
2020-09-10,8272,289,675,7570,27,0,0,61,0
2020-09-11,8328,287,670,7631,27,0,0,61,0
2020-09-12,8385,284,666,7692,27,0,0,60,0
2020-09-13,8441,282,661,7752,28,0,0,60,0
2020-09-14,8496,280,656,7812,28,0,0,59,0
2020-09-15,8550,278,651,7871,28,0,0,59,0
2020-09-16,8605,275,647,7930,28,0,0,59,0
2020-09-17,8658,273,642,7988,28,0,0,58,0
2020-09-18,8712,271,637,8046,29,0,0,58,0
2020-09-19,8765,269,632,8104,29,0,0,57,0
2020-09-20,8818,267,628,8161,29,0,0,57,0
2020-09-21,8870,264,623,8218,29,0,0,56,0
2020-09-22,8921,262,618,8274,29,0,0,56,0
2020-09-23,8973,260,613,8330,30,0,0,56,0
2020-09-24,9023,258,608,8385,30,0,0,55,0
2020-09-25,9074,255,604,8440,30,0,0,55,0
2020-09-26,9124,253,599,8495,30,0,0,54,0
2020-09-27,9173,251,594,8549,30,0,0,54,0
2020-09-28,9222,249,589,8602,31,0,0,53,0
2020-09-29,9271,247,584,8656,31,0,0,53,0
2020-09-30,9319,245,580,8708,31,0,0,53,0
2020-10-01,9367,242,575,8761,31,0,0,52,0
2020-10-02,9414,240,570,8813,31,0,0,52,0
2020-10-03,9462,238,566,8864,32,0,0,51,0
2020-10-04,9508,236,561,8915,32,0,0,51,0
2020-10-05,9554,234,556,8966,32,0,0,50,0
2020-10-06,9599,232,551,9016,32,0,0,50,0
2020-10-07,9645,230,547,9066,32,0,0,50,0
2020-10-08,9689,227,542,9115,32,0,0,49,0
2020-10-09,9734,225,537,9164,33,0,0,49,0
2020-10-10,9779,223,533,9213,33,0,0,48,0
2020-10-11,9822,221,528,9261,33,0,0,48,0
2020-10-12,9864,219,523,9308,33,0,0,47,0
2020-10-13,9908,217,519,9356,33,0,0,47,0
2020-10-14,9950,215,514,9403,33,0,0,47,0
2020-10-15,9993,213,510,9449,34,0,0,46,0
2020-10-16,10034,211,505,9495,34,0,0,46,0
2020-10-17,10076,209,501,9541,34,0,0,45,0
2020-10-18,10116,207,496,9586,34,0,0,45,0
2020-10-19,10157,205,492,9631,34,0,0,45,0
2020-10-20,10196,203,487,9675,34,0,0,44,0
2020-10-21,10237,201,483,9719,35,0,0,44,0
2020-10-22,10275,199,478,9762,35,0,0,43,0
2020-10-23,10315,197,474,9806,35,0,0,43,0
2020-10-24,10352,195,469,9848,35,0,0,43,0
2020-10-25,10391,193,465,9891,35,0,0,42,0
2020-10-26,10429,191,461,9933,35,0,0,42,0
2020-10-27,10465,189,456,9974,35,0,0,41,0
2020-10-28,10503,188,452,10015,36,0,0,41,0
2020-10-29,10540,186,448,10056,36,0,0,41,0
2020-10-30,10576,184,443,10097,36,0,0,40,0
2020-10-31,10612,182,439,10137,36,0,0,40,0
2020-11-01,10647,180,435,10176,36,0,0,39,0
2020-11-02,10683,178,431,10216,36,0,0,39,0
2020-11-03,10716,176,426,10254,36,0,0,39,0
