Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-15,184,34,38,145,1,0,3,3,0
2020-07-16,191,32,41,149,1,0,3,4,0
2020-07-17,197,31,43,153,1,0,2,4,0
2020-07-18,203,30,45,157,1,0,2,4,0
2020-07-19,209,29,47,161,1,0,1,4,0
2020-07-20,214,29,48,165,1,0,1,4,0
2020-07-21,219,29,49,169,1,0,1,4,0
2020-07-22,226,29,51,174,1,0,1,5,0
2020-07-23,232,29,52,179,1,0,1,5,0
2020-07-24,237,30,53,183,1,0,1,5,0
2020-07-25,243,30,54,188,1,0,1,5,0
2020-07-26,249,30,55,193,1,0,1,5,0
2020-07-27,255,31,56,198,1,0,1,5,0
2020-07-28,261,31,57,203,1,0,1,5,0
2020-07-29,266,31,57,208,1,0,1,5,0
2020-07-30,272,32,58,213,1,0,1,5,0
2020-07-31,279,32,59,219,1,0,1,5,0
2020-08-01,285,33,60,224,1,0,1,5,0
2020-08-02,292,33,61,230,1,0,1,6,0
2020-08-03,298,33,62,235,1,0,1,6,0
2020-08-04,305,34,63,241,1,0,1,6,0
2020-08-05,311,34,64,246,1,0,1,6,0
2020-08-06,318,35,65,252,1,0,1,6,0
2020-08-07,325,35,66,258,1,0,1,6,0
2020-08-08,332,36,67,264,1,0,1,6,0
2020-08-09,339,36,68,270,1,0,1,6,0
2020-08-10,346,37,69,276,1,0,1,6,0
2020-08-11,354,37,70,283,1,0,1,6,0
2020-08-12,360,37,70,289,1,0,1,6,0
2020-08-13,368,38,71,295,2,0,1,6,0
2020-08-14,376,38,72,302,2,0,1,7,0
2020-08-15,383,39,73,308,2,0,1,7,0
2020-08-16,391,39,74,315,2,0,1,7,0
2020-08-17,399,40,75,322,2,0,1,7,0
2020-08-18,407,40,76,329,2,0,1,7,0
2020-08-19,415,40,77,336,2,0,1,7,0
2020-08-20,423,41,78,343,2,0,1,7,0
2020-08-21,431,41,79,350,2,0,1,7,0
2020-08-22,439,42,80,357,2,0,1,7,0
2020-08-23,447,42,81,364,2,0,1,7,0
2020-08-24,455,42,82,371,2,0,1,7,0
2020-08-25,463,43,82,379,2,0,1,7,0
2020-08-26,471,43,83,386,2,0,1,8,0
2020-08-27,480,44,84,394,2,0,1,8,0
