Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-24,324,205,88,236,0,0,32,8,0
2020-06-25,362,178,117,245,0,0,24,11,0
2020-06-26,395,159,139,256,0,0,19,13,0
2020-06-27,425,146,156,269,0,0,14,14,0
2020-06-28,453,137,169,284,0,0,11,15,0
2020-06-29,480,130,180,300,0,0,9,16,0
2020-06-30,505,126,188,316,1,0,8,17,0
2020-07-01,530,123,195,334,1,0,6,18,0
2020-07-02,554,122,201,352,1,0,6,18,0
2020-07-03,578,121,207,370,1,0,5,19,0
2020-07-04,602,121,212,389,1,0,4,19,0
2020-07-05,625,121,216,408,1,1,4,20,0
2020-07-06,649,122,220,428,1,1,4,20,0
2020-07-07,673,123,224,448,1,1,4,20,0
2020-07-08,697,124,227,469,1,1,4,21,0
2020-07-09,721,125,231,489,1,1,3,21,0
2020-07-10,745,126,234,510,1,1,3,21,0
2020-07-11,771,127,238,532,1,1,3,22,0
2020-07-12,796,128,241,554,1,1,3,22,0
2020-07-13,820,130,244,575,1,1,3,22,0
2020-07-14,846,131,247,598,1,1,3,22,0
2020-07-15,872,132,251,620,1,1,3,23,0
2020-07-16,898,134,254,643,1,1,3,23,0
2020-07-17,924,135,257,666,1,1,3,23,0
2020-07-18,951,136,260,690,1,1,3,24,0
2020-07-19,977,137,263,713,1,1,3,24,0
2020-07-20,1004,139,266,737,1,1,3,24,0
2020-07-21,1032,140,269,762,1,1,3,24,0
2020-07-22,1059,141,272,786,1,1,3,25,0
2020-07-23,1087,142,275,811,1,1,3,25,0
2020-07-24,1115,143,278,836,1,1,3,25,0
2020-07-25,1143,144,281,861,1,1,3,25,0
2020-07-26,1171,145,283,887,1,1,3,26,0
2020-07-27,1200,147,286,913,1,1,3,26,0
2020-07-28,1229,147,289,939,1,1,3,26,0
2020-07-29,1259,148,292,965,2,1,3,26,0
2020-07-30,1288,149,294,992,2,1,3,27,0
2020-07-31,1318,150,297,1019,2,1,2,27,0
2020-08-01,1347,151,299,1046,2,1,2,27,0
2020-08-02,1377,152,302,1073,2,1,2,27,0
2020-08-03,1406,153,304,1100,2,1,2,28,0
2020-08-04,1436,153,306,1128,2,1,2,28,0
2020-08-05,1466,154,308,1156,2,1,2,28,0
2020-08-06,1496,155,310,1184,2,1,2,28,0
2020-08-07,1526,155,312,1212,2,1,2,28,0
2020-08-08,1556,156,314,1240,2,0,2,29,0
2020-08-09,1587,156,316,1269,2,0,2,29,0
2020-08-10,1618,157,318,1298,2,0,2,29,0
2020-08-11,1649,157,320,1327,2,0,2,29,0
2020-08-12,1680,157,322,1356,2,0,2,29,0
2020-08-13,1710,158,323,1385,2,0,2,29,0
2020-08-14,1742,158,325,1415,2,0,1,29,0
2020-08-15,1772,158,326,1444,2,0,1,30,0
2020-08-16,1803,158,327,1474,2,0,1,30,0
2020-08-17,1834,158,329,1503,2,0,1,30,0
2020-08-18,1865,158,330,1533,2,0,1,30,0
2020-08-19,1896,158,331,1563,2,0,1,30,0
2020-08-20,1928,158,332,1593,3,0,1,30,0
2020-08-21,1958,158,332,1623,3,0,1,30,0
2020-08-22,1990,158,333,1654,3,0,1,30,0
2020-08-23,2021,158,334,1684,3,0,1,30,0
2020-08-24,2051,157,334,1714,3,0,0,30,0
2020-08-25,2083,157,335,1745,3,0,0,30,0
2020-08-26,2113,157,335,1775,3,0,0,30,0
2020-08-27,2143,156,335,1805,3,0,0,30,0
2020-08-28,2175,156,336,1836,3,0,0,30,0
2020-08-29,2205,156,336,1866,3,0,0,30,0
2020-08-30,2236,155,336,1897,3,0,0,30,0
2020-08-31,2265,154,335,1927,3,0,0,30,0
2020-09-01,2296,154,335,1958,3,0,0,30,0
2020-09-02,2326,153,335,1988,3,0,0,30,0
2020-09-03,2355,152,334,2018,3,0,0,30,0
2020-09-04,2386,152,334,2049,3,0,0,30,0
2020-09-05,2415,151,333,2079,3,0,0,30,0
2020-09-06,2444,150,332,2109,3,0,0,30,0
2020-09-07,2474,149,332,2139,3,0,0,30,0
2020-09-08,2504,148,331,2170,3,0,0,30,0
2020-09-09,2533,147,330,2200,3,0,0,30,0
2020-09-10,2562,146,329,2229,4,0,0,30,0
2020-09-11,2590,145,327,2259,4,0,0,30,0
2020-09-12,2619,144,326,2289,4,0,0,30,0
2020-09-13,2647,143,325,2318,4,0,0,29,0
2020-09-14,2675,142,323,2348,4,0,0,29,0
2020-09-15,2703,141,322,2377,4,0,0,29,0
2020-09-16,2730,140,320,2406,4,0,0,29,0
2020-09-17,2758,139,319,2435,4,0,0,29,0
2020-09-18,2785,138,317,2464,4,0,0,29,0
2020-09-19,2812,136,315,2493,4,0,0,29,0
2020-09-20,2838,135,313,2521,4,0,0,28,0
