Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-20,1071,200,305,757,9,0,11,27,0
2020-06-21,1109,184,315,784,10,0,7,28,0
2020-06-22,1144,172,321,813,10,0,4,29,0
2020-06-23,1177,162,325,842,10,0,2,29,0
2020-06-24,1208,154,326,871,11,0,1,29,0
2020-06-25,1237,147,326,900,11,0,0,29,0
2020-06-26,1266,142,325,930,11,0,0,29,0
2020-06-27,1294,138,323,959,12,0,0,29,0
2020-06-28,1321,134,321,988,12,0,0,29,0
2020-06-29,1346,130,317,1016,13,0,0,29,0
2020-06-30,1372,127,314,1045,13,0,0,28,0
2020-07-01,1396,125,310,1073,13,0,0,28,0
2020-07-02,1422,122,307,1101,14,0,0,28,0
2020-07-03,1445,120,303,1128,14,0,0,27,0
2020-07-04,1468,118,299,1155,14,0,0,27,0
2020-07-05,1491,115,294,1182,15,0,0,26,0
2020-07-06,1513,113,290,1208,15,0,0,26,0
2020-07-07,1535,111,286,1234,15,0,0,26,0
2020-07-08,1558,110,282,1260,16,0,0,25,0
2020-07-09,1579,108,278,1285,16,0,0,25,0
2020-07-10,1600,106,274,1310,16,0,0,25,0
2020-07-11,1620,104,270,1334,16,0,0,24,0
2020-07-12,1640,102,265,1358,17,0,0,24,0
2020-07-13,1660,101,261,1382,17,0,0,23,0
2020-07-14,1679,99,257,1405,17,0,0,23,0
2020-07-15,1699,97,253,1428,18,0,0,23,0
2020-07-16,1719,96,250,1451,18,0,0,22,0
2020-07-17,1737,94,246,1473,18,0,0,22,0
2020-07-18,1755,93,242,1495,18,0,0,22,0
2020-07-19,1773,91,238,1516,19,0,0,21,0
2020-07-20,1791,90,234,1538,19,0,0,21,0
2020-07-21,1808,88,230,1559,19,0,0,21,0
2020-07-22,1826,87,227,1579,20,0,0,20,0
2020-07-23,1842,85,223,1599,20,0,0,20,0
2020-07-24,1859,84,220,1619,20,0,0,20,0
2020-07-25,1875,82,216,1639,20,0,0,19,0
2020-07-26,1892,81,213,1658,21,0,0,19,0
2020-07-27,1907,79,209,1677,21,0,0,19,0
2020-07-28,1923,78,206,1696,21,0,0,18,0
2020-07-29,1937,77,202,1714,21,0,0,18,0
2020-07-30,1952,75,199,1732,21,0,0,18,0
2020-07-31,1968,74,196,1750,22,0,0,18,0
2020-08-01,1981,73,192,1767,22,0,0,17,0
2020-08-02,1996,72,189,1785,22,0,0,17,0
2020-08-03,2010,70,186,1802,22,0,0,17,0
2020-08-04,2023,69,183,1818,22,0,0,16,0
2020-08-05,2037,68,180,1834,23,0,0,16,0
2020-08-06,2051,67,177,1851,23,0,0,16,0
2020-08-07,2063,65,174,1866,23,0,0,16,0
2020-08-08,2076,64,171,1882,23,0,0,15,0
2020-08-09,2088,63,168,1897,23,0,0,15,0
2020-08-10,2101,62,165,1912,24,0,0,15,0
2020-08-11,2113,61,162,1927,24,0,0,15,0
2020-08-12,2124,60,159,1941,24,0,0,14,0
2020-08-13,2136,59,157,1955,24,0,0,14,0
2020-08-14,2147,58,154,1969,24,0,0,14,0
2020-08-15,2159,57,151,1983,25,0,0,14,0
2020-08-16,2171,56,149,1997,25,0,0,13,0
2020-08-17,2181,55,146,2010,25,0,0,13,0
2020-08-18,2192,54,144,2023,25,0,0,13,0
2020-08-19,2202,53,141,2036,25,0,0,13,0
2020-08-20,2212,52,139,2048,25,0,0,12,0
2020-08-21,2222,51,136,2061,25,0,0,12,0
2020-08-22,2233,50,134,2073,26,0,0,12,0
2020-08-23,2242,49,131,2085,26,0,0,12,0
2020-08-24,2252,48,129,2097,26,0,0,12,0
2020-08-25,2261,47,127,2108,26,0,0,11,0
2020-08-26,2270,46,125,2119,26,0,0,11,0
2020-08-27,2278,46,122,2130,26,0,0,11,0
2020-08-28,2287,45,120,2141,26,0,0,11,0
2020-08-29,2297,44,118,2152,27,0,0,11,0
2020-08-30,2306,43,116,2163,27,0,0,10,0
2020-08-31,2314,42,114,2173,27,0,0,10,0
2020-09-01,2322,42,112,2183,27,0,0,10,0
2020-09-02,2330,41,110,2193,27,0,0,10,0
2020-09-03,2338,40,108,2203,27,0,0,10,0
2020-09-04,2345,39,106,2212,27,0,0,10,0
2020-09-05,2353,39,104,2222,27,0,0,9,0
2020-09-06,2361,38,102,2231,28,0,0,9,0
2020-09-07,2368,37,100,2240,28,0,0,9,0
2020-09-08,2375,36,98,2249,28,0,0,9,0
2020-09-09,2383,36,97,2258,28,0,0,9,0
2020-09-10,2390,35,95,2267,28,0,0,9,0
2020-09-11,2396,34,93,2275,28,0,0,8,0
2020-09-12,2402,34,91,2283,28,0,0,8,0
2020-09-13,2409,33,90,2291,28,0,0,8,0
2020-09-14,2415,33,88,2299,28,0,0,8,0
2020-09-15,2422,32,86,2307,29,0,0,8,0
2020-09-16,2429,31,85,2315,29,0,0,8,0
2020-09-17,2435,31,83,2323,29,0,0,7,0
2020-09-18,2441,30,82,2330,29,0,0,7,0
2020-09-19,2446,30,80,2337,29,0,0,7,0
2020-09-20,2452,29,79,2344,29,0,0,7,0
2020-09-21,2458,28,77,2352,29,0,0,7,0
2020-09-22,2463,28,76,2358,29,0,0,7,0
2020-09-23,2468,27,74,2365,29,0,0,7,0
2020-09-24,2474,27,73,2372,29,0,0,7,0
2020-09-25,2479,26,72,2378,29,0,0,6,0
2020-09-26,2484,26,70,2385,29,0,0,6,0
2020-09-27,2490,25,69,2391,30,0,0,6,0
2020-09-28,2495,25,68,2397,30,0,0,6,0
2020-09-29,2500,24,67,2403,30,0,0,6,0
2020-09-30,2504,24,65,2409,30,0,0,6,0
2020-10-01,2509,24,64,2415,30,0,0,6,0
2020-10-02,2514,23,63,2421,30,0,0,6,0
2020-10-03,2518,23,62,2426,30,0,0,6,0
2020-10-04,2523,22,61,2432,30,0,0,5,0
2020-10-05,2526,22,59,2437,30,0,0,5,0
2020-10-06,2530,21,58,2442,30,0,0,5,0
2020-10-07,2535,21,57,2448,30,0,0,5,0
2020-10-08,2539,21,56,2453,30,0,0,5,0
2020-10-09,2543,20,55,2458,30,0,0,5,0
2020-10-10,2547,20,54,2463,30,0,0,5,0
2020-10-11,2551,19,53,2467,31,0,0,5,0
2020-10-12,2555,19,52,2472,31,0,0,5,0
2020-10-13,2559,19,51,2477,31,0,0,5,0
2020-10-14,2562,18,50,2481,31,0,0,4,0
2020-10-15,2566,18,49,2486,31,0,0,4,0
2020-10-16,2569,18,48,2490,31,0,0,4,0
2020-10-17,2573,17,47,2495,31,0,0,4,0
2020-10-18,2576,17,46,2499,31,0,0,4,0
2020-10-19,2579,17,45,2503,31,0,0,4,0
2020-10-20,2583,16,45,2507,31,0,0,4,0
2020-10-21,2586,16,44,2511,31,0,0,4,0
2020-10-22,2589,16,43,2515,31,0,0,4,0
2020-10-23,2592,15,42,2519,31,0,0,4,0
2020-10-24,2594,15,41,2522,31,0,0,4,0
2020-10-25,2598,15,41,2526,31,0,0,4,0
2020-10-26,2601,15,40,2530,31,0,0,4,0
2020-10-27,2603,14,39,2533,31,0,0,3,0
2020-10-28,2606,14,38,2537,31,0,0,3,0
2020-10-29,2608,14,37,2540,31,0,0,3,0
2020-10-30,2611,13,37,2543,31,0,0,3,0
2020-10-31,2614,13,36,2547,31,0,0,3,0
2020-11-01,2617,13,35,2550,32,0,0,3,0
2020-11-02,2620,13,35,2553,32,0,0,3,0
2020-11-03,2622,12,34,2556,32,0,0,3,0
2020-11-04,2624,12,33,2559,32,0,0,3,0
2020-11-05,2627,12,33,2562,32,0,0,3,0
2020-11-06,2629,12,32,2565,32,0,0,3,0
2020-11-07,2632,11,32,2568,32,0,0,3,0
