Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-12,930172,60611,194914,729752,5506,8439,0,17587,133
2020-07-13,942648,68225,189858,747153,5637,6371,0,17131,129
2020-07-14,956475,73989,186547,764162,5766,4850,0,16832,127
2020-07-15,971324,78392,184515,780917,5892,3730,0,16648,126
2020-07-16,986958,81794,183418,797523,6017,2906,0,16549,125
2020-07-17,1003201,84457,183005,814054,6142,2297,0,16512,125
2020-07-18,1019924,86574,183091,830566,6267,1847,331,16520,125
2020-07-19,1037030,88289,183540,847099,6391,1513,626,16561,125
2020-07-20,1054451,89703,184252,863682,6517,1265,839,16625,125
2020-07-21,1072129,90894,185151,880336,6642,1079,990,16706,126
2020-07-22,1090029,91918,186185,897076,6768,939,1097,16799,127
2020-07-23,1108121,92815,187312,913913,6896,833,1171,16901,128
2020-07-24,1126380,93616,188503,930854,7023,752,1220,17008,128
2020-07-25,1144791,94343,189735,947904,7152,688,1250,17119,129
2020-07-26,1163339,95011,190992,965066,7281,638,1267,17233,130
2020-07-27,1182015,95633,192262,982341,7412,597,1273,17347,131
2020-07-28,1200810,96217,193535,999732,7543,563,1272,17462,132
2020-07-29,1219717,96769,194805,1017237,7675,534,1265,17577,133
2020-07-30,1238730,97293,196065,1034857,7808,509,1253,17691,133
2020-07-31,1257845,97794,197313,1052590,7942,487,1238,17803,134
2020-08-01,1277055,98272,198544,1070435,8076,466,1220,17914,135
2020-08-02,1296358,98731,199756,1088390,8212,446,1199,18024,136
2020-08-03,1315749,99170,200947,1106454,8348,428,1177,18131,137
2020-08-04,1335226,99592,202116,1124625,8485,410,1154,18237,138
2020-08-05,1354784,99995,203260,1142901,8623,392,1129,18340,138
2020-08-06,1374419,100381,204379,1161278,8762,375,1103,18441,139
2020-08-07,1394129,100749,205472,1179756,8901,358,1076,18539,140
2020-08-08,1413910,101101,206537,1198332,9041,340,1048,18635,141
2020-08-09,1433758,101434,207573,1217003,9182,323,1019,18729,141
2020-08-10,1453671,101751,208581,1235766,9324,306,989,18820,142
2020-08-11,1473644,102050,209559,1254619,9466,288,959,18908,143
2020-08-12,1493676,102332,210507,1273560,9609,271,928,18994,143
