Date,Infected,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-06-23,149516,41731,40161,108982,373,0,4532,3639,12
2020-06-24,157398,37887,44244,112768,386,0,3407,4008,14
2020-06-25,164606,35070,47319,116887,400,0,2575,4287,15
2020-06-26,171322,33011,49649,121258,415,0,1959,4498,15
2020-06-27,177677,31513,51427,125820,430,0,1504,4659,16
2020-06-28,183770,30428,52796,130528,446,0,1167,4783,16
2020-06-29,189675,29649,53863,135349,463,0,917,4880,17
2020-06-30,195445,29095,54706,140259,480,0,732,4956,17
2020-07-01,201119,28707,55383,145239,497,0,594,5018,17
2020-07-02,206727,28442,55936,150277,514,0,492,5068,17
2020-07-03,212290,28267,56398,155361,531,0,416,5110,17
2020-07-04,217824,28159,56791,160484,549,0,359,5145,18
2020-07-05,223340,28100,57132,165641,567,0,316,5176,18
2020-07-06,228847,28076,57435,170828,584,0,284,5204,18
2020-07-07,234353,28079,57710,176041,602,15,259,5228,18
2020-07-08,239859,28100,57961,181278,620,31,241,5251,18
2020-07-09,245371,28135,58196,186537,638,42,226,5273,18
2020-07-10,250892,28180,58418,191818,656,50,215,5293,18
2020-07-11,256420,28232,58629,197117,674,55,206,5312,18
2020-07-12,261960,28288,58832,202436,692,59,198,5330,18
2020-07-13,267512,28348,59028,207773,711,61,192,5348,18
2020-07-14,273074,28409,59218,213127,729,62,187,5365,18
2020-07-15,278649,28472,59403,218499,747,63,182,5382,18
2020-07-16,284237,28535,59584,223887,766,63,178,5398,18
2020-07-17,289836,28598,59761,229291,784,63,175,5414,19
2020-07-18,295448,28660,59934,234711,803,62,171,5430,19
2020-07-19,301072,28722,60104,240147,821,61,168,5445,19
2020-07-20,306709,28783,60271,245598,840,60,165,5460,19
2020-07-21,312357,28843,60434,251064,859,59,162,5475,19
2020-07-22,318017,28902,60595,256545,877,58,158,5490,19
2020-07-23,323688,28960,60752,262040,896,57,155,5504,19
2020-07-24,329371,29016,60906,267550,915,55,152,5518,19
2020-07-25,335065,29071,61058,273073,934,54,149,5532,19
2020-07-26,340769,29124,61206,278610,953,53,146,5545,19
2020-07-27,346483,29176,61351,284160,972,51,143,5558,19
2020-07-28,352207,29227,61493,289723,991,50,140,5571,19
2020-07-29,357942,29276,61633,295299,1010,48,137,5584,19
2020-07-30,363686,29323,61769,300888,1029,47,134,5596,19
2020-07-31,369438,29369,61902,306488,1048,45,131,5608,19
2020-08-01,375200,29413,62032,312101,1067,43,128,5620,19
2020-08-02,380971,29456,62159,317725,1087,42,125,5632,19
2020-08-03,386750,29497,62283,323361,1106,40,122,5643,19
2020-08-04,392536,29537,62403,329008,1125,39,119,5654,19
2020-08-05,398332,29575,62521,334666,1145,37,115,5664,19
2020-08-06,404133,29612,62635,340334,1164,35,112,5675,19
2020-08-07,409941,29646,62746,346012,1183,34,109,5685,19
2020-08-08,415757,29680,62853,351701,1203,32,106,5694,19
2020-08-09,421579,29711,62958,357399,1222,31,102,5704,20
2020-08-10,427407,29741,63059,363106,1242,29,99,5713,20
2020-08-11,433240,29769,63156,368823,1261,27,96,5722,20
2020-08-12,439080,29796,63251,374548,1281,26,92,5730,20
2020-08-13,444924,29821,63342,380281,1301,24,89,5739,20
2020-08-14,450772,29844,63429,386023,1320,22,86,5747,20
2020-08-15,456627,29866,63514,391773,1340,21,82,5754,20
2020-08-16,462485,29886,63595,397530,1360,19,79,5762,20
2020-08-17,468345,29904,63672,403294,1379,17,75,5769,20
2020-08-18,474210,29921,63746,409065,1399,16,72,5775,20
2020-08-19,480078,29936,63816,414843,1419,14,68,5782,20
2020-08-20,485949,29949,63883,420627,1439,12,65,5788,20
2020-08-21,491822,29961,63947,426417,1458,10,61,5794,20
2020-08-22,497697,29970,64007,432212,1478,9,58,5799,20
2020-08-23,503574,29979,64063,438013,1498,7,54,5804,20
2020-08-24,509453,29985,64116,443819,1518,5,51,5809,20
2020-08-25,515333,29990,64165,449630,1538,4,47,5813,20
2020-08-26,521214,29993,64211,455445,1558,2,44,5817,20
2020-08-27,527095,29994,64253,461264,1578,0,40,5821,20
2020-08-28,532975,29994,64292,467086,1597,0,36,5825,20
2020-08-29,538856,29992,64327,472912,1617,0,33,5828,20
2020-08-30,544737,29988,64359,478741,1637,0,29,5831,20
2020-08-31,550616,29983,64386,484573,1657,0,26,5833,20
2020-09-01,556495,29976,64411,490407,1677,0,22,5836,20
2020-09-02,562372,29967,64431,496244,1697,0,18,5837,20
2020-09-03,568248,29956,64449,502082,1717,0,15,5839,20
2020-09-04,574120,29944,64462,507921,1737,0,11,5840,20
2020-09-05,579991,29930,64472,513762,1757,0,8,5841,20
2020-09-06,585858,29915,64478,519603,1777,0,4,5842,20
2020-09-07,591723,29898,64481,525445,1797,0,0,5842,20
2020-09-08,597584,29879,64480,531287,1817,0,0,5842,20
2020-09-09,603441,29858,64475,537129,1837,0,0,5841,20
2020-09-10,609294,29836,64467,542970,1857,0,0,5841,20
2020-09-11,615142,29812,64455,548810,1877,0,0,5840,20
2020-09-12,620986,29787,64440,554649,1897,0,0,5838,20
2020-09-13,626825,29759,64421,560487,1917,0,0,5836,20
2020-09-14,632657,29731,64398,566322,1937,0,0,5834,20
2020-09-15,638485,29700,64372,572156,1957,0,0,5832,20
2020-09-16,644306,29668,64342,577987,1977,0,0,5829,20
2020-09-17,650121,29635,64309,583815,1997,0,0,5826,20
2020-09-18,655929,29599,64272,589640,2017,0,0,5823,20
2020-09-19,661731,29563,64232,595462,2037,0,0,5819,20
2020-09-20,667524,29524,64188,601280,2056,0,0,5815,20
2020-09-21,673310,29484,64140,607094,2076,0,0,5811,20
2020-09-22,679088,29442,64089,612903,2096,0,0,5806,20
2020-09-23,684859,29399,64035,618708,2116,0,0,5801,20
2020-09-24,690619,29355,63976,624507,2136,0,0,5796,20
2020-09-25,696372,29308,63915,630301,2156,0,0,5791,20
2020-09-26,702115,29261,63850,636090,2175,0,0,5785,20
2020-09-27,707848,29211,63781,641872,2195,0,0,5779,20
2020-09-28,713573,29160,63710,647648,2215,0,0,5772,20
2020-09-29,719287,29108,63634,653418,2235,0,0,5765,20
2020-09-30,724990,29054,63556,659180,2254,0,0,5758,20
2020-10-01,730683,28999,63473,664936,2274,0,0,5751,20
2020-10-02,736365,28942,63388,670683,2294,0,0,5743,20
2020-10-03,742035,28884,63299,676423,2313,0,0,5735,20
2020-10-04,747695,28825,63207,682155,2333,0,0,5727,20
2020-10-05,753343,28764,63112,687878,2353,0,0,5718,20
2020-10-06,758978,28701,63013,693593,2372,0,0,5709,20
2020-10-07,764601,28637,62911,699298,2392,0,0,5700,19
2020-10-08,770211,28572,62806,704994,2411,0,0,5690,19
2020-10-09,775809,28505,62697,710681,2431,0,0,5680,19
2020-10-10,781393,28437,62585,716358,2450,0,0,5670,19
2020-10-11,786964,28368,62471,722024,2469,0,0,5660,19
2020-10-12,792522,28297,62353,727680,2489,0,0,5649,19
2020-10-13,798065,28226,62232,733325,2508,0,0,5638,19
2020-10-14,803593,28152,62107,738959,2527,0,0,5627,19
2020-10-15,809108,28078,61980,744581,2547,0,0,5615,19
2020-10-16,814608,28002,61850,750192,2566,0,0,5604,19
2020-10-17,820093,27925,61717,755791,2585,0,0,5591,19
2020-10-18,825563,27847,61581,761378,2604,0,0,5579,19
2020-10-19,831017,27767,61441,766953,2623,0,0,5567,19
2020-10-20,836455,27687,61299,772514,2642,0,0,5554,19
2020-10-21,841878,27605,61154,778063,2661,0,0,5541,19
2020-10-22,847285,27522,61006,783599,2680,0,0,5527,19
2020-10-23,852676,27438,60856,789121,2699,0,0,5513,19
2020-10-24,858049,27352,60702,794629,2718,0,0,5500,19
2020-10-25,863405,27266,60546,800123,2736,0,0,5485,19
2020-10-26,868745,27178,60387,805603,2755,0,0,5471,19
2020-10-27,874068,27090,60225,811069,2774,0,0,5456,19
2020-10-28,879374,27000,60061,816520,2793,0,0,5441,19
2020-10-29,884660,26909,59894,821955,2811,0,0,5426,19
