date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2020-06-02,NaN,2194.0,8527.0,NaN,NaN,-225.69176,-287.62626,NaN,NaN
2020-06-03,NaN,1982.709,8231.051,NaN,NaN,-189.13601,-307.67523,NaN,NaN
2020-06-04,NaN,1804.89,7918.609,NaN,NaN,-160.37384,-318.78691,NaN,NaN
2020-06-05,NaN,1653.468,7597.701,NaN,NaN,-137.58799,-323.26266,NaN,NaN
2020-06-06,NaN,1523.016,7274.268,NaN,NaN,-119.39572,-322.8491,NaN,NaN
2020-06-07,NaN,1409.357,6952.676,NaN,NaN,-104.74405,-318.87101,NaN,NaN
2020-06-08,NaN,1309.268,6636.089,NaN,NaN,-92.83035,-312.33239,NaN,NaN
2020-06-09,NaN,1220.254,6326.768,NaN,NaN,-83.04213,-303.99314,NaN,NaN
2020-06-10,NaN,1140.375,6026.285,NaN,NaN,-74.91141,-294.42737,NaN,NaN
2020-06-11,NaN,1068.115,5735.695,NaN,NaN,-68.08007,-284.06781,NaN,NaN
2020-06-12,NaN,1002.284,5455.661,NaN,NaN,-62.27359,-273.23949,NaN,NaN
2020-06-13,NaN,941.939,5186.557,NaN,NaN,-57.28106,-262.18543,NaN,NaN
2020-06-14,NaN,886.331,4928.536,NaN,NaN,-52.94012,-251.08624,NaN,NaN
2020-06-15,NaN,834.859,4681.59,NaN,NaN,-49.12535,-240.07497,NaN,NaN
2020-06-16,NaN,787.033,4445.593,NaN,NaN,-45.73958,-229.24851,NaN,NaN
2020-06-17,NaN,742.456,4220.331,NaN,NaN,-42.70721,-218.67624,NaN,NaN
2020-06-18,NaN,700.797,4005.531,NaN,NaN,-39.96917,-208.40661,NaN,NaN
2020-06-19,NaN,661.779,3800.877,NaN,NaN,-37.47903,-198.47226,NaN,NaN
2020-06-20,NaN,625.17,3606.025,NaN,NaN,-35.20009,-188.89382,NaN,NaN
2020-06-21,NaN,590.769,3420.614,NaN,NaN,-33.10312,-179.68285,NaN,NaN
2020-06-22,NaN,558.405,3244.275,NaN,NaN,-31.16466,-170.84415,NaN,NaN
2020-06-23,NaN,527.925,3076.635,NaN,NaN,-29.36572,-162.37743,NaN,NaN
2020-06-24,NaN,499.196,2917.323,NaN,NaN,-27.69078,-154.27863,NaN,NaN
2020-06-25,NaN,472.1,2765.974,NaN,NaN,-26.12701,-146.54098,NaN,NaN
2020-06-26,NaN,446.53,2622.229,NaN,NaN,-24.66369,-139.15571,NaN,NaN
2020-06-27,NaN,422.387,2485.741,NaN,NaN,-23.2918,-132.11267,NaN,NaN
2020-06-28,NaN,399.585,2356.171,NaN,NaN,-22.0036,-125.40076,NaN,NaN
2020-06-29,NaN,378.041,2233.192,NaN,NaN,-20.79243,-119.00832,NaN,NaN
2020-06-30,NaN,357.681,2116.489,NaN,NaN,-19.65248,-112.92332,NaN,NaN
2020-07-01,NaN,338.437,2005.759,NaN,NaN,-18.57861,-107.13362,NaN,NaN
2020-07-02,NaN,320.242,1900.712,NaN,NaN,-17.56627,-101.62708,NaN,NaN
2020-07-03,NaN,303.038,1801.069,NaN,NaN,-16.61136,-96.39169,NaN,NaN
2020-07-04,NaN,286.769,1706.563,NaN,NaN,-15.71017,-91.41566,NaN,NaN
2020-07-05,NaN,271.382,1616.94,NaN,NaN,-14.85933,-86.68745,NaN,NaN
2020-07-06,NaN,256.827,1531.955,NaN,NaN,-14.05576,-82.19585,NaN,NaN
2020-07-07,NaN,243.06,1451.376,NaN,NaN,-13.29662,-77.92999,NaN,NaN
2020-07-08,NaN,230.035,1374.981,NaN,NaN,-12.57927,-73.87935,NaN,NaN
