date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2020-05-23,1138.0,146.0,450.0,686.009,1.991,7.468,-0.02104,41.199,0.1196
2020-05-24,1180.052,152.702,450.722,727.219,2.111,5.583,1.808,41.265,0.1198
2020-05-25,1223.812,157.775,453.028,768.553,2.231,4.33,3.032,41.476,0.1204
2020-05-26,1268.882,161.766,456.392,810.139,2.351,3.496,3.852,41.784,0.1213
2020-05-27,1314.998,165.036,460.467,852.058,2.473,2.941,4.402,42.157,0.1224
2020-05-28,1361.985,167.827,465.02,894.369,2.596,2.571,4.774,42.574,0.1236
2020-05-29,1409.723,170.298,469.896,937.108,2.72,2.325,5.025,43.02,0.1249
2020-05-30,1458.137,172.555,474.99,980.302,2.845,2.159,5.196,43.486,0.1262
2020-05-31,1507.172,174.67,480.233,1023.967,2.972,2.049,5.312,43.967,0.1276
2020-06-01,1556.794,176.688,485.578,1068.117,3.1,1.973,5.393,44.456,0.129
2020-06-02,1606.98,178.64,490.993,1112.758,3.23,1.922,5.448,44.952,0.1305
2020-06-03,1657.713,180.548,496.456,1157.897,3.361,1.886,5.486,45.452,0.1319
2020-06-04,1708.982,182.423,501.952,1203.537,3.493,1.86,5.511,45.955,0.1334
2020-06-05,1760.778,184.275,507.47,1249.681,3.627,1.84,5.529,46.46,0.1348
2020-06-06,1813.097,186.109,513.003,1296.331,3.762,1.824,5.539,46.967,0.1363
2020-06-07,1865.932,187.928,518.545,1343.488,3.899,1.811,5.545,47.474,0.1378
2020-06-08,1919.281,189.735,524.091,1391.153,4.038,1.799,5.547,47.982,0.1393
2020-06-09,1973.139,191.53,529.637,1439.325,4.177,1.788,5.545,48.49,0.1407
2020-06-10,2027.505,193.314,535.181,1488.005,4.319,1.777,5.541,48.997,0.1422
2020-06-11,2082.373,195.087,540.719,1537.192,4.461,1.766,5.534,49.504,0.1437
2020-06-12,2137.742,196.848,546.25,1586.886,4.606,1.754,5.524,50.011,0.1451
2020-06-13,2193.607,198.598,551.77,1637.086,4.751,1.742,5.512,50.516,0.1466
2020-06-14,2249.967,200.335,557.277,1687.792,4.898,1.729,5.498,51.02,0.1481
2020-06-15,2306.816,202.06,562.769,1739.0,5.047,1.716,5.482,51.523,0.1495
2020-06-16,2364.152,203.77,568.244,1790.711,5.197,1.702,5.463,52.024,0.151
2020-06-17,2421.97,205.466,573.699,1842.923,5.349,1.687,5.442,52.524,0.1524
2020-06-18,2480.266,207.147,579.132,1895.633,5.502,1.671,5.418,53.021,0.1539
2020-06-19,2539.036,208.812,584.541,1948.84,5.656,1.655,5.393,53.516,0.1553
2020-06-20,2598.276,210.46,589.923,2002.541,5.812,1.637,5.365,54.009,0.1567
2020-06-21,2657.979,212.091,595.276,2056.734,5.969,1.619,5.334,54.499,0.1582
2020-06-22,2718.142,213.703,600.598,2111.416,6.128,1.6,5.301,54.986,0.1596
2020-06-23,2778.759,215.295,605.887,2166.584,6.288,1.58,5.266,55.47,0.161
2020-06-24,2839.824,216.868,611.139,2222.235,6.45,1.56,5.229,55.951,0.1624
2020-06-25,2901.331,218.419,616.353,2278.366,6.612,1.538,5.189,56.429,0.1638
2020-06-26,2963.276,219.949,621.527,2334.972,6.777,1.516,5.147,56.902,0.1651
2020-06-27,3025.65,221.456,626.657,2392.051,6.942,1.493,5.102,57.372,0.1665
2020-06-28,3088.449,222.94,631.741,2449.598,7.109,1.469,5.055,57.837,0.1679
2020-06-29,3151.664,224.399,636.778,2507.609,7.278,1.444,5.005,58.299,0.1692
2020-06-30,3215.29,225.833,641.763,2566.079,7.447,1.418,4.953,58.755,0.1705
2020-07-01,3279.318,227.242,646.696,2625.003,7.618,1.392,4.898,59.207,0.1718
2020-07-02,3343.742,228.623,651.574,2684.378,7.791,1.365,4.841,59.653,0.1731
2020-07-03,3408.554,229.978,656.393,2744.197,7.964,1.337,4.782,60.094,0.1744
2020-07-04,3473.746,231.304,661.152,2804.455,8.139,1.308,4.72,60.53,0.1757
2020-07-05,3539.31,232.601,665.848,2865.147,8.315,1.278,4.656,60.96,0.1769
2020-07-06,3605.238,233.868,670.479,2926.266,8.493,1.248,4.589,61.384,0.1782
2020-07-07,3671.521,235.104,675.042,2987.808,8.671,1.217,4.52,61.802,0.1794
2020-07-08,3738.151,236.31,679.535,3049.764,8.851,1.186,4.448,62.213,0.1806
2020-07-09,3805.118,237.483,683.956,3112.13,9.032,1.153,4.374,62.618,0.1817
2020-07-10,3872.414,238.624,688.302,3174.897,9.214,1.12,4.298,63.016,0.1829
2020-07-11,3940.028,239.731,692.57,3238.06,9.398,1.086,4.219,63.407,0.184
2020-07-12,4007.953,240.805,696.759,3301.611,9.582,1.052,4.138,63.79,0.1851
2020-07-13,4076.177,241.843,700.866,3365.543,9.768,1.017,4.055,64.166,0.1862
2020-07-14,4144.691,242.847,704.889,3429.847,9.954,0.9809,3.969,64.534,0.1873
2020-07-15,4213.485,243.814,708.826,3494.518,10.142,0.9446,3.881,64.895,0.1883
2020-07-16,4282.549,244.745,712.674,3559.545,10.331,0.9077,3.791,65.247,0.1894
2020-07-17,4351.873,245.638,716.431,3624.922,10.521,0.8702,3.699,65.591,0.1904
2020-07-18,4421.445,246.494,720.095,3690.639,10.711,0.8322,3.605,65.926,0.1913
2020-07-19,4491.255,247.312,723.664,3756.689,10.903,0.7937,3.509,66.253,0.1923
2020-07-20,4561.293,248.091,727.135,3823.062,11.096,0.7547,3.41,66.571,0.1932
2020-07-21,4631.547,248.831,730.508,3889.749,11.289,0.7152,3.31,66.88,0.1941
2020-07-22,4702.005,249.531,733.779,3956.742,11.484,0.6752,3.207,67.179,0.195
2020-07-23,4772.658,250.191,736.948,4024.031,11.679,0.6349,3.103,67.469,0.1958
2020-07-24,4843.493,250.811,740.012,4091.607,11.875,0.5941,2.997,67.75,0.1966
2020-07-25,4914.499,251.39,742.968,4159.459,12.072,0.553,2.889,68.021,0.1974
2020-07-26,4985.664,251.927,745.817,4227.578,12.27,0.5116,2.78,68.281,0.1982
2020-07-27,5056.977,252.423,748.555,4295.954,12.468,0.4698,2.669,68.532,0.1989
2020-07-28,5128.426,252.877,751.182,4364.577,12.667,0.4277,2.556,68.773,0.1996
2020-07-29,5199.999,253.289,753.695,4433.437,12.867,0.3854,2.442,69.003,0.2003
2020-07-30,5271.684,253.659,756.094,4502.523,13.068,0.3429,2.326,69.222,0.2009
2020-07-31,5343.468,253.986,758.376,4571.824,13.269,0.3002,2.209,69.431,0.2015
2020-08-01,5415.341,254.27,760.54,4641.33,13.47,0.2573,2.091,69.629,0.2021
2020-08-02,5487.29,254.511,762.586,4711.031,13.673,0.2142,1.971,69.817,0.2026
2020-08-03,5559.302,254.709,764.512,4780.914,13.876,0.1711,1.85,69.993,0.2031
2020-08-04,5631.365,254.864,766.316,4850.97,14.079,0.1279,1.728,70.158,0.2036
2020-08-05,5703.468,254.975,767.999,4921.187,14.283,0.08457,1.605,70.312,0.2041
2020-08-06,5775.598,255.044,769.558,4991.554,14.487,0.04127,1.482,70.455,0.2045
2020-08-07,5847.743,255.069,770.993,5062.059,14.692,-0.00203,1.357,70.586,0.2049
2020-08-08,5919.89,255.051,772.302,5132.691,14.896,-0.04528,1.231,70.706,0.2052
2020-08-09,5992.027,254.989,773.487,5203.439,15.102,-0.08847,1.105,70.815,0.2055
2020-08-10,6064.142,254.884,774.545,5274.29,15.307,-0.13156,0.9786,70.911,0.2058
2020-08-11,6136.223,254.737,775.475,5345.235,15.513,-0.17453,0.8514,70.997,0.2061
2020-08-12,6208.258,254.546,776.279,5416.26,15.719,-0.21734,0.7237,71.07,0.2063
2020-08-13,6280.235,254.313,776.955,5487.354,15.926,-0.25996,0.5956,71.132,0.2064
2020-08-14,6352.141,254.037,777.502,5558.506,16.132,-0.30237,0.4673,71.182,0.2066
2020-08-15,6423.964,253.719,777.921,5629.704,16.339,-0.34454,0.3388,71.221,0.2067
2020-08-16,6495.693,253.358,778.212,5700.935,16.546,-0.38644,0.2102,71.247,0.2068
2020-08-17,6567.315,252.956,778.374,5772.189,16.752,-0.42805,0.08163,71.262,0.2068
2020-08-18,6638.82,252.513,778.407,5843.453,16.959,-0.46932,-0.0469,71.265,0.2068
2020-08-19,6710.194,252.028,778.312,5914.716,17.166,-0.51025,-0.17527,71.256,0.2068
2020-08-20,6781.427,251.503,778.089,5985.965,17.373,-0.55081,-0.30341,71.236,0.2067
2020-08-21,6852.507,250.937,777.738,6057.19,17.58,-0.59096,-0.43121,71.204,0.2067
2020-08-22,6923.423,250.331,777.259,6128.378,17.786,-0.63068,-0.55861,71.16,0.2065
2020-08-23,6994.163,249.685,776.652,6199.518,17.993,-0.66996,-0.68552,71.104,0.2064
2020-08-24,7064.717,249.001,775.919,6270.599,18.199,-0.70876,-0.81185,71.037,0.2062
2020-08-25,7135.073,248.278,775.06,6341.607,18.405,-0.74707,-0.93753,70.959,0.2059
2020-08-26,7205.22,247.516,774.076,6412.533,18.611,-0.78485,-1.06247,70.869,0.2057
2020-08-27,7275.148,246.717,772.967,6483.365,18.817,-0.8221,-1.1866,70.767,0.2054
2020-08-28,7344.846,245.882,771.734,6554.09,19.022,-0.85879,-1.30984,70.654,0.2051
2020-08-29,7414.303,245.009,770.378,6624.699,19.227,-0.89489,-1.43211,70.53,0.2047
2020-08-30,7483.51,244.101,768.9,6695.179,19.431,-0.9304,-1.55334,70.395,0.2043
2020-08-31,7552.457,243.157,767.302,6765.519,19.635,-0.96529,-1.67346,70.248,0.2039
2020-09-01,7621.133,242.179,765.584,6835.71,19.839,-0.99955,-1.79239,70.091,0.2034
2020-09-02,7689.528,241.167,763.747,6905.739,20.042,-1.03315,-1.91006,69.923,0.2029
2020-09-03,7757.634,240.121,761.793,6975.595,20.245,-1.06609,-2.02641,69.744,0.2024
2020-09-04,7825.44,239.043,759.724,7045.269,20.447,-1.09835,-2.14137,69.555,0.2019
2020-09-05,7892.938,237.933,757.54,7114.75,20.649,-1.12991,-2.25487,69.355,0.2013
2020-09-06,7960.119,236.791,755.243,7184.026,20.85,-1.16076,-2.36686,69.144,0.2007
2020-09-07,8026.973,235.619,752.834,7253.089,21.05,-1.19089,-2.47726,68.924,0.2
2020-09-08,8093.493,234.417,750.316,7321.927,21.25,-1.22029,-2.58603,68.693,0.1994
2020-09-09,8159.67,233.186,747.69,7390.531,21.449,-1.24894,-2.69311,68.453,0.1987
2020-09-10,8225.495,231.927,744.957,7458.89,21.648,-1.27685,-2.79845,68.203,0.1979
2020-09-11,8290.962,230.64,742.12,7526.996,21.845,-1.30399,-2.90198,67.943,0.1972
2020-09-12,8356.061,229.326,739.179,7594.839,22.042,-1.33037,-3.00367,67.674,0.1964
2020-09-13,8420.786,227.986,736.138,7662.409,22.238,-1.35597,-3.10347,67.395,0.1956
