date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2020-05-28,5885.0,1090.0,2091.0,3751.099,42.901,21.335,91.088,268.417,3.07
2020-05-29,6250.406,1114.262,2180.521,4023.865,46.02,28.439,87.535,279.908,3.201
2020-05-30,6624.705,1144.536,2267.463,4307.973,49.269,32.919,86.317,291.069,3.329
2020-05-31,7009.595,1178.646,2353.754,4603.195,52.646,35.85,86.46,302.146,3.456
2020-06-01,7406.175,1215.305,2440.517,4909.509,56.149,37.86,87.389,313.283,3.583
2020-06-02,7815.186,1253.744,2528.397,5227.01,59.78,39.314,88.765,324.564,3.712
2020-06-03,8237.157,1293.496,2617.756,5555.86,63.541,40.426,90.386,336.035,3.843
2020-06-04,8672.484,1334.27,2708.79,5896.26,67.434,41.317,92.13,347.721,3.977
2020-06-05,9121.482,1375.874,2801.59,6248.43,71.462,42.058,93.92,359.634,4.113
2020-06-06,9584.409,1418.176,2896.183,6612.599,75.627,42.687,95.71,371.776,4.252
2020-06-07,10061.484,1461.072,2992.555,6988.997,79.932,43.226,97.466,384.147,4.393
2020-06-08,10552.893,1504.476,3090.664,7377.85,84.379,43.685,99.166,396.741,4.537
2020-06-09,11058.795,1548.31,3190.446,7779.378,88.971,44.068,100.792,409.55,4.684
2020-06-10,11579.325,1592.499,3291.821,8193.793,93.711,44.374,102.328,422.563,4.833
2020-06-11,12114.59,1636.965,3394.696,8621.294,98.6,44.603,103.763,435.769,4.984
2020-06-12,12664.673,1681.63,3498.963,9062.069,103.641,44.751,105.082,449.154,5.137
2020-06-13,13229.629,1726.412,3604.503,9516.291,108.836,44.815,106.275,462.702,5.292
2020-06-14,13809.488,1771.224,3711.185,9984.117,114.186,44.79,107.33,476.396,5.448
2020-06-15,14404.249,1815.977,3818.867,10465.688,119.694,44.673,108.236,490.219,5.607
2020-06-16,15013.879,1860.577,3927.395,10961.124,125.36,44.459,108.981,504.151,5.766
2020-06-17,15638.316,1904.927,4036.605,11470.525,131.186,44.145,109.554,518.17,5.926
2020-06-18,16277.465,1948.923,4146.32,11993.972,137.173,43.728,109.944,532.253,6.087
2020-06-19,16931.194,1992.463,4256.353,12531.52,143.32,43.203,110.14,546.378,6.249
2020-06-20,17599.338,2035.437,4366.507,13083.201,149.63,42.569,110.133,560.518,6.411
2020-06-21,18281.695,2077.736,4476.575,13649.02,156.101,41.823,109.913,574.647,6.572
2020-06-22,18978.027,2119.246,4586.339,14228.955,162.734,40.964,109.469,588.738,6.733
2020-06-23,19688.058,2159.853,4695.573,14822.957,169.527,39.989,108.794,602.76,6.894
2020-06-24,20411.472,2199.443,4804.043,15430.948,176.481,38.899,107.88,616.684,7.053
2020-06-25,21147.916,2237.899,4911.508,16052.816,183.593,37.693,106.719,630.479,7.211
2020-06-26,21897.0,2275.106,5017.717,16688.421,190.862,36.373,105.306,644.113,7.367
2020-06-27,22658.293,2310.949,5122.416,17337.59,198.286,34.938,103.635,657.553,7.52
2020-06-28,23431.327,2345.316,5225.347,18000.117,205.864,33.392,101.702,670.766,7.671
2020-06-29,24215.598,2378.096,5326.246,18675.761,213.591,31.737,99.506,683.718,7.82
2020-06-30,25010.564,2409.18,5424.849,19364.25,221.465,29.976,97.043,696.375,7.964
2020-07-01,25815.649,2438.466,5520.89,20065.276,229.482,28.115,94.315,708.704,8.105
2020-07-02,26630.24,2465.854,5614.104,20778.496,237.639,26.157,91.323,720.67,8.242
2020-07-03,27453.696,2491.249,5704.228,21503.537,245.931,24.108,88.069,732.238,8.374
2020-07-04,28285.342,2514.564,5791.0,22239.987,254.354,21.976,84.559,743.377,8.502
2020-07-05,29124.475,2535.717,5874.168,22987.405,262.902,19.766,80.797,754.053,8.624
2020-07-06,29970.367,2554.633,5953.481,23745.316,271.57,17.486,76.791,764.235,8.74
2020-07-07,30822.266,2571.245,6028.7,24513.214,280.353,15.144,72.551,773.89,8.851
2020-07-08,31679.398,2585.495,6099.593,25290.561,289.243,12.75,68.086,782.991,8.955
2020-07-09,32540.969,2597.333,6165.942,26076.793,298.235,10.311,63.41,791.508,9.052
2020-07-10,33406.174,2606.718,6227.538,26871.314,307.322,7.837,58.534,799.415,9.143
2020-07-11,34274.192,2613.62,6284.189,27673.506,316.496,5.338,53.475,806.687,9.226
2020-07-12,35144.193,2618.017,6335.716,28482.726,325.751,2.824,48.247,813.301,9.302
