date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2020-05-29,NaN,621.0,2373.0,NaN,NaN,18.018,-77.72727,NaN,NaN
2020-05-30,NaN,635.649,2299.233,NaN,NaN,9.588,-67.76579,NaN,NaN
2020-05-31,NaN,642.782,2234.437,NaN,NaN,3.446,-60.29022,NaN,NaN
2020-06-01,NaN,644.444,2176.386,NaN,NaN,-1.01271,-54.64354,NaN,NaN
2020-06-02,NaN,642.141,2123.445,NaN,NaN,-4.23415,-50.34254,NaN,NaN
2020-06-03,NaN,636.979,2074.41,NaN,NaN,-6.54563,-47.03183,NaN,NaN
2020-06-04,NaN,629.773,2028.395,NaN,NaN,-8.18798,-44.45,NaN,NaN
2020-06-05,NaN,621.121,1984.747,NaN,NaN,-9.33839,-42.40477,NaN,NaN
2020-06-06,NaN,611.462,1942.988,NaN,NaN,-10.12721,-40.75472,NaN,NaN
2020-06-07,NaN,601.121,1902.762,NaN,NaN,-10.65036,-39.39585,NaN,NaN
2020-06-08,NaN,590.335,1863.81,NaN,NaN,-10.97848,-38.25169,NaN,NaN
2020-06-09,NaN,579.278,1825.938,NaN,NaN,-11.16355,-37.26603,NaN,NaN
2020-06-10,NaN,568.077,1789.006,NaN,NaN,-11.24386,-36.39756,NaN,NaN
2020-06-11,NaN,556.827,1752.907,NaN,NaN,-11.24762,-35.61594,NaN,NaN
2020-06-12,NaN,545.595,1717.564,NaN,NaN,-11.1956,-34.89892,NaN,NaN
2020-06-13,NaN,534.431,1682.919,NaN,NaN,-11.10312,-34.23018,NaN,NaN
2020-06-14,NaN,523.372,1648.929,NaN,NaN,-10.98147,-33.59778,NaN,NaN
2020-06-15,NaN,512.442,1615.56,NaN,NaN,-10.83899,-32.99298,NaN,NaN
2020-06-16,NaN,501.661,1582.787,NaN,NaN,-10.68181,-32.40942,NaN,NaN
2020-06-17,NaN,491.042,1550.591,NaN,NaN,-10.51447,-31.84248,NaN,NaN
2020-06-18,NaN,480.592,1518.957,NaN,NaN,-10.34033,-31.2888,NaN,NaN
2020-06-19,NaN,470.318,1487.873,NaN,NaN,-10.16185,-30.74597,NaN,NaN
2020-06-20,NaN,460.224,1457.328,NaN,NaN,-9.98087,-30.21228,NaN,NaN
2020-06-21,NaN,450.312,1427.313,NaN,NaN,-9.79874,-29.68649,NaN,NaN
2020-06-22,NaN,440.581,1397.822,NaN,NaN,-9.61645,-29.16775,NaN,NaN
2020-06-23,NaN,431.033,1368.847,NaN,NaN,-9.43475,-28.65548,NaN,NaN
2020-06-24,NaN,421.666,1340.381,NaN,NaN,-9.2542,-28.14927,NaN,NaN
2020-06-25,NaN,412.479,1312.42,NaN,NaN,-9.07518,-27.64889,NaN,NaN
2020-06-26,NaN,403.471,1284.957,NaN,NaN,-8.898,-27.15417,NaN,NaN
2020-06-27,NaN,394.638,1257.987,NaN,NaN,-8.72288,-26.66502,NaN,NaN
2020-06-28,NaN,385.981,1231.504,NaN,NaN,-8.54999,-26.18143,NaN,NaN
2020-06-29,NaN,377.495,1205.502,NaN,NaN,-8.37944,-25.70338,NaN,NaN
2020-06-30,NaN,369.179,1179.976,NaN,NaN,-8.21131,-25.2309,NaN,NaN
2020-07-01,NaN,361.03,1154.921,NaN,NaN,-8.04566,-24.76402,NaN,NaN
2020-07-02,NaN,353.045,1130.33,NaN,NaN,-7.88254,-24.3028,NaN,NaN
2020-07-03,NaN,345.223,1106.199,NaN,NaN,-7.72197,-23.84727,NaN,NaN
2020-07-04,NaN,337.561,1082.521,NaN,NaN,-7.56396,-23.39749,NaN,NaN
2020-07-05,NaN,330.055,1059.29,NaN,NaN,-7.40853,-22.95351,NaN,NaN
2020-07-06,NaN,322.704,1036.501,NaN,NaN,-7.25567,-22.51536,NaN,NaN
2020-07-07,NaN,315.505,1014.149,NaN,NaN,-7.10539,-22.08309,NaN,NaN
2020-07-08,NaN,308.455,992.226,NaN,NaN,-6.95766,-21.65674,NaN,NaN
2020-07-09,NaN,301.552,970.727,NaN,NaN,-6.81248,-21.23632,NaN,NaN
2020-07-10,NaN,294.793,949.647,NaN,NaN,-6.66983,-20.82187,NaN,NaN
2020-07-11,NaN,288.176,928.979,NaN,NaN,-6.52969,-20.4134,NaN,NaN
2020-07-12,NaN,281.698,908.717,NaN,NaN,-6.39205,-20.01093,NaN,NaN
2020-07-13,NaN,275.357,888.855,NaN,NaN,-6.25688,-19.61446,NaN,NaN
2020-07-14,NaN,269.15,869.387,NaN,NaN,-6.12416,-19.224,NaN,NaN
2020-07-15,NaN,263.075,850.308,NaN,NaN,-5.99387,-18.83954,NaN,NaN
2020-07-16,NaN,257.13,831.611,NaN,NaN,-5.86598,-18.46107,NaN,NaN
2020-07-17,NaN,251.311,813.29,NaN,NaN,-5.74046,-18.08858,NaN,NaN
2020-07-18,NaN,245.617,795.339,NaN,NaN,-5.6173,-17.72206,NaN,NaN
2020-07-19,NaN,240.045,777.753,NaN,NaN,-5.49645,-17.36147,NaN,NaN
2020-07-20,NaN,234.593,760.525,NaN,NaN,-5.37789,-17.0068,NaN,NaN
2020-07-21,NaN,229.259,743.649,NaN,NaN,-5.2616,-16.65802,NaN,NaN
2020-07-22,NaN,224.04,727.12,NaN,NaN,-5.14755,-16.31509,NaN,NaN
2020-07-23,NaN,218.935,710.932,NaN,NaN,-5.0357,-15.97798,NaN,NaN
2020-07-24,NaN,213.941,695.079,NaN,NaN,-4.92603,-15.64664,NaN,NaN
2020-07-25,NaN,209.055,679.555,NaN,NaN,-4.8185,-15.32103,NaN,NaN
2020-07-26,NaN,204.276,664.354,NaN,NaN,-4.71309,-15.00111,NaN,NaN
2020-07-27,NaN,199.602,649.471,NaN,NaN,-4.60977,-14.68684,NaN,NaN
2020-07-28,NaN,195.03,634.901,NaN,NaN,-4.5085,-14.37815,NaN,NaN
2020-07-29,NaN,190.559,620.636,NaN,NaN,-4.40925,-14.075,NaN,NaN
2020-07-30,NaN,186.187,606.674,NaN,NaN,-4.31199,-13.77734,NaN,NaN
2020-07-31,NaN,181.91,593.006,NaN,NaN,-4.2167,-13.4851,NaN,NaN
2020-08-01,NaN,177.729,579.629,NaN,NaN,-4.12334,-13.19823,NaN,NaN
2020-08-02,NaN,173.64,566.537,NaN,NaN,-4.03188,-12.91667,NaN,NaN
2020-08-03,NaN,169.642,553.724,NaN,NaN,-3.94229,-12.64036,NaN,NaN
2020-08-04,NaN,165.733,541.186,NaN,NaN,-3.85454,-12.36924,NaN,NaN
2020-08-05,NaN,161.91,528.917,NaN,NaN,-3.7686,-12.10324,NaN,NaN
2020-08-06,NaN,158.174,516.912,NaN,NaN,-3.68444,-11.8423,NaN,NaN
2020-08-07,NaN,154.52,505.166,NaN,NaN,-3.60202,-11.58635,NaN,NaN
2020-08-08,NaN,150.949,493.674,NaN,NaN,-3.52133,-11.33534,NaN,NaN
2020-08-09,NaN,147.457,482.431,NaN,NaN,-3.44232,-11.08918,NaN,NaN
2020-08-10,NaN,144.044,471.433,NaN,NaN,-3.36497,-10.84782,NaN,NaN
2020-08-11,NaN,140.707,460.674,NaN,NaN,-3.28925,-10.61119,NaN,NaN
2020-08-12,NaN,137.446,450.151,NaN,NaN,-3.21513,-10.37922,NaN,NaN
2020-08-13,NaN,134.258,439.857,NaN,NaN,-3.14258,-10.15184,NaN,NaN
2020-08-14,NaN,131.142,429.789,NaN,NaN,-3.07158,-9.92898,NaN,NaN
2020-08-15,NaN,128.097,419.942,NaN,NaN,-3.00209,-9.71058,NaN,NaN
2020-08-16,NaN,125.121,410.312,NaN,NaN,-2.93408,-9.49656,NaN,NaN
2020-08-17,NaN,122.211,400.895,NaN,NaN,-2.86754,-9.28687,NaN,NaN
2020-08-18,NaN,119.368,391.685,NaN,NaN,-2.80242,-9.08142,NaN,NaN
2020-08-19,NaN,116.59,382.68,NaN,NaN,-2.73871,-8.88015,NaN,NaN
2020-08-20,NaN,113.875,373.874,NaN,NaN,-2.67638,-8.683,NaN,NaN
2020-08-21,NaN,111.221,365.263,NaN,NaN,-2.6154,-8.4899,NaN,NaN
2020-08-22,NaN,108.629,356.845,NaN,NaN,-2.55574,-8.30077,NaN,NaN
2020-08-23,NaN,106.095,348.614,NaN,NaN,-2.49738,-8.11555,NaN,NaN
2020-08-24,NaN,103.619,340.567,NaN,NaN,-2.4403,-7.93418,NaN,NaN
2020-08-25,NaN,101.2,332.699,NaN,NaN,-2.38447,-7.75659,NaN,NaN
2020-08-26,NaN,98.836,325.008,NaN,NaN,-2.32986,-7.58271,NaN,NaN
2020-08-27,NaN,96.526,317.49,NaN,NaN,-2.27645,-7.41247,NaN,NaN
2020-08-28,NaN,94.269,310.14,NaN,NaN,-2.22421,-7.24582,NaN,NaN
2020-08-29,NaN,92.064,302.955,NaN,NaN,-2.17313,-7.08269,NaN,NaN
2020-08-30,NaN,89.91,295.933,NaN,NaN,-2.12318,-6.92301,NaN,NaN
2020-08-31,NaN,87.805,289.069,NaN,NaN,-2.07433,-6.76673,NaN,NaN
2020-09-01,NaN,85.749,282.36,NaN,NaN,-2.02657,-6.61377,NaN,NaN
2020-09-02,NaN,83.74,275.802,NaN,NaN,-1.97987,-6.46409,NaN,NaN
2020-09-03,NaN,81.777,269.393,NaN,NaN,-1.93421,-6.31761,NaN,NaN
