date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2020-05-29,1776.0,181.0,625.0,1148.656,2.344,-11.80963,-16.59596,56.702,0.1157
2020-05-30,1815.261,169.781,608.014,1204.787,2.459,-10.31059,-17.54486,55.161,0.1126
2020-05-31,1852.148,159.934,590.23,1259.348,2.57,-9.13201,-18.11631,53.548,0.1093
2020-06-01,1886.942,151.17,571.986,1312.277,2.678,-8.19442,-18.40538,51.893,0.1059
2020-06-02,1919.864,143.271,553.537,1363.543,2.783,-7.43859,-18.48348,50.219,0.1025
2020-06-03,1951.091,136.074,535.073,1413.134,2.884,-6.82035,-18.40433,48.544,0.09908
2020-06-04,1980.769,129.453,516.734,1461.052,2.982,-6.30673,-18.20843,46.88,0.09568
2020-06-05,2009.017,123.315,498.626,1507.315,3.076,-5.87313,-17.92637,45.237,0.09233
2020-06-06,2035.936,117.585,480.825,1551.944,3.168,-5.50112,-17.58128,43.622,0.08903
2020-06-07,2061.612,112.209,463.387,1594.97,3.255,-5.17693,-17.19075,42.04,0.08581
2020-06-08,2086.121,107.142,446.353,1636.428,3.34,-4.8902,-16.76814,40.495,0.08265
2020-06-09,2109.526,102.35,429.75,1676.355,3.421,-4.63318,-16.32362,38.989,0.07958
2020-06-10,2131.888,97.806,413.597,1714.791,3.5,-4.4,-15.86501,37.523,0.07659
2020-06-11,2153.259,93.488,397.907,1751.777,3.575,-4.18624,-15.39826,36.1,0.07368
2020-06-12,2173.688,89.377,382.685,1787.355,3.648,-3.98855,-14.92799,34.719,0.07086
2020-06-13,2193.22,85.458,367.933,1821.569,3.718,-3.80438,-14.45772,33.38,0.06813
2020-06-14,2211.896,81.72,353.651,1854.46,3.785,-3.63175,-13.9902,32.085,0.06549
2020-06-15,2229.755,78.15,339.835,1886.071,3.85,-3.46917,-13.52752,30.831,0.06293
2020-06-16,2246.835,74.739,326.479,1916.445,3.912,-3.31544,-13.07132,29.619,0.06045
2020-06-17,2263.169,71.478,313.577,1945.622,3.971,-3.16965,-12.62285,28.449,0.05807
2020-06-18,2278.791,68.361,301.119,1973.644,4.028,-3.03104,-12.18307,27.319,0.05576
2020-06-19,2293.732,65.38,289.098,2000.551,4.083,-2.89902,-11.75271,26.228,0.05353
2020-06-20,2308.021,62.529,277.504,2026.381,4.136,-2.77311,-11.33232,25.176,0.05139
2020-06-21,2321.687,59.801,266.326,2051.174,4.187,-2.65288,-10.92229,24.162,0.04932
2020-06-22,2334.757,57.192,255.555,2074.967,4.235,-2.53798,-10.52291,23.185,0.04732
2020-06-23,2347.256,54.696,245.178,2097.796,4.282,-2.42813,-10.13437,22.244,0.0454
2020-06-24,2359.21,52.307,235.186,2119.697,4.326,-2.32304,-9.75676,21.337,0.04355
2020-06-25,2370.642,50.022,225.568,2140.704,4.369,-2.22248,-9.39013,20.464,0.04177
2020-06-26,2381.574,47.836,216.312,2160.851,4.41,-2.12624,-9.03448,19.625,0.04005
2020-06-27,2392.028,45.745,207.408,2180.171,4.45,-2.03412,-8.68974,18.817,0.03841
2020-06-28,2402.025,43.744,198.844,2198.694,4.488,-1.94594,-8.35584,18.04,0.03682
2020-06-29,2411.585,41.83,190.61,2216.451,4.524,-1.86152,-8.03264,17.293,0.0353
2020-06-30,2420.727,39.999,182.696,2233.473,4.559,-1.7807,-7.72001,16.575,0.03383
2020-07-01,2429.468,38.248,175.09,2249.787,4.592,-1.70333,-7.41777,15.885,0.03242
2020-07-02,2437.827,36.572,167.782,2265.421,4.624,-1.62927,-7.12574,15.222,0.03107
2020-07-03,2445.819,34.97,160.763,2280.402,4.654,-1.55838,-6.84373,14.585,0.02977
2020-07-04,2453.462,33.437,154.022,2294.756,4.684,-1.49053,-6.57152,13.974,0.02852
2020-07-05,2460.769,31.971,147.55,2308.507,4.712,-1.42558,-6.3089,13.386,0.02732
2020-07-06,2467.756,30.569,141.337,2321.68,4.739,-1.36343,-6.05563,12.823,0.02617
2020-07-07,2474.436,29.228,135.373,2334.298,4.764,-1.30395,-5.81149,12.282,0.02507
2020-07-08,2480.823,27.946,129.651,2346.383,4.789,-1.24703,-5.57623,11.762,0.02401
2020-07-09,2486.93,26.719,124.16,2357.957,4.813,-1.19256,-5.34962,11.264,0.02299
2020-07-10,2492.769,25.547,118.893,2369.041,4.835,-1.14044,-5.13142,10.786,0.02202
2020-07-11,2498.352,24.425,113.841,2379.654,4.857,-1.09058,-4.92139,10.328,0.02108
2020-07-12,2503.69,23.353,108.996,2389.816,4.878,-1.04288,-4.71927,9.889,0.02018
2020-07-13,2508.793,22.327,104.35,2399.545,4.898,-0.99724,-4.52484,9.467,0.01932
2020-07-14,2513.672,21.346,99.896,2408.859,4.917,-0.95359,-4.33786,9.063,0.0185
2020-07-15,2518.337,20.408,95.626,2417.776,4.935,-0.91183,-4.15808,8.676,0.01771
2020-07-16,2522.796,19.512,91.533,2426.311,4.952,-0.87188,-3.98528,8.304,0.01695
2020-07-17,2527.06,18.654,87.611,2434.48,4.969,-0.83367,-3.81923,7.948,0.01622
2020-07-18,2531.137,17.834,83.852,2442.3,4.985,-0.79713,-3.6597,7.607,0.01553
2020-07-19,2535.034,17.051,80.25,2449.784,5.0,-0.76217,-3.50647,7.281,0.01486
2020-07-20,2538.76,16.301,76.8,2456.946,5.015,-0.72874,-3.35932,6.968,0.01422
2020-07-21,2542.322,15.584,73.494,2463.8,5.029,-0.69677,-3.21803,6.668,0.01361
2020-07-22,2545.728,14.899,70.327,2470.359,5.042,-0.6662,-3.08242,6.38,0.01302
2020-07-23,2548.984,14.244,67.294,2476.635,5.055,-0.63696,-2.95226,6.105,0.01246
2020-07-24,2552.096,13.618,64.389,2482.64,5.067,-0.60899,-2.82736,5.842,0.01192
2020-07-25,2555.072,13.019,61.607,2488.386,5.079,-0.58225,-2.70753,5.589,0.01141
2020-07-26,2557.917,12.446,58.943,2493.884,5.09,-0.55668,-2.59258,5.348,0.01091
2020-07-27,2560.637,11.899,56.392,2499.144,5.101,-0.53223,-2.48233,5.116,0.01044
2020-07-28,2563.237,11.375,53.949,2504.176,5.111,-0.50885,-2.37661,4.894,0.00999
2020-07-29,2565.723,10.875,51.611,2508.991,5.121,-0.4865,-2.27524,4.682,0.00956
2020-07-30,2568.099,10.397,49.373,2513.596,5.13,-0.46512,-2.17805,4.479,0.00914
2020-07-31,2570.371,9.939,47.23,2518.002,5.139,-0.44468,-2.08489,4.285,0.00875
2020-08-01,2572.543,9.502,45.179,2522.216,5.148,-0.42513,-1.9956,4.099,0.00837
2020-08-02,2574.619,9.084,43.215,2526.248,5.156,-0.40645,-1.91003,3.921,0.008
2020-08-03,2576.604,8.684,41.336,2530.104,5.164,-0.38858,-1.82803,3.75,0.00765
2020-08-04,2578.502,8.302,39.538,2533.792,5.172,-0.3715,-1.74946,3.587,0.00732
2020-08-05,2580.316,7.937,37.817,2537.32,5.179,-0.35516,-1.67419,3.431,0.007
2020-08-06,2582.051,7.588,36.17,2540.695,5.186,-0.33954,-1.60208,3.282,0.0067
2020-08-07,2583.709,7.254,34.594,2543.922,5.192,-0.32461,-1.53301,3.139,0.00641
2020-08-08,2585.294,6.934,33.086,2547.009,5.199,-0.31034,-1.46686,3.002,0.00613
2020-08-09,2586.809,6.629,31.643,2549.961,5.205,-0.29669,-1.4035,2.871,0.00586
2020-08-10,2588.258,6.338,30.263,2552.784,5.21,-0.28364,-1.34283,2.746,0.0056
2020-08-11,2589.643,6.059,28.942,2555.485,5.216,-0.27116,-1.28474,2.626,0.00536
2020-08-12,2590.966,5.792,27.678,2558.067,5.221,-0.25923,-1.22911,2.511,0.00513
2020-08-13,2592.232,5.537,26.469,2560.537,5.226,-0.24783,-1.17585,2.401,0.0049
2020-08-14,2593.442,5.293,25.313,2562.898,5.231,-0.23693,-1.12487,2.296,0.00469
2020-08-15,2594.599,5.06,24.206,2565.157,5.236,-0.2265,-1.07606,2.196,0.00448
2020-08-16,2595.705,4.838,23.148,2567.317,5.24,-0.21654,-1.02934,2.1,0.00429
2020-08-17,2596.762,4.625,22.136,2569.382,5.244,-0.20701,-0.98462,2.008,0.0041
2020-08-18,2597.772,4.421,21.167,2571.357,5.248,-0.1979,-0.94182,1.92,0.00392
2020-08-19,2598.738,4.227,20.241,2573.245,5.252,-0.18919,-0.90085,1.836,0.00375
2020-08-20,2599.662,4.041,19.355,2575.051,5.256,-0.18087,-0.86165,1.756,0.00358
2020-08-21,2600.545,3.863,18.507,2576.778,5.259,-0.17291,-0.82413,1.679,0.00343
2020-08-22,2601.389,3.693,17.697,2578.429,5.263,-0.1653,-0.78823,1.606,0.00328
2020-08-23,2602.196,3.53,16.922,2580.008,5.266,-0.15803,-0.75388,1.535,0.00313
2020-08-24,2602.967,3.375,16.18,2581.518,5.269,-0.15107,-0.721,1.468,0.003
2020-08-25,2603.705,3.226,15.471,2582.962,5.272,-0.14442,-0.68955,1.404,0.00286
2020-08-26,2604.41,3.084,14.793,2584.342,5.275,-0.13807,-0.65946,1.342,0.00274
2020-08-27,2605.084,2.948,14.144,2585.662,5.277,-0.13199,-0.63067,1.283,0.00262
2020-08-28,2605.728,2.819,13.524,2586.924,5.28,-0.12618,-0.60313,1.227,0.0025
2020-08-29,2606.344,2.694,12.931,2588.13,5.282,-0.12063,-0.57678,1.173,0.00239
2020-08-30,2606.933,2.576,12.364,2589.284,5.285,-0.11532,-0.55157,1.122,0.00229
2020-08-31,2607.496,2.462,11.821,2590.387,5.287,-0.11024,-0.52746,1.072,0.00219
2020-09-01,2608.034,2.354,11.303,2591.442,5.289,-0.10539,-0.50439,1.025,0.00209
2020-09-02,2608.548,2.25,10.807,2592.45,5.291,-0.10075,-0.48232,0.9804,0.002
2020-09-03,2609.04,2.151,10.332,2593.414,5.293,-0.09632,-0.46122,0.9374,0.00191
2020-09-04,2609.51,2.057,9.879,2594.336,5.295,-0.09208,-0.44103,0.8962,0.00183
2020-09-05,2609.959,1.966,9.445,2595.217,5.297,-0.08802,-0.42172,0.8569,0.00175
2020-09-06,2610.389,1.88,9.03,2596.06,5.299,-0.08415,-0.40325,0.8193,0.00167
2020-09-07,2610.8,1.797,8.634,2596.866,5.3,-0.08044,-0.38559,0.7833,0.0016
2020-09-08,2611.192,1.718,8.254,2597.636,5.302,-0.0769,-0.3687,0.7489,0.00153
2020-09-09,2611.568,1.642,7.892,2598.372,5.303,-0.07352,-0.35254,0.716,0.00146
2020-09-10,2611.926,1.57,7.545,2599.076,5.305,-0.07028,-0.33709,0.6845,0.0014
2020-09-11,2612.269,1.501,7.214,2599.75,5.306,-0.06719,-0.32231,0.6545,0.00134
2020-09-12,2612.597,1.435,6.897,2600.393,5.307,-0.06423,-0.30818,0.6257,0.00128
2020-09-13,2612.911,1.371,6.594,2601.008,5.309,-0.0614,-0.29466,0.5982,0.00122
2020-09-14,2613.211,1.311,6.304,2601.597,5.31,-0.0587,-0.28174,0.5719,0.00117
2020-09-15,2613.497,1.253,6.027,2602.159,5.311,-0.05612,-0.26938,0.5468,0.00112
2020-09-16,2613.771,1.198,5.762,2602.697,5.312,-0.05364,-0.25756,0.5227,0.00107
2020-09-17,2614.033,1.145,5.509,2603.211,5.313,-0.05128,-0.24625,0.4998,0.00102
2020-09-18,2614.283,1.095,5.266,2603.702,5.314,-0.04903,-0.23544,0.4778,0.00098
2020-09-19,2614.522,1.047,5.035,2604.172,5.315,-0.04687,-0.22511,0.4568,0.00093
2020-09-20,2614.751,1.001,4.814,2604.621,5.316,-0.0448,-0.21523,0.4367,0.00089
2020-09-21,2614.97,0.9566,4.602,2605.051,5.317,-0.04283,-0.20578,0.4175,0.00085
2020-09-22,2615.179,0.9145,4.4,2605.461,5.318,-0.04095,-0.19674,0.3991,0.00081
2020-09-23,2615.379,0.8742,4.206,2605.854,5.319,-0.03914,-0.1881,0.3816,0.00078
2020-09-24,2615.57,0.8358,4.021,2606.229,5.319,-0.03742,-0.17984,0.3648,0.00074
2020-09-25,2615.752,0.799,3.844,2606.588,5.32,-0.03577,-0.17194,0.3488,0.00071
2020-09-26,2615.927,0.7638,3.675,2606.931,5.321,-0.0342,-0.16438,0.3334,0.00068
2020-09-27,2616.094,0.7302,3.514,2607.259,5.321,-0.03269,-0.15716,0.3188,0.00065
2020-09-28,2616.253,0.698,3.359,2607.572,5.322,-0.03125,-0.15025,0.3047,0.00062
2020-09-29,2616.406,0.6673,3.211,2607.872,5.323,-0.02988,-0.14365,0.2913,0.00059
2020-09-30,2616.552,0.6379,3.07,2608.158,5.323,-0.02856,-0.13734,0.2785,0.00057
2020-10-01,2616.691,0.6098,2.935,2608.432,5.324,-0.0273,-0.1313,0.2663,0.00054
2020-10-02,2616.824,0.583,2.806,2608.694,5.324,-0.0261,-0.12553,0.2546,0.00052
2020-10-03,2616.952,0.5573,2.682,2608.944,5.325,-0.02495,-0.12001,0.2434,0.0005
2020-10-04,2617.073,0.5328,2.564,2609.184,5.325,-0.02385,-0.11474,0.2327,0.00047
2020-10-05,2617.19,0.5093,2.452,2609.412,5.326,-0.0228,-0.10969,0.2224,0.00045
2020-10-06,2617.301,0.4869,2.344,2609.631,5.326,-0.0218,-0.10487,0.2126,0.00043
2020-10-07,2617.408,0.4654,2.241,2609.84,5.327,-0.02084,-0.10026,0.2033,0.00041
2020-10-08,2617.509,0.4449,2.142,2610.04,5.327,-0.01992,-0.09585,0.1943,0.0004
2020-10-09,2617.606,0.4254,2.048,2610.231,5.328,-0.01905,-0.09163,0.1858,0.00038
2020-10-10,2617.699,0.4066,1.958,2610.414,5.328,-0.01821,-0.0876,0.1776,0.00036
2020-10-11,2617.788,0.3887,1.871,2610.589,5.328,-0.01741,-0.08375,0.1698,0.00035
2020-10-12,2617.873,0.3716,1.789,2610.755,5.329,-0.01664,-0.08007,0.1623,0.00033
2020-10-13,2617.954,0.3552,1.71,2610.915,5.329,-0.01591,-0.07655,0.1552,0.00032
2020-10-14,2618.032,0.3396,1.635,2611.068,5.329,-0.01521,-0.07318,0.1483,0.0003
2020-10-15,2618.106,0.3247,1.563,2611.214,5.33,-0.01454,-0.06996,0.1418,0.00029
2020-10-16,2618.177,0.3104,1.494,2611.353,5.33,-0.0139,-0.06688,0.1356,0.00028
2020-10-17,2618.245,0.2967,1.429,2611.486,5.33,-0.01328,-0.06394,0.1296,0.00026
2020-10-18,2618.31,0.2836,1.366,2611.614,5.33,-0.0127,-0.06113,0.1239,0.00025
2020-10-19,2618.372,0.2711,1.306,2611.736,5.331,-0.01214,-0.05844,0.1184,0.00024
2020-10-20,2618.431,0.2592,1.248,2611.852,5.331,-0.01161,-0.05587,0.1132,0.00023
2020-10-21,2618.488,0.2478,1.193,2611.963,5.331,-0.0111,-0.05341,0.1083,0.00022
2020-10-22,2618.542,0.2369,1.141,2612.07,5.331,-0.01061,-0.05106,0.1035,0.00021
2020-10-23,2618.594,0.2265,1.09,2612.172,5.332,-0.01014,-0.04881,0.09893,0.0002
2020-10-24,2618.643,0.2165,1.042,2612.269,5.332,-0.00969,-0.04666,0.09458,0.00019
2020-10-25,2618.69,0.207,0.9966,2612.362,5.332,-0.00927,-0.04461,0.09042,0.00018
2020-10-26,2618.736,0.1978,0.9527,2612.451,5.332,-0.00886,-0.04265,0.08644,0.00018
2020-10-27,2618.779,0.1891,0.9108,2612.536,5.332,-0.00847,-0.04077,0.08263,0.00017
2020-10-28,2618.82,0.1808,0.8707,2612.617,5.332,-0.0081,-0.03898,0.07899,0.00016
2020-10-29,2618.86,0.1728,0.8324,2612.695,5.333,-0.00774,-0.03726,0.07552,0.00015
2020-10-30,2618.898,0.1652,0.7957,2612.769,5.333,-0.0074,-0.03562,0.07219,0.00015
2020-10-31,2618.934,0.158,0.7607,2612.84,5.333,-0.00707,-0.03405,0.06901,0.00014
2020-11-01,2618.968,0.151,0.7272,2612.908,5.333,-0.00676,-0.03255,0.06598,0.00013
2020-11-02,2619.001,0.1444,0.6952,2612.973,5.333,-0.00646,-0.03112,0.06307,0.00013
2020-11-03,2619.033,0.138,0.6646,2613.035,5.333,-0.00618,-0.02975,0.0603,0.00012
2020-11-04,2619.063,0.1319,0.6353,2613.094,5.333,-0.00591,-0.02844,0.05764,0.00012
2020-11-05,2619.092,0.1261,0.6074,2613.151,5.334,-0.00565,-0.02719,0.0551,0.00011
2020-11-06,2619.119,0.1206,0.5806,2613.205,5.334,-0.0054,-0.02599,0.05268,0.00011
2020-11-07,2619.146,0.1153,0.5551,2613.257,5.334,-0.00516,-0.02485,0.05036,0.0001
2020-11-08,2619.171,0.1102,0.5306,2613.306,5.334,-0.00493,-0.02376,0.04814,0.0001
2020-11-09,2619.195,0.1053,0.5073,2613.354,5.334,-0.00472,-0.02271,0.04602,9.0e-5
2020-11-10,2619.218,0.1007,0.4849,2613.399,5.334,-0.00451,-0.02171,0.044,9.0e-5
2020-11-11,2619.24,0.09626,0.4636,2613.442,5.334,-0.00431,-0.02076,0.04206,9.0e-5
2020-11-12,2619.261,0.09202,0.4432,2613.483,5.334,-0.00412,-0.01984,0.04021,8.0e-5
2020-11-13,2619.281,0.08797,0.4237,2613.523,5.334,-0.00394,-0.01897,0.03844,8.0e-5
2020-11-14,2619.3,0.08409,0.405,2613.561,5.334,-0.00377,-0.01813,0.03675,7.0e-5
2020-11-15,2619.319,0.08039,0.3872,2613.597,5.334,-0.0036,-0.01734,0.03513,7.0e-5
2020-11-16,2619.336,0.07685,0.3701,2613.631,5.334,-0.00344,-0.01657,0.03358,7.0e-5
2020-11-17,2619.353,0.07347,0.3539,2613.665,5.335,-0.00329,-0.01584,0.0321,7.0e-5
2020-11-18,2619.369,0.07023,0.3383,2613.696,5.335,-0.00314,-0.01515,0.03069,6.0e-5
2020-11-19,2619.384,0.06714,0.3234,2613.726,5.335,-0.00301,-0.01448,0.02934,6.0e-5
2020-11-20,2619.399,0.06418,0.3091,2613.755,5.335,-0.00287,-0.01384,0.02805,6.0e-5
2020-11-21,2619.413,0.06136,0.2955,2613.783,5.335,-0.00275,-0.01323,0.02681,5.0e-5
2020-11-22,2619.426,0.05866,0.2825,2613.809,5.335,-0.00263,-0.01265,0.02563,5.0e-5
2020-11-23,2619.439,0.05607,0.2701,2613.834,5.335,-0.00251,-0.01209,0.0245,5.0e-5
2020-11-24,2619.452,0.0536,0.2582,2613.858,5.335,-0.0024,-0.01156,0.02342,5.0e-5
2020-11-25,2619.463,0.05124,0.2468,2613.881,5.335,-0.00229,-0.01105,0.02239,5.0e-5
2020-11-26,2619.474,0.04899,0.236,2613.903,5.335,-0.00219,-0.01056,0.02141,4.0e-5
2020-11-27,2619.485,0.04683,0.2256,2613.924,5.335,-0.0021,-0.0101,0.02046,4.0e-5
2020-11-28,2619.495,0.04477,0.2156,2613.945,5.335,-0.002,-0.00965,0.01956,4.0e-5
2020-11-29,2619.505,0.0428,0.2061,2613.964,5.335,-0.00192,-0.00923,0.0187,4.0e-5
2020-11-30,2619.514,0.04091,0.1971,2613.982,5.335,-0.00183,-0.00882,0.01788,4.0e-5
2020-12-01,2619.523,0.03911,0.1884,2614.0,5.335,-0.00175,-0.00844,0.01709,3.0e-5
2020-12-02,2619.532,0.03739,0.1801,2614.017,5.335,-0.00167,-0.00806,0.01634,3.0e-5
2020-12-03,2619.54,0.03574,0.1722,2614.033,5.335,-0.0016,-0.00771,0.01562,3.0e-5
2020-12-04,2619.548,0.03417,0.1646,2614.048,5.335,-0.00153,-0.00737,0.01493,3.0e-5
2020-12-05,2619.555,0.03267,0.1573,2614.063,5.335,-0.00146,-0.00704,0.01427,3.0e-5
2020-12-06,2619.563,0.03123,0.1504,2614.077,5.335,-0.0014,-0.00673,0.01365,3.0e-5
2020-12-07,2619.569,0.02985,0.1438,2614.09,5.335,-0.00134,-0.00644,0.01305,3.0e-5
2020-12-08,2619.576,0.02854,0.1375,2614.103,5.335,-0.00128,-0.00615,0.01247,3.0e-5
2020-12-09,2619.582,0.02728,0.1314,2614.115,5.335,-0.00122,-0.00588,0.01192,2.0e-5
2020-12-10,2619.588,0.02608,0.1256,2614.127,5.336,-0.00117,-0.00562,0.0114,2.0e-5
2020-12-11,2619.594,0.02493,0.1201,2614.138,5.336,-0.00112,-0.00538,0.0109,2.0e-5
2020-12-12,2619.599,0.02383,0.1148,2614.149,5.336,-0.00107,-0.00514,0.01042,2.0e-5
2020-12-13,2619.604,0.02278,0.1098,2614.159,5.336,-0.00102,-0.00491,0.00996,2.0e-5
2020-12-14,2619.609,0.02178,0.1049,2614.169,5.336,-0.00098,-0.0047,0.00952,2.0e-5
2020-12-15,2619.614,0.02082,0.1003,2614.178,5.336,-0.00093,-0.00449,0.0091,2.0e-5
2020-12-16,2619.619,0.01991,0.09588,2614.187,5.336,-0.00089,-0.00429,0.0087,2.0e-5
2020-12-17,2619.623,0.01903,0.09166,2614.196,5.336,-0.00085,-0.0041,0.00832,2.0e-5
2020-12-18,2619.627,0.01819,0.08763,2614.204,5.336,-0.00081,-0.00392,0.00795,2.0e-5
2020-12-19,2619.631,0.01739,0.08377,2614.212,5.336,-0.00078,-0.00375,0.0076,2.0e-5
2020-12-20,2619.635,0.01662,0.08008,2614.219,5.336,-0.00074,-0.00359,0.00727,1.0e-5
2020-12-21,2619.639,0.01589,0.07655,2614.226,5.336,-0.00071,-0.00343,0.00695,1.0e-5
2020-12-22,2619.642,0.01519,0.07318,2614.233,5.336,-0.00068,-0.00328,0.00664,1.0e-5
2020-12-23,2619.645,0.01452,0.06996,2614.24,5.336,-0.00065,-0.00313,0.00635,1.0e-5
2020-12-24,2619.649,0.01388,0.06688,2614.246,5.336,-0.00062,-0.00299,0.00607,1.0e-5
2020-12-25,2619.652,0.01327,0.06394,2614.252,5.336,-0.00059,-0.00286,0.0058,1.0e-5
2020-12-26,2619.655,0.01269,0.06112,2614.258,5.336,-0.00057,-0.00274,0.00555,1.0e-5
2020-12-27,2619.657,0.01213,0.05843,2614.263,5.336,-0.00054,-0.00262,0.0053,1.0e-5
2020-12-28,2619.66,0.0116,0.05586,2614.268,5.336,-0.00052,-0.0025,0.00507,1.0e-5
2020-12-29,2619.663,0.01109,0.0534,2614.273,5.336,-0.0005,-0.00239,0.00484,1.0e-5
2020-12-30,2619.665,0.0106,0.05105,2614.278,5.336,-0.00047,-0.00229,0.00463,1.0e-5
2020-12-31,2619.667,0.01013,0.0488,2614.283,5.336,-0.00045,-0.00219,0.00443,1.0e-5
2021-01-01,2619.669,0.00968,0.04665,2614.287,5.336,-0.00043,-0.00209,0.00423,1.0e-5
