date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2020-06-02,2274.0,1245.0,819.0,1446.988,8.012,-235.71704,202.212,74.045,0.41
2020-06-03,2531.876,1031.629,995.922,1527.495,8.458,-179.51286,138.712,90.04,0.4986
2020-06-04,2746.805,868.848,1115.878,1621.946,8.981,-137.42423,91.634,100.885,0.5586
2020-06-05,2928.908,743.96,1193.63,1725.722,9.556,-105.88251,56.813,107.914,0.5976
2020-06-06,3085.768,647.48,1240.201,1835.404,10.163,-82.22078,31.139,112.125,0.6209
2020-06-07,3223.07,572.32,1263.814,1948.467,10.789,-64.44674,12.29,114.259,0.6327
2020-06-08,3345.084,513.185,1270.603,2063.058,11.424,-51.07242,-1.46829,114.873,0.6361
2020-06-09,3455.022,466.116,1265.144,2177.819,12.059,-40.98664,-11.43183,114.38,0.6334
2020-06-10,3555.302,428.154,1250.846,2291.766,12.69,-33.35963,-18.56788,113.087,0.6262
2020-06-11,3647.755,397.089,1230.25,2404.192,13.313,-27.57178,-23.599,111.225,0.6159
2020-06-12,3733.766,371.264,1205.247,2514.595,13.924,-23.16036,-27.06482,108.965,0.6034
2020-06-13,3814.39,349.441,1177.24,2622.627,14.522,-19.77977,-29.36839,106.433,0.5893
2020-06-14,3890.434,330.691,1147.274,2728.055,15.106,-17.17187,-30.81075,103.723,0.5743
2020-06-15,3962.521,314.319,1116.118,2830.728,15.675,-15.14379,-31.61672,100.907,0.5587
2020-06-16,4031.131,299.801,1084.344,2930.56,16.227,-13.55143,-31.9542,98.034,0.5428
2020-06-17,4096.643,286.746,1052.369,3027.51,16.764,-12.28706,-31.94854,95.143,0.5268
2020-06-18,4159.355,274.857,1020.5,3121.571,17.285,-11.27016,-31.69333,92.262,0.5109
2020-06-19,4219.508,263.911,988.958,3212.76,17.79,-10.44048,-31.25839,89.41,0.4951
2020-06-20,4277.295,253.738,957.902,3301.114,18.279,-9.75296,-30.69582,86.602,0.4795
2020-06-21,4332.877,244.209,927.445,3386.679,18.753,-9.17385,-30.0444,83.849,0.4643
2020-06-22,4386.388,235.227,897.663,3469.513,19.212,-8.67787,-29.33304,81.156,0.4494
2020-06-23,4437.944,226.716,868.609,3549.679,19.656,-8.24608,-28.58321,78.53,0.4348
2020-06-24,4487.643,218.616,840.314,3627.244,20.085,-7.86424,-27.81083,75.972,0.4207
2020-06-25,4535.574,210.883,812.797,3702.277,20.501,-7.52165,-27.02769,73.484,0.4069
2020-06-26,4581.815,203.48,786.063,3774.849,20.902,-7.21028,-26.24245,71.067,0.3935
2020-06-27,4626.436,196.379,760.114,3845.031,21.291,-6.92403,-25.46148,68.721,0.3805
2020-06-28,4669.503,189.556,734.943,3912.892,21.667,-6.65832,-24.68941,66.445,0.3679
2020-06-29,4711.075,182.992,710.54,3978.505,22.03,-6.40966,-23.92955,64.239,0.3557
2020-06-30,4751.209,176.672,686.891,4041.937,22.381,-6.17539,-23.18427,62.101,0.3439
2020-07-01,4789.958,170.58,663.981,4103.256,22.721,-5.95346,-22.4552,60.03,0.3324
2020-07-02,4827.371,164.707,641.795,4162.528,23.049,-5.7423,-21.74343,58.024,0.3213
2020-07-03,4863.497,159.041,620.313,4219.818,23.366,-5.54068,-21.04964,56.082,0.3105
2020-07-04,4898.381,153.573,599.518,4275.19,23.673,-5.34764,-20.37423,54.201,0.3001
2020-07-05,4932.065,148.296,579.391,4328.704,23.969,-5.16243,-19.71735,52.382,0.2901
2020-07-06,4964.592,143.201,559.915,4380.422,24.256,-4.98441,-19.07901,50.621,0.2803
2020-07-07,4996.001,138.281,541.07,4430.399,24.532,-4.81309,-18.45908,48.917,0.2709
2020-07-08,5026.332,133.53,522.838,4478.694,24.8,-4.64805,-17.85734,47.269,0.2617
2020-07-09,5055.62,128.942,505.201,4525.361,25.058,-4.48893,-17.27351,45.674,0.2529
2020-07-10,5083.902,124.511,488.141,4570.453,25.308,-4.33544,-16.70727,44.132,0.2444
2020-07-11,5111.212,120.232,471.641,4614.022,25.549,-4.1873,-16.15826,42.64,0.2361
2020-07-12,5137.583,116.099,455.683,4656.117,25.782,-4.04428,-15.62609,41.198,0.2281
2020-07-13,5163.048,112.106,440.252,4696.788,26.007,-3.90618,-15.11037,39.803,0.2204
2020-07-14,5187.637,108.251,425.33,4736.081,26.225,-3.77279,-14.6107,38.453,0.2129
2020-07-15,5211.38,104.526,410.902,4774.042,26.435,-3.64395,-14.12665,37.149,0.2057
2020-07-16,5234.306,100.93,396.953,4810.715,26.638,-3.51947,-13.65781,35.888,0.1987
2020-07-17,5256.443,97.456,383.466,4846.142,26.834,-3.39921,-13.20379,34.669,0.192
2020-07-18,5277.818,94.1,370.428,4880.366,27.024,-3.28303,-12.76416,33.49,0.1854
2020-07-19,5298.457,90.86,357.825,4913.425,27.207,-3.17077,-12.33853,32.35,0.1791
2020-07-20,5318.386,87.73,345.642,4945.36,27.384,-3.0623,-11.9265,31.249,0.173
2020-07-21,5337.627,84.707,333.866,4976.207,27.555,-2.95751,-11.52768,30.184,0.1671
2020-07-22,5356.206,81.788,322.484,5006.002,27.72,-2.85626,-11.14168,29.155,0.1614
2020-07-23,5374.145,78.968,311.483,5034.782,27.879,-2.75843,-10.76813,28.161,0.1559
2020-07-24,5391.465,76.246,300.852,5062.58,28.033,-2.66391,-10.40667,27.2,0.1506
2020-07-25,5408.187,73.616,290.577,5089.429,28.182,-2.5726,-10.05693,26.271,0.1455
2020-07-26,5424.333,71.077,280.648,5115.36,28.325,-2.48438,-9.71856,25.373,0.1405
2020-07-27,5439.922,68.625,271.053,5140.406,28.464,-2.39915,-9.39123,24.505,0.1357
2020-07-28,5454.974,66.257,261.781,5164.594,28.598,-2.31681,-9.07458,23.667,0.1311
2020-07-29,5469.505,63.97,252.822,5187.956,28.727,-2.23727,-8.7683,22.857,0.1266
2020-07-30,5483.536,61.762,244.166,5210.517,28.852,-2.16043,-8.47208,22.075,0.1222
2020-07-31,5497.081,59.629,235.802,5232.307,28.973,-2.08621,-8.18559,21.319,0.118
2020-08-01,5510.16,57.57,227.721,5253.349,29.089,-2.01451,-7.90854,20.588,0.114
2020-08-02,5522.786,55.582,219.914,5273.67,29.202,-1.94525,-7.64063,19.882,0.1101
2020-08-03,5534.976,53.662,212.371,5293.295,29.31,-1.87835,-7.38158,19.2,0.1063
2020-08-04,5546.746,51.808,205.084,5312.246,29.415,-1.81373,-7.13112,18.541,0.1027
2020-08-05,5558.108,50.018,198.044,5330.547,29.517,-1.75131,-6.88896,17.905,0.09914
2020-08-06,5569.078,48.289,191.244,5348.22,29.615,-1.69103,-6.65485,17.29,0.09574
2020-08-07,5579.669,46.62,184.674,5365.286,29.709,-1.63281,-6.42853,16.696,0.09245
2020-08-08,5589.894,45.009,178.328,5381.765,29.8,-1.57657,-6.20975,16.122,0.08927
2020-08-09,5599.765,43.453,172.199,5397.678,29.888,-1.52226,-5.99828,15.568,0.08621
2020-08-10,5609.295,41.95,166.278,5413.044,29.974,-1.4698,-5.79388,15.033,0.08324
2020-08-11,5618.496,40.5,160.558,5427.882,30.056,-1.41914,-5.59631,14.516,0.08038
2020-08-12,5627.378,39.099,155.034,5442.209,30.135,-1.37022,-5.40537,14.016,0.07761
2020-08-13,5635.953,37.746,149.698,5456.043,30.212,-1.32297,-5.22084,13.534,0.07494
2020-08-14,5644.232,36.441,144.545,5469.401,30.286,-1.27734,-5.0425,13.068,0.07236
2020-08-15,5652.224,35.18,139.567,5482.299,30.357,-1.23328,-4.87017,12.618,0.06987
2020-08-16,5659.939,33.963,134.76,5494.753,30.426,-1.19072,-4.70363,12.183,0.06746
2020-08-17,5667.388,32.788,130.117,5506.778,30.493,-1.14963,-4.54271,11.764,0.06514
2020-08-18,5674.579,31.653,125.633,5518.389,30.557,-1.10995,-4.38722,11.358,0.06289
2020-08-19,5681.521,30.558,121.303,5529.599,30.619,-1.07163,-4.23698,10.967,0.06073
2020-08-20,5688.223,29.5,117.121,5540.423,30.679,-1.03463,-4.09182,10.589,0.05863
2020-08-21,5694.693,28.479,113.082,5550.874,30.737,-0.9989,-3.95157,10.224,0.05661
2020-08-22,5700.938,27.493,109.182,5560.964,30.793,-0.96439,-3.81607,9.871,0.05466
2020-08-23,5706.968,26.541,105.415,5570.707,30.847,-0.93108,-3.68516,9.53,0.05277
2020-08-24,5712.789,25.622,101.777,5580.113,30.899,-0.89891,-3.55869,9.202,0.05095
