date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2020-05-29,2073.0,68.0,745.0,1325.912,2.088,8.359,-5.47819,32.059,0.0505
2020-05-30,2100.775,75.124,740.744,1357.891,2.139,5.355,-2.50472,31.876,0.05021
2020-05-31,2130.93,79.703,739.008,1389.733,2.189,3.467,-0.63663,31.801,0.05009
2020-06-01,2162.62,82.681,738.854,1421.527,2.239,2.279,0.5365,31.795,0.05008
2020-06-02,2195.315,84.654,739.693,1453.333,2.289,1.532,1.273,31.831,0.05014
2020-06-03,2228.68,85.993,741.156,1485.186,2.339,1.063,1.734,31.894,0.05023
2020-06-04,2262.506,86.934,743.009,1517.108,2.39,0.7671,2.023,31.973,0.05036
2020-06-05,2296.661,87.625,745.106,1549.115,2.44,0.581,2.203,32.064,0.0505
2020-06-06,2331.06,88.158,747.355,1581.214,2.491,0.4637,2.315,32.16,0.05066
2020-06-07,2365.652,88.591,749.698,1613.412,2.541,0.3897,2.384,32.261,0.05081
2020-06-08,2400.403,88.962,752.099,1645.712,2.592,0.3428,2.425,32.365,0.05098
2020-06-09,2435.294,89.292,754.535,1678.116,2.643,0.313,2.45,32.469,0.05114
2020-06-10,2470.309,89.597,756.99,1710.625,2.694,0.294,2.463,32.575,0.05131
2020-06-11,2505.442,89.886,759.457,1743.24,2.746,0.2817,2.47,32.681,0.05148
2020-06-12,2540.686,90.165,761.928,1775.961,2.797,0.2737,2.473,32.788,0.05164
2020-06-13,2576.038,90.436,764.401,1808.788,2.849,0.2683,2.473,32.894,0.05181
2020-06-14,2611.496,90.703,766.873,1841.722,2.901,0.2645,2.47,33.0,0.05198
2020-06-15,2647.057,90.966,769.342,1874.762,2.953,0.2618,2.467,33.107,0.05215
2020-06-16,2682.721,91.227,771.808,1907.909,3.005,0.2598,2.463,33.213,0.05231
2020-06-17,2718.488,91.487,774.269,1941.161,3.057,0.2581,2.459,33.319,0.05248
2020-06-18,2754.355,91.744,776.726,1974.519,3.11,0.2567,2.454,33.424,0.05265
2020-06-19,2790.323,92.0,779.177,2007.983,3.163,0.2555,2.448,33.53,0.05281
2020-06-20,2826.392,92.255,781.624,2041.552,3.216,0.2543,2.443,33.635,0.05298
2020-06-21,2862.56,92.509,784.064,2075.227,3.269,0.2532,2.437,33.74,0.05314
2020-06-22,2898.827,92.762,786.499,2109.006,3.322,0.2521,2.431,33.845,0.05331
2020-06-23,2935.193,93.014,788.928,2142.89,3.375,0.251,2.425,33.949,0.05347
2020-06-24,2971.658,93.264,791.35,2176.879,3.429,0.25,2.419,34.054,0.05364
2020-06-25,3008.221,93.514,793.766,2210.972,3.482,0.2489,2.412,34.158,0.0538
2020-06-26,3044.881,93.762,796.176,2245.168,3.536,0.2478,2.406,34.261,0.05396
2020-06-27,3081.638,94.01,798.579,2279.468,3.59,0.2467,2.399,34.365,0.05413
2020-06-28,3118.492,94.256,800.976,2313.872,3.645,0.2455,2.392,34.468,0.05429
2020-06-29,3155.442,94.501,803.365,2348.378,3.699,0.2444,2.385,34.571,0.05445
2020-06-30,3192.489,94.745,805.748,2382.987,3.753,0.2433,2.378,34.673,0.05461
