date,infected,exposed,active,recovered,deaths,diff_exposed,diff_active,diff_recovered,diff_deaths
2020-05-29,NaN,1272.0,580.0,NaN,NaN,-282.10715,229.939,NaN,NaN
2020-05-30,NaN,1012.618,779.921,NaN,NaN,-224.27395,154.124,NaN,NaN
2020-05-31,NaN,806.401,911.143,NaN,NaN,-178.32136,96.369,NaN,NaN
2020-06-01,NaN,642.428,990.18,NaN,NaN,-141.80663,52.745,NaN,NaN
2020-06-02,NaN,512.023,1029.945,NaN,NaN,-112.78945,20.152,NaN,NaN
2020-06-03,NaN,408.295,1040.504,NaN,NaN,-89.72857,-3.85903,NaN,NaN
2020-06-04,NaN,325.768,1029.682,NaN,NaN,-71.39974,-21.21443,NaN,NaN
2020-06-05,NaN,260.093,1003.535,NaN,NaN,-56.83047,-33.43197,NaN,NaN
2020-06-06,NaN,207.813,966.733,NaN,NaN,-45.24825,-41.70402,NaN,NaN
2020-06-07,NaN,166.183,922.851,NaN,NaN,-36.03944,-46.96597,NaN,NaN
2020-06-08,NaN,133.021,874.613,NaN,NaN,-28.71655,-49.95007,NaN,NaN
2020-06-09,NaN,106.592,824.069,NaN,NaN,-22.89233,-51.22818,NaN,NaN
2020-06-10,NaN,85.52,772.751,NaN,NaN,-18.25913,-51.24558,NaN,NaN
2020-06-11,NaN,68.709,721.782,NaN,NaN,-14.57254,-50.34779,NaN,NaN
2020-06-12,NaN,55.289,671.972,NaN,NaN,-11.63837,-48.80184,NaN,NaN
2020-06-13,NaN,44.568,623.888,NaN,NaN,-9.30235,-46.81298,NaN,NaN
2020-06-14,NaN,35.997,577.911,NaN,NaN,-7.44189,-44.53806,NaN,NaN
2020-06-15,NaN,29.137,534.279,NaN,NaN,-5.95958,-42.09595,NaN,NaN
2020-06-16,NaN,23.641,493.125,NaN,NaN,-4.77803,-39.57591,NaN,NaN
2020-06-17,NaN,19.233,454.5,NaN,NaN,-3.83572,-37.04409,NaN,NaN
2020-06-18,NaN,15.693,418.396,NaN,NaN,-3.08377,-34.54869,NaN,NaN
2020-06-19,NaN,12.845,384.763,NaN,NaN,-2.4833,-32.12406,NaN,NaN
2020-06-20,NaN,10.55,353.521,NaN,NaN,-2.00344,-29.79386,NaN,NaN
2020-06-21,NaN,8.697,324.569,NaN,NaN,-1.61963,-27.57358,NaN,NaN
2020-06-22,NaN,7.198,297.793,NaN,NaN,-1.31233,-25.47251,NaN,NaN
